Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,1.06,1.223,1.04,1.194,1950099,1950099
1609128000000,1.193,1.25,1.129,1.197,1761502,1761502
1609142400000,1.198,1.277,1.163,1.19,1657440,1657440
1609156800000,1.191,1.218,1.149,1.169,1103441,1103441
1609171200000,1.168,1.168,1.102,1.136,872733,872733
1609185600000,1.137,1.143,1.063,1.118,2098814,2098814
1609200000000,1.116,1.12,0.896,0.912,3636576,3636576
1609214400000,0.911,0.946,0.879,0.884,1111116,1111116
1609228800000,0.883,1.002,0.867,0.896,2311766,2311766
1609243200000,0.895,0.912,0.769,0.797,3385042,3385042
1609257600000,0.797,0.879,0.753,0.839,3824079,3824079
1609272000000,0.84,0.932,0.826,0.885,3440621,3440621
1609286400000,0.885,1.017,0.885,0.93,6271067,6271067
1609300800000,0.931,0.951,0.867,0.915,3497204,3497204
1609315200000,0.915,0.989,0.884,0.967,2871835,2871835
1609329600000,0.967,1.229,0.936,1.19,7235870,7235870
1609344000000,1.193,1.261,1.115,1.137,4346368,4346368
1609358400000,1.135,1.216,1.067,1.091,1729512,1729512
1609372800000,1.092,1.316,1.056,1.293,4137972,4137972
1609387200000,1.294,1.363,1.227,1.273,3602618,3602618
1609401600000,1.27,1.306,1.2,1.28,2279342,2279342
1609416000000,1.28,1.332,1.2,1.269,3445387,3445387
1609430400000,1.271,1.338,1.231,1.323,1537189,1537189
1609444800000,1.323,1.405,1.271,1.363,1835849,1835849
1609459200000,1.364,1.4,1.24,1.261,2949794,2949794
1609473600000,1.262,1.29,1.202,1.238,2274791,2274791
1609488000000,1.238,1.252,1.12,1.174,1771363,1771363
1609502400000,1.174,1.217,1.125,1.17,1578872,1578872
1609516800000,1.168,1.187,1.081,1.137,1391175,1391175
1609531200000,1.137,1.172,1.115,1.156,835823,835823
1609545600000,1.156,1.161,1.08,1.097,1734076,1734076
1609560000000,1.097,1.115,1.083,1.097,1065658,1065658
1609574400000,1.098,1.118,1.034,1.069,1029579,1029579
1609588800000,1.07,1.135,1.061,1.113,1869424,1869424
1609603200000,1.114,1.137,1.056,1.073,1910149,1910149
1609617600000,1.073,1.076,0.996,1.026,3021489,3021489
1609632000000,1.026,1.069,1.015,1.034,1282060,1282060
1609646400000,1.034,1.055,0.965,0.985,1853976,1853976
1609660800000,0.982,1.007,0.949,0.999,1590702,1590702
1609675200000,0.998,1.159,0.998,1.114,4253929,4253929
1609689600000,1.119,1.151,1.064,1.089,2982090,2982090
1609704000000,1.089,1.148,1.083,1.11,1908609,1908609
1609718400000,1.112,1.24,1.1,1.212,1840626,1840626
1609732800000,1.211,1.216,1.098,1.108,3701458,3701458
1609747200000,1.11,1.153,0.978,1.052,2945827,2945827
1609761600000,1.05,1.067,1.012,1.058,616100,616100
1609776000000,1.056,1.065,1.006,1.056,1166349,1166349
1609790400000,1.057,1.064,1.012,1.035,627485,627485
1609804800000,1.034,1.079,1.017,1.021,739572,739572
1609819200000,1.02,1.053,0.992,1.013,507156,507156
1609833600000,1.013,1.133,1.012,1.124,1052668,1052668
1609848000000,1.124,1.18,1.072,1.177,1572886,1572886
1609862400000,1.179,1.252,1.149,1.199,1591734,1591734
1609876800000,1.2,1.31,1.191,1.254,972721,972721
1609891200000,1.253,1.279,1.19,1.221,1177758,1177758
1609905600000,1.218,1.252,1.196,1.234,712656,712656
1609920000000,1.233,1.365,1.224,1.313,1858462,1858462
1609934400000,1.314,1.468,1.277,1.435,1359905,1359905
1609948800000,1.439,1.533,1.371,1.379,1578601,1578601
1609963200000,1.372,1.526,1.321,1.514,1178330,1178330
1609977600000,1.515,1.557,1.368,1.452,1538414,1538414
1609992000000,1.452,1.503,1.412,1.438,619776,619776
1610006400000,1.438,1.473,1.401,1.466,599553,599553
1610020800000,1.466,1.616,1.456,1.57,2265406,2265406
1610035200000,1.573,1.592,1.304,1.432,1146958,1146958
1610049600000,1.433,1.449,1.247,1.296,807729,807729
1610064000000,1.297,1.336,0.998,1.202,2503688,2503688
1610078400000,1.202,1.296,1.155,1.287,932064,932064
1610092800000,1.286,1.346,1.224,1.305,1478996,1478996
1610107200000,1.303,1.344,1.232,1.278,1085221,1085221
1610121600000,1.278,1.3,1.163,1.196,850186,850186
1610136000000,1.196,1.219,1.125,1.186,853759,853759
1610150400000,1.184,1.214,1.113,1.202,591513,591513
1610164800000,1.201,1.214,1.136,1.185,631272,631272
1610179200000,1.182,1.275,1.164,1.244,854181,854181
1610193600000,1.243,1.283,1.21,1.228,446029,446029
1610208000000,1.228,1.255,1.163,1.254,636844,636844
1610222400000,1.253,1.308,1.22,1.25,730015,730015
1610236800000,1.249,1.333,1.249,1.314,539941,539941
1610251200000,1.315,1.392,1.314,1.377,868203,868203
1610265600000,1.379,1.385,1.205,1.231,853990,853990
1610280000000,1.229,1.302,1.174,1.253,793555,793555
1610294400000,1.256,1.271,1.153,1.223,309778,309778
1610308800000,1.209,1.24,1.183,1.208,151538,151538
1610323200000,1.207,1.213,1.041,1.108,1469701,1469701
