Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,76.9,81.78,76.11,79.11,313318,31331.8
1609128000000,79.04,83.42,78.32,83.08,214853,21485.3
1609142400000,83.09,85.58,81.78,85.41,306363,30636.3
1609156800000,85.38,86.13,81.87,82.86,283296,28329.6
1609171200000,82.85,84.61,82.16,83.93,185693,18569.3
1609185600000,83.92,84.23,80.28,81.96,223326,22332.6
1609200000000,81.91,83.06,78.52,78.79,246347,24634.7
1609214400000,78.77,79.07,76.23,77.58,135274,13527.4
1609228800000,77.59,80.43,77.59,79.48,164921,16492.1
1609243200000,79.46,80.4,76.52,76.78,200146,20014.6
1609257600000,76.73,78.44,75.0,78.27,240300,24030.0
1609272000000,78.3,78.44,76.72,78.36,166755,16675.5
1609286400000,78.21,82.41,77.37,82.07,293311,29331.1
1609300800000,82.03,85.46,82.03,83.05,385680,38568.0
1609315200000,83.04,83.16,79.96,80.29,199501,19950.1
1609329600000,80.29,83.49,79.23,82.51,227299,22729.9
1609344000000,82.65,84.23,81.96,83.38,337906,33790.6
1609358400000,83.36,83.41,80.62,81.21,241258,24125.8
1609372800000,81.28,81.37,78.23,79.43,233818,23381.8
1609387200000,79.45,81.53,79.39,81.24,179373,17937.3
1609401600000,81.26,86.0,80.16,84.86,300787,30078.7
1609416000000,84.94,87.5,82.75,86.18,444015,44401.5
1609430400000,86.2,86.52,83.8,86.37,170674,17067.4
1609444800000,86.39,88.62,84.87,88.3,297046,29704.6
1609459200000,88.29,89.16,85.71,88.48,298734,29873.4
1609473600000,88.46,89.38,85.98,86.68,317454,31745.4
1609488000000,86.63,88.68,84.73,88.0,292713,29271.3
1609502400000,87.92,88.55,86.05,87.17,184395,18439.5
1609516800000,87.38,90.74,86.38,87.0,417958,41795.8
1609531200000,86.96,90.76,86.7,90.71,220919,22091.9
1609545600000,90.89,92.07,86.62,87.03,336182,33618.2
1609560000000,87.05,87.12,85.57,86.61,261712,26171.2
1609574400000,86.66,87.01,82.64,83.82,279646,27964.6
1609588800000,83.76,87.13,82.46,86.17,241237,24123.7
1609603200000,86.16,87.41,85.26,86.94,221867,22186.7
1609617600000,86.97,86.98,83.55,86.08,271312,27131.2
1609632000000,86.04,86.14,83.63,84.69,151299,15129.9
1609646400000,84.67,84.91,82.64,82.72,171771,17177.1
1609660800000,82.75,84.87,81.4,84.83,226478,22647.8
1609675200000,84.81,91.9,84.54,91.19,566241,56624.1
1609689600000,91.5,93.94,88.85,90.33,456054,45605.4
1609704000000,90.35,95.52,90.35,93.88,311696,31169.6
1609718400000,94.15,105.74,93.79,103.93,729440,72944.0
1609732800000,103.97,111.18,98.02,100.42,580260,58026.0
1609747200000,100.67,103.0,85.81,94.2,597665,59766.5
1609761600000,94.11,106.03,92.92,105.23,422023,42202.3
1609776000000,105.63,110.25,100.2,109.98,549891,54989.1
1609790400000,109.99,115.81,106.76,114.58,613292,61329.2
1609804800000,115.01,120.46,105.32,105.76,638378,63837.8
1609819200000,105.77,108.17,98.39,106.51,696770,69677.0
1609833600000,106.73,115.92,106.73,114.24,411828,41182.8
1609848000000,114.21,116.95,107.22,116.82,371001,37100.1
1609862400000,117.15,124.15,114.61,120.23,506557,50655.7
1609876800000,120.28,122.08,117.53,119.54,279781,27978.1
1609891200000,119.74,120.53,111.24,113.26,316445,31644.5
1609905600000,113.27,116.67,112.11,115.93,370275,37027.5
1609920000000,116.1,120.83,113.66,120.14,305423,30542.3
1609934400000,120.17,120.55,114.04,114.4,297436,29743.6
1609948800000,114.63,119.17,108.62,109.3,324309,32430.9
1609963200000,109.11,116.1,107.9,115.62,375398,37539.8
1609977600000,115.8,116.85,112.16,115.98,256022,25602.2
1609992000000,115.98,119.23,112.17,117.4,366337,36633.7
1610006400000,117.69,122.58,116.56,118.46,405495,40549.5
1610020800000,118.49,127.03,117.07,126.58,425933,42593.3
1610035200000,126.9,129.5,106.82,115.86,554480,55448.0
1610049600000,115.96,122.3,113.23,115.25,312406,31240.6
1610064000000,115.38,117.03,100.3,109.47,424811,42481.1
1610078400000,109.44,119.82,105.49,116.19,333368,33336.8
1610092800000,116.15,119.32,113.81,114.5,327421,32742.1
1610107200000,114.55,117.03,107.48,109.93,385680,38568.0
1610121600000,109.95,113.32,106.93,107.18,247252,24725.2
1610136000000,107.18,111.55,103.16,110.66,335418,33541.8
1610150400000,110.65,112.8,106.21,112.22,315609,31560.9
1610164800000,112.24,115.11,107.07,110.42,316401,31640.1
1610179200000,110.46,114.33,109.91,113.39,213277,21327.7
1610193600000,113.41,118.15,112.11,116.15,326000,32600.0
1610208000000,116.52,116.78,113.11,115.66,237992,23799.2
1610222400000,115.65,119.42,114.3,117.73,304331,30433.1
1610236800000,118.0,121.67,118.0,118.17,211353,21135.3
1610251200000,118.19,136.34,118.19,131.58,551679,55167.9
1610265600000,131.69,135.53,118.01,119.1,510392,51039.2
1610280000000,119.08,126.5,115.37,125.25,349833,34983.3
1610294400000,125.32,127.48,116.99,124.18,205670,20567.0
1610308800000,124.17,130.98,117.88,126.91,294105,29410.5
1610323200000,126.87,127.14,102.92,110.99,645375,64537.5
1610337600000,111.08,115.81,104.22,111.17,513270,51327.0
1610352000000,111.2,123.48,109.69,111.5,444059,44405.9
1610366400000,111.52,114.69,99.49,101.17,526921,52692.1
1610380800000,101.19,110.11,93.9,104.76,500550,50055.0
1610395200000,104.73,115.73,102.19,114.32,289058,28905.8
1610409600000,114.29,116.42,109.27,116.24,230142,23014.2
1610424000000,116.07,127.69,114.07,126.84,404729,40472.9
1610438400000,126.83,127.23,118.38,120.76,258458,25845.8
1610452800000,120.71,121.98,109.76,116.26,357627,35762.7
1610467200000,116.65,135.83,116.65,129.37,621731,62173.1
1610481600000,129.37,134.47,123.94,128.01,446833,44683.3
1610496000000,128.0,130.89,120.3,129.61,435963,43596.3
1610510400000,129.64,139.2,124.01,138.42,387516,38751.6
1610524800000,138.35,145.21,136.34,141.21,506417,50641.7
1610539200000,141.21,143.15,135.34,137.72,392645,39264.5
1610553600000,138.18,144.1,136.85,140.58,310818,31081.8
1610568000000,140.62,148.34,138.49,147.23,287423,28742.3
1610582400000,147.18,147.18,140.0,141.0,285032,28503.2
1610596800000,141.2,146.84,138.95,143.99,188609,18860.9
1610611200000,143.95,146.16,141.26,145.3,214626,21462.6
1610625600000,145.25,150.3,143.0,149.18,241866,24186.6
1610640000000,149.67,154.74,147.05,149.96,335792,33579.2
1610654400000,149.67,150.69,138.98,147.45,246843,24684.3
1610668800000,147.44,152.9,145.63,147.22,298455,29845.5
