Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.15463,0.16188,0.15277,0.15986,110547,11054700
1609128000000,0.15973,0.16614,0.15894,0.16386,101629,10162900
1609142400000,0.16407,0.16918,0.1612,0.16831,171488,17148800
1609156800000,0.16826,0.16906,0.16305,0.1647,148192,14819200
1609171200000,0.1648,0.174,0.16369,0.1723,152732,15273200
1609185600000,0.17227,0.1805,0.16815,0.17655,206252,20625200
1609200000000,0.1765,0.19312,0.17645,0.17799,379145,37914500
1609214400000,0.17767,0.18292,0.17316,0.18292,126377,12637700
1609228800000,0.183,0.18864,0.18184,0.18571,157536,15753600
1609243200000,0.18554,0.19701,0.18519,0.18574,275614,27561400
1609257600000,0.18583,0.18816,0.18032,0.1877,248679,24867900
1609272000000,0.18769,0.19471,0.18178,0.19102,149064,14906400
1609286400000,0.19109,0.19398,0.18346,0.18405,181451,18145100
1609300800000,0.18395,0.18418,0.17972,0.18143,204973,20497300
1609315200000,0.18144,0.18327,0.17544,0.17978,169123,16912300
1609329600000,0.17972,0.18382,0.17778,0.18134,124030,12403000
1609344000000,0.18137,0.18289,0.17842,0.18169,104147,10414700
1609358400000,0.18181,0.18647,0.18105,0.18413,112848,11284800
1609372800000,0.18421,0.18453,0.17624,0.17932,119553,11955300
1609387200000,0.17931,0.18348,0.17746,0.18348,97534,9753400
1609401600000,0.1836,0.18643,0.18059,0.18281,107015,10701500
1609416000000,0.18279,0.18438,0.17409,0.17795,135980,13598000
1609430400000,0.17794,0.18269,0.17734,0.18171,85584,8558400
1609444800000,0.18162,0.1825,0.17858,0.18121,68995,6899500
1609459200000,0.18126,0.18491,0.17829,0.18308,96915,9691500
1609473600000,0.18309,0.18375,0.17753,0.17944,109449,10944900
1609488000000,0.17945,0.18103,0.17676,0.17966,102793,10279300
1609502400000,0.17974,0.18388,0.17881,0.18041,134231,13423100
1609516800000,0.18042,0.18125,0.16956,0.17419,215090,21509000
1609531200000,0.17424,0.17622,0.17312,0.175,74192,7419200
1609545600000,0.17502,0.17623,0.17028,0.17516,148545,14854500
1609560000000,0.17507,0.1754,0.17221,0.1727,54897,5489700
1609574400000,0.17259,0.17307,0.16838,0.17215,97668,9766800
1609588800000,0.17223,0.18279,0.17021,0.17901,164365,16436500
1609603200000,0.17898,0.18475,0.17777,0.18323,175617,17561700
1609617600000,0.1833,0.18398,0.17071,0.1774,142867,14286700
1609632000000,0.17745,0.17903,0.17417,0.17476,83341,8334100
1609646400000,0.17476,0.17716,0.17378,0.1744,110113,11011300
1609660800000,0.17446,0.19464,0.17279,0.18932,224985,22498500
1609675200000,0.18919,0.20444,0.18841,0.1962,291053,29105300
1609689600000,0.19621,0.20213,0.1905,0.19513,175685,17568500
1609704000000,0.19505,0.20999,0.19493,0.20628,162664,16266400
1609718400000,0.20653,0.22472,0.20652,0.22347,173044,17304400
1609732800000,0.22348,0.24055,0.2088,0.21684,268803,26880300
1609747200000,0.21712,0.22422,0.191,0.21186,327220,32722000
1609761600000,0.21202,0.21793,0.20422,0.21617,161499,16149900
1609776000000,0.21618,0.21867,0.20341,0.21639,143787,14378700
1609790400000,0.21652,0.226,0.20945,0.22531,119737,11973700
1609804800000,0.22539,0.23053,0.21277,0.21318,189567,18956700
1609819200000,0.21314,0.22504,0.20679,0.219,150376,15037600
1609833600000,0.21925,0.23924,0.21907,0.22984,234444,23444400
1609848000000,0.23006,0.24551,0.22376,0.24551,304808,30480800
1609862400000,0.24552,0.25764,0.24006,0.25029,235500,23550000
1609876800000,0.24998,0.26423,0.24848,0.2586,167197,16719700
1609891200000,0.25857,0.27446,0.25275,0.26574,210954,21095400
1609905600000,0.26518,0.27981,0.25981,0.27928,185127,18512700
1609920000000,0.2795,0.29633,0.2693,0.29552,241546,24154600
1609934400000,0.29546,0.34499,0.28858,0.30919,452210,45221000
1609948800000,0.3091,0.3142,0.29053,0.29128,226705,22670500
1609963200000,0.29158,0.3468,0.28922,0.33235,366972,36697200
1609977600000,0.33294,0.356,0.31851,0.33796,339747,33974700
1609992000000,0.3382,0.34353,0.32419,0.32835,266207,26620700
1610006400000,0.32869,0.33367,0.30555,0.31036,314679,31467900
1610020800000,0.311,0.32648,0.31049,0.319,248549,24854900
1610035200000,0.3191,0.33357,0.2787,0.31137,408261,40826100
1610049600000,0.31124,0.31713,0.29137,0.29931,194975,19497500
1610064000000,0.29988,0.30719,0.26331,0.28182,402241,40224100
1610078400000,0.28166,0.31463,0.27234,0.31462,403147,40314700
1610092800000,0.31472,0.32252,0.2979,0.309,344663,34466300
1610107200000,0.30905,0.31515,0.29128,0.29904,310657,31065700
1610121600000,0.29991,0.30688,0.28796,0.29169,177165,17716500
1610136000000,0.29107,0.30726,0.28277,0.30382,186319,18631900
1610150400000,0.30356,0.31488,0.29894,0.30758,261717,26171700
1610164800000,0.30762,0.30846,0.29659,0.3037,191425,19142500
1610179200000,0.304,0.31623,0.29987,0.31,224937,22493700
1610193600000,0.30983,0.32885,0.30695,0.3233,179725,17972500
1610208000000,0.32368,0.33869,0.31519,0.33724,149671,14967100
1610222400000,0.33742,0.33813,0.32757,0.33064,137138,13713800
1610236800000,0.3309,0.33628,0.32576,0.32639,116876,11687600
1610251200000,0.32662,0.34141,0.32421,0.33727,126774,12677400
1610265600000,0.33718,0.33804,0.30401,0.30776,218316,21831600
1610280000000,0.30755,0.32173,0.30097,0.31581,155055,15505500
1610294400000,0.31572,0.31753,0.29466,0.30568,76028,7602800
1610308800000,0.30631,0.31014,0.30128,0.3019,87032,8703200
1610323200000,0.30181,0.30352,0.25978,0.27696,219923,21992300
1610337600000,0.2767,0.28176,0.25984,0.27387,217610,21761000
1610352000000,0.27384,0.28905,0.26494,0.26619,173917,17391700
1610366400000,0.26628,0.27473,0.2466,0.25113,252346,25234600
1610380800000,0.25071,0.26203,0.22891,0.25188,285543,28554300
1610395200000,0.25194,0.27758,0.24561,0.27542,187703,18770300
1610409600000,0.27545,0.29016,0.26327,0.28664,178792,17879200
1610424000000,0.28679,0.31495,0.2815,0.30737,159141,15914100
1610438400000,0.30771,0.3083,0.27782,0.28775,153874,15387400
1610452800000,0.28794,0.29415,0.26804,0.2854,218490,21849000
1610467200000,0.28519,0.29891,0.28508,0.28821,147972,14797200
1610481600000,0.28772,0.29428,0.27912,0.28874,146478,14647800
1610496000000,0.28844,0.29479,0.27087,0.28399,175748,17574800
1610510400000,0.28409,0.29357,0.27555,0.2923,107430,10743000
1610524800000,0.29244,0.29715,0.2865,0.29104,99433,9943300
1610539200000,0.29092,0.29465,0.28526,0.29069,105578,10557800
1610553600000,0.29099,0.30401,0.28875,0.29912,108578,10857800
1610568000000,0.29917,0.31536,0.29838,0.31201,132652,13265200
1610582400000,0.31242,0.31867,0.30337,0.30461,133574,13357400
1610596800000,0.30434,0.31506,0.3009,0.30973,103150,10315000
1610611200000,0.31002,0.31632,0.30615,0.31216,99296,9929600
1610625600000,0.31195,0.32038,0.30808,0.31696,134618,13461800
1610640000000,0.3173,0.32489,0.30708,0.31669,131025,13102500
1610654400000,0.31657,0.31726,0.29636,0.3125,126289,12628900
1610668800000,0.31264,0.33267,0.3102,0.31828,165928,16592800
1610683200000,0.31835,0.3248,0.30747,0.32419,127201,12720100
1610697600000,0.32503,0.32526,0.31551,0.31915,110610,11061000
1610712000000,0.31933,0.32079,0.2927,0.29681,162138,16213800
1610726400000,0.29641,0.30785,0.27793,0.29979,205558,20555800
1610740800000,0.29957,0.30547,0.29334,0.30201,91634,9163400
1610755200000,0.30182,0.31435,0.30182,0.3085,105304,10530400
1610769600000,0.30857,0.31973,0.30252,0.31551,98756,9875600
1610784000000,0.31568,0.35526,0.31211,0.35449,219287,21928700
1610798400000,0.35448,0.36877,0.34428,0.35751,294611,29461100
1610812800000,0.358,0.3623,0.33702,0.3534,223733,22373300
1610827200000,0.35341,0.35985,0.33188,0.35059,171818,17181800
1610841600000,0.35014,0.38921,0.34068,0.37533,263848,26384800
1610856000000,0.37554,0.38488,0.3504,0.3554,219527,21952700
1610870400000,0.35522,0.3787,0.34957,0.37694,215068,21506800
1610884800000,0.377,0.39053,0.36,0.38508,189074,18907400
1610899200000,0.38587,0.38699,0.3689,0.37175,168652,16865200
1610913600000,0.37198,0.39766,0.37198,0.38078,180229,18022900
1610928000000,0.38098,0.39774,0.36646,0.37198,183341,18334100
1610942400000,0.37174,0.38295,0.36924,0.38205,139925,13992500
1610956800000,0.38166,0.38227,0.36406,0.37171,121041,12104100
1610971200000,0.37185,0.37911,0.36742,0.37607,111041,11104100
1610985600000,0.37589,0.37831,0.36666,0.36827,96793,9679300
1611000000000,0.3682,0.37264,0.36572,0.37148,80622,8062200
1611014400000,0.37175,0.37674,0.36223,0.36404,137980,13798000
1611028800000,0.36398,0.37105,0.36298,0.36925,103480,10348000
1611043200000,0.36962,0.38357,0.36927,0.37811,151468,15146800
1611057600000,0.37826,0.37826,0.3676,0.37225,121500,12150000
1611072000000,0.37251,0.38469,0.36429,0.36759,162750,16275000
1611086400000,0.36773,0.37954,0.36622,0.36717,92459,9245900
1611100800000,0.36711,0.37407,0.35347,0.35568,141753,14175300
1611115200000,0.355,0.36568,0.34877,0.36191,117272,11727200
1611129600000,0.36183,0.36278,0.33437,0.33754,145173,14517300
1611144000000,0.3374,0.3539,0.33,0.34246,164217,16421700
1611158400000,0.34211,0.36536,0.33595,0.36536,130800,13080000
1611172800000,0.36543,0.37699,0.35931,0.37539,112245,11224500
1611187200000,0.3757,0.37947,0.3657,0.36872,121667,12166700
1611201600000,0.36878,0.37084,0.35797,0.36013,94857,9485700
