Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.3192,0.3337,0.3149,0.3288,181242,1812420
1609128000000,0.3289,0.3342,0.3238,0.3315,106575,1065750
1609142400000,0.3317,0.343,0.3315,0.3428,137571,1375710
1609156800000,0.3431,0.3449,0.3317,0.3393,163920,1639200
1609171200000,0.3392,0.3566,0.338,0.3484,168072,1680720
1609185600000,0.3485,0.3574,0.3331,0.3572,159025,1590250
1609200000000,0.3574,0.3627,0.3342,0.3349,222546,2225460
1609214400000,0.3338,0.347,0.326,0.347,156966,1569660
1609228800000,0.3466,0.3532,0.3357,0.3424,161239,1612390
1609243200000,0.3424,0.3484,0.3317,0.3346,176630,1766300
1609257600000,0.3343,0.3395,0.3199,0.3331,221493,2214930
1609272000000,0.3334,0.35,0.3325,0.3462,146111,1461110
1609286400000,0.3464,0.3592,0.3414,0.3439,236830,2368300
1609300800000,0.3439,0.3475,0.336,0.3394,100657,1006570
1609315200000,0.3396,0.3399,0.3282,0.3307,127777,1277770
1609329600000,0.3296,0.3412,0.3272,0.3394,129418,1294180
1609344000000,0.3398,0.3448,0.3323,0.3354,153118,1531180
1609358400000,0.3353,0.3367,0.3303,0.3354,88065,880650
1609372800000,0.3354,0.3366,0.3249,0.3313,120305,1203050
1609387200000,0.3312,0.3372,0.3259,0.3312,115332,1153320
1609401600000,0.3312,0.3368,0.3261,0.3315,102276,1022760
1609416000000,0.3315,0.3339,0.3162,0.3237,145556,1455560
1609430400000,0.3237,0.3313,0.322,0.3242,84398,843980
1609444800000,0.3242,0.3356,0.3217,0.3356,95089,950890
1609459200000,0.3356,0.3617,0.3314,0.3597,475146,4751460
1609473600000,0.3597,0.3672,0.3528,0.3576,305973,3059730
1609488000000,0.3578,0.379,0.35,0.3666,363845,3638450
1609502400000,0.3669,0.4327,0.3669,0.4076,851533,8515330
1609516800000,0.4086,0.4249,0.3876,0.3934,727490,7274900
1609531200000,0.3922,0.4275,0.3912,0.3986,410976,4109760
1609545600000,0.3985,0.4235,0.3822,0.4108,627966,6279660
1609560000000,0.4099,0.4633,0.4015,0.4347,607810,6078100
1609574400000,0.4354,0.457,0.4227,0.4537,548706,5487060
1609588800000,0.4533,0.4559,0.4156,0.4292,538423,5384230
1609603200000,0.43,0.4301,0.3969,0.4065,381225,3812250
1609617600000,0.4062,0.4099,0.3893,0.4077,237657,2376570
1609632000000,0.4076,0.4354,0.405,0.4076,390163,3901630
1609646400000,0.4073,0.4322,0.4073,0.4162,299595,2995950
1609660800000,0.4164,0.4172,0.3995,0.4108,256678,2566780
1609675200000,0.4108,0.4378,0.4049,0.417,543086,5430860
1609689600000,0.418,0.4304,0.4095,0.4165,250308,2503080
1609704000000,0.4175,0.4292,0.4054,0.4261,259701,2597010
1609718400000,0.4272,0.4625,0.4272,0.4507,427661,4276610
1609732800000,0.451,0.455,0.4045,0.4153,406066,4060660
1609747200000,0.4169,0.425,0.3671,0.3965,491889,4918890
1609761600000,0.3963,0.4128,0.3896,0.4096,198278,1982780
1609776000000,0.4117,0.4131,0.385,0.4005,179519,1795190
1609790400000,0.4,0.45,0.3908,0.4472,273954,2739540
1609804800000,0.4478,0.4684,0.413,0.4142,371370,3713700
1609819200000,0.4142,0.426,0.4038,0.4201,251955,2519550
1609833600000,0.4209,0.4708,0.4209,0.4604,400433,4004330
1609848000000,0.4604,0.4955,0.4448,0.4805,508553,5085530
1609862400000,0.482,0.4913,0.4563,0.4628,282690,2826900
1609876800000,0.4627,0.4926,0.4617,0.4797,310967,3109670
1609891200000,0.4794,0.4877,0.4588,0.4653,227298,2272980
1609905600000,0.4654,0.4774,0.457,0.4747,186144,1861440
1609920000000,0.4759,0.5031,0.4726,0.4875,315991,3159910
1609934400000,0.4878,0.5309,0.4763,0.5106,372173,3721730
1609948800000,0.5122,0.5282,0.4922,0.4933,225024,2250240
1609963200000,0.4957,0.5177,0.4708,0.5109,308600,3086000
1609977600000,0.5125,0.52,0.4909,0.5039,207301,2073010
1609992000000,0.5036,0.5199,0.4934,0.4994,206149,2061490
1610006400000,0.4996,0.5073,0.473,0.4817,392079,3920790
1610020800000,0.4814,0.5084,0.4808,0.4976,258615,2586150
1610035200000,0.4978,0.5002,0.4333,0.4705,435980,4359800
1610049600000,0.4716,0.4786,0.4509,0.4612,152357,1523570
1610064000000,0.4617,0.4653,0.4125,0.4392,322253,3222530
1610078400000,0.4392,0.4594,0.4269,0.4573,321402,3214020
1610092800000,0.4573,0.4791,0.448,0.4659,194310,1943100
1610107200000,0.4661,0.4881,0.4479,0.4629,283596,2835960
1610121600000,0.4632,0.4714,0.4358,0.4375,156190,1561900
1610136000000,0.4374,0.4565,0.4282,0.4564,141577,1415770
1610150400000,0.4564,0.4738,0.4367,0.4736,157267,1572670
1610164800000,0.4734,0.4734,0.4492,0.4643,204702,2047020
1610179200000,0.4658,0.4841,0.4588,0.4752,201268,2012680
1610193600000,0.4755,0.4962,0.4742,0.487,244308,2443080
1610208000000,0.4873,0.4929,0.468,0.4885,215832,2158320
1610222400000,0.4883,0.4924,0.4783,0.4852,179697,1796970
1610236800000,0.4856,0.5085,0.4856,0.491,299143,2991430
1610251200000,0.4916,0.5158,0.4896,0.5069,153551,1535510
1610265600000,0.5071,0.5146,0.4485,0.4589,368182,3681820
1610280000000,0.4582,0.4782,0.4497,0.469,272874,2728740
1610294400000,0.4692,0.4747,0.4309,0.4511,92320,923200
1610308800000,0.4497,0.4661,0.449,0.4593,87914,879140
1610323200000,0.4591,0.4606,0.3936,0.418,265719,2657190
1610337600000,0.4179,0.4237,0.39,0.4192,261388,2613880
1610352000000,0.4194,0.4372,0.4163,0.4169,141980,1419800
1610366400000,0.4173,0.4249,0.3794,0.3891,308696,3086960
1610380800000,0.3881,0.4061,0.3714,0.3959,297825,2978250
1610395200000,0.3956,0.4186,0.391,0.417,139213,1392130
1610409600000,0.417,0.4254,0.3982,0.4211,160370,1603700
1610424000000,0.4211,0.4299,0.4162,0.4285,116243,1162430
1610438400000,0.4283,0.4288,0.4,0.4133,151775,1517750
1610452800000,0.4134,0.4184,0.3925,0.4031,133261,1332610
1610467200000,0.404,0.4186,0.3963,0.4029,135424,1354240
1610481600000,0.402,0.406,0.391,0.3988,118368,1183680
1610496000000,0.3991,0.4073,0.3809,0.404,173236,1732360
1610510400000,0.4041,0.4148,0.3981,0.4127,96849,968490
1610524800000,0.4129,0.428,0.4094,0.4145,137334,1373340
1610539200000,0.4147,0.4366,0.4111,0.4353,137282,1372820
1610553600000,0.4356,0.4469,0.4349,0.4383,136350,1363500
1610568000000,0.4386,0.4528,0.4361,0.4505,138087,1380870
1610582400000,0.4503,0.4529,0.4318,0.4319,125439,1254390
1610596800000,0.4319,0.4429,0.4295,0.4383,86795,867950
1610611200000,0.4381,0.4465,0.4333,0.4392,90947,909470
1610625600000,0.4394,0.452,0.4354,0.4492,115574,1155740
1610640000000,0.4496,0.4657,0.4496,0.4643,139586,1395860
1610654400000,0.4641,0.4672,0.435,0.4559,116404,1164040
1610668800000,0.4565,0.4905,0.453,0.4651,222356,2223560
1610683200000,0.4651,0.488,0.453,0.4878,165625,1656250
1610697600000,0.4879,0.4988,0.4779,0.4817,202752,2027520
1610712000000,0.4819,0.4947,0.4432,0.4479,296808,2968080
1610726400000,0.4465,0.4642,0.4236,0.4552,176638,1766380
1610740800000,0.4548,0.4922,0.453,0.4884,135243,1352430
1610755200000,0.4884,0.5116,0.4843,0.5046,222399,2223990
1610769600000,0.505,0.528,0.4884,0.5255,199310,1993100
1610784000000,0.5257,0.547,0.5138,0.5383,231443,2314430
1610798400000,0.5384,0.55,0.5132,0.5493,205627,2056270
1610812800000,0.55,0.5505,0.5072,0.5146,217962,2179620
1610827200000,0.5146,0.5273,0.4844,0.5181,179866,1798660
1610841600000,0.5182,0.5412,0.5018,0.526,191803,1918030
1610856000000,0.5258,0.5366,0.4897,0.4946,187235,1872350
1610870400000,0.4946,0.5258,0.4824,0.5187,211776,2117760
1610884800000,0.5186,0.549,0.5118,0.541,202184,2021840
1610899200000,0.5406,0.5749,0.5318,0.5632,223155,2231550
1610913600000,0.5637,0.5888,0.5542,0.5883,161245,1612450
1610928000000,0.5879,0.6086,0.5507,0.5602,238702,2387020
1610942400000,0.5604,0.5894,0.5526,0.5856,155007,1550070
1610956800000,0.5836,0.5907,0.5569,0.5619,181415,1814150
1610971200000,0.5623,0.565,0.5428,0.559,219566,2195660
1610985600000,0.559,0.5606,0.5437,0.5588,107522,1075220
1611000000000,0.5589,0.5778,0.5568,0.5669,143378,1433780
1611014400000,0.5671,0.5721,0.5468,0.5492,159794,1597940
1611028800000,0.5495,0.5589,0.544,0.5562,137157,1371570
1611043200000,0.5575,0.577,0.5525,0.5629,165201,1652010
1611057600000,0.5636,0.5645,0.5508,0.5548,102581,1025810
1611072000000,0.5555,0.5573,0.5151,0.523,134030,1340300
1611086400000,0.5231,0.5409,0.5181,0.5221,103402,1034020
1611100800000,0.5221,0.5388,0.5144,0.5159,148838,1488380
1611115200000,0.5159,0.5439,0.5054,0.5323,149719,1497190
1611129600000,0.5319,0.5323,0.4922,0.4988,125713,1257130
1611144000000,0.4987,0.5181,0.4887,0.4971,149155,1491550
1611158400000,0.4969,0.5252,0.4849,0.5252,140175,1401750
1611172800000,0.5256,0.55,0.5244,0.5478,154780,1547800
1611187200000,0.5479,0.5497,0.5135,0.5204,138853,1388530
