Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,2.947,3.068,2.947,3.015,1743,1743
1609128000000,3.057,3.057,3.018,3.024,1519,1519
1609142400000,3.036,3.036,3.03,3.03,20,20
1609156800000,2.997,3.037,2.996,3.037,642,642
1609171200000,3.067,3.07,3.061,3.061,26,26
1609185600000,3.049,3.06,2.979,2.986,2640,2640
1609200000000,2.973,3.004,2.973,2.996,242,242
1609214400000,2.921,2.941,2.921,2.935,341,341
1609228800000,2.827,2.994,2.827,2.971,355,355
1609243200000,2.961,2.964,2.961,2.964,40,40
1609257600000,2.948,2.948,2.917,2.919,68,68
1609272000000,2.944,2.996,2.942,2.996,329,329
1609286400000,3.007,3.051,3.007,3.014,333,333
1609300800000,2.98,2.98,2.98,2.98,8,8
1609315200000,2.966,2.966,2.959,2.959,268,268
1609329600000,2.958,2.97,2.958,2.97,70,70
1609344000000,2.973,3.002,2.958,3.002,973,973
1609358400000,3.002,3.002,3.002,3.002,0,0
1609372800000,3.025,3.025,3.025,3.025,13,13
1609387200000,3.044,3.063,3.029,3.029,483,483
1609401600000,3.041,3.048,3.014,3.042,753,753
1609416000000,3.042,3.042,3.042,3.042,0,0
1609430400000,3.042,3.042,3.042,3.042,0,0
1609444800000,3.012,3.054,3.01,3.054,649,649
1609459200000,3.079,3.135,3.051,3.121,1215,1215
1609473600000,3.227,3.235,3.218,3.235,146,146
1609488000000,3.224,3.224,3.158,3.2,1507,1507
1609502400000,3.213,3.23,3.213,3.23,83,83
1609516800000,3.226,3.238,3.204,3.204,2779,2779
1609531200000,3.2,3.2,3.2,3.2,100,100
1609545600000,3.163,3.163,3.161,3.161,52,52
1609560000000,3.163,3.166,3.163,3.165,51,51
1609574400000,3.147,3.172,3.147,3.169,207,207
1609588800000,3.201,3.201,3.126,3.128,1365,1365
1609603200000,3.11,3.11,3.096,3.096,424,424
1609617600000,3.024,3.089,3.023,3.089,2246,2246
1609632000000,3.102,3.144,3.102,3.144,1089,1089
1609646400000,3.127,3.127,3.127,3.127,75,75
