Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,4.841,4.943,4.793,4.856,52875,52875
1609128000000,4.856,5.001,4.84,4.985,84641,84641
1609142400000,4.988,5.134,4.965,5.054,94888,94888
1609156800000,5.056,5.264,4.927,5.136,164414,164414
1609171200000,5.143,5.567,5.13,5.374,295396,295396
1609185600000,5.374,5.389,5.175,5.389,124692,124692
1609200000000,5.395,5.593,5.226,5.307,226856,226856
1609214400000,5.308,5.399,5.164,5.307,126821,126821
1609228800000,5.329,5.44,5.2,5.304,60881,60881
1609243200000,5.303,5.33,5.1,5.11,76461,76461
1609257600000,5.111,5.571,5.038,5.54,235213,235213
1609272000000,5.542,5.7,5.424,5.627,115151,115151
1609286400000,5.628,5.691,5.472,5.502,145375,145375
1609300800000,5.503,5.77,5.392,5.702,191578,191578
1609315200000,5.702,5.832,5.501,5.654,373981,373981
1609329600000,5.646,5.659,5.472,5.592,263075,263075
1609344000000,5.595,5.614,5.435,5.47,113694,113694
1609358400000,5.471,5.485,5.401,5.431,40082,40082
1609372800000,5.43,5.43,5.247,5.331,162259,162259
1609387200000,5.329,5.9,5.317,5.817,233228,233228
1609401600000,5.821,5.999,5.721,5.922,104217,104217
1609416000000,5.922,5.968,5.646,5.848,179185,179185
1609430400000,5.849,6.222,5.831,6.077,231285,231285
1609444800000,6.075,6.499,6.018,6.472,166583,166583
1609459200000,6.47,6.514,6.173,6.186,359627,359627
1609473600000,6.181,6.217,5.859,6.027,239606,239606
1609488000000,6.03,6.091,5.859,6.013,154215,154215
1609502400000,6.015,6.1,5.873,5.92,191018,191018
1609516800000,5.934,5.961,5.637,5.808,281850,281850
1609531200000,5.807,5.919,5.761,5.872,115715,115715
1609545600000,5.874,5.889,5.566,5.741,177702,177702
1609560000000,5.739,5.745,5.579,5.6,105449,105449
1609574400000,5.605,5.616,5.391,5.468,243789,243789
1609588800000,5.462,5.635,5.288,5.608,386821,386821
1609603200000,5.609,5.701,5.433,5.644,256561,256561
1609617600000,5.646,5.66,5.2,5.42,161934,161934
1609632000000,5.423,5.564,5.281,5.44,103823,103823
1609646400000,5.439,5.462,5.33,5.34,76534,76534
1609660800000,5.347,5.734,5.313,5.625,126622,126622
1609675200000,5.626,5.823,5.5,5.603,224750,224750
1609689600000,5.608,5.786,5.547,5.614,232040,232040
1609704000000,5.62,5.908,5.615,5.826,143135,143135
1609718400000,5.836,6.186,5.836,6.105,235821,235821
1609732800000,6.107,6.282,5.617,5.748,253972,253972
1609747200000,5.762,6.019,5.259,5.699,415195,415195
1609761600000,5.701,5.947,5.626,5.891,125444,125444
1609776000000,5.885,5.929,5.663,5.826,91100,91100
1609790400000,5.826,6.053,5.751,6.045,113302,113302
1609804800000,6.051,6.124,5.776,5.776,242073,242073
1609819200000,5.795,5.855,5.644,5.79,122820,122820
1609833600000,5.794,6.171,5.794,6.132,117581,117581
1609848000000,6.132,6.17,5.84,6.073,133100,133100
1609862400000,6.075,6.397,6.011,6.142,189235,189235
1609876800000,6.145,6.338,6.118,6.203,63702,63702
1609891200000,6.206,6.276,5.868,5.92,158069,158069
1609905600000,5.919,6.22,5.912,6.101,125388,125388
1609920000000,6.105,6.38,6.016,6.339,133457,133457
1609934400000,6.341,6.83,6.228,6.546,247189,247189
1609948800000,6.55,6.956,6.523,6.579,192997,192997
1609963200000,6.608,6.812,6.378,6.68,285746,285746
1609977600000,6.689,6.84,6.56,6.629,144480,144480
1609992000000,6.625,6.785,6.471,6.494,122250,122250
1610006400000,6.505,6.685,6.271,6.619,143492,143492
1610020800000,6.617,6.842,6.507,6.634,127256,127256
1610035200000,6.649,6.722,5.979,6.341,273738,273738
1610049600000,6.341,6.382,6.132,6.276,117408,117408
1610064000000,6.281,6.35,5.804,6.018,277082,277082
1610078400000,6.011,6.193,5.886,6.193,213609,213609
1610092800000,6.187,6.26,6.021,6.173,137405,137405
1610107200000,6.179,6.229,5.906,6.022,124922,124922
1610121600000,6.021,6.058,5.822,5.828,121668,121668
1610136000000,5.825,5.971,5.67,5.934,124329,124329
1610150400000,5.937,6.63,5.814,6.537,264606,264606
1610164800000,6.539,6.548,6.18,6.344,148676,148676
1610179200000,6.345,6.528,6.286,6.464,96916,96916
1610193600000,6.464,6.75,6.3,6.444,195671,195671
1610208000000,6.443,6.534,6.318,6.53,64532,64532
1610222400000,6.536,6.708,6.473,6.543,134585,134585
1610236800000,6.559,6.755,6.528,6.591,147403,147403
1610251200000,6.585,7.168,6.585,6.892,277433,277433
1610265600000,6.896,7.125,6.254,6.37,500627,500627
1610280000000,6.373,6.836,6.29,6.593,252906,252906
1610294400000,6.591,6.643,6.256,6.462,171679,171679
1610308800000,6.294,6.524,6.185,6.428,61791,61791
1610323200000,6.425,6.427,5.327,5.73,225950,225950
1610337600000,5.708,5.914,5.371,5.598,248225,248225
1610352000000,5.604,5.869,5.522,5.643,124073,124073
1610366400000,5.645,5.725,5.084,5.223,286154,286154
1610380800000,5.235,5.524,4.989,5.402,231446,231446
1610395200000,5.405,5.731,5.342,5.724,118198,118198
1610409600000,5.723,6.121,5.543,6.083,184039,184039
1610424000000,6.092,6.144,5.901,6.006,147859,147859
1610438400000,6.013,6.024,5.617,5.836,121545,121545
1610452800000,5.839,5.939,5.516,5.651,130941,130941
1610467200000,5.66,5.909,5.659,5.753,79612,79612
1610481600000,5.739,5.829,5.629,5.712,66594,66594
1610496000000,5.712,5.808,5.55,5.791,89348,89348
1610510400000,5.789,5.913,5.72,5.888,67344,67344
1610524800000,5.887,6.042,5.854,5.979,83435,83435
1610539200000,5.987,6.021,5.861,5.96,58354,58354
1610553600000,5.962,6.228,5.956,6.08,112860,112860
1610568000000,6.08,6.249,6.023,6.244,61497,61497
1610582400000,6.243,6.463,6.191,6.342,128696,128696
1610596800000,6.34,6.506,6.325,6.418,138590,138590
1610611200000,6.417,6.594,6.344,6.519,151989,151989
1610625600000,6.515,6.529,6.299,6.328,200748,200748
1610640000000,6.334,6.471,6.315,6.429,64786,64786
1610654400000,6.425,6.494,6.148,6.478,124248,124248
1610668800000,6.489,8.312,6.46,7.546,1134967,1134967
1610683200000,7.545,8.043,7.354,7.809,615956,615956
1610697600000,7.827,8.488,7.675,8.057,620479,620479
1610712000000,8.074,8.179,7.145,7.223,526097,526097
1610726400000,7.203,7.787,6.801,7.534,382275,382275
1610740800000,7.537,8.289,7.402,7.896,245069,245069
1610755200000,7.89,8.442,7.655,7.95,290338,290338
1610769600000,7.952,8.204,7.532,8.1,199728,199728
1610784000000,8.105,8.987,7.939,8.683,432527,432527
1610798400000,8.692,9.622,8.22,9.175,538258,538258
