Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,2.903,3.006,2.877,2.895,109233,109233
1609128000000,2.895,2.948,2.87,2.945,34009,34009
1609142400000,2.945,2.974,2.892,2.946,90458,90458
1609156800000,2.945,3.053,2.886,2.983,84499,84499
1609171200000,2.983,3.038,2.972,2.987,86266,86266
1609185600000,2.986,3.031,2.927,2.963,77527,77527
1609200000000,2.965,3.022,2.887,2.894,85583,85583
1609214400000,2.893,2.956,2.87,2.931,67221,67221
1609228800000,2.932,2.957,2.889,2.928,76865,76865
1609243200000,2.929,2.944,2.871,2.879,106456,106456
1609257600000,2.876,2.912,2.839,2.876,118335,118335
1609272000000,2.877,2.945,2.866,2.923,77353,77353
1609286400000,2.924,2.949,2.88,2.909,68688,68688
1609300800000,2.909,2.92,2.853,2.855,53091,53091
1609315200000,2.856,2.883,2.836,2.879,74971,74971
1609329600000,2.879,2.91,2.855,2.907,56975,56975
1609344000000,2.907,2.937,2.869,2.934,57220,57220
1609358400000,2.935,2.946,2.905,2.922,27675,27675
1609372800000,2.918,2.923,2.856,2.868,61654,61654
1609387200000,2.867,2.921,2.859,2.887,68008,68008
1609401600000,2.886,2.928,2.861,2.887,75913,75913
1609416000000,2.886,2.899,2.782,2.838,90798,90798
1609430400000,2.837,2.861,2.822,2.858,56760,56760
1609444800000,2.856,3.249,2.835,3.218,182417,182417
1609459200000,3.206,3.313,3.053,3.136,248923,248923
1609473600000,3.135,3.199,3.083,3.199,65036,65036
1609488000000,3.202,3.563,3.151,3.533,239668,239668
1609502400000,3.527,3.878,3.471,3.675,345054,345054
1609516800000,3.676,3.695,3.456,3.581,145292,145292
1609531200000,3.578,3.874,3.556,3.684,113384,113384
1609545600000,3.674,3.954,3.551,3.894,180274,180274
1609560000000,3.897,3.9,3.668,3.669,109849,109849
1609574400000,3.671,3.694,3.514,3.591,132579,132579
1609588800000,3.592,3.633,3.505,3.547,100828,100828
1609603200000,3.543,3.554,3.344,3.362,135371,135371
1609617600000,3.36,3.615,3.298,3.504,155481,155481
1609632000000,3.507,3.55,3.396,3.494,74193,74193
1609646400000,3.499,3.591,3.489,3.504,63779,63779
1609660800000,3.508,3.753,3.5,3.658,119977,119977
1609675200000,3.652,3.791,3.616,3.754,125810,125810
1609689600000,3.754,3.845,3.515,3.564,123572,123572
1609704000000,3.564,3.649,3.425,3.481,126496,126496
1609718400000,3.489,3.713,3.474,3.63,108488,108488
1609732800000,3.632,3.864,3.504,3.579,138188,138188
1609747200000,3.588,3.657,3.248,3.421,161405,161405
1609761600000,3.426,3.506,3.338,3.441,61210,61210
1609776000000,3.441,3.497,3.339,3.454,46633,46633
1609790400000,3.458,3.615,3.406,3.595,37375,37375
1609804800000,3.596,3.783,3.567,3.62,95546,95546
1609819200000,3.622,3.666,3.478,3.611,60026,60026
1609833600000,3.614,4.181,3.614,4.058,239980,239980
1609848000000,4.066,4.244,3.913,4.205,178546,178546
1609862400000,4.207,4.362,4.11,4.159,129953,129953
1609876800000,4.163,4.33,4.123,4.258,84533,84533
1609891200000,4.259,4.404,4.142,4.308,107380,107380
1609905600000,4.305,4.679,4.22,4.499,207296,207296
1609920000000,4.502,4.945,4.405,4.93,190023,190023
1609934400000,4.931,4.948,4.635,4.725,124498,124498
1609948800000,4.733,4.978,4.374,4.377,131207,131207
1609963200000,4.381,4.694,4.314,4.581,151959,151959
1609977600000,4.584,4.823,4.442,4.733,72275,72275
1609992000000,4.735,4.738,4.455,4.478,71579,71579
1610006400000,4.485,4.667,4.35,4.566,94733,94733
1610020800000,4.567,4.807,4.524,4.774,83230,83230
1610035200000,4.776,4.815,4.194,4.554,231375,231375
1610049600000,4.553,4.609,4.357,4.467,70750,70750
1610064000000,4.476,4.542,4.025,4.293,39053,39053
1610078400000,4.297,4.678,4.23,4.67,40473,40473
1610092800000,4.681,5.505,4.556,5.061,257402,257402
1610107200000,5.06,5.714,5.06,5.32,223476,223476
1610121600000,5.322,5.375,5.055,5.109,116047,116047
1610136000000,5.125,5.881,4.994,5.707,175557,175557
1610150400000,5.704,6.6,5.547,6.437,365375,365375
1610164800000,6.451,6.796,6.072,6.534,192278,192278
1610179200000,6.532,6.939,6.311,6.471,205558,205558
1610193600000,6.467,7.219,6.406,7.017,180280,180280
1610208000000,7.021,7.471,6.822,7.171,116475,116475
1610222400000,7.167,7.475,6.922,7.201,77862,77862
1610236800000,7.202,7.523,6.943,7.008,94334,94334
1610251200000,7.022,7.312,6.998,7.249,45599,45599
1610265600000,7.251,7.257,6.552,6.611,109943,109943
1610280000000,6.598,6.974,6.5,6.836,73310,73310
1610294400000,6.833,6.88,6.495,6.88,48906,48906
1610308800000,6.742,6.789,6.551,6.564,42185,42185
1610323200000,6.559,6.559,5.827,6.13,124572,124572
1610337600000,6.128,6.308,5.813,6.073,105175,105175
1610352000000,6.072,6.743,6.025,6.576,95365,95365
1610366400000,6.571,6.993,5.724,6.034,168425,168425
1610380800000,6.036,6.303,5.761,5.997,99535,99535
1610395200000,6.008,6.504,5.878,6.475,75601,75601
1610409600000,6.454,7.404,6.399,7.211,184653,184653
1610424000000,7.208,7.888,7.133,7.867,138487,138487
1610438400000,7.859,8.063,7.452,7.891,147256,147256
1610452800000,7.899,8.237,7.524,7.948,172386,172386
1610467200000,7.932,8.082,7.475,7.655,112531,112531
1610481600000,7.651,7.894,7.518,7.747,76127,76127
1610496000000,7.741,7.745,7.125,7.428,95882,95882
1610510400000,7.413,7.864,7.203,7.627,86202,86202
1610524800000,7.624,7.99,7.527,7.643,76526,76526
1610539200000,7.643,7.961,7.597,7.801,69084,69084
1610553600000,7.812,7.87,7.519,7.818,60890,60890
1610568000000,7.827,8.509,7.77,8.464,101136,101136
1610582400000,8.48,8.635,8.214,8.281,75594,75594
1610596800000,8.28,8.46,8.211,8.397,61488,61488
1610611200000,8.391,9.519,8.341,9.398,115988,115988
1610625600000,9.4,9.653,9.171,9.461,160693,160693
1610640000000,9.478,9.584,8.827,8.849,138056,138056
1610654400000,8.848,9.526,8.53,9.33,105455,105455
1610668800000,9.361,9.621,9.021,9.173,73987,73987
1610683200000,9.181,9.449,8.885,9.273,70826,70826
1610697600000,9.285,9.864,9.138,9.572,74955,74955
1610712000000,9.568,9.924,9.117,9.178,91463,91463
1610726400000,9.171,9.417,8.567,9.046,105408,105408
1610740800000,9.046,9.557,8.993,9.367,61951,61951
1610755200000,9.368,9.503,9.152,9.285,62612,62612
1610769600000,9.293,9.868,9.14,9.844,60925,60925
1610784000000,9.845,11.98,9.732,11.733,204873,204873
1610798400000,11.737,13.5,11.287,12.746,246043,246043
1610812800000,12.76,13.25,12.248,13.014,142705,142705
1610827200000,13.016,13.42,12.397,12.791,111129,111129
1610841600000,12.791,13.932,12.39,13.615,138829,138829
1610856000000,13.59,14.799,12.713,13.027,218309,218309
1610870400000,12.959,13.995,12.602,13.642,165560,165560
1610884800000,13.642,13.734,12.912,13.147,77623,77623
1610899200000,13.131,13.147,12.343,12.714,97262,97262
1610913600000,12.739,13.571,12.65,13.178,117364,117364
1610928000000,13.173,13.177,12.569,12.664,53840,53840
1610942400000,12.651,13.836,12.616,13.812,59186,59186
1610956800000,13.806,13.824,13.056,13.19,76139,76139
1610971200000,13.194,13.645,12.989,13.281,85615,85615
1610985600000,13.296,13.535,13.1,13.515,67097,67097
