Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,13.53,14.18,13.43,13.88,112458,11245.8
1609128000000,13.88,14.37,13.74,14.34,153370,15337.0
1609142400000,14.35,14.49,14.01,14.2,104549,10454.9
1609156800000,14.19,14.43,13.87,14.21,69072,6907.2
1609171200000,14.19,14.52,14.15,14.46,63747,6374.7
1609185600000,14.47,14.54,13.94,14.22,134458,13445.8
1609200000000,14.22,14.44,13.53,13.54,265678,26567.8
1609214400000,13.56,13.66,13.21,13.48,189978,18997.8
1609228800000,13.53,13.9,13.42,13.79,95969,9596.9
1609243200000,13.8,14.04,13.55,13.6,49128,4912.8
1609257600000,13.61,13.93,13.3,13.9,75292,7529.2
1609272000000,13.91,13.95,13.53,13.75,101630,10163.0
1609286400000,13.74,14.06,13.63,13.85,102962,10296.2
1609300800000,13.83,13.97,13.67,13.8,106719,10671.9
1609315200000,13.78,13.83,13.39,13.57,105913,10591.3
1609329600000,13.55,13.75,13.41,13.75,63907,6390.7
1609344000000,13.76,14.13,13.57,13.99,125680,12568.0
1609358400000,14.0,14.19,13.85,14.05,78346,7834.6
1609372800000,14.05,14.08,13.42,13.58,149766,14976.6
1609387200000,13.58,13.99,13.46,13.82,168494,16849.4
1609401600000,13.82,13.85,13.47,13.58,130283,13028.3
1609416000000,13.59,13.68,13.13,13.38,159528,15952.8
1609430400000,13.38,13.42,13.13,13.35,119888,11988.8
1609444800000,13.35,13.76,13.31,13.67,302714,30271.4
1609459200000,13.67,14.36,13.64,14.24,262533,26253.3
1609473600000,14.25,14.25,13.94,14.05,180490,18049.0
1609488000000,14.06,14.27,13.76,14.23,237883,23788.3
1609502400000,14.19,14.46,13.98,14.3,403692,40369.2
1609516800000,14.31,14.44,13.61,13.8,692787,69278.7
1609531200000,13.79,13.96,13.74,13.95,232060,23206.0
1609545600000,13.94,13.96,13.52,13.84,326889,32688.9
1609560000000,13.84,14.36,13.84,14.22,177770,17777.0
1609574400000,14.22,14.36,13.66,13.78,257062,25706.2
1609588800000,13.77,14.74,13.71,14.74,289039,28903.9
1609603200000,14.75,14.99,14.4,14.74,435209,43520.9
1609617600000,14.74,14.76,13.92,14.7,408852,40885.2
1609632000000,14.71,15.05,14.47,14.49,246807,24680.7
1609646400000,14.49,14.83,14.37,14.75,141319,14131.9
1609660800000,14.76,15.68,14.54,15.45,333600,33360.0
1609675200000,15.45,16.51,15.18,15.75,429118,42911.8
1609689600000,15.77,16.17,14.85,15.12,350589,35058.9
1609704000000,15.11,16.09,15.11,15.9,279991,27999.1
1609718400000,15.92,16.48,15.79,16.47,234917,23491.7
1609732800000,16.47,17.65,15.83,16.07,300487,30048.7
1609747200000,16.13,16.44,13.88,14.96,461213,46121.3
1609761600000,14.95,15.79,14.76,15.55,228740,22874.0
1609776000000,15.54,15.8,14.8,15.65,213841,21384.1
1609790400000,15.64,15.95,15.04,15.86,635350,63535.0
1609804800000,15.88,17.0,15.2,15.3,470507,47050.7
1609819200000,15.3,15.89,15.02,15.52,409992,40999.2
1609833600000,15.55,16.55,15.55,16.1,335082,33508.2
1609848000000,16.1,16.41,15.54,16.38,231206,23120.6
1609862400000,16.4,17.19,16.18,17.03,497593,49759.3
1609876800000,17.02,17.27,16.68,16.83,145158,14515.8
1609891200000,16.82,17.03,16.27,16.76,326857,32685.7
1609905600000,16.76,17.36,16.54,16.78,402869,40286.9
1609920000000,16.79,17.83,16.69,17.82,296127,29612.7
1609934400000,17.8,17.88,17.26,17.56,291863,29186.3
1609948800000,17.58,18.56,17.58,17.66,308095,30809.5
1609963200000,17.64,18.43,17.09,18.42,220608,22060.8
1609977600000,18.44,18.74,17.35,17.87,206067,20606.7
1609992000000,17.86,18.28,17.52,17.62,167948,16794.8
1610006400000,17.64,17.91,17.1,17.73,137455,13745.5
1610020800000,17.74,19.01,17.59,18.86,354411,35441.1
1610035200000,18.89,19.29,16.74,18.41,411511,41151.1
1610049600000,18.39,19.31,18.18,18.41,152245,15224.5
1610064000000,18.46,18.55,15.74,16.72,259666,25966.6
1610078400000,16.73,17.9,16.49,17.88,229405,22940.5
1610092800000,17.87,18.7,17.47,18.42,185397,18539.7
1610107200000,18.41,19.16,17.75,18.27,258854,25885.4
1610121600000,18.31,18.74,17.65,17.66,148604,14860.4
1610136000000,17.66,18.06,16.92,17.97,110875,11087.5
1610150400000,17.98,18.42,17.39,18.31,143370,14337.0
1610164800000,18.3,18.35,17.55,17.82,89130,8913.0
1610179200000,17.8,18.81,17.65,18.63,138670,13867.0
1610193600000,18.65,19.68,18.38,19.41,304100,30410.0
1610208000000,19.44,19.83,18.72,19.6,312906,31290.6
1610222400000,19.59,19.92,19.16,19.56,165007,16500.7
1610236800000,19.63,20.61,19.63,20.1,136954,13695.4
1610251200000,20.11,21.36,20.06,21.35,155751,15575.1
1610265600000,21.46,21.54,19.65,19.74,279915,27991.5
1610280000000,19.73,20.8,19.33,20.28,167881,16788.1
1610294400000,20.23,20.44,18.86,19.74,89162,8916.2
1610308800000,19.3,19.49,18.95,19.17,90806,9080.6
1610323200000,19.18,19.21,15.3,16.32,240903,24090.3
1610337600000,16.32,16.75,15.22,16.08,200658,20065.8
1610352000000,16.07,16.91,15.65,15.74,164296,16429.6
1610366400000,15.75,16.09,14.13,14.52,221307,22130.7
1610380800000,14.52,15.03,13.55,14.55,188059,18805.9
1610395200000,14.53,16.18,14.2,16.1,113603,11360.3
1610409600000,16.1,16.49,15.3,16.34,163173,16317.3
1610424000000,16.35,17.24,16.2,17.13,141450,14145.0
1610438400000,17.12,17.21,15.76,16.12,155711,15571.1
1610452800000,16.13,16.36,14.82,15.48,120215,12021.5
1610467200000,15.47,16.67,15.47,15.95,94086,9408.6
1610481600000,15.95,15.97,15.04,15.35,93312,9331.2
1610496000000,15.34,15.66,14.79,15.42,112849,11284.9
1610510400000,15.42,16.28,14.82,16.02,112796,11279.6
1610524800000,16.02,16.62,15.86,16.12,196428,19642.8
