Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,5.42,5.56,5.34,5.48,15722,15722
1609128000000,5.48,5.79,5.45,5.76,19525,19525
1609142400000,5.76,5.82,5.61,5.69,25835,25835
1609156800000,5.71,5.79,5.54,5.64,19896,19896
1609171200000,5.64,6.15,5.63,6.14,39411,39411
1609185600000,6.14,6.14,5.8,6.09,38507,38507
1609200000000,6.08,6.18,5.62,5.64,30578,30578
1609214400000,5.64,5.76,5.55,5.65,19827,19827
1609228800000,5.65,5.87,5.65,5.73,23351,23351
1609243200000,5.73,5.81,5.56,5.56,23646,23646
1609257600000,5.54,5.63,5.29,5.57,37374,37374
1609272000000,5.57,5.71,5.45,5.65,20997,20997
1609286400000,5.65,5.69,5.47,5.49,22094,22094
1609300800000,5.49,5.5,5.33,5.39,21865,21865
1609315200000,5.39,5.44,5.26,5.4,19525,19525
1609329600000,5.39,5.66,5.36,5.66,11751,11751
1609344000000,5.67,5.68,5.43,5.5,17366,17366
1609358400000,5.5,5.5,5.35,5.39,20322,20322
1609372800000,5.4,5.41,5.26,5.33,22257,22257
1609387200000,5.33,5.57,5.33,5.46,15851,15851
1609401600000,5.46,5.54,5.38,5.48,15604,15604
1609416000000,5.48,5.5,5.3,5.4,17106,17106
1609430400000,5.41,5.42,5.33,5.39,13299,13299
1609444800000,5.4,5.41,5.27,5.34,10714,10714
1609459200000,5.34,5.6,5.31,5.53,31273,31273
1609473600000,5.53,5.65,5.5,5.58,48527,48527
1609488000000,5.58,5.71,5.46,5.7,38841,38841
1609502400000,5.7,5.77,5.53,5.6,30169,30169
1609516800000,5.62,5.64,5.33,5.45,30471,30471
1609531200000,5.44,5.52,5.41,5.51,23671,23671
1609545600000,5.5,5.52,5.37,5.51,24327,24327
1609560000000,5.51,5.9,5.5,5.83,40958,40958
1609574400000,5.83,5.95,5.72,5.92,33409,33409
1609588800000,5.91,5.92,5.71,5.74,22258,22258
1609603200000,5.74,5.8,5.62,5.68,27675,27675
1609617600000,5.68,6.06,5.52,6.06,31053,31053
1609632000000,6.07,6.46,6.05,6.1,78748,78748
1609646400000,6.11,6.2,5.94,5.99,28738,28738
1609660800000,5.98,6.2,5.91,6.18,22721,22721
1609675200000,6.18,6.52,6.14,6.43,59884,59884
1609689600000,6.43,6.85,6.43,6.48,52657,52657
1609704000000,6.48,6.9,6.44,6.76,36035,36035
1609718400000,6.77,6.87,6.54,6.78,35713,35713
1609732800000,6.78,7.55,6.78,6.92,63475,63475
1609747200000,6.93,7.09,6.06,6.34,62001,62001
1609761600000,6.35,6.68,6.29,6.62,26108,26108
1609776000000,6.63,6.84,6.54,6.69,27371,27371
1609790400000,6.69,6.82,6.58,6.75,18175,18175
1609804800000,6.75,6.95,6.45,6.47,32737,32737
1609819200000,6.48,6.53,6.21,6.37,24561,24561
1609833600000,6.37,6.86,6.37,6.85,30841,30841
1609848000000,6.84,7.24,6.75,7.24,39356,39356
1609862400000,7.25,7.75,7.02,7.2,67394,67394
1609876800000,7.21,7.48,7.18,7.43,33464,33464
1609891200000,7.44,7.54,7.0,7.22,37593,37593
1609905600000,7.22,8.75,7.21,8.51,102916,102916
1609920000000,8.52,8.93,8.23,8.93,90580,90580
1609934400000,8.94,9.51,8.57,8.63,93494,93494
1609948800000,8.64,9.17,8.3,8.33,44088,44088
1609963200000,8.33,9.05,8.03,8.87,51685,51685
1609977600000,8.86,9.55,8.73,9.22,56091,56091
1609992000000,9.2,9.65,8.65,8.81,55393,55393
1610006400000,8.79,9.12,8.5,8.81,37948,37948
1610020800000,8.81,9.22,8.57,9.09,43934,43934
1610035200000,9.09,9.18,7.89,8.65,64428,64428
1610049600000,8.65,8.88,8.35,8.5,40686,40686
1610064000000,8.51,8.56,7.6,8.15,61945,61945
1610078400000,8.15,8.89,8.14,8.85,32356,32356
1610092800000,8.84,9.39,8.57,9.37,46594,46594
1610107200000,9.37,10.75,9.11,10.01,99695,99695
1610121600000,9.99,10.5,9.42,9.48,48356,48356
1610136000000,9.49,10.37,9.04,10.35,46162,46162
1610150400000,10.34,11.33,10.13,11.14,83329,83329
1610164800000,11.14,11.14,10.24,10.93,55888,55888
1610179200000,10.91,11.45,10.62,10.69,48704,48704
1610193600000,10.69,10.75,10.31,10.37,37980,37980
1610208000000,10.37,10.5,9.71,10.07,44354,44354
1610222400000,10.07,10.3,9.85,9.91,36073,36073
1610236800000,9.94,10.7,9.89,10.17,45107,45107
1610251200000,10.17,10.61,10.06,10.47,26227,26227
1610265600000,10.56,10.67,9.5,9.67,47485,47485
1610280000000,9.68,10.12,9.53,9.93,40385,40385
1610294400000,9.94,9.97,9.03,9.16,22441,22441
1610308800000,9.16,9.39,9.06,9.12,39615,39615
1610323200000,9.12,9.14,7.67,8.28,65098,65098
1610337600000,8.28,8.56,7.55,8.13,53912,53912
1610352000000,8.13,8.73,8.0,8.05,35857,35857
1610366400000,8.07,8.26,7.23,7.45,51003,51003
1610380800000,7.46,7.69,7.02,7.32,43585,43585
1610395200000,7.33,8.02,7.17,7.98,25670,25670
1610409600000,7.99,8.25,7.69,8.22,24213,24213
1610424000000,8.22,8.71,8.03,8.66,32903,32903
1610438400000,8.68,8.69,7.91,8.13,31796,31796
1610452800000,8.13,8.26,7.48,7.82,29034,29034
1610467200000,7.83,8.51,7.81,8.17,28313,28313
1610481600000,8.17,8.17,7.67,7.88,32478,32478
1610496000000,7.88,8.01,7.51,7.88,33322,33322
1610510400000,7.88,8.16,7.5,8.13,29823,29823
1610524800000,8.12,8.5,7.96,8.22,41267,41267
1610539200000,8.22,8.62,8.12,8.49,38810,38810
1610553600000,8.49,9.2,8.39,8.95,47293,47293
1610568000000,8.95,9.16,8.74,8.94,37296,37296
1610582400000,8.94,9.29,8.62,8.63,43076,43076
1610596800000,8.62,8.7,8.45,8.61,46821,46821
1610611200000,8.62,8.98,8.39,8.95,37938,37938
1610625600000,8.96,9.15,8.62,9.0,54308,54308
1610640000000,9.0,9.26,8.74,9.16,36406,36406
1610654400000,9.16,9.23,8.38,8.9,37890,37890
1610668800000,8.9,9.62,8.85,9.12,67407,67407
1610683200000,9.15,9.42,8.7,9.21,68638,68638
1610697600000,9.21,9.51,9.06,9.23,59008,59008
1610712000000,9.23,10.73,8.82,9.36,117907,117907
1610726400000,9.35,10.1,8.8,9.65,69436,69436
1610740800000,9.66,10.51,9.51,10.49,46490,46490
1610755200000,10.49,11.21,10.49,10.95,69275,69275
1610769600000,10.94,11.2,10.35,10.58,63418,63418
1610784000000,10.57,10.78,10.23,10.74,49828,49828
1610798400000,10.73,11.37,10.09,11.35,56551,56551
1610812800000,11.34,11.5,10.32,10.48,56141,56141
1610827200000,10.49,10.76,9.85,10.22,38426,38426
1610841600000,10.2,10.48,9.75,10.12,42721,42721
1610856000000,10.13,10.36,9.23,9.45,46118,46118
1610870400000,9.43,9.74,9.21,9.66,47353,47353
1610884800000,9.66,10.39,9.57,10.24,50248,50248
1610899200000,10.27,10.7,10.11,10.43,41676,41676
1610913600000,10.42,10.6,10.22,10.33,33966,33966
1610928000000,10.33,10.88,9.34,9.64,57246,57246
