Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.2092,0.2141,0.2092,0.2141,4562,45620
1609128000000,0.2141,0.2181,0.2141,0.2181,2015,20150
1609142400000,0.2169,0.2191,0.2169,0.2191,749,7490
1609156800000,0.2184,0.2184,0.2184,0.2184,1757,17570
1609171200000,0.2142,0.2142,0.213,0.2132,5030,50300
1609185600000,0.2122,0.2122,0.2094,0.2094,7140,71400
1609200000000,0.2061,0.2081,0.2061,0.2078,5731,57310
1609214400000,0.2053,0.2158,0.2046,0.2158,8353,83530
1609228800000,0.2073,0.2093,0.2034,0.204,26258,262580
1609243200000,0.207,0.207,0.2017,0.2019,9424,94240
1609257600000,0.198,0.2033,0.1979,0.2033,10782,107820
1609272000000,0.204,0.204,0.2024,0.2031,4978,49780
1609286400000,0.2058,0.2075,0.2058,0.206,5835,58350
1609300800000,0.2036,0.2037,0.2014,0.2014,6141,61410
1609315200000,0.2028,0.2031,0.1997,0.2027,5939,59390
1609329600000,0.2027,0.2027,0.2027,0.2027,0,0
1609344000000,0.2025,0.204,0.2024,0.204,6137,61370
1609358400000,0.204,0.204,0.204,0.204,0,0
1609372800000,0.1967,0.1967,0.1962,0.1965,5,50
1609387200000,0.1989,0.2014,0.1989,0.2014,12107,121070
1609401600000,0.1992,0.202,0.1992,0.2005,983,9830
1609416000000,0.1989,0.1989,0.1989,0.1989,1907,19070
1609430400000,0.1989,0.1989,0.1989,0.1989,0,0
1609444800000,0.1995,0.1995,0.1995,0.1995,52,520
1609459200000,0.2001,0.2057,0.2001,0.2051,16473,164730
1609473600000,0.2045,0.2045,0.2032,0.2032,7805,78050
1609488000000,0.2019,0.2042,0.2019,0.2032,3737,37370
1609502400000,0.2057,0.2104,0.2052,0.2056,18089,180890
1609516800000,0.2086,0.2094,0.1993,0.2026,20400,204000
1609531200000,0.2032,0.2059,0.2032,0.205,1029,10290
1609545600000,0.202,0.2054,0.1996,0.2054,1912,19120
1609560000000,0.2046,0.2062,0.2046,0.2053,4786,47860
1609574400000,0.2041,0.2068,0.2037,0.2049,10270,102700
1609588800000,0.2054,0.2054,0.2031,0.2039,4456,44560
1609603200000,0.2027,0.206,0.2027,0.204,11362,113620
1609617600000,0.2034,0.2042,0.2004,0.2027,19268,192680
1609632000000,0.2042,0.2042,0.2041,0.2041,2495,24950
1609646400000,0.202,0.202,0.2014,0.2014,1201,12010
1609660800000,0.202,0.2096,0.2008,0.2094,6491,64910
1609675200000,0.2095,0.2131,0.2066,0.2115,16187,161870
1609689600000,0.2121,0.2155,0.2115,0.2132,8445,84450
1609704000000,0.2143,0.2193,0.2118,0.2155,9327,93270
1609718400000,0.2179,0.2289,0.2179,0.2289,4046,40460
1609732800000,0.228,0.2366,0.2165,0.218,67542,675420
1609747200000,0.2214,0.2214,0.2029,0.2096,68792,687920
1609761600000,0.211,0.2133,0.2075,0.2123,14276,142760
1609776000000,0.2133,0.2145,0.209,0.2136,3115,31150
1609790400000,0.2162,0.2181,0.2136,0.2181,4666,46660
1609804800000,0.2201,0.229,0.2167,0.2167,16497,164970
1609819200000,0.2203,0.2236,0.2177,0.2232,14443,144430
1609833600000,0.223,0.2312,0.223,0.229,22936,229360
1609848000000,0.226,0.2296,0.224,0.2296,11681,116810
1609862400000,0.232,0.232,0.2267,0.2267,4510,45100
1609876800000,0.2276,0.2312,0.2276,0.2312,9854,98540
1609891200000,0.2292,0.2363,0.2292,0.2342,7086,70860
1609905600000,0.2313,0.2323,0.2285,0.2317,9071,90710
1609920000000,0.2344,0.2444,0.2344,0.2418,20296,202960
1609934400000,0.2466,0.2532,0.2457,0.2457,39667,396670
1609948800000,0.2463,0.2538,0.2461,0.2486,7856,78560
1609963200000,0.2492,0.2509,0.2396,0.2505,18295,182950
1609977600000,0.2492,0.2593,0.2492,0.2592,11802,118020
