Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,338.07,355.38,334.2,346.33,286083,28608.3
1609128000000,346.47,356.93,339.43,352.79,319889,31988.9
1609142400000,352.85,374.82,347.21,371.54,728840,72884.0
1609156800000,371.69,377.4,357.46,365.54,478784,47878.4
1609171200000,365.74,372.12,362.05,365.95,237549,23754.9
1609185600000,365.78,369.27,351.31,360.87,229100,22910.0
1609200000000,360.78,367.46,341.29,342.16,459099,45909.9
1609214400000,341.7,346.16,334.59,343.8,306018,30601.8
1609228800000,343.8,355.4,342.61,351.26,301270,30127.0
1609243200000,351.27,354.1,341.0,342.56,267765,26776.5
1609257600000,342.6,348.54,330.61,347.75,307347,30734.7
1609272000000,347.63,354.91,345.29,353.05,107362,10736.2
1609286400000,352.99,367.06,350.94,356.54,311691,31169.1
1609300800000,356.5,359.35,351.1,354.4,213747,21374.7
1609315200000,355.05,363.38,341.19,350.44,647162,64716.2
1609329600000,350.51,354.22,345.49,350.07,171712,17171.2
1609344000000,350.03,358.8,346.88,356.26,228675,22867.5
1609358400000,356.26,360.45,353.7,358.87,111436,11143.6
1609372800000,359.04,361.47,346.45,354.01,279535,27953.5
1609387200000,354.02,359.29,349.58,354.99,252258,25225.8
1609401600000,355.13,356.71,348.14,350.75,206452,20645.2
1609416000000,350.71,352.34,334.19,342.96,404339,40433.9
1609430400000,342.94,346.01,340.2,342.47,144794,14479.4
1609444800000,342.41,345.9,340.53,341.98,88661,8866.1
1609459200000,342.0,355.62,335.77,351.06,280444,28044.4
1609473600000,351.41,352.7,344.89,346.02,249773,24977.3
1609488000000,346.11,350.37,339.84,348.31,204936,20493.6
1609502400000,348.18,352.86,343.25,345.01,225610,22561.0
1609516800000,345.01,347.69,330.9,337.53,460841,46084.1
1609531200000,337.42,343.58,336.42,341.76,261792,26179.2
1609545600000,341.69,345.27,333.33,339.4,238733,23873.3
1609560000000,339.46,345.36,337.69,342.6,128039,12803.9
1609574400000,342.7,352.79,337.43,343.16,283474,28347.4
1609588800000,343.16,357.02,342.6,354.59,430311,43031.1
1609603200000,354.54,368.52,352.72,361.66,488139,48813.9
1609617600000,361.84,362.21,345.49,354.59,214770,21477.0
1609632000000,354.75,367.89,354.24,356.02,206698,20669.8
1609646400000,356.02,369.99,354.79,363.65,430567,43056.7
1609660800000,363.9,396.56,359.95,389.99,881980,88198.0
1609675200000,390.22,409.2,383.12,398.61,782243,78224.3
1609689600000,398.63,419.09,392.78,397.01,725523,72552.3
1609704000000,396.94,434.23,396.39,423.92,273877,27387.7
1609718400000,423.96,435.14,409.04,434.26,388211,38821.1
1609732800000,434.4,467.54,413.42,429.57,866578,86657.8
1609747200000,429.57,436.18,377.71,403.95,1117641,111764.1
1609761600000,404.25,413.1,396.42,403.65,408884,40888.4
1609776000000,404.1,405.49,389.31,401.94,308377,30837.7
1609790400000,402.19,407.4,394.26,405.58,98389,9838.9
1609804800000,405.63,426.16,395.62,396.49,524391,52439.1
1609819200000,396.67,404.73,389.86,396.69,271956,27195.6
1609833600000,396.75,418.57,396.72,413.93,214551,21455.1
1609848000000,413.72,416.11,399.3,409.35,222989,22298.9
1609862400000,409.12,419.36,406.43,415.12,210469,21046.9
1609876800000,415.2,423.24,411.8,418.59,162170,16217.0
1609891200000,418.84,423.45,410.26,414.87,243129,24312.9
1609905600000,414.91,434.9,413.69,423.09,406527,40652.7
1609920000000,423.38,441.59,419.26,439.65,398872,39887.2
1609934400000,439.99,443.4,427.18,436.25,307501,30750.1
1609948800000,436.37,458.52,435.5,437.98,369218,36921.8
1609963200000,437.98,455.5,429.23,453.4,248915,24891.5
1609977600000,453.92,467.13,446.85,461.29,358488,35848.8
1609992000000,461.23,461.94,439.71,443.13,305569,30556.9
1610006400000,443.29,451.14,432.36,449.76,300038,30003.8
1610020800000,449.51,458.37,443.24,456.6,330168,33016.8
1610035200000,456.85,484.9,423.71,450.64,974486,97448.6
1610049600000,450.55,461.76,440.59,448.7,185338,18533.8
1610064000000,448.79,451.93,401.63,420.53,435546,43554.6
1610078400000,420.47,433.02,411.39,431.56,253289,25328.9
1610092800000,431.19,452.83,419.64,445.67,372095,37209.5
1610107200000,445.43,455.13,421.77,432.59,486838,48683.8
1610121600000,432.55,453.5,429.71,431.21,359694,35969.4
1610136000000,431.15,440.25,418.13,437.05,200863,20086.3
1610150400000,437.3,441.17,424.75,431.44,367988,36798.8
1610164800000,431.37,432.0,418.27,425.47,161986,16198.6
1610179200000,425.55,461.38,421.93,450.24,382222,38222.2
1610193600000,450.22,464.89,445.02,459.32,410954,41095.4
1610208000000,459.16,550.64,455.11,545.27,1011023,101102.3
1610222400000,545.74,590.81,531.06,577.65,620974,62097.4
1610236800000,577.69,587.24,560.72,572.31,470263,47026.3
1610251200000,572.16,631.12,570.86,616.3,909884,90988.4
1610265600000,616.5,618.57,541.61,557.48,1056671,105667.1
1610280000000,558.28,617.47,548.24,585.31,1165087,116508.7
1610294400000,585.21,623.48,570.0,612.81,632748,63274.8
1610308800000,612.43,612.99,575.25,600.78,313040,31304.0
1610323200000,600.94,603.65,461.0,506.85,1222689,122268.9
1610337600000,506.97,519.49,456.5,489.93,935402,93540.2
1610352000000,489.6,526.05,482.96,485.7,594102,59410.2
1610366400000,485.7,499.48,440.0,440.05,839787,83978.7
1610380800000,440.23,454.07,400.0,431.44,863989,86398.9
1610395200000,431.29,484.46,421.77,476.51,313940,31394.0
1610409600000,476.77,490.55,457.42,488.54,305321,30532.1
1610424000000,489.04,510.85,476.61,503.9,318062,31806.2
1610438400000,503.49,504.18,462.98,477.79,403775,40377.5
1610452800000,477.92,484.72,443.78,461.97,423840,42384.0
1610467200000,462.24,479.57,456.0,462.28,237819,23781.9
1610481600000,462.05,469.01,444.84,452.5,186986,18698.6
1610496000000,452.17,486.67,434.75,470.48,562156,56215.6
1610510400000,470.34,478.99,455.82,474.09,306485,30648.5
1610524800000,474.47,488.27,469.02,476.41,309623,30962.3
1610539200000,476.57,484.0,470.08,479.89,201736,20173.6
1610553600000,479.87,484.37,471.78,480.9,157534,15753.4
1610568000000,481.06,501.46,477.9,496.24,204545,20454.5
1610582400000,496.25,507.63,483.14,487.07,229648,22964.8
1610596800000,487.17,504.59,484.6,499.42,200688,20068.8
1610611200000,499.43,515.89,494.11,507.38,270324,27032.4
1610625600000,507.2,524.21,498.19,518.15,336926,33692.6
1610640000000,518.22,540.29,518.22,532.53,432659,43265.9
1610654400000,532.32,533.91,499.73,527.35,258425,25842.5
1610668800000,527.26,536.3,506.61,513.51,223445,22344.5
