Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,1.2779,1.3306,1.2758,1.2987,6545,65450
1609128000000,1.2984,1.3339,1.2886,1.3288,5752,57520
1609142400000,1.3292,1.3376,1.3106,1.3207,7030,70300
1609156800000,1.3189,1.3265,1.3026,1.3195,5166,51660
1609171200000,1.322,1.4379,1.3143,1.4359,9681,96810
1609185600000,1.4372,1.4469,1.3243,1.3611,14702,147020
1609200000000,1.3619,1.4106,1.3431,1.3448,14354,143540
1609214400000,1.344,1.3572,1.3237,1.3365,5192,51920
1609228800000,1.3459,1.3595,1.3,1.3355,512,5120
1609243200000,1.3762,1.3762,1.3419,1.3443,767,7670
1609257600000,1.3441,1.3606,1.2944,1.3493,13821,138210
1609272000000,1.3501,1.3539,1.3282,1.3477,5317,53170
1609286400000,1.3333,1.3478,1.3224,1.3268,4515,45150
1609300800000,1.3272,1.3299,1.3021,1.3217,6298,62980
1609315200000,1.3217,1.3432,1.311,1.3161,3437,34370
1609329600000,1.3156,1.3333,1.3033,1.3194,3843,38430
1609344000000,1.3191,1.3191,1.2588,1.3098,4963,49630
1609358400000,1.3112,1.3228,1.2967,1.3205,2739,27390
1609372800000,1.318,1.3279,1.277,1.2948,6466,64660
1609387200000,1.2915,1.316,1.2846,1.3015,3517,35170
1609401600000,1.2983,1.3136,1.2378,1.2938,4966,49660
1609416000000,1.292,1.3006,1.2526,1.2637,4516,45160
1609430400000,1.27,1.2881,1.2696,1.2749,3230,32300
1609444800000,1.2743,1.2794,1.26,1.2704,7487,74870
1609459200000,1.2697,1.3021,1.2495,1.3021,6055,60550
1609473600000,1.3004,1.3067,1.2769,1.2816,8002,80020
1609488000000,1.2822,1.3067,1.2756,1.2966,7077,70770
1609502400000,1.2969,1.3253,1.296,1.298,6920,69200
1609516800000,1.2965,1.3089,1.2708,1.2811,6129,61290
1609531200000,1.2812,1.2948,1.2746,1.2869,3337,33370
1609545600000,1.2881,1.3027,1.2748,1.2839,4840,48400
1609560000000,1.2833,1.3061,1.2759,1.2939,3692,36920
1609574400000,1.2955,1.2955,1.2365,1.2775,10798,107980
1609588800000,1.2705,1.3167,1.2704,1.302,6479,64790
1609603200000,1.3017,1.3178,1.2887,1.309,5113,51130
1609617600000,1.3112,1.3121,1.2738,1.2851,3555,35550
1609632000000,1.2843,1.3107,1.2665,1.2872,4537,45370
1609646400000,1.2871,1.3224,1.2802,1.3036,7806,78060
1609660800000,1.3046,1.3479,1.3046,1.3395,6013,60130
1609675200000,1.3383,1.4181,1.3349,1.4083,8835,88350
1609689600000,1.4119,1.433,1.3305,1.3518,9917,99170
1609704000000,1.3534,1.4243,1.3516,1.3932,4433,44330
1609718400000,1.405,1.4632,1.3899,1.462,6300,63000
1609732800000,1.4617,1.5641,1.4197,1.4263,9676,96760
1609747200000,1.4257,1.4599,1.2449,1.3469,6700,67000
1609761600000,1.3472,1.4064,1.3322,1.3844,4475,44750
1609776000000,1.3864,1.3974,1.3521,1.393,6439,64390
1609790400000,1.3922,1.4132,1.372,1.4113,4743,47430
1609804800000,1.4097,1.4643,1.3569,1.3622,8073,80730
1609819200000,1.3603,1.3989,1.3462,1.3692,3629,36290
1609833600000,1.3707,1.4465,1.3707,1.4411,6309,63090
1609848000000,1.4421,1.469,1.4101,1.4597,8649,86490
1609862400000,1.461,1.4854,1.4421,1.477,7629,76290
1609876800000,1.4769,1.5937,1.4631,1.5776,8451,84510
1609891200000,1.5758,1.5907,1.4957,1.5153,10837,108370
1609905600000,1.5165,1.5582,1.5078,1.522,8095,80950
1609920000000,1.5219,1.5617,1.4844,1.5494,6961,69610
1609934400000,1.5504,1.5659,1.5237,1.5497,7762,77620
1609948800000,1.5645,1.6349,1.5611,1.5611,5544,55440
1609963200000,1.5761,1.5898,1.5226,1.588,6928,69280
1609977600000,1.5875,1.6091,1.5519,1.5972,6587,65870
1609992000000,1.5992,1.6002,1.5698,1.5853,8684,86840
1610006400000,1.5853,1.6127,1.5421,1.6031,6020,60200
1610020800000,1.6032,1.6845,1.5994,1.6768,9367,93670
1610035200000,1.676,1.6833,1.531,1.6099,6715,67150
1610049600000,1.6112,1.6408,1.5586,1.5949,7372,73720
1610064000000,1.5932,1.6119,1.4278,1.4922,6476,64760
1610078400000,1.4901,1.5623,1.4834,1.5582,3095,30950
1610092800000,1.5581,1.6031,1.5315,1.5862,3350,33500
1610107200000,1.5864,1.6224,1.5466,1.5668,3870,38700
1610121600000,1.5673,1.5868,1.506,1.5443,3232,32320
1610136000000,1.5418,1.5622,1.4831,1.5599,4302,43020
1610150400000,1.559,1.579,1.5203,1.5633,3065,30650
1610164800000,1.5604,1.5693,1.51,1.541,4319,43190
1610179200000,1.5412,1.579,1.5325,1.5648,3337,33370
1610193600000,1.5648,1.5935,1.5617,1.5806,3574,35740
1610208000000,1.5794,1.6142,1.5701,1.6108,4965,49650
1610222400000,1.6109,1.6431,1.6028,1.6276,6147,61470
1610236800000,1.6288,1.6797,1.6252,1.6294,4290,42900
1610251200000,1.6337,1.6736,1.6322,1.6701,4417,44170
1610265600000,1.6719,1.7239,1.5863,1.5947,8740,87400
1610280000000,1.5899,1.6509,1.569,1.6313,4766,47660
1610294400000,1.6316,1.6484,1.5659,1.5659,3343,33430
1610308800000,1.5917,1.6036,1.5462,1.5762,4134,41340
1610323200000,1.5767,1.5767,1.3435,1.4191,7046,70460
1610337600000,1.4174,1.4384,1.324,1.3855,7928,79280
1610352000000,1.3833,1.4719,1.3833,1.3985,5744,57440
1610366400000,1.3967,1.4181,1.2892,1.3189,7888,78880
1610380800000,1.3186,1.332,1.2266,1.2974,5713,57130
1610395200000,1.2984,1.395,1.2743,1.3939,4934,49340
1610409600000,1.3928,1.4188,1.3596,1.4188,2653,26530
1610424000000,1.4163,1.4778,1.4109,1.4617,2953,29530
1610438400000,1.4618,1.4619,1.393,1.423,2559,25590
1610452800000,1.4226,1.436,1.3294,1.3732,5038,50380
1610467200000,1.37,1.4398,1.37,1.4012,4659,46590
1610481600000,1.3988,1.418,1.3563,1.3729,3609,36090
1610496000000,1.3723,1.3941,1.3275,1.3732,2839,28390
1610510400000,1.3728,1.4256,1.3479,1.4151,2819,28190
1610524800000,1.4127,1.4595,1.4021,1.4357,3509,35090
1610539200000,1.4368,1.4634,1.4139,1.447,6972,69720
1610553600000,1.4454,1.4952,1.4395,1.485,5824,58240
1610568000000,1.485,1.5166,1.4753,1.513,2943,29430
1610582400000,1.5126,1.5291,1.4833,1.491,3404,34040
1610596800000,1.4925,1.5399,1.4803,1.5214,3778,37780
1610611200000,1.5212,1.5436,1.5112,1.5341,4311,43110
1610625600000,1.5337,1.5947,1.5197,1.577,7253,72530
1610640000000,1.5732,1.7212,1.5732,1.6539,12540,125400
1610654400000,1.6536,1.6843,1.6002,1.6673,10545,105450
1610668800000,1.6691,1.7254,1.6684,1.6845,10198,101980
1610683200000,1.6842,1.7179,1.6578,1.7131,3949,39490
1610697600000,1.7161,1.7275,1.6862,1.7027,5766,57660
1610712000000,1.7023,1.7721,1.6452,1.6497,11306,113060
1610726400000,1.6495,1.6996,1.5453,1.6443,11585,115850
1610740800000,1.6428,1.7078,1.6241,1.7056,4745,47450
1610755200000,1.7058,1.7626,1.7058,1.7624,4558,45580
1610769600000,1.762,1.7861,1.7224,1.7795,5515,55150
1610784000000,1.7813,1.8298,1.767,1.812,5100,51000
1610798400000,1.813,1.8469,1.7737,1.8332,6284,62840
1610812800000,1.8434,1.859,1.7612,1.7825,4709,47090
1610827200000,1.781,1.8014,1.7017,1.7378,4480,44800
1610841600000,1.74,1.7875,1.6948,1.7658,3116,31160
1610856000000,1.7661,1.7811,1.6884,1.7015,3907,39070
1610870400000,1.7022,1.7458,1.6826,1.7387,5861,58610
1610884800000,1.7415,1.7739,1.7148,1.7739,4356,43560
1610899200000,1.7725,1.8066,1.7649,1.7914,3752,37520
1610913600000,1.7913,1.8373,1.789,1.7988,5182,51820
1610928000000,1.8004,1.8419,1.7441,1.747,7032,70320
1610942400000,1.7457,1.7963,1.7443,1.7825,3105,31050
1610956800000,1.7816,1.8074,1.7583,1.7725,3461,34610
1610971200000,1.7723,1.8014,1.7063,1.7701,5025,50250
1610985600000,1.7721,1.7829,1.7382,1.7739,2900,29000
1611000000000,1.7741,1.7975,1.7579,1.795,5419,54190
1611014400000,1.7932,1.8271,1.7807,1.8101,6069,60690
1611028800000,1.8086,1.851,1.7841,1.8481,3971,39710
1611043200000,1.85,1.8879,1.8463,1.8878,9809,98090
1611057600000,1.8907,1.8936,1.8279,1.8408,6511,65110
1611072000000,1.8451,1.8682,1.7564,1.7858,5758,57580
1611086400000,1.787,1.8317,1.7616,1.7616,3580,35800
1611100800000,1.7636,1.8141,1.7285,1.7466,3981,39810
1611115200000,1.7446,1.7848,1.6969,1.7717,6310,63100
1611129600000,1.7699,1.7851,1.6665,1.6738,5254,52540
1611144000000,1.6737,1.7148,1.6421,1.6713,5794,57940
1611158400000,1.6694,1.7361,1.6262,1.7352,3650,36500
1611172800000,1.7375,1.7736,1.7073,1.7693,3055,30550
1611187200000,1.7674,1.7745,1.7153,1.7275,2121,21210
1611201600000,1.7277,1.7324,1.6845,1.7051,2587,25870
1611216000000,1.7057,1.7057,1.5859,1.6077,3404,34040
1611230400000,1.6043,1.6408,1.5659,1.5701,3534,35340
1611244800000,1.5625,1.6045,1.5449,1.5967,5241,52410
1611259200000,1.5965,1.6061,1.479,1.5048,3974,39740
1611273600000,1.5062,1.571,1.444,1.559,8024,80240
1611288000000,1.5608,1.6134,1.5589,1.5653,4390,43900
1611302400000,1.5786,1.6444,1.5632,1.6211,6780,67800
1611316800000,1.622,1.698,1.622,1.6816,3668,36680
1611331200000,1.6836,1.7263,1.6695,1.7263,6686,66860
1611345600000,1.724,1.7283,1.6727,1.686,3987,39870
1611360000000,1.6849,1.7112,1.6582,1.7064,2387,23870
1611374400000,1.7073,1.7636,1.7037,1.7505,4895,48950
1611388800000,1.7543,1.77,1.6936,1.7108,2675,26750
1611403200000,1.7082,1.7723,1.7009,1.7509,3790,37900
1611417600000,1.7518,1.7887,1.7441,1.7814,3126,31260
1611432000000,1.784,1.7908,1.7499,1.7561,3885,38850
1611446400000,1.7536,1.7928,1.7479,1.7924,3160,31600
1611460800000,1.7942,1.8557,1.7901,1.8132,8126,81260
1611475200000,1.8112,1.8531,1.7986,1.8371,4073,40730
1611489600000,1.8363,1.8444,1.7858,1.7995,5196,51960
1611504000000,1.8021,1.8381,1.7767,1.792,6915,69150
1611518400000,1.7967,1.862,1.7935,1.8586,4413,44130
1611532800000,1.857,2.0106,1.8562,2.0106,20212,202120
1611547200000,2.0254,2.0421,1.9816,2.0094,14398,143980
1611561600000,2.0081,2.0706,1.986,2.0662,15238,152380
1611576000000,2.0705,2.0895,2.0031,2.0356,15138,151380
1611590400000,2.0323,2.0478,1.9622,1.9866,10927,109270
1611604800000,1.9841,1.9856,1.8925,1.9347,6555,65550
1611619200000,1.9359,1.9822,1.8762,1.893,6012,60120
1611633600000,1.8954,1.931,1.8685,1.8868,7078,70780
1611648000000,1.8884,1.9156,1.8603,1.8737,3642,36420
1611662400000,1.8713,1.8859,1.7836,1.8322,6966,69660
1611676800000,1.8296,1.9168,1.8232,1.9023,5105,51050
1611691200000,1.9031,1.933,1.8687,1.8933,4816,48160
1611705600000,1.9,1.9011,1.8197,1.8288,7097,70970
1611720000000,1.832,1.8432,1.8015,1.8329,3901,39010
1611734400000,1.8334,1.8334,1.7018,1.7621,6126,61260
1611748800000,1.7601,1.7799,1.6583,1.7345,9773,97730
1611763200000,1.7313,1.7699,1.6695,1.7151,10169,101690
1611777600000,1.7146,1.7636,1.7064,1.725,5625,56250
1611792000000,1.7242,1.8111,1.6969,1.8051,6171,61710
1611806400000,1.8069,1.8668,1.7915,1.8253,5136,51360
1611820800000,1.8268,2.0408,1.8268,1.9219,24184,241840
1611835200000,1.9219,1.9497,1.8997,1.9066,7928,79280
1611849600000,1.9076,1.9256,1.8944,1.9106,6912,69120
1611864000000,1.9112,1.9812,1.9112,1.9424,5149,51490
1611878400000,1.9443,1.9822,1.8954,1.9072,5654,56540
1611892800000,1.9089,1.9089,1.847,1.8634,5556,55560
1611907200000,1.8659,1.9626,1.8227,1.9445,5396,53960
1611921600000,1.9456,1.9643,1.9122,1.9224,6024,60240
1611936000000,1.9243,1.9399,1.8727,1.8888,8157,81570
1611950400000,1.8949,1.9354,1.8855,1.8978,3772,37720
1611964800000,1.9003,1.9108,1.844,1.8585,3961,39610
1611979200000,1.8615,1.8803,1.8425,1.8717,4006,40060
1611993600000,1.8723,1.8883,1.8593,1.8597,8961,89610
1612008000000,1.8591,1.9269,1.8529,1.9201,8728,87280
1612022400000,1.9159,1.9391,1.8842,1.9175,4695,46950
1612036800000,1.9188,1.9553,1.9157,1.9293,4841,48410
1612051200000,1.9289,1.9566,1.9195,1.9279,7010,70100
1612065600000,1.9247,1.9448,1.8985,1.9017,6140,61400
1612080000000,1.9025,1.9442,1.9011,1.923,4540,45400
1612094400000,1.9203,1.9413,1.8523,1.8614,8041,80410
1612108800000,1.8645,1.8912,1.8506,1.8777,3476,34760
1612123200000,1.876,1.8885,1.8508,1.8758,5008,50080
1612137600000,1.8771,1.8894,1.8335,1.876,6671,66710
1612152000000,1.8731,1.8982,1.8586,1.8865,3070,30700
1612166400000,1.8867,1.9192,1.8597,1.8893,3748,37480
1612180800000,1.8917,1.9056,1.8504,1.8856,4674,46740
1612195200000,1.8852,1.9304,1.8666,1.9236,7705,77050
1612209600000,1.9272,1.9869,1.9215,1.9666,7663,76630
1612224000000,1.9696,2.0783,1.9682,1.9869,8526,85260
1612238400000,1.9863,2.0367,1.9801,2.0363,5315,53150
1612252800000,2.0414,2.0567,1.9848,2.0059,8211,82110
1612267200000,2.0063,2.022,1.9695,1.9973,7138,71380
1612281600000,1.9913,2.0503,1.9835,2.0452,8912,89120
1612296000000,2.0458,2.075,2.0235,2.0535,6791,67910
1612310400000,2.0533,2.0795,1.9905,2.0292,7485,74850
1612324800000,2.0323,2.0506,2.0158,2.028,4013,40130
1612339200000,2.0275,2.0609,2.0024,2.0449,4967,49670
1612353600000,2.0463,2.1037,2.0359,2.1037,8885,88850
1612368000000,2.1057,2.1124,2.0575,2.0818,6165,61650
1612382400000,2.0832,2.2981,2.0699,2.2042,16710,167100
1612396800000,2.2281,2.2447,2.1716,2.1737,14996,149960
1612411200000,2.1699,2.2259,2.1699,2.2067,4987,49870
1612425600000,2.207,2.2179,2.111,2.1451,8012,80120
1612440000000,2.1449,2.1923,2.0781,2.1295,10047,100470
1612454400000,2.1325,2.234,2.1204,2.2286,6605,66050
1612468800000,2.2311,2.3015,2.2183,2.2293,8966,89660
1612483200000,2.2237,2.3346,2.2231,2.3138,9703,97030
1612497600000,2.3126,2.4242,2.3126,2.4103,14249,142490
1612512000000,2.4128,2.4397,2.3638,2.4073,10950,109500
1612526400000,2.4061,2.7083,2.3945,2.6274,29772,297720
1612540800000,2.6274,2.6787,2.5037,2.5667,16118,161180
1612555200000,2.5654,2.6008,2.5558,2.5752,7113,71130
1612569600000,2.5772,2.6169,2.411,2.4649,14422,144220
