Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,167.05,171.11,165.9,167.89,16778,16778
1609128000000,167.81,170.1,166.22,169.21,13267,13267
1609142400000,169.2,174.03,167.63,172.7,27834,27834
1609156800000,172.66,172.79,168.1,169.04,20732,20732
1609171200000,169.13,170.98,167.39,169.23,11409,11409
1609185600000,169.22,170.22,166.45,168.24,8873,8873
1609200000000,168.2,169.45,161.47,161.72,30879,30879
1609214400000,161.71,163.18,160.14,162.42,12942,12942
1609228800000,162.74,165.23,160.96,163.02,12769,12769
1609243200000,163.0,164.25,159.62,159.92,13229,13229
1609257600000,159.95,162.77,155.35,161.65,33730,33730
1609272000000,161.6,165.44,160.86,164.75,13036,13036
1609286400000,164.72,167.59,163.08,164.76,18236,18236
1609300800000,164.89,167.68,164.34,165.45,14664,14664
1609315200000,165.57,166.31,161.78,163.06,24617,24617
1609329600000,163.01,164.65,161.84,163.74,13845,13845
1609344000000,163.82,170.14,162.71,167.6,28356,28356
1609358400000,167.63,169.42,166.31,167.11,9362,9362
1609372800000,167.08,167.19,162.12,164.33,18975,18975
1609387200000,164.44,164.95,162.58,163.84,8084,8084
1609401600000,163.86,166.28,162.85,163.67,9994,9994
1609416000000,163.66,164.13,158.44,162.3,19811,19811
1609430400000,162.28,162.97,160.6,162.7,6464,6464
1609444800000,162.77,164.55,162.06,163.29,7051,7051
1609459200000,163.32,165.56,162.03,164.64,13276,13276
1609473600000,164.61,165.07,162.59,163.27,7175,7175
1609488000000,163.4,165.28,161.66,163.89,14227,14227
1609502400000,163.95,165.31,162.77,164.23,14907,14907
1609516800000,164.25,165.82,161.14,162.69,81002,81002
1609531200000,162.67,163.38,162.17,162.72,6007,6007
1609545600000,162.71,163.5,160.93,162.65,10170,10170
1609560000000,162.64,163.74,162.4,162.99,9064,9064
1609574400000,162.99,163.99,160.83,162.15,14297,14297
1609588800000,162.12,166.13,161.76,165.19,23718,23718
1609603200000,165.23,167.45,163.5,165.24,22041,22041
1609617600000,165.24,165.34,158.51,162.98,18787,18787
1609632000000,162.94,164.43,162.85,162.91,15284,15284
1609646400000,162.91,164.67,162.33,163.22,17381,17381
1609660800000,163.24,171.6,162.42,169.6,54143,54143
1609675200000,169.61,174.2,165.33,169.53,49662,49662
1609689600000,169.46,173.66,166.36,166.69,42131,42131
1609704000000,166.57,174.46,166.45,172.07,22284,22284
1609718400000,172.08,184.01,170.31,181.08,63435,63435
1609732800000,181.14,186.41,166.12,172.54,90575,90575
1609747200000,172.66,174.63,160.38,167.1,81817,81817
1609761600000,167.13,169.19,164.21,166.85,36323,36323
1609776000000,166.8,167.22,162.94,165.77,21962,21962
1609790400000,165.88,168.1,164.41,167.76,10872,10872
1609804800000,167.77,171.72,162.76,162.96,34082,34082
1609819200000,163.06,165.37,162.14,163.57,20565,20565
1609833600000,163.7,167.12,163.69,166.87,22303,22303
1609848000000,166.95,167.53,163.24,167.17,16239,16239
1609862400000,167.22,168.21,165.06,166.67,17246,17246
1609876800000,166.7,169.93,165.95,168.01,15710,15710
1609891200000,167.99,169.11,166.23,167.55,17336,17336
1609905600000,167.59,171.47,167.49,168.82,34995,34995
1609920000000,168.83,181.15,167.4,175.65,91745,91745
1609934400000,175.82,185.03,174.69,180.76,60714,60714
1609948800000,180.7,183.91,175.5,176.85,39596,39596
1609963200000,176.87,182.38,173.44,180.08,31515,31515
1609977600000,180.13,185.64,178.28,183.41,34670,34670
1609992000000,183.48,189.12,178.12,179.14,50572,50572
1610006400000,179.35,183.93,174.51,182.93,40340,40340
1610020800000,182.91,184.37,177.77,181.56,40864,40864
1610035200000,181.66,186.81,170.13,173.96,85677,85677
1610049600000,173.97,178.09,172.89,176.07,25084,25084
1610064000000,175.87,177.09,165.03,169.2,63061,63061
1610078400000,169.2,172.45,166.61,170.88,28436,28436
1610092800000,170.96,176.08,169.5,174.96,37793,37793
1610107200000,175.03,176.77,168.6,171.21,38743,38743
1610121600000,171.34,173.78,169.06,172.74,25230,25230
1610136000000,172.84,185.0,170.65,180.39,44175,44175
1610150400000,180.34,184.86,174.18,179.21,46783,46783
1610164800000,179.24,185.3,176.29,184.27,58470,58470
1610179200000,184.28,237.02,181.18,226.91,241238,241238
1610193600000,226.91,253.0,223.51,251.81,190599,190599
1610208000000,251.81,326.39,247.79,286.84,325929,325929
1610222400000,286.79,300.87,264.08,285.45,103577,103577
1610236800000,285.89,299.74,272.0,285.66,109247,109247
1610251200000,285.25,293.99,282.23,288.31,85197,85197
1610265600000,287.94,291.13,231.58,241.82,229555,229555
1610280000000,241.93,266.0,234.0,247.42,173690,173690
1610294400000,247.5,261.58,227.47,256.56,81368,81368
1610308800000,254.74,258.44,235.63,250.74,33527,33527
1610323200000,250.24,251.29,176.57,194.15,171053,171053
1610337600000,194.02,206.79,183.3,195.69,192748,192748
1610352000000,195.67,209.75,192.25,196.25,108131,108131
1610366400000,196.47,200.95,173.25,175.53,124522,124522
1610380800000,175.89,198.47,161.29,181.25,139823,139823
1610395200000,181.45,196.17,177.56,191.52,49905,49905
1610409600000,191.66,194.55,184.78,192.98,52574,52574
1610424000000,192.9,207.0,188.43,206.45,52289,52289
1610438400000,206.45,206.45,186.23,191.18,65303,65303
1610452800000,191.35,193.19,180.6,187.11,72778,72778
