Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.05581,0.05789,0.05548,0.05665,17529,1752900
1609128000000,0.05664,0.05796,0.05613,0.05793,22271,2227100
1609142400000,0.05793,0.05889,0.0567,0.05836,28080,2808000
1609156800000,0.05835,0.05882,0.0574,0.05811,20375,2037500
1609171200000,0.0581,0.05915,0.05802,0.05907,14691,1469100
1609185600000,0.05908,0.05909,0.05555,0.05743,17096,1709600
1609200000000,0.05743,0.05757,0.05368,0.05391,27754,2775400
1609214400000,0.05391,0.05444,0.05181,0.05411,20698,2069800
1609228800000,0.05502,0.05594,0.05371,0.05451,24759,2475900
1609243200000,0.0546,0.05547,0.05389,0.05428,21140,2114000
1609257600000,0.05428,0.05452,0.05268,0.05445,19198,1919800
1609272000000,0.05445,0.05537,0.05403,0.05519,11793,1179300
1609286400000,0.0552,0.05579,0.05473,0.05486,15926,1592600
1609300800000,0.05486,0.05587,0.05415,0.05531,15243,1524300
1609315200000,0.05531,0.05557,0.05378,0.054,19990,1999000
1609329600000,0.05401,0.05477,0.05318,0.05473,17553,1755300
1609344000000,0.05471,0.05532,0.05398,0.05487,13027,1302700
1609358400000,0.05485,0.05487,0.05428,0.05439,12194,1219400
1609372800000,0.05439,0.05506,0.05373,0.05416,20727,2072700
1609387200000,0.05415,0.05473,0.0537,0.05424,15791,1579100
1609401600000,0.05427,0.0545,0.05397,0.05426,10827,1082700
1609416000000,0.05428,0.05432,0.05255,0.05351,19300,1930000
1609430400000,0.05352,0.05356,0.05269,0.05339,11161,1116100
1609444800000,0.0534,0.05349,0.05269,0.05277,11725,1172500
1609459200000,0.05276,0.05489,0.05276,0.05469,16588,1658800
1609473600000,0.05471,0.05472,0.05399,0.05406,12753,1275300
1609488000000,0.05408,0.05464,0.05356,0.05452,12852,1285200
1609502400000,0.05453,0.05588,0.05421,0.05484,18552,1855200
1609516800000,0.05487,0.05552,0.05418,0.05437,13219,1321900
1609531200000,0.05435,0.05473,0.05421,0.05446,12041,1204100
1609545600000,0.05446,0.05493,0.05413,0.0549,21072,2107200
1609560000000,0.05491,0.05995,0.05489,0.05825,43467,4346700
1609574400000,0.05829,0.05836,0.05596,0.05667,20210,2021000
1609588800000,0.05667,0.05792,0.05654,0.05724,18846,1884600
1609603200000,0.05723,0.05823,0.05683,0.05792,19008,1900800
1609617600000,0.05792,0.05796,0.05563,0.05718,16402,1640200
1609632000000,0.05718,0.05798,0.05675,0.05759,14643,1464300
1609646400000,0.0576,0.05823,0.05668,0.05795,24301,2430100
1609660800000,0.05794,0.05932,0.05747,0.05911,20183,2018300
1609675200000,0.05911,0.06026,0.05777,0.05844,28886,2888600
1609689600000,0.05852,0.05953,0.05714,0.05901,17357,1735700
1609704000000,0.05902,0.06088,0.05901,0.06056,16757,1675700
1609718400000,0.06055,0.06474,0.05997,0.06389,33898,3389800
1609732800000,0.06391,0.06648,0.06091,0.06176,36339,3633900
1609747200000,0.06204,0.06296,0.05436,0.05766,47899,4789900
1609761600000,0.05768,0.05986,0.05712,0.05931,24310,2431000
1609776000000,0.0595,0.05978,0.05761,0.05965,16465,1646500
1609790400000,0.05964,0.06047,0.05831,0.06046,13291,1329100
1609804800000,0.0605,0.06181,0.05837,0.05877,23156,2315600
1609819200000,0.05877,0.05909,0.05696,0.05729,20371,2037100
1609833600000,0.05723,0.06013,0.05716,0.05993,20700,2070000
1609848000000,0.05992,0.06042,0.05832,0.06041,25330,2533000
1609862400000,0.06041,0.06276,0.06016,0.06275,18234,1823400
