Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,131.33,135.95,129.81,134.02,38851,3885.1
1609128000000,134.04,138.13,132.39,137.78,21727,2172.7
1609142400000,137.98,140.91,136.52,139.28,50414,5041.4
1609156800000,139.78,139.8,134.55,136.39,31430,3143.0
1609171200000,136.39,139.64,135.98,138.48,26472,2647.2
1609185600000,138.45,143.49,135.81,143.49,49946,4994.6
1609200000000,143.49,146.2,135.44,135.75,44336,4433.6
1609214400000,135.62,137.48,132.27,134.4,31833,3183.3
1609228800000,134.83,137.4,133.45,135.5,26313,2631.3
1609243200000,135.65,137.91,130.85,134.28,82279,8227.9
1609257600000,134.43,142.35,129.91,139.24,83926,8392.6
1609272000000,139.24,141.02,136.92,139.41,24017,2401.7
1609286400000,139.59,142.45,138.1,141.42,47901,4790.1
1609300800000,141.49,154.17,141.43,151.13,101856,10185.6
1609315200000,151.09,154.94,147.21,151.04,58586,5858.6
1609329600000,151.16,155.84,148.57,155.47,48318,4831.8
1609344000000,155.49,158.71,150.58,151.04,67189,6718.9
1609358400000,151.03,158.12,150.18,156.53,39325,3932.5
1609372800000,156.53,156.59,149.14,152.48,47672,4767.2
1609387200000,152.5,155.14,148.96,150.34,68470,6847.0
1609401600000,150.31,152.07,144.25,145.54,80548,8054.8
1609416000000,145.5,146.45,142.14,144.36,48266,4826.6
1609430400000,144.58,148.83,144.01,148.77,39942,3994.2
1609444800000,148.79,151.33,147.23,148.99,33257,3325.7
1609459200000,149.04,154.68,146.63,154.5,50829,5082.9
1609473600000,154.65,154.86,140.1,143.82,154696,15469.6
1609488000000,144.11,144.93,142.13,144.5,28108,2810.8
1609502400000,144.36,147.01,141.84,142.94,43184,4318.4
1609516800000,142.96,144.82,139.71,142.97,77116,7711.6
1609531200000,142.98,145.65,142.23,145.31,31087,3108.7
1609545600000,145.36,146.88,141.33,145.6,75743,7574.3
1609560000000,145.7,147.69,144.61,145.26,47291,4729.1
1609574400000,145.46,145.93,141.0,141.99,44471,4447.1
1609588800000,142.05,144.8,140.36,141.48,46509,4650.9
1609603200000,141.35,143.63,139.87,143.29,43456,4345.6
1609617600000,143.34,143.74,134.72,136.48,69148,6914.8
1609632000000,136.45,138.61,135.58,137.79,29051,2905.1
1609646400000,137.76,138.69,136.46,137.06,31371,3137.1
1609660800000,137.06,143.37,136.45,141.63,44679,4467.9
1609675200000,141.62,149.06,141.36,146.64,70663,7066.3
1609689600000,146.99,151.73,143.76,144.92,46854,4685.4
1609704000000,144.97,151.6,144.05,147.12,56676,5667.6
1609718400000,147.56,158.11,147.49,157.06,67869,6786.9
1609732800000,157.08,162.04,145.6,148.37,117386,11738.6
1609747200000,148.49,151.4,137.91,144.61,135193,13519.3
1609761600000,144.52,149.35,142.08,147.6,45452,4545.2
1609776000000,147.71,148.57,142.76,146.69,52320,5232.0
1609790400000,147.0,151.43,144.78,151.33,36132,3613.2
1609804800000,151.43,159.8,150.27,150.79,73210,7321.0
1609819200000,150.74,153.35,146.44,149.24,37637,3763.7
1609833600000,149.6,156.88,149.53,156.47,32731,3273.1
1609848000000,156.52,161.26,153.0,161.23,45338,4533.8
1609862400000,161.27,166.04,157.57,159.76,67940,6794.0
1609876800000,159.65,164.2,157.87,161.64,36085,3608.5
1609891200000,161.6,165.43,159.73,162.51,44795,4479.5
1609905600000,162.53,169.08,162.45,168.2,48086,4808.6
1609920000000,168.4,170.89,164.75,170.36,43403,4340.3
1609934400000,170.34,172.8,164.4,169.17,38486,3848.6
1609948800000,169.04,186.81,168.4,178.58,107945,10794.5
1609963200000,178.76,185.04,168.58,184.25,76258,7625.8
1609977600000,184.4,192.0,176.88,179.04,91222,9122.2
1609992000000,179.09,179.55,169.66,171.06,66052,6605.2
1610006400000,170.98,175.78,165.33,174.02,61584,6158.4
1610020800000,174.08,189.04,171.4,189.04,110455,11045.5
1610035200000,189.43,190.86,168.67,178.8,158468,15846.8
1610049600000,178.91,181.99,170.2,172.32,39138,3913.8
1610064000000,172.59,174.8,153.24,159.6,81539,8153.9
1610078400000,159.54,168.4,157.0,168.4,47046,4704.6
1610092800000,168.25,175.25,165.75,173.64,52675,5267.5
1610107200000,173.77,181.79,166.03,171.43,77106,7710.6
1610121600000,171.5,174.75,161.25,161.25,55283,5528.3
1610136000000,161.61,166.0,156.21,165.38,49247,4924.7
1610150400000,165.49,169.8,161.25,169.8,46561,4656.1
1610164800000,169.99,170.39,162.5,167.81,33817,3381.7
1610179200000,167.74,172.99,165.18,172.12,46739,4673.9
1610193600000,172.18,175.24,169.87,174.46,35426,3542.6
1610208000000,174.85,183.75,173.5,181.1,87661,8766.1
1610222400000,181.1,186.42,178.75,180.54,37442,3744.2
1610236800000,180.63,195.02,180.63,188.78,61209,6120.9
1610251200000,188.69,208.99,188.69,202.49,82403,8240.3
1610265600000,202.68,204.26,183.93,186.54,91369,9136.9
1610280000000,186.5,198.26,181.52,191.75,79018,7901.8
1610294400000,191.98,196.36,179.5,185.25,30720,3072.0
1610308800000,183.65,198.01,179.75,195.58,29230,2923.0
1610323200000,195.62,196.32,162.75,172.55,101996,10199.6
1610337600000,173.25,177.75,156.4,166.93,111262,11126.2
1610352000000,166.79,175.75,163.5,164.32,60803,6080.3
1610366400000,164.34,170.9,154.0,157.14,89420,8942.0
1610380800000,157.27,161.7,148.09,156.02,78314,7831.4
1610395200000,156.12,169.14,153.61,168.68,34458,3445.8
1610409600000,168.62,178.46,162.04,178.0,45072,4507.2
1610424000000,177.9,199.24,177.9,195.38,80042,8004.2
1610438400000,195.08,195.5,186.22,192.09,40151,4015.1
1610452800000,192.36,197.68,177.48,191.65,74876,7487.6
1610467200000,191.58,201.75,188.79,192.51,90480,9048.0
1610481600000,192.44,192.59,180.49,183.13,37824,3782.4
1610496000000,183.0,192.73,174.19,190.0,62204,6220.4
1610510400000,189.89,197.5,184.75,197.15,39878,3987.8
1610524800000,196.98,214.78,195.0,207.2,79000,7900.0
1610539200000,206.97,218.24,205.51,210.4,62883,6288.3
1610553600000,210.66,218.35,207.0,211.5,49859,4985.9
1610568000000,211.98,216.26,209.75,211.06,27756,2775.6
1610582400000,210.94,215.89,201.75,204.34,45105,4510.5
1610596800000,204.26,220.0,203.03,219.38,54298,5429.8
1610611200000,219.52,224.97,215.7,219.45,53818,5381.8
1610625600000,219.63,222.03,214.91,217.86,39466,3946.6
1610640000000,218.26,219.98,208.69,210.9,36494,3649.4
1610654400000,211.02,214.78,202.34,214.77,32338,3233.8
1610668800000,214.93,217.78,203.28,205.7,34149,3414.9
1610683200000,205.8,211.61,199.0,207.47,46299,4629.9
1610697600000,207.61,215.81,205.35,206.5,57053,5705.3
1610712000000,206.64,211.54,191.17,191.78,54701,5470.1
1610726400000,191.48,202.29,186.65,195.14,44524,4452.4
1610740800000,195.09,204.6,191.41,202.43,31235,3123.5
1610755200000,202.66,210.16,202.54,210.16,33541,3354.1
1610769600000,210.11,214.62,203.24,213.84,35505,3550.5
1610784000000,213.5,218.61,210.13,218.59,61042,6104.2
1610798400000,218.55,220.49,206.68,218.13,56318,5631.8
1610812800000,218.31,220.14,209.41,214.6,47762,4776.2
1610827200000,214.49,218.3,199.95,207.3,39168,3916.8
1610841600000,206.9,225.25,200.77,224.21,89250,8925.0
1610856000000,224.09,228.04,202.13,205.28,102076,10207.6
1610870400000,205.35,213.47,200.0,212.29,49817,4981.7
1610884800000,212.55,215.2,205.88,213.96,33841,3384.1
1610899200000,214.31,219.36,211.58,214.31,36174,3617.4
1610913600000,214.85,223.59,214.5,216.72,28323,2832.3
1610928000000,217.15,220.14,207.72,211.25,46583,4658.3
1610942400000,211.32,228.88,211.07,228.84,42785,4278.5
1610956800000,228.74,239.31,226.32,231.41,51872,5187.2
1610971200000,231.32,233.88,223.01,226.49,58031,5803.1
1610985600000,226.6,228.88,221.42,226.51,31986,3198.6
1611000000000,226.64,232.91,224.05,225.8,32653,3265.3
1611014400000,225.8,235.39,225.72,232.53,52872,5287.2
1611028800000,232.41,233.78,224.87,230.09,39391,3939.1
1611043200000,230.18,235.3,228.02,232.83,46258,4625.8
1611057600000,232.77,233.53,221.81,224.59,32356,3235.6
1611072000000,224.97,225.66,210.43,214.59,42464,4246.4
1611086400000,214.16,219.53,211.05,211.48,44941,4494.1
1611100800000,211.7,218.07,209.76,210.5,35252,3525.2
1611115200000,210.45,218.0,208.83,216.75,33000,3300.0
1611129600000,215.47,216.05,200.82,201.02,42292,4229.2
1611144000000,200.87,212.09,199.19,202.65,37672,3767.2
1611158400000,202.03,211.97,198.18,211.77,42170,4217.0
1611172800000,212.14,212.99,206.19,212.46,26416,2641.6
1611187200000,212.55,213.31,199.59,201.9,54670,5467.0
1611201600000,201.69,202.38,193.48,200.65,43095,4309.5
1611216000000,200.41,200.68,185.92,188.09,60595,6059.5
1611230400000,188.13,193.23,180.72,183.41,54273,5427.3
1611244800000,183.21,190.01,180.17,189.69,31216,3121.6
1611259200000,189.73,191.0,174.2,176.39,30559,3055.9
1611273600000,176.52,191.65,165.53,191.01,69918,6991.8
1611288000000,191.01,198.28,190.01,192.53,42042,4204.2
1611302400000,193.09,199.42,191.57,197.45,30769,3076.9
1611316800000,197.44,204.49,197.14,203.19,38354,3835.4
1611331200000,202.9,208.3,199.13,207.87,32011,3201.1
1611345600000,207.73,208.58,198.27,199.6,22670,2267.0
1611360000000,199.61,204.04,196.97,203.66,22139,2213.9
1611374400000,203.58,210.81,203.19,208.53,31873,3187.3
1611388800000,208.74,213.64,200.37,201.16,30944,3094.4
1611403200000,200.82,207.72,198.32,206.05,26209,2620.9
1611417600000,206.08,211.97,204.82,211.83,18607,1860.7
1611432000000,211.83,212.3,205.62,206.9,18945,1894.5
1611446400000,206.9,219.9,205.27,217.66,37375,3737.5
1611460800000,218.12,223.36,215.05,218.5,37813,3781.3
1611475200000,218.54,224.97,216.46,223.09,28656,2865.6
1611489600000,222.98,223.8,214.89,220.71,33103,3310.3
1611504000000,220.77,230.72,215.35,218.33,45285,4528.5
1611518400000,218.35,253.01,218.22,250.29,99088,9908.8
1611532800000,250.5,258.81,241.16,246.21,64599,6459.9
1611547200000,246.36,252.57,241.99,243.96,35340,3534.0
1611561600000,243.8,250.57,236.96,247.41,41765,4176.5
1611576000000,247.44,255.56,233.7,233.73,51611,5161.1
1611590400000,233.87,234.55,221.42,226.49,40540,4054.0
1611604800000,226.35,226.35,206.16,212.5,72826,7282.6
1611619200000,212.69,224.67,209.86,214.78,61841,6184.1
1611633600000,214.87,224.34,214.53,221.51,31984,3198.4
1611648000000,221.39,223.0,214.31,218.1,26557,2655.7
1611662400000,217.9,219.44,205.27,214.85,40037,4003.7
1611676800000,214.57,235.12,213.1,232.91,54906,5490.6
1611691200000,233.02,242.08,228.04,238.34,48813,4881.3
1611705600000,238.34,239.54,224.84,225.34,35331,3533.1
1611720000000,225.26,230.26,221.43,226.61,38032,3803.2
1611734400000,226.44,231.66,219.08,221.59,35803,3580.3
1611748800000,221.42,229.73,210.09,223.73,50452,5045.2
1611763200000,223.58,232.87,219.01,225.18,40002,4000.2
1611777600000,225.13,231.77,218.92,219.16,26788,2678.8
1611792000000,219.11,227.17,213.88,226.97,38647,3864.7
1611806400000,227.18,236.04,224.22,229.74,38060,3806.0
1611820800000,229.47,239.67,228.4,239.23,34561,3456.1
1611835200000,239.43,247.0,238.19,244.31,34773,3477.3
1611849600000,244.42,267.85,243.07,267.53,59484,5948.4
1611864000000,267.41,267.74,251.16,251.7,43806,4380.6
1611878400000,251.66,262.21,245.18,245.81,42402,4240.2
1611892800000,245.92,248.54,237.07,242.53,40782,4078.2
1611907200000,242.56,250.81,240.53,249.53,54707,5470.7
1611921600000,249.58,252.98,241.81,243.53,44117,4411.7
1611936000000,243.79,254.1,237.12,254.0,40311,4031.1
1611950400000,254.0,304.61,251.8,294.68,119813,11981.3
1611964800000,294.91,304.38,278.57,301.03,93099,9309.9
1611979200000,301.65,319.55,298.14,303.25,94819,9481.9
1611993600000,303.52,315.58,299.11,312.47,62855,6285.5
1612008000000,312.41,332.1,309.23,323.63,93027,9302.7
1612022400000,323.74,334.98,309.75,325.19,58830,5883.0
1612036800000,324.68,339.81,321.51,337.27,30677,3067.7
1612051200000,337.55,338.0,318.18,322.0,34752,3475.2
1612065600000,321.74,327.86,305.66,308.02,44805,4480.5
1612080000000,308.45,322.28,304.71,316.82,28495,2849.5
1612094400000,316.64,319.31,304.93,316.88,39063,3906.3
1612108800000,316.58,347.9,312.15,333.5,51299,5129.9
1612123200000,331.09,349.47,325.25,346.8,13802,1380.2
1612137600000,347.3,374.72,331.18,368.25,63675,6367.5
1612152000000,368.41,376.08,346.91,355.62,64223,6422.3
1612166400000,355.62,362.5,341.04,354.23,45959,4595.9
1612180800000,354.16,356.82,336.48,345.26,55501,5550.1
1612195200000,345.38,358.19,339.47,352.62,48418,4841.8
1612209600000,352.79,366.79,349.08,361.97,35516,3551.6
1612224000000,362.12,364.32,344.6,345.82,35545,3554.5
1612238400000,346.12,352.19,346.02,346.57,22098,2209.8
1612252800000,346.34,348.21,337.98,339.31,34042,3404.2
1612267200000,339.27,350.96,336.28,347.24,31899,3189.9
1612281600000,347.57,354.62,341.98,354.41,36323,3632.3
1612296000000,354.3,358.32,350.8,356.37,34782,3478.2
1612310400000,356.34,357.83,343.97,347.92,32162,3216.2
1612324800000,348.13,350.8,344.18,344.52,26548,2654.8
1612339200000,344.75,355.18,342.26,351.92,25202,2520.2
1612353600000,351.89,364.67,349.33,360.7,42916,4291.6
1612368000000,360.61,366.0,357.66,358.63,33265,3326.5
1612382400000,358.63,390.0,358.35,389.44,38392,3839.2
1612396800000,389.99,423.52,381.1,387.82,111892,11189.2
