Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.473,0.506,0.468,0.489,1277452,1277452
1609128000000,0.488,0.512,0.486,0.509,1296910,1296910
1609142400000,0.508,0.524,0.501,0.513,934252,934252
1609156800000,0.513,0.513,0.494,0.499,1000590,1000590
1609171200000,0.5,0.521,0.498,0.517,634136,634136
1609185600000,0.517,0.519,0.489,0.499,870665,870665
1609200000000,0.499,0.514,0.457,0.458,1926598,1926598
1609214400000,0.457,0.462,0.449,0.461,677080,677080
1609228800000,0.461,0.471,0.453,0.459,579258,579258
1609243200000,0.459,0.495,0.459,0.474,1165689,1165689
1609257600000,0.473,0.473,0.444,0.467,1216523,1216523
1609272000000,0.467,0.479,0.46,0.475,650966,650966
1609286400000,0.475,0.563,0.466,0.538,3627381,3627381
1609300800000,0.538,0.593,0.532,0.532,4864946,4864946
1609315200000,0.533,0.552,0.518,0.524,3237705,3237705
1609329600000,0.522,0.541,0.505,0.536,2651873,2651873
1609344000000,0.535,0.568,0.532,0.555,3327672,3327672
1609358400000,0.555,0.588,0.549,0.583,1802795,1802795
1609372800000,0.582,0.587,0.521,0.526,3488105,3488105
1609387200000,0.526,0.56,0.525,0.559,1248223,1248223
1609401600000,0.56,0.576,0.547,0.567,1530186,1530186
1609416000000,0.568,0.568,0.529,0.553,1637319,1637319
1609430400000,0.553,0.597,0.552,0.581,1765668,1765668
1609444800000,0.581,0.636,0.58,0.626,1888441,1888441
1609459200000,0.628,0.676,0.61,0.661,1741395,1741395
1609473600000,0.661,0.662,0.624,0.64,1917733,1917733
1609488000000,0.64,0.646,0.613,0.636,1405417,1405417
1609502400000,0.636,0.663,0.613,0.647,1693971,1693971
1609516800000,0.648,0.671,0.602,0.621,2242607,2242607
1609531200000,0.621,0.644,0.608,0.622,1270755,1270755
1609545600000,0.622,0.622,0.567,0.591,3334378,3334378
1609560000000,0.59,0.596,0.573,0.582,1230547,1230547
1609574400000,0.582,0.589,0.565,0.58,1175190,1175190
1609588800000,0.581,0.61,0.566,0.596,1334067,1334067
1609603200000,0.595,0.625,0.585,0.614,1257076,1257076
1609617600000,0.613,0.621,0.585,0.615,820341,820341
1609632000000,0.615,0.635,0.611,0.631,657341,657341
1609646400000,0.631,0.637,0.597,0.6,924663,924663
1609660800000,0.601,0.612,0.584,0.608,1021314,1021314
1609675200000,0.607,0.648,0.601,0.625,1712747,1712747
1609689600000,0.625,0.641,0.604,0.614,1163194,1163194
1609704000000,0.614,0.694,0.613,0.68,1265551,1265551
1609718400000,0.681,0.727,0.667,0.712,1436967,1436967
1609732800000,0.712,0.735,0.642,0.656,2518586,2518586
1609747200000,0.657,0.683,0.578,0.63,3144032,3144032
1609761600000,0.631,0.651,0.61,0.635,1831346,1831346
1609776000000,0.635,0.636,0.606,0.632,739245,739245
1609790400000,0.632,0.68,0.624,0.679,869490,869490
1609804800000,0.678,0.71,0.633,0.64,1784407,1784407
1609819200000,0.641,0.655,0.623,0.635,959215,959215
1609833600000,0.636,0.684,0.636,0.681,1402372,1402372
1609848000000,0.68,0.7,0.647,0.692,1736870,1736870
1609862400000,0.693,0.728,0.671,0.696,1787551,1787551
1609876800000,0.696,0.701,0.683,0.688,614672,614672
1609891200000,0.689,0.734,0.669,0.724,809674,809674
1609905600000,0.724,0.729,0.702,0.709,831493,831493
1609920000000,0.711,0.752,0.702,0.738,1317917,1317917
1609934400000,0.738,0.787,0.733,0.752,1485180,1485180
1609948800000,0.753,0.788,0.708,0.709,1080548,1080548
1609963200000,0.713,0.749,0.695,0.733,992428,992428
1609977600000,0.733,0.768,0.717,0.735,728718,728718
1609992000000,0.735,0.746,0.712,0.719,874319,874319
1610006400000,0.72,0.734,0.685,0.719,1117361,1117361
1610020800000,0.72,0.79,0.717,0.776,1130704,1130704
1610035200000,0.777,0.784,0.686,0.733,1472096,1472096
1610049600000,0.734,0.744,0.702,0.719,467376,467376
1610064000000,0.721,0.73,0.619,0.663,1916617,1916617
1610078400000,0.661,0.704,0.647,0.699,1647848,1647848
1610092800000,0.699,0.725,0.678,0.711,1045586,1045586
1610107200000,0.711,0.737,0.687,0.701,1800488,1800488
1610121600000,0.702,0.712,0.674,0.676,1148124,1148124
1610136000000,0.676,0.699,0.648,0.694,1093478,1093478
1610150400000,0.695,0.748,0.668,0.746,901771,901771
1610164800000,0.746,0.746,0.707,0.725,676871,676871
1610179200000,0.726,0.77,0.718,0.745,852347,852347
1610193600000,0.745,0.784,0.735,0.771,1133611,1133611
1610208000000,0.771,0.805,0.743,0.802,956368,956368
1610222400000,0.803,0.805,0.763,0.768,695709,695709
1610236800000,0.769,0.833,0.769,0.803,1196904,1196904
1610251200000,0.803,0.845,0.795,0.845,764053,764053
1610265600000,0.846,0.85,0.731,0.755,2130658,2130658
1610280000000,0.754,0.799,0.739,0.788,1370592,1370592
1610294400000,0.787,0.796,0.726,0.762,632923,632923
1610308800000,0.759,0.767,0.735,0.752,930789,930789
1610323200000,0.753,0.755,0.621,0.665,2501250,2501250
1610337600000,0.664,0.687,0.623,0.659,1412215,1412215
1610352000000,0.66,0.688,0.631,0.634,1223896,1223896
1610366400000,0.634,0.652,0.58,0.593,2184900,2184900
1610380800000,0.593,0.601,0.527,0.568,2039008,2039008
1610395200000,0.568,0.622,0.556,0.621,559786,559786
1610409600000,0.621,0.638,0.595,0.633,808604,808604
1610424000000,0.632,0.65,0.622,0.642,485004,485004
1610438400000,0.642,0.643,0.61,0.624,641751,641751
1610452800000,0.624,0.635,0.591,0.609,902822,902822
1610467200000,0.61,0.671,0.61,0.642,875304,875304
1610481600000,0.641,0.641,0.611,0.624,407488,407488
1610496000000,0.623,0.637,0.602,0.635,569334,569334
1610510400000,0.636,0.655,0.613,0.65,697762,697762
1610524800000,0.65,0.67,0.646,0.65,616039,616039
1610539200000,0.65,0.67,0.64,0.659,327143,327143
1610553600000,0.659,0.69,0.659,0.675,496665,496665
1610568000000,0.676,0.693,0.665,0.687,420116,420116
1610582400000,0.687,0.695,0.662,0.672,450054,450054
1610596800000,0.673,0.7,0.666,0.693,516393,516393
1610611200000,0.693,0.727,0.688,0.722,903906,903906
1610625600000,0.722,0.75,0.71,0.741,1728697,1728697
1610640000000,0.742,0.757,0.725,0.731,691277,691277
1610654400000,0.731,0.798,0.707,0.797,547970,547970
1610668800000,0.799,0.867,0.786,0.825,2696353,2696353
1610683200000,0.824,0.977,0.812,0.955,4181429,4181429
1610697600000,0.957,1.094,0.917,1.081,3677901,3677901
1610712000000,1.082,1.118,0.89,0.923,6857861,6857861
1610726400000,0.921,1.086,0.849,1.022,4846009,4846009
1610740800000,1.021,1.202,0.996,1.148,1937244,1937244
1610755200000,1.15,1.267,1.131,1.197,3718275,3718275
1610769600000,1.198,1.217,1.102,1.18,2285181,2285181
1610784000000,1.18,1.23,1.117,1.197,1949494,1949494
1610798400000,1.196,1.225,1.097,1.211,2293735,2293735
1610812800000,1.214,1.236,1.102,1.152,1654406,1654406
1610827200000,1.151,1.185,1.049,1.109,1353822,1353822
1610841600000,1.11,1.504,1.055,1.428,5455466,5455466
1610856000000,1.428,1.47,1.26,1.31,3502649,3502649
1610870400000,1.314,1.608,1.278,1.502,4884391,4884391
1610884800000,1.501,1.641,1.455,1.539,2939313,2939313
1610899200000,1.541,1.8,1.51,1.692,2623979,2623979
1610913600000,1.697,1.766,1.663,1.694,2161056,2161056
1610928000000,1.695,1.791,1.538,1.563,2473438,2473438
1610942400000,1.564,1.653,1.56,1.639,1439869,1439869
1610956800000,1.639,1.653,1.475,1.509,1966141,1966141
1610971200000,1.506,1.568,1.427,1.51,2040636,2040636
1610985600000,1.509,1.516,1.391,1.441,910064,910064
1611000000000,1.443,1.63,1.426,1.607,815409,815409
1611014400000,1.609,1.667,1.483,1.524,1849220,1849220
1611028800000,1.523,1.546,1.434,1.471,967225,967225
1611043200000,1.468,1.538,1.444,1.509,935439,935439
1611057600000,1.507,1.515,1.441,1.462,1185920,1185920
1611072000000,1.462,1.533,1.312,1.36,1922471,1922471
1611086400000,1.359,1.415,1.324,1.331,703769,703769
1611100800000,1.328,1.409,1.287,1.29,1964796,1964796
1611115200000,1.29,1.403,1.26,1.392,1774706,1774706
1611129600000,1.39,1.446,1.257,1.291,1922288,1922288
1611144000000,1.288,1.558,1.249,1.483,4457587,4457587
1611158400000,1.483,1.598,1.422,1.572,2526607,2526607
1611172800000,1.573,1.647,1.521,1.625,1214558,1214558
1611187200000,1.625,1.64,1.526,1.568,1525036,1525036
1611201600000,1.567,1.597,1.474,1.55,1593128,1593128
1611216000000,1.55,1.582,1.453,1.534,2190068,2190068
1611230400000,1.532,1.933,1.485,1.783,6112319,6112319
1611244800000,1.777,1.93,1.722,1.82,2400812,2400812
1611259200000,1.819,1.827,1.546,1.674,1797887,1797887
1611273600000,1.673,1.862,1.421,1.796,4994163,4994163
1611288000000,1.799,1.817,1.69,1.734,2022410,2022410
1611302400000,1.734,2.057,1.709,1.991,3492581,3492581
1611316800000,1.994,2.021,1.899,2.008,1765342,1765342
1611331200000,2.008,2.067,1.953,2.002,834334,834334
1611345600000,2.003,2.086,1.946,1.961,633155,633155
1611360000000,1.956,2.175,1.911,2.165,1909175,1909175
1611374400000,2.165,2.309,2.126,2.254,1913396,1913396
1611388800000,2.257,2.261,2.076,2.14,1669052,1669052
1611403200000,2.139,2.283,2.13,2.235,1957056,1957056
1611417600000,2.231,2.259,2.142,2.179,815298,815298
1611432000000,2.179,2.226,2.069,2.137,962215,962215
1611446400000,2.138,2.189,2.085,2.105,1051053,1051053
1611460800000,2.107,2.17,2.04,2.147,1377519,1377519
1611475200000,2.141,2.36,2.064,2.323,2039271,2039271
1611489600000,2.323,2.357,2.138,2.227,3142199,3142199
1611504000000,2.226,2.293,2.144,2.187,1136102,1136102
1611518400000,2.187,2.339,2.183,2.261,548190,548190
1611532800000,2.258,2.314,2.193,2.21,1120394,1120394
1611547200000,2.212,2.242,2.134,2.157,1011280,1011280
1611561600000,2.154,2.266,2.135,2.171,1275009,1275009
1611576000000,2.171,2.199,2.078,2.134,1686039,1686039
1611590400000,2.134,2.138,2.008,2.068,1188436,1188436
1611604800000,2.068,2.094,1.973,2.013,776660,776660
1611619200000,2.007,2.243,1.983,2.032,2136184,2136184
1611633600000,2.03,2.09,1.976,2.026,1109063,1109063
1611648000000,2.025,2.066,1.951,1.962,887964,887964
1611662400000,1.959,1.982,1.825,1.956,1713596,1713596
1611676800000,1.956,2.063,1.92,2.039,1022783,1022783
1611691200000,2.039,2.153,2.002,2.142,652654,652654
1611705600000,2.14,2.14,1.942,1.975,1185376,1185376
1611720000000,1.969,2.01,1.903,1.95,711448,711448
1611734400000,1.949,1.965,1.853,1.872,1223028,1223028
1611748800000,1.873,1.943,1.732,1.889,1659179,1659179
1611763200000,1.886,1.924,1.775,1.816,871812,871812
1611777600000,1.816,1.876,1.785,1.815,473315,473315
1611792000000,1.814,1.966,1.751,1.962,1329933,1329933
1611806400000,1.962,1.981,1.87,1.912,1030420,1030420
1611820800000,1.912,1.953,1.865,1.915,813169,813169
1611835200000,1.915,2.197,1.896,2.196,1899356,1899356
1611849600000,2.193,2.204,2.088,2.128,634204,634204
1611864000000,2.128,2.182,2.062,2.085,414074,414074
1611878400000,2.086,2.137,2.021,2.052,897765,897765
1611892800000,2.055,2.055,1.916,1.95,1283907,1283907
1611907200000,1.949,1.992,1.857,1.943,1237183,1237183
1611921600000,1.942,1.978,1.904,1.933,889154,889154
1611936000000,1.934,1.948,1.873,1.906,503048,503048
1611950400000,1.906,2.092,1.886,2.049,678240,678240
1611964800000,2.051,2.052,1.901,1.914,725681,725681
1611979200000,1.914,2.028,1.885,1.996,897765,897765
1611993600000,1.995,2.108,1.951,2.004,1145105,1145105
1612008000000,2.005,2.319,1.994,2.24,2879667,2879667
1612022400000,2.238,2.666,2.238,2.54,2959838,2959838
1612036800000,2.542,2.568,2.417,2.555,731389,731389
1612051200000,2.555,2.84,2.507,2.736,2373697,2373697
1612065600000,2.733,2.755,2.507,2.602,1311972,1311972
1612080000000,2.601,2.68,2.461,2.668,1066377,1066377
1612094400000,2.667,2.668,2.276,2.365,1278618,1278618
1612108800000,2.366,2.498,2.305,2.367,1103980,1103980
1612123200000,2.368,2.594,2.334,2.52,422429,422429
1612137600000,2.518,2.531,2.391,2.463,706724,706724
1612152000000,2.46,2.475,2.343,2.403,611388,611388
1612166400000,2.404,2.551,2.305,2.449,889335,889335
1612180800000,2.448,2.54,2.329,2.362,634009,634009
1612195200000,2.357,2.586,2.357,2.549,790352,790352
1612209600000,2.55,2.683,2.499,2.544,851573,851573
1612224000000,2.545,2.761,2.478,2.693,1294629,1294629
1612238400000,2.694,2.732,2.569,2.586,686142,686142
1612252800000,2.581,2.64,2.507,2.552,693934,693934
1612267200000,2.551,2.63,2.532,2.545,512785,512785
1612281600000,2.544,2.544,2.431,2.505,637551,637551
1612296000000,2.506,2.539,2.452,2.505,328569,328569
1612310400000,2.509,2.554,2.423,2.449,685756,685756
1612324800000,2.451,2.586,2.4,2.552,742021,742021
1612339200000,2.55,2.644,2.49,2.608,991478,991478
1612353600000,2.608,2.711,2.531,2.635,1044005,1044005
1612368000000,2.635,2.649,2.568,2.61,617450,617450
1612382400000,2.61,2.686,2.573,2.646,424897,424897
1612396800000,2.651,2.913,2.597,2.85,1772328,1772328
1612411200000,2.852,2.955,2.798,2.798,1029396,1029396
1612425600000,2.802,2.874,2.522,2.801,1860036,1860036
1612440000000,2.801,2.964,2.713,2.794,1676249,1676249
1612454400000,2.801,3.156,2.765,3.033,1140124,1140124
1612468800000,3.033,3.207,2.971,3.027,925046,925046
1612483200000,3.024,3.317,3.02,3.262,1224082,1224082
1612497600000,3.266,3.351,3.189,3.3,673279,673279
1612512000000,3.305,3.38,3.206,3.282,1121685,1121685
1612526400000,3.285,3.291,3.168,3.197,867096,867096
1612540800000,3.199,3.337,3.152,3.196,1218984,1218984
1612555200000,3.202,3.304,3.178,3.273,712131,712131
1612569600000,3.274,3.68,2.989,3.277,4975167,4975167
1612584000000,3.277,3.306,3.113,3.185,1349952,1349952
1612598400000,3.186,3.309,3.052,3.057,1135172,1135172
1612612800000,3.056,3.282,3.044,3.138,921353,921353
1612627200000,3.136,3.29,3.126,3.283,658677,658677
1612641600000,3.285,3.291,3.14,3.157,488019,488019
1612656000000,3.157,3.205,2.908,3.004,1329420,1329420
1612670400000,2.998,2.998,2.812,2.99,1322411,1322411
1612684800000,2.99,3.071,2.952,2.971,817222,817222
1612699200000,2.971,3.015,2.748,2.819,1788212,1788212
1612713600000,2.819,2.907,2.638,2.844,1492267,1492267
1612728000000,2.847,3.028,2.819,2.99,700718,700718
1612742400000,2.989,3.04,2.859,2.873,610560,610560
1612756800000,2.871,3.107,2.865,3.078,826930,826930
1612771200000,3.081,3.157,3.044,3.128,589436,589436
1612785600000,3.128,3.133,2.92,3.04,1151535,1151535
1612800000000,3.043,3.253,3.043,3.18,1005805,1005805
1612814400000,3.182,3.198,3.045,3.078,510108,510108
1612828800000,3.081,3.104,2.949,3.038,711228,711228
1612843200000,3.038,3.1,2.989,3.031,778047,778047
1612857600000,3.031,3.147,2.996,3.054,899133,899133
1612872000000,3.053,3.115,2.995,3.078,638369,638369
1612886400000,3.079,3.27,3.021,3.27,1343649,1343649
1612900800000,3.266,3.292,3.176,3.183,526800,526800
1612915200000,3.188,3.4,3.167,3.365,931452,931452
1612929600000,3.364,3.367,3.211,3.295,857425,857425
1612944000000,3.299,3.345,3.247,3.317,766024,766024
1612958400000,3.315,3.319,2.824,2.972,2654412,2654412
1612972800000,2.975,3.125,2.907,3.084,1209858,1209858
1612987200000,3.084,3.146,2.971,3.087,931645,931645
1613001600000,3.088,3.128,2.998,3.094,994528,994528
1613016000000,3.095,3.231,3.044,3.172,996365,996365
1613030400000,3.175,3.255,3.131,3.196,839238,839238
1613044800000,3.2,3.308,3.195,3.223,622388,622388
1613059200000,3.224,3.58,3.213,3.45,1444851,1444851
1613073600000,3.448,3.571,3.322,3.565,843873,843873
1613088000000,3.563,3.624,3.383,3.399,543218,543218
1613102400000,3.397,3.602,3.341,3.58,729524,729524
1613116800000,3.584,3.605,3.453,3.501,855084,855084
1613131200000,3.5,3.502,3.207,3.415,1081768,1081768
1613145600000,3.42,3.508,3.386,3.438,507948,507948
1613160000000,3.438,3.482,3.39,3.4,398899,398899
1613174400000,3.401,3.544,3.4,3.537,416173,416173
1613188800000,3.537,3.542,3.341,3.351,647503,647503
1613203200000,3.354,3.441,3.146,3.278,1842960,1842960
1613217600000,3.275,3.304,3.18,3.253,949267,949267
1613232000000,3.257,3.386,3.215,3.249,894477,894477
1613246400000,3.25,3.357,3.187,3.297,434763,434763
1613260800000,3.3,3.416,3.261,3.264,683863,683863
1613275200000,3.265,3.317,3.194,3.277,842307,842307
1613289600000,3.28,3.313,3.193,3.208,635203,635203
1613304000000,3.207,3.24,2.925,3.005,2304345,2304345
1613318400000,3.004,3.123,2.986,3.09,861907,861907
1613332800000,3.086,3.124,2.949,2.957,391820,391820
1613347200000,2.959,3.024,1.959,2.63,6661955,6661955
1613361600000,2.63,2.818,2.475,2.787,1463368,1463368
1613376000000,2.786,2.86,2.702,2.808,1216811,1216811
1613390400000,2.811,2.939,2.775,2.928,869206,869206
1613404800000,2.931,2.988,2.892,2.969,906044,906044
1613419200000,2.969,3.007,2.668,2.713,973544,973544
1613433600000,2.718,2.872,2.577,2.816,1503650,1503650
1613448000000,2.815,2.815,2.687,2.771,680004,680004
1613462400000,2.774,2.868,2.733,2.75,796906,796906
1613476800000,2.752,2.819,2.668,2.682,1116442,1116442
1613491200000,2.679,2.707,2.533,2.614,1228013,1228013
1613505600000,2.612,2.686,2.555,2.681,712569,712569
1613520000000,2.681,2.799,2.563,2.586,1358606,1358606
1613534400000,2.583,2.656,2.493,2.651,1136594,1136594
1613548800000,2.653,2.753,2.623,2.71,699294,699294
1613563200000,2.71,2.793,2.702,2.752,605784,605784
1613577600000,2.753,2.79,2.687,2.752,636652,636652
1613592000000,2.752,2.882,2.717,2.789,363598,363598
1613606400000,2.792,3.034,2.792,2.945,1018290,1018290
1613620800000,2.943,2.967,2.824,2.865,757328,757328
1613635200000,2.869,2.886,2.737,2.775,1133360,1133360
1613649600000,2.778,2.857,2.715,2.769,1315591,1315591
1613664000000,2.772,2.864,2.76,2.819,1391334,1391334
1613678400000,2.816,2.871,2.782,2.809,316719,316719
1613692800000,2.811,2.883,2.639,2.735,1443526,1443526
