Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.0867,0.0882,0.0852,0.0882,36535,3653500
1609128000000,0.0882,0.0895,0.0873,0.0887,44104,4410400
1609142400000,0.0888,0.0903,0.0874,0.0895,44836,4483600
1609156800000,0.0895,0.0901,0.0864,0.087,55696,5569600
1609171200000,0.0871,0.0901,0.0867,0.0883,29832,2983200
1609185600000,0.0881,0.0885,0.0855,0.0859,40207,4020700
1609200000000,0.0861,0.0871,0.0833,0.0835,48666,4866600
1609214400000,0.0836,0.0842,0.0819,0.0831,24247,2424700
1609228800000,0.0832,0.0858,0.0826,0.0851,45361,4536100
1609243200000,0.085,0.0853,0.0829,0.0832,28766,2876600
1609257600000,0.083,0.0838,0.0811,0.0837,42509,4250900
1609272000000,0.0838,0.0847,0.0824,0.0839,28922,2892200
1609286400000,0.0839,0.0911,0.0837,0.0856,73551,7355100
1609300800000,0.0856,0.0862,0.0845,0.0849,42585,4258500
1609315200000,0.0849,0.0895,0.0827,0.0859,52768,5276800
1609329600000,0.0859,0.0875,0.0839,0.0858,55548,5554800
1609344000000,0.0859,0.0864,0.0844,0.0851,70646,7064600
1609358400000,0.085,0.0859,0.0841,0.0858,58804,5880400
1609372800000,0.086,0.0861,0.0831,0.0837,61199,6119900
1609387200000,0.0837,0.0846,0.0834,0.0845,64684,6468400
1609401600000,0.0846,0.0861,0.0829,0.0836,107425,10742500
1609416000000,0.0836,0.0839,0.0816,0.0831,61329,6132900
1609430400000,0.0831,0.0833,0.0823,0.0829,29884,2988400
1609444800000,0.083,0.0848,0.0825,0.0843,54712,5471200
1609459200000,0.0843,0.0873,0.0831,0.0864,79874,7987400
1609473600000,0.0864,0.0864,0.0848,0.0861,58668,5866800
1609488000000,0.0861,0.0894,0.0846,0.0868,111828,11182800
1609502400000,0.0867,0.0882,0.0864,0.0869,73389,7338900
1609516800000,0.0869,0.0874,0.0837,0.085,140506,14050600
1609531200000,0.0848,0.0863,0.0847,0.0855,51800,5180000
1609545600000,0.0857,0.0874,0.084,0.086,133255,13325500
1609560000000,0.0858,0.087,0.0856,0.0869,65885,6588500
1609574400000,0.0869,0.0869,0.0845,0.0855,36406,3640600
1609588800000,0.0855,0.0863,0.0848,0.085,44757,4475700
1609603200000,0.085,0.0852,0.0829,0.0838,72790,7279000
1609617600000,0.0839,0.0851,0.0816,0.085,99217,9921700
1609632000000,0.085,0.0852,0.0838,0.0839,56776,5677600
1609646400000,0.0839,0.0859,0.0836,0.0836,102244,10224400
1609660800000,0.0836,0.0855,0.083,0.0849,90251,9025100
1609675200000,0.0849,0.0891,0.0843,0.0879,208439,20843900
1609689600000,0.0879,0.0885,0.0846,0.085,86087,8608700
1609704000000,0.085,0.0884,0.085,0.0873,90189,9018900
1609718400000,0.0874,0.0922,0.0867,0.0921,152349,15234900
1609732800000,0.0921,0.0973,0.085,0.0861,201435,20143500
1609747200000,0.0865,0.089,0.0795,0.0832,170169,17016900
