Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,107.45,111.08,106.23,108.4,177440,17744.0
1609128000000,108.33,108.71,105.45,107.68,178353,17835.3
1609142400000,107.64,110.44,106.59,108.61,234719,23471.9
1609156800000,108.54,111.23,106.75,107.05,269575,26957.5
1609171200000,106.89,109.32,105.05,106.92,196460,19646.0
1609185600000,106.89,108.55,104.26,107.27,174491,17449.1
1609200000000,107.29,108.85,103.1,103.27,190339,19033.9
1609214400000,103.27,104.51,99.89,103.05,130788,13078.8
1609228800000,103.16,105.08,101.67,103.71,183872,18387.2
1609243200000,103.64,104.79,101.29,101.34,216075,21607.5
1609257600000,101.26,103.46,99.08,103.13,192929,19292.9
1609272000000,103.09,104.45,102.48,103.98,120549,12054.9
1609286400000,103.97,105.64,101.03,101.27,207732,20773.2
1609300800000,101.29,104.2,100.34,103.25,158148,15814.8
1609315200000,103.22,104.62,100.7,101.69,168696,16869.6
1609329600000,101.71,102.99,100.94,102.02,116289,11628.9
1609344000000,101.97,102.64,98.98,101.04,193979,19397.9
1609358400000,100.96,102.02,100.37,101.85,82963,8296.3
1609372800000,101.87,102.43,98.3,98.98,154539,15453.9
1609387200000,98.98,99.79,97.95,99.28,128858,12885.8
1609401600000,99.25,102.22,97.85,100.28,130370,13037.0
1609416000000,100.28,101.01,96.58,98.81,134457,13445.7
1609430400000,98.79,100.15,98.35,99.59,86594,8659.4
1609444800000,99.64,100.39,99.06,99.49,74994,7499.4
1609459200000,99.49,102.48,98.21,101.14,146723,14672.3
1609473600000,101.19,101.64,99.24,99.68,87843,8784.3
1609488000000,99.69,102.72,98.15,102.26,139318,13931.8
1609502400000,102.28,102.94,100.25,101.09,144948,14494.8
1609516800000,101.17,102.05,87.9,90.43,773630,77363.0
1609531200000,90.43,91.25,85.93,88.15,507604,50760.4
1609545600000,88.06,90.05,84.42,88.7,510108,51010.8
1609560000000,88.74,89.47,87.02,87.71,235942,23594.2
1609574400000,87.76,89.27,84.88,87.49,294432,29443.2
1609588800000,87.5,91.97,86.79,90.78,315842,31584.2
1609603200000,90.78,94.64,89.39,90.17,278724,27872.4
1609617600000,90.16,90.23,85.79,87.03,229416,22941.6
1609632000000,87.03,88.12,86.05,86.2,184353,18435.3
1609646400000,86.18,88.23,85.68,85.76,175093,17509.3
1609660800000,85.78,90.87,85.22,89.29,291362,29136.2
1609675200000,89.28,91.64,87.63,89.7,313427,31342.7
1609689600000,89.75,92.33,87.24,87.77,260976,26097.6
1609704000000,87.74,90.85,87.74,89.7,190427,19042.7
1609718400000,89.93,94.09,89.87,93.06,278302,27830.2
1609732800000,93.12,97.37,89.33,91.92,390528,39052.8
1609747200000,92.13,92.82,82.22,88.36,379823,37982.3
1609761600000,88.33,88.75,86.31,87.83,215679,21567.9
1609776000000,87.86,88.45,86.12,88.27,145308,14530.8
1609790400000,88.26,89.06,86.74,89.0,125886,12588.6
1609804800000,88.99,90.14,86.17,86.45,207956,20795.6
1609819200000,86.46,87.7,85.65,86.19,144809,14480.9
1609833600000,86.19,89.84,86.19,89.32,155157,15515.7
1609848000000,89.35,89.71,87.24,88.97,139123,13912.3
1609862400000,89.15,90.2,87.83,89.52,169741,16974.1
1609876800000,89.5,90.26,88.27,89.2,147208,14720.8
1609891200000,89.16,94.91,87.66,93.35,264705,26470.5
1609905600000,93.38,93.38,89.48,90.39,215472,21547.2
1609920000000,90.43,91.8,89.64,91.54,199870,19987.0
1609934400000,91.59,94.15,90.81,93.75,274221,27422.1
1609948800000,93.83,95.08,92.51,93.19,223240,22324.0
1609963200000,93.16,94.41,88.66,94.21,243647,24364.7
1609977600000,94.28,98.95,92.13,97.62,259496,25949.6
1609992000000,97.52,99.17,95.82,96.31,282066,28206.6
1610006400000,96.35,108.37,93.8,103.86,414752,41475.2
1610020800000,103.94,107.84,102.17,105.06,329745,32974.5
1610035200000,105.07,105.74,94.49,101.84,550770,55077.0
1610049600000,101.79,102.53,97.54,99.19,269121,26912.1
1610064000000,99.23,100.22,92.03,94.78,313331,31333.1
1610078400000,94.77,97.63,93.13,97.06,208378,20837.8
1610092800000,97.09,100.83,95.23,98.83,221211,22121.1
1610107200000,98.83,99.6,95.21,96.58,240959,24095.9
1610121600000,96.58,100.99,95.79,96.43,240014,24001.4
1610136000000,96.41,97.27,93.62,96.43,157711,15771.1
1610150400000,96.31,99.14,94.39,98.9,156124,15612.4
1610164800000,98.88,98.9,96.1,97.65,123224,12322.4
1610179200000,97.66,102.89,97.05,102.0,252172,25217.2
1610193600000,102.05,104.13,100.65,104.09,294086,29408.6
1610208000000,104.19,110.79,103.71,108.67,516782,51678.2
1610222400000,108.66,111.6,107.0,110.12,216346,21634.6
1610236800000,110.22,119.11,110.22,112.79,396973,39697.3
1610251200000,112.86,150.48,112.74,147.97,999112,99911.2
1610265600000,147.88,156.49,131.27,135.27,1430314,143031.4
1610280000000,135.16,158.69,130.68,147.03,1383587,138358.7
1610294400000,147.13,158.56,138.98,145.58,606346,60634.6
1610308800000,145.24,150.13,141.86,146.81,279676,27967.6
1610323200000,146.63,148.1,115.93,125.4,829573,82957.3
1610337600000,125.46,129.31,115.38,120.61,829353,82935.3
1610352000000,120.5,145.75,119.12,128.55,1150828,115082.8
1610366400000,128.77,133.92,118.0,120.9,1016671,101667.1
1610380800000,120.89,122.79,105.75,115.61,730856,73085.6
1610395200000,115.6,126.72,112.77,125.12,405814,40581.4
1610409600000,125.13,126.2,118.3,125.83,380338,38033.8
1610424000000,125.91,136.01,122.28,132.55,388584,38858.4
