Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.004562,0.004685,0.004515,0.004628,85167,85167000
1609128000000,0.004629,0.004712,0.004566,0.004704,62095,62095000
1609142400000,0.004705,0.004722,0.004603,0.004675,69873,69873000
1609156800000,0.004681,0.004729,0.004571,0.004585,100750,100750000
1609171200000,0.004588,0.004665,0.004551,0.004599,71875,71875000
1609185600000,0.004595,0.00464,0.004504,0.004603,79432,79432000
1609200000000,0.004605,0.004637,0.004414,0.004482,104899,104899000
1609214400000,0.004465,0.0045,0.004333,0.00442,73937,73937000
1609228800000,0.004439,0.00454,0.00441,0.004478,52582,52582000
1609243200000,0.004469,0.004522,0.004308,0.004324,67373,67373000
1609257600000,0.004324,0.004566,0.004245,0.004436,287223,287223000
1609272000000,0.004437,0.0045,0.004412,0.004496,35785,35785000
1609286400000,0.0045,0.004605,0.004457,0.004476,91121,91121000
1609300800000,0.004482,0.004578,0.004451,0.004543,64172,64172000
1609315200000,0.004542,0.004602,0.004437,0.004542,77418,77418000
1609329600000,0.004543,0.004675,0.004478,0.004634,90660,90660000
1609344000000,0.004632,0.004736,0.004555,0.004647,77617,77617000
1609358400000,0.004645,0.00468,0.004574,0.004635,90015,90015000
1609372800000,0.004639,0.004753,0.004539,0.004619,135609,135609000
1609387200000,0.004619,0.004711,0.004574,0.004681,68120,68120000
1609401600000,0.004686,0.004764,0.004629,0.004658,47348,47348000
1609416000000,0.004659,0.004678,0.004518,0.004619,93475,93475000
1609430400000,0.004628,0.004666,0.00456,0.004637,53130,53130000
1609444800000,0.004639,0.004727,0.004631,0.004669,49337,49337000
1609459200000,0.004667,0.005018,0.004607,0.004994,97538,97538000
1609473600000,0.004992,0.005016,0.004804,0.004854,113490,113490000
1609488000000,0.00486,0.00492,0.004775,0.004895,80297,80297000
1609502400000,0.004892,0.004998,0.004875,0.004919,84404,84404000
1609516800000,0.00492,0.005251,0.004908,0.005225,236771,236771000
1609531200000,0.005225,0.0057,0.005144,0.00569,473107,473107000
1609545600000,0.005688,0.0069,0.005539,0.006633,972482,972482000
1609560000000,0.006634,0.00795,0.006502,0.006905,1482657,1482657000
1609574400000,0.006905,0.007442,0.006625,0.007248,508300,508300000
1609588800000,0.007246,0.009652,0.006775,0.008595,1238500,1238500000
1609603200000,0.008599,0.014045,0.0082,0.011821,2353960,2353960000
1609617600000,0.011818,0.012236,0.008592,0.010538,2124096,2124096000
1609632000000,0.010516,0.011394,0.009317,0.010836,1105012,1105012000
1609646400000,0.010861,0.0129,0.010308,0.012318,1328486,1328486000
1609660800000,0.012294,0.013378,0.011036,0.013146,1154563,1154563000
1609675200000,0.013106,0.01406,0.0114,0.012432,1636153,1636153000
1609689600000,0.012447,0.01265,0.009683,0.00977,1235744,1235744000
1609704000000,0.009766,0.010982,0.009369,0.00989,807074,807074000
1609718400000,0.00988,0.011509,0.0097,0.01108,672887,672887000
1609732800000,0.011074,0.0112,0.009095,0.009398,627422,627422000
1609747200000,0.009396,0.009951,0.007672,0.008844,1451606,1451606000
1609761600000,0.008828,0.01047,0.008616,0.01019,1143895,1143895000
1609776000000,0.010253,0.010394,0.009068,0.009767,972516,972516000
1609790400000,0.009796,0.009888,0.009365,0.009799,415972,415972000
1609804800000,0.009807,0.010296,0.009119,0.009119,417585,417585000
1609819200000,0.0091,0.009374,0.008838,0.009033,279633,279633000
1609833600000,0.009041,0.00991,0.009041,0.009907,240300,240300000
1609848000000,0.009909,0.009962,0.009146,0.009409,265848,265848000
1609862400000,0.00942,0.009801,0.0093,0.009597,240142,240142000
1609876800000,0.0096,0.01033,0.00936,0.009979,333450,333450000
1609891200000,0.010005,0.01026,0.009651,0.010054,360413,360413000
1609905600000,0.010054,0.011047,0.0099,0.010316,469840,469840000
1609920000000,0.010343,0.010525,0.009936,0.010329,248304,248304000
1609934400000,0.010331,0.010372,0.009814,0.010026,228104,228104000
1609948800000,0.01004,0.010591,0.00991,0.00993,225564,225564000
1609963200000,0.009979,0.010531,0.009526,0.010462,288288,288288000
1609977600000,0.010469,0.010589,0.010085,0.010211,196590,196590000
1609992000000,0.010212,0.010215,0.009896,0.00998,138415,138415000
1610006400000,0.009985,0.010057,0.009795,0.010003,111904,111904000
1610020800000,0.010005,0.0105,0.009918,0.010178,206402,206402000
1610035200000,0.010204,0.010232,0.008858,0.009908,557243,557243000
1610049600000,0.00989,0.010038,0.009595,0.009746,143444,143444000
1610064000000,0.009764,0.009889,0.008731,0.009379,295866,295866000
1610078400000,0.009374,0.009666,0.009117,0.009612,152712,152712000
1610092800000,0.009612,0.009892,0.009426,0.009641,119687,119687000
1610107200000,0.009637,0.009662,0.009115,0.009431,195030,195030000
1610121600000,0.009436,0.009486,0.009127,0.009217,110433,110433000
1610136000000,0.009198,0.010321,0.009026,0.009715,258988,258988000
1610150400000,0.009717,0.010321,0.009689,0.010198,249611,249611000
1610164800000,0.010192,0.010202,0.009661,0.01002,133478,133478000
1610179200000,0.010026,0.010776,0.009891,0.010156,243703,243703000
1610193600000,0.010169,0.010607,0.010126,0.010248,150179,150179000
1610208000000,0.010261,0.010641,0.0098,0.010358,225000,225000000
1610222400000,0.010328,0.010388,0.010074,0.010176,117563,117563000
1610236800000,0.010196,0.010472,0.010139,0.010318,126542,126542000
