Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,5.147,5.299,5.109,5.246,74655,74655
1609128000000,5.249,5.616,5.239,5.61,222265,222265
1609142400000,5.614,5.958,5.477,5.851,512502,512502
1609156800000,5.861,6.449,5.743,6.359,1139957,1139957
1609171200000,6.359,6.383,6.08,6.199,508562,508562
1609185600000,6.208,6.716,6.078,6.595,511260,511260
1609200000000,6.6,6.833,6.306,6.381,885679,885679
1609214400000,6.377,6.487,6.186,6.407,717736,717736
1609228800000,6.419,6.621,6.32,6.487,404270,404270
1609243200000,6.487,6.759,6.326,6.404,582183,582183
1609257600000,6.4,7.359,6.291,7.247,996933,996933
1609272000000,7.247,7.824,7.126,7.558,524987,524987
1609286400000,7.558,7.689,7.36,7.531,467864,467864
1609300800000,7.532,7.546,7.19,7.257,525564,525564
1609315200000,7.259,7.487,7.052,7.195,826096,826096
1609329600000,7.193,7.449,7.118,7.372,528811,528811
1609344000000,7.377,7.619,7.203,7.351,587877,587877
1609358400000,7.344,7.379,7.142,7.238,189761,189761
1609372800000,7.24,7.565,7.166,7.364,715128,715128
1609387200000,7.401,8.219,7.401,8.037,1268305,1268305
1609401600000,8.036,8.347,7.926,8.149,597232,597232
1609416000000,8.159,8.304,7.756,8.232,757871,757871
1609430400000,8.233,8.522,8.0,8.522,391984,391984
1609444800000,8.514,9.531,8.486,9.262,842874,842874
1609459200000,9.262,9.443,9.008,9.14,693227,693227
1609473600000,9.166,9.272,8.701,9.032,515053,515053
1609488000000,9.032,9.139,8.771,8.968,407411,407411
1609502400000,8.944,9.016,8.309,8.512,761810,761810
1609516800000,8.512,8.685,8.09,8.231,870523,870523
1609531200000,8.224,8.456,8.13,8.265,265443,265443
1609545600000,8.28,8.741,7.897,8.649,857899,857899
1609560000000,8.645,8.7,8.211,8.236,412774,412774
1609574400000,8.242,8.686,8.143,8.56,476766,476766
1609588800000,8.574,9.328,8.408,9.3,1102422,1102422
1609603200000,9.308,9.967,9.107,9.457,895431,895431
1609617600000,9.446,9.452,8.427,9.208,661457,661457
1609632000000,9.213,9.315,8.866,9.03,274604,274604
1609646400000,9.026,9.465,9.006,9.123,409304,409304
1609660800000,9.132,9.524,8.89,9.208,468170,468170
1609675200000,9.197,9.765,9.029,9.197,1002293,1002293
1609689600000,9.197,9.828,9.197,9.692,912687,912687
1609704000000,9.701,10.536,9.631,10.156,738942,738942
1609718400000,10.156,10.518,9.999,10.468,293529,293529
1609732800000,10.47,10.489,9.32,9.719,665831,665831
1609747200000,9.734,9.968,8.701,9.399,796084,796084
1609761600000,9.389,9.732,8.919,9.514,378614,378614
1609776000000,9.513,9.565,9.079,9.52,165191,165191
1609790400000,9.501,9.535,9.198,9.507,66137,66137
1609804800000,9.522,9.959,9.278,9.293,270862,270862
1609819200000,9.292,9.411,9.031,9.181,384633,384633
1609833600000,9.211,9.749,9.206,9.739,117174,117174
1609848000000,9.75,9.8,9.344,9.675,210454,210454
1609862400000,9.689,10.065,9.556,9.945,284748,284748
1609876800000,9.969,9.971,9.603,9.715,146685,146685
1609891200000,9.728,9.896,9.529,9.728,301571,301571
1609905600000,9.743,9.978,9.597,9.669,285129,285129
1609920000000,9.685,9.879,9.452,9.792,293211,293211
1609934400000,9.8,10.49,9.745,9.931,751372,751372
1609948800000,9.94,10.282,9.828,9.855,193444,193444
1609963200000,9.87,10.169,9.685,10.055,204317,204317
1609977600000,10.067,10.712,9.973,10.3,407437,407437
1609992000000,10.291,10.322,9.751,9.844,231682,231682
1610006400000,9.843,10.019,9.637,9.835,235442,235442
1610020800000,9.834,10.065,9.709,9.996,166656,166656
1610035200000,10.001,10.379,9.41,9.922,673938,673938
1610049600000,9.922,9.977,9.436,9.651,270240,270240
1610064000000,9.661,9.71,8.8,9.224,533933,533933
1610078400000,9.204,9.515,9.01,9.437,156035,156035
1610092800000,9.448,9.827,9.266,9.514,274712,274712
1610107200000,9.514,9.599,9.084,9.236,319005,319005
1610121600000,9.245,9.455,9.054,9.074,103114,103114
1610136000000,9.052,9.472,8.954,9.3,160150,160150
1610150400000,9.305,9.45,9.046,9.336,281123,281123
1610164800000,9.352,9.368,9.071,9.201,145105,145105
1610179200000,9.189,9.456,9.112,9.378,189469,189469
1610193600000,9.404,9.572,9.307,9.394,167228,167228
1610208000000,9.399,9.641,9.215,9.634,117425,117425
1610222400000,9.649,9.826,9.522,9.738,183796,183796
1610236800000,9.751,10.011,9.597,9.6,176872,176872
1610251200000,9.598,9.926,9.593,9.821,104328,104328
1610265600000,9.827,9.98,9.282,9.327,406018,406018
1610280000000,9.329,9.579,9.076,9.39,246130,246130
1610294400000,9.389,9.449,9.089,9.236,116401,116401
1610308800000,9.218,9.378,9.084,9.298,63559,63559
1610323200000,9.309,9.328,7.029,7.912,1257183,1257183
1610337600000,7.919,8.196,7.4,8.11,654012,654012
1610352000000,8.09,8.467,7.961,8.117,351084,351084
1610366400000,8.12,8.25,7.327,7.794,889207,889207
1610380800000,7.799,7.993,7.27,7.709,450599,450599
1610395200000,7.709,8.29,7.568,8.276,192000,192000
1610409600000,8.278,8.404,7.987,8.375,113314,113314
1610424000000,8.385,8.609,8.211,8.609,150999,150999
1610438400000,8.619,8.722,8.11,8.309,149983,149983
1610452800000,8.309,8.538,7.925,8.149,224971,224971
1610467200000,8.163,8.477,8.163,8.3,78728,78728
1610481600000,8.256,8.428,8.074,8.277,72398,72398
1610496000000,8.32,8.614,7.976,8.531,125416,125416
1610510400000,8.55,8.925,8.324,8.872,241027,241027
1610524800000,8.851,9.35,8.734,9.202,370088,370088
1610539200000,9.217,9.733,8.951,9.679,506374,506374
1610553600000,9.689,10.689,9.689,10.077,957225,957225
1610568000000,10.091,11.428,10.091,10.96,491815,491815
1610582400000,10.97,11.715,10.932,11.283,839904,839904
