Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,21.88,22.68,21.54,22.32,293077,29307.7
1609128000000,22.31,23.43,21.96,23.24,232218,23221.8
1609142400000,23.2,24.66,23.05,24.39,623201,62320.1
1609156800000,24.4,24.53,22.97,24.12,672895,67289.5
1609171200000,24.21,25.91,24.06,25.37,571928,57192.8
1609185600000,25.37,26.63,24.87,25.51,561138,56113.8
1609200000000,25.46,25.97,24.26,24.26,305569,30556.9
1609214400000,24.24,24.79,24.0,24.55,173730,17373.0
1609228800000,24.55,25.49,24.39,24.68,303053,30305.3
1609243200000,24.69,25.31,24.28,24.87,282654,28265.4
1609257600000,24.87,24.87,23.89,24.59,344645,34464.5
1609272000000,24.58,24.69,23.66,23.81,338999,33899.9
1609286400000,23.84,24.08,23.5,23.74,164027,16402.7
1609300800000,23.73,25.14,23.68,24.63,210889,21088.9
1609315200000,24.64,24.76,23.97,24.35,216768,21676.8
1609329600000,24.32,25.12,24.04,24.97,291678,29167.8
1609344000000,24.96,25.35,24.0,24.13,320387,32038.7
1609358400000,24.13,24.4,24.03,24.13,157435,15743.5
1609372800000,24.12,24.12,23.58,23.83,134596,13459.6
1609387200000,23.83,24.13,23.72,23.86,123627,12362.7
1609401600000,23.91,24.26,23.67,23.9,252043,25204.3
1609416000000,23.94,24.63,23.61,24.25,199593,19959.3
1609430400000,24.26,24.53,24.11,24.38,179295,17929.5
1609444800000,24.39,24.76,24.05,24.76,116987,11698.7
1609459200000,24.79,25.09,24.53,24.85,132417,13241.7
1609473600000,24.86,25.68,24.7,25.6,165526,16552.6
1609488000000,25.56,26.91,25.34,26.45,301280,30128.0
1609502400000,26.46,27.29,25.81,26.74,519053,51905.3
1609516800000,26.71,27.23,25.52,26.15,624823,62482.3
1609531200000,26.14,26.61,25.81,26.04,197306,19730.6
1609545600000,26.08,26.12,24.9,25.64,504079,50407.9
1609560000000,25.68,26.0,25.48,25.85,152939,15293.9
1609574400000,25.88,25.98,25.0,25.45,251714,25171.4
1609588800000,25.48,26.93,25.17,26.34,263416,26341.6
1609603200000,26.36,27.05,25.89,25.98,241917,24191.7
1609617600000,25.98,26.22,25.32,26.0,257349,25734.9
1609632000000,25.99,26.76,25.82,26.59,184492,18449.2
1609646400000,26.56,26.58,25.47,25.53,211331,21133.1
1609660800000,25.54,26.24,25.44,25.89,253968,25396.8
1609675200000,25.89,27.35,25.57,26.65,445669,44566.9
