Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,2.718,2.782,2.687,2.724,232096,2320960
1609128000000,2.723,2.792,2.699,2.772,143328,1433280
1609142400000,2.773,2.876,2.738,2.854,235798,2357980
1609156800000,2.855,2.895,2.804,2.822,173215,1732150
1609171200000,2.822,2.866,2.817,2.826,122152,1221520
1609185600000,2.826,2.843,2.72,2.765,172665,1726650
1609200000000,2.765,2.794,2.655,2.658,198807,1988070
1609214400000,2.656,2.678,2.581,2.674,122187,1221870
1609228800000,2.674,2.723,2.611,2.649,185255,1852550
1609243200000,2.649,2.686,2.542,2.557,197490,1974900
1609257600000,2.552,2.627,2.502,2.597,214218,2142180
1609272000000,2.596,2.648,2.569,2.64,60075,600750
1609286400000,2.64,2.673,2.61,2.619,135953,1359530
1609300800000,2.618,2.623,2.547,2.576,173383,1733830
1609315200000,2.577,2.644,2.537,2.593,232073,2320730
1609329600000,2.592,2.615,2.56,2.603,63409,634090
1609344000000,2.604,2.624,2.564,2.609,87255,872550
1609358400000,2.609,2.617,2.578,2.612,68191,681910
1609372800000,2.613,2.651,2.57,2.608,111396,1113960
1609387200000,2.609,2.648,2.565,2.614,113565,1135650
1609401600000,2.614,2.659,2.578,2.613,109843,1098430
1609416000000,2.615,2.627,2.512,2.577,294717,2947170
1609430400000,2.576,2.597,2.56,2.58,41991,419910
1609444800000,2.58,2.612,2.577,2.59,52558,525580
1609459200000,2.592,2.652,2.569,2.637,92969,929690
1609473600000,2.638,2.673,2.599,2.621,67054,670540
1609488000000,2.621,2.664,2.579,2.642,106066,1060660
1609502400000,2.643,2.733,2.623,2.669,214003,2140030
1609516800000,2.672,2.7,2.588,2.616,212370,2123700
1609531200000,2.615,2.64,2.609,2.637,85529,855290
1609545600000,2.637,2.649,2.562,2.606,162495,1624950
1609560000000,2.607,2.629,2.592,2.611,49461,494610
1609574400000,2.612,2.63,2.567,2.605,186485,1864850
1609588800000,2.603,2.678,2.594,2.635,174812,1748120
1609603200000,2.636,2.725,2.609,2.658,166315,1663150
1609617600000,2.659,2.659,2.572,2.63,111924,1119240
1609632000000,2.631,2.643,2.588,2.59,65824,658240
1609646400000,2.589,2.648,2.58,2.599,126540,1265400
1609660800000,2.602,2.799,2.588,2.734,416673,4166730
1609675200000,2.735,2.847,2.668,2.718,414820,4148200
1609689600000,2.717,2.788,2.685,2.704,201204,2012040
1609704000000,2.705,2.85,2.703,2.801,106195,1061950
1609718400000,2.804,3.053,2.785,2.99,401958,4019580
1609732800000,2.991,3.128,2.81,2.898,683955,6839550
