Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,5.812,5.971,5.761,5.915,19269,192690
1609128000000,5.916,6.028,5.832,6.005,15019,150190
1609142400000,6.002,6.18,5.938,6.113,28066,280660
1609156800000,6.114,6.115,5.968,5.98,20550,205500
1609171200000,5.983,6.045,5.943,5.965,15370,153700
1609185600000,5.962,6.024,5.803,5.924,17870,178700
1609200000000,5.922,6.026,5.705,5.714,35012,350120
1609214400000,5.708,5.735,5.526,5.678,23809,238090
1609228800000,5.688,5.795,5.611,5.695,11613,116130
1609243200000,5.699,5.775,5.57,5.579,21953,219530
1609257600000,5.58,5.712,5.463,5.657,39359,393590
1609272000000,5.657,5.738,5.606,5.725,19540,195400
1609286400000,5.727,5.798,5.654,5.74,29102,291020
1609300800000,5.742,5.761,5.66,5.711,20089,200890
1609315200000,5.71,5.827,5.598,5.679,41730,417300
1609329600000,5.677,5.73,5.63,5.681,26335,263350
1609344000000,5.681,5.721,5.614,5.672,23775,237750
1609358400000,5.671,5.71,5.619,5.684,8091,80910
1609372800000,5.685,5.736,5.555,5.632,24836,248360
1609387200000,5.632,5.711,5.565,5.662,16907,169070
1609401600000,5.657,5.81,5.617,5.728,20287,202870
1609416000000,5.724,5.743,5.562,5.597,27447,274470
1609430400000,5.598,5.664,5.571,5.644,6655,66550
1609444800000,5.645,5.682,5.633,5.659,3374,33740
1609459200000,5.659,5.776,5.613,5.733,13414,134140
1609473600000,5.735,5.86,5.669,5.717,16710,167100
1609488000000,5.718,5.778,5.601,5.743,15335,153350
1609502400000,5.744,5.864,5.715,5.733,14591,145910
1609516800000,5.734,5.782,5.599,5.632,17333,173330
1609531200000,5.632,5.704,5.609,5.694,3723,37230
1609545600000,5.692,5.717,5.567,5.651,12969,129690
1609560000000,5.65,5.722,5.621,5.691,8450,84500
1609574400000,5.692,5.738,5.62,5.664,12260,122600
1609588800000,5.664,5.83,5.633,5.802,22139,221390
1609603200000,5.803,5.961,5.755,5.865,32678,326780
1609617600000,5.868,5.868,5.613,5.775,16781,167810
1609632000000,5.778,5.929,5.763,5.893,13704,137040
1609646400000,5.898,6.083,5.834,6.024,28270,282700
1609660800000,6.026,6.49,6.008,6.315,64963,649630
1609675200000,6.314,6.65,6.191,6.353,75486,754860
1609689600000,6.352,6.656,6.245,6.307,69998,699980
1609704000000,6.307,6.696,6.307,6.582,23782,237820
1609718400000,6.579,6.946,6.531,6.934,37733,377330
1609732800000,6.945,7.628,6.802,6.989,95505,955050
1609747200000,6.999,7.16,6.195,6.788,95738,957380
1609761600000,6.801,7.204,6.696,7.005,54294,542940
1609776000000,7.001,7.048,6.677,6.907,25568,255680
1609790400000,6.915,7.057,6.761,7.047,11343,113430
1609804800000,7.043,7.413,6.753,6.806,60650,606500
1609819200000,6.823,6.951,6.679,6.811,26585,265850
1609833600000,6.813,7.125,6.813,7.111,27613,276130
1609848000000,7.103,7.145,6.8,6.988,20673,206730
1609862400000,6.993,7.185,6.904,7.097,17693,176930
1609876800000,7.096,7.29,7.044,7.271,16034,160340
1609891200000,7.28,7.314,6.972,7.061,20510,205100
1609905600000,7.061,7.28,7.06,7.137,21694,216940
1609920000000,7.146,7.507,7.096,7.434,48249,482490
1609934400000,7.447,7.587,7.329,7.437,35460,354600
1609948800000,7.436,7.79,7.433,7.51,38928,389280
1609963200000,7.52,7.649,7.18,7.573,28875,288750
1609977600000,7.585,7.661,7.413,7.631,17975,179750
1609992000000,7.632,7.783,7.203,7.257,40042,400420
1610006400000,7.268,7.394,7.046,7.385,33470,334700
1610020800000,7.388,7.531,7.286,7.44,28141,281410
1610035200000,7.458,7.637,6.979,7.28,43147,431470
1610049600000,7.282,7.346,7.11,7.216,10412,104120
1610064000000,7.217,7.321,6.637,6.952,50426,504260
1610078400000,6.949,7.011,6.771,6.996,22119,221190
1610092800000,7.003,7.192,6.89,7.051,31479,314790
1610107200000,7.046,7.159,6.679,6.81,41629,416290
1610121600000,6.817,6.896,6.681,6.767,25770,257700
1610136000000,6.764,6.969,6.664,6.954,24162,241620
1610150400000,6.958,7.001,6.712,6.909,26145,261450
1610164800000,6.908,6.91,6.715,6.795,25701,257010
1610179200000,6.799,7.225,6.735,7.057,46361,463610
1610193600000,7.065,7.441,7.005,7.28,80171,801710
1610208000000,7.28,8.185,7.231,7.941,161597,1615970
1610222400000,7.945,8.098,7.691,7.775,44536,445360
1610236800000,7.783,8.673,7.783,8.34,108866,1088660
1610251200000,8.341,9.428,8.334,9.34,94545,945450
1610265600000,9.326,9.497,8.061,8.258,143391,1433910
1610280000000,8.257,8.98,8.1,8.677,76946,769460
1610294400000,8.677,8.917,8.157,8.803,30993,309930
1610308800000,8.839,9.277,8.744,8.806,49183,491830
1610323200000,8.806,8.847,6.88,7.549,125588,1255880
1610337600000,7.544,7.757,7.127,7.426,101384,1013840
1610352000000,7.44,8.059,7.3,7.5,45058,450580
1610366400000,7.524,7.644,6.825,6.919,80818,808180
