Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,685.0,720.14,681.54,704.41,1367894,136789.4
1609128000000,704.59,738.82,698.18,733.09,1110364,111036.4
1609142400000,733.08,741.3,720.08,732.15,1371231,137123.1
1609156800000,732.03,741.0,715.58,729.5,1053478,105347.8
1609171200000,729.48,748.54,726.78,744.3,888274,88827.4
1609185600000,744.41,747.57,715.02,730.44,609649,60964.9
1609200000000,730.45,740.92,700.2,700.44,1255129,125512.9
1609214400000,700.38,710.0,689.68,710.0,994624,99462.4
1609228800000,709.9,734.48,709.87,731.81,827629,82762.9
1609243200000,731.95,740.0,714.0,719.13,954590,95459.0
1609257600000,719.49,732.3,705.1,730.48,830421,83042.1
1609272000000,730.8,737.54,721.91,732.57,328008,32800.8
1609286400000,732.62,748.17,731.56,734.59,646555,64655.5
1609300800000,734.81,744.18,725.0,733.3,672508,67250.8
1609315200000,733.62,737.52,716.38,725.79,925368,92536.8
1609329600000,725.39,736.32,719.56,734.07,518327,51832.7
1609344000000,734.07,759.95,727.61,754.01,905084,90508.4
1609358400000,753.96,756.31,741.37,752.41,391209,39120.9
1609372800000,752.51,755.82,727.59,742.71,829859,82985.9
1609387200000,742.76,755.7,736.0,750.43,542747,54274.7
1609401600000,750.3,753.58,736.33,745.38,469676,46967.6
1609416000000,745.57,748.12,721.16,735.91,963503,96350.3
1609430400000,735.85,742.9,724.55,738.59,446427,44642.7
1609444800000,738.76,745.7,732.41,736.19,205962,20596.2
1609459200000,736.26,749.49,729.68,745.58,451534,45153.4
1609473600000,745.58,747.41,734.99,737.8,252021,25202.1
1609488000000,737.81,742.0,724.31,739.16,527243,52724.3
1609502400000,739.16,744.25,732.41,735.74,491786,49178.6
1609516800000,735.61,737.81,714.66,725.36,604343,60434.3
1609531200000,725.11,731.83,722.43,729.19,165218,16521.8
1609545600000,729.02,734.54,715.1,730.64,649033,64903.3
1609560000000,730.65,740.79,726.28,735.73,481988,48198.8
1609574400000,735.61,738.8,721.2,730.0,586809,58680.9
1609588800000,729.89,773.98,728.84,769.01,2015250,201525.0
1609603200000,769.0,787.5,764.41,784.44,1202582,120258.2
1609617600000,784.93,785.28,755.1,774.93,912646,91264.6
1609632000000,774.69,781.6,771.08,772.52,309763,30976.3
1609646400000,772.52,807.43,769.18,800.83,948694,94869.4
1609660800000,800.81,833.0,792.17,830.52,1039699,103969.9
1609675200000,830.26,925.52,827.18,919.23,3477903,347790.3
1609689600000,919.47,981.52,892.0,921.41,3576969,357696.9
1609704000000,921.4,1018.46,919.63,978.92,1798896,179889.6
1609718400000,978.94,1027.52,955.0,1022.27,1560643,156064.3
1609732800000,1022.53,1174.57,1013.3,1053.01,4948983,494898.3
1609747200000,1054.1,1084.79,885.86,974.57,6300094,630009.4
1609761600000,974.13,1056.0,955.0,1039.44,3055409,305540.9
1609776000000,1038.86,1048.47,983.03,1042.74,1921434,192143.4
1609790400000,1043.44,1050.93,992.43,1043.37,1057765,105776.5
1609804800000,1042.95,1135.99,994.07,1001.9,3344244,334424.4
1609819200000,1001.56,1030.24,972.29,1002.54,2128658,212865.8
1609833600000,1002.97,1050.0,1002.97,1043.01,1211344,121134.4
1609848000000,1043.2,1065.0,1002.19,1053.39,1310173,131017.3
1609862400000,1053.64,1111.55,1037.8,1098.28,1517593,151759.3
1609876800000,1098.9,1125.3,1073.83,1099.97,1064032,106403.2
1609891200000,1100.6,1110.74,1056.27,1075.71,967133,96713.3
1609905600000,1075.44,1143.04,1073.53,1108.05,1502273,150227.3
1609920000000,1108.05,1177.16,1090.41,1157.57,1720931,172093.1
1609934400000,1157.26,1166.34,1122.84,1143.34,1249625,124962.5
1609948800000,1144.19,1209.98,1144.19,1161.4,1911895,191189.5
1609963200000,1161.57,1214.8,1113.68,1208.65,1812980,181298.0
1609977600000,1209.14,1229.27,1180.46,1216.96,1115451,111545.1
1609992000000,1216.26,1221.89,1180.16,1184.96,746019,74601.9
1610006400000,1185.32,1206.82,1157.36,1202.24,1009349,100934.9
1610020800000,1202.24,1252.87,1197.82,1250.65,1025231,102523.1
1610035200000,1250.92,1294.59,1145.24,1234.76,3351596,335159.6
1610049600000,1235.4,1268.13,1202.14,1226.17,1139367,113936.7
1610064000000,1226.75,1233.59,1062.62,1148.91,3104396,310439.6
1610078400000,1148.9,1214.38,1125.22,1208.18,1499352,149935.2
1610092800000,1208.55,1275.39,1186.64,1259.64,1676878,167687.8
1610107200000,1259.55,1279.38,1170.92,1216.53,1932334,193233.4
1610121600000,1216.6,1241.39,1172.0,1183.5,1268322,126832.2
1610136000000,1183.92,1229.84,1134.44,1216.95,1263654,126365.4
1610150400000,1217.39,1236.53,1172.0,1228.56,966065,96606.5
1610164800000,1228.86,1228.87,1173.5,1197.76,706752,70675.2
1610179200000,1197.43,1239.53,1185.0,1220.93,698437,69843.7
1610193600000,1221.62,1237.28,1207.3,1220.54,459540,45954.0
1610208000000,1220.46,1238.66,1194.46,1230.76,438962,43896.2
1610222400000,1231.36,1309.0,1218.0,1277.99,1037656,103765.6
1610236800000,1277.92,1342.63,1277.92,1312.4,1060412,106041.2
1610251200000,1312.4,1346.58,1304.94,1344.06,625764,62576.4
1610265600000,1344.27,1351.0,1256.46,1258.13,1584430,158443.0
1610280000000,1258.46,1326.77,1238.39,1302.75,1883558,188355.8
1610294400000,1303.03,1323.91,1251.33,1285.55,912509,91250.9
1610308800000,1284.55,1289.0,1255.45,1256.0,423811,42381.1
1610323200000,1256.0,1260.78,1007.4,1102.27,3542767,354276.7
1610337600000,1102.58,1133.0,1011.16,1069.01,3637110,363711.0
1610352000000,1069.11,1148.16,1046.46,1068.63,1695443,169544.3
1610366400000,1067.91,1102.82,951.01,976.08,3833556,383355.6
1610380800000,976.62,1026.1,915.0,985.63,3514494,351449.4
1610395200000,984.55,1092.99,959.36,1085.99,1351113,135111.3
1610409600000,1086.65,1090.79,1038.59,1088.42,1137766,113776.6
1610424000000,1088.85,1152.34,1076.9,1139.61,981056,98105.6
1610438400000,1140.03,1144.57,1068.71,1099.1,1123860,112386.0
1610452800000,1099.66,1112.06,1008.0,1053.77,1856929,185692.9
1610467200000,1054.37,1126.56,1054.19,1083.2,1109149,110914.9
1610481600000,1082.65,1087.79,1024.53,1049.56,805649,80564.9
1610496000000,1049.76,1060.67,987.12,1046.92,1637203,163720.3
1610510400000,1046.89,1081.52,1011.23,1077.4,851411,85141.1
1610524800000,1077.45,1097.56,1054.2,1061.46,880627,88062.7
1610539200000,1061.55,1084.62,1043.62,1071.55,745814,74581.4
1610553600000,1071.98,1110.77,1061.37,1102.78,561804,56180.4
1610568000000,1103.63,1137.34,1092.66,1129.98,552999,55299.9
1610582400000,1130.23,1148.89,1093.0,1098.08,667482,66748.2
1610596800000,1097.56,1163.32,1087.45,1149.31,758051,75805.1
1610611200000,1149.13,1176.56,1142.81,1167.53,684308,68430.8
1610625600000,1167.34,1220.99,1148.23,1212.37,1033911,103391.1
1610640000000,1212.45,1247.89,1204.52,1231.75,721126,72112.6
1610654400000,1231.4,1236.79,1163.84,1232.01,698236,69823.6
1610668800000,1232.01,1258.7,1202.28,1220.36,772754,77275.4
1610683200000,1220.78,1243.35,1176.73,1241.47,1109828,110982.8
1610697600000,1240.73,1247.97,1205.21,1226.18,679910,67991.0
1610712000000,1226.52,1230.99,1126.33,1141.0,1504499,150449.9
1610726400000,1141.83,1175.62,1068.85,1133.91,2090596,209059.6
1610740800000,1132.86,1175.09,1110.3,1168.38,602472,60247.2
1610755200000,1168.54,1199.85,1158.49,1180.0,683074,68307.4
