Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,22.18,22.77,22.06,22.61,397161,39716.1
1609128000000,22.59,23.07,22.59,22.87,327847,32784.7
1609142400000,22.88,23.1,22.58,22.76,232070,23207.0
1609156800000,22.78,22.84,22.52,22.66,184831,18483.1
1609171200000,22.64,22.7,22.21,22.21,151560,15156.0
1609185600000,22.25,22.3,21.92,21.98,205998,20599.8
1609200000000,22.0,22.27,21.43,21.43,263671,26367.1
1609214400000,21.43,21.97,21.4,21.71,199430,19943.0
1609228800000,21.7,21.85,21.44,21.49,136539,13653.9
1609243200000,21.5,21.6,20.88,20.95,402509,40250.9
1609257600000,20.94,20.94,20.0,20.36,1132608,113260.8
1609272000000,20.27,20.5,19.96,20.45,516358,51635.8
1609286400000,20.44,21.81,20.21,21.45,1375339,137533.9
1609300800000,21.47,21.66,21.12,21.58,340718,34071.8
1609315200000,21.61,21.62,21.15,21.34,606354,60635.4
1609329600000,21.32,22.06,21.27,21.35,1166322,116632.2
1609344000000,21.35,21.56,21.19,21.31,285309,28530.9
1609358400000,21.29,21.86,20.94,21.45,978108,97810.8
1609372800000,21.46,21.59,21.08,21.18,540067,54006.7
1609387200000,21.19,21.78,21.19,21.78,512731,51273.1
1609401600000,21.75,22.2,21.53,21.58,560358,56035.8
1609416000000,21.58,22.54,21.29,22.53,1420347,142034.7
1609430400000,22.56,26.31,22.53,24.86,5586011,558601.1
1609444800000,24.82,24.98,23.68,24.37,1315036,131503.6
1609459200000,24.4,25.07,23.82,24.29,1215273,121527.3
1609473600000,24.28,24.34,23.26,23.61,650175,65017.5
1609488000000,23.6,23.68,22.83,23.24,989190,98919.0
1609502400000,23.24,23.58,22.62,22.62,638580,63858.0
1609516800000,22.61,22.65,21.88,22.19,749567,74956.7
1609531200000,22.21,22.73,21.94,22.23,1134238,113423.8
1609545600000,22.23,23.21,21.93,22.68,1009447,100944.7
1609560000000,22.72,22.73,22.18,22.21,434546,43454.6
1609574400000,22.21,22.66,22.18,22.25,604193,60419.3
1609588800000,22.23,22.44,22.05,22.25,463184,46318.4
1609603200000,22.26,22.5,21.48,21.67,530698,53069.8
1609617600000,21.66,21.83,21.37,21.79,391053,39105.3
1609632000000,21.78,21.8,21.47,21.73,253658,25365.8
1609646400000,21.73,21.77,21.35,21.39,202630,20263.0
1609660800000,21.4,21.53,21.18,21.34,280227,28022.7
1609675200000,21.34,21.8,21.23,21.34,194639,19463.9
1609689600000,21.37,21.5,21.0,21.03,334214,33421.4
1609704000000,21.03,22.11,21.03,21.35,455068,45506.8
1609718400000,21.49,23.06,21.49,22.92,735941,73594.1
1609732800000,22.95,22.97,21.71,21.89,743258,74325.8
1609747200000,21.91,22.21,20.86,21.43,828239,82823.9
1609761600000,21.4,21.51,21.12,21.3,182625,18262.5
1609776000000,21.32,21.36,21.1,21.14,42247,4224.7
1609790400000,21.1,21.54,20.97,21.5,190569,19056.9
1609804800000,21.44,21.63,21.07,21.1,547244,54724.4
1609819200000,21.09,21.4,21.03,21.31,162167,16216.7
1609833600000,21.35,21.79,21.25,21.72,242079,24207.9
1609848000000,21.78,22.15,21.32,21.52,679261,67926.1
