Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.131,0.135,0.129,0.133,6935,69350
1609128000000,0.134,0.137,0.132,0.137,31192,311920
1609142400000,0.136,0.142,0.136,0.141,12798,127980
1609156800000,0.141,0.142,0.137,0.138,46599,465990
1609171200000,0.138,0.141,0.137,0.141,9191,91910
1609185600000,0.142,0.143,0.135,0.137,5850,58500
1609200000000,0.138,0.142,0.129,0.129,38504,385040
1609214400000,0.128,0.13,0.125,0.128,4536,45360
1609228800000,0.128,0.132,0.126,0.128,10193,101930
1609243200000,0.129,0.13,0.126,0.126,6691,66910
1609257600000,0.126,0.131,0.122,0.131,12744,127440
1609272000000,0.131,0.133,0.13,0.132,3038,30380
1609286400000,0.132,0.132,0.13,0.13,7477,74770
1609300800000,0.131,0.134,0.128,0.128,53966,539660
1609315200000,0.127,0.13,0.124,0.128,12886,128860
1609329600000,0.128,0.131,0.126,0.131,30363,303630
1609344000000,0.131,0.132,0.127,0.128,57961,579610
1609358400000,0.128,0.129,0.126,0.128,17369,173690
1609372800000,0.128,0.129,0.125,0.127,38080,380800
1609387200000,0.127,0.128,0.126,0.128,6591,65910
1609401600000,0.128,0.129,0.126,0.127,13725,137250
1609416000000,0.127,0.127,0.12,0.121,47939,479390
1609430400000,0.121,0.124,0.121,0.123,7063,70630
1609444800000,0.124,0.125,0.123,0.125,10851,108510
1609459200000,0.126,0.129,0.124,0.127,13250,132500
1609473600000,0.127,0.13,0.125,0.128,43620,436200
1609488000000,0.128,0.128,0.125,0.127,29102,291020
1609502400000,0.127,0.129,0.126,0.127,16970,169700
1609516800000,0.128,0.131,0.124,0.127,84985,849850
1609531200000,0.127,0.13,0.127,0.13,12962,129620
1609545600000,0.129,0.131,0.125,0.131,14290,142900
1609560000000,0.131,0.133,0.129,0.129,43483,434830
1609574400000,0.13,0.13,0.127,0.127,12066,120660
1609588800000,0.127,0.13,0.126,0.128,13775,137750
1609603200000,0.128,0.128,0.123,0.124,20678,206780
1609617600000,0.124,0.124,0.118,0.123,33219,332190
1609632000000,0.124,0.125,0.123,0.123,30799,307990
1609646400000,0.123,0.124,0.122,0.123,58731,587310
1609660800000,0.122,0.128,0.122,0.127,56583,565830
1609675200000,0.127,0.131,0.127,0.13,15783,157830
1609689600000,0.13,0.131,0.126,0.127,5000,50000
1609704000000,0.127,0.134,0.127,0.132,5086,50860
