Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.3975,0.429,0.3866,0.4244,2372320,23723200
1609128000000,0.4241,0.4373,0.4041,0.4138,1435682,14356820
1609142400000,0.4147,0.422,0.4012,0.4136,1234277,12342770
1609156800000,0.4134,0.437,0.4053,0.4176,1507348,15073480
1609171200000,0.4173,0.4259,0.3953,0.4024,1384045,13840450
1609185600000,0.4023,0.4077,0.3774,0.381,1439259,14392590
1609200000000,0.3817,0.3851,0.3586,0.3683,1739652,17396520
1609214400000,0.3679,0.3751,0.3604,0.3611,605866,6058660
1609228800000,0.3615,0.387,0.3615,0.3716,961987,9619870
1609243200000,0.3718,0.381,0.3603,0.3626,805650,8056500
1609257600000,0.3618,0.3705,0.3402,0.3651,1032973,10329730
1609272000000,0.3648,0.3748,0.3535,0.3735,622868,6228680
1609286400000,0.3737,0.403,0.3633,0.3657,1629597,16295970
1609300800000,0.3662,0.375,0.3508,0.3595,983403,9834030
1609315200000,0.3599,0.3634,0.3502,0.3573,515005,5150050
1609329600000,0.3573,0.3811,0.3555,0.3711,1041924,10419240
1609344000000,0.3715,0.3949,0.3612,0.3718,1434813,14348130
1609358400000,0.3721,0.3778,0.364,0.3756,798130,7981300
1609372800000,0.3757,0.3815,0.3546,0.3547,1044667,10446670
1609387200000,0.3551,0.3693,0.354,0.3645,741427,7414270
1609401600000,0.365,0.3704,0.3544,0.3633,806147,8061470
1609416000000,0.3629,0.3663,0.3413,0.3559,714800,7148000
1609430400000,0.3554,0.3554,0.3415,0.3497,544371,5443710
1609444800000,0.35,0.3557,0.3454,0.351,539164,5391640
1609459200000,0.3512,0.3794,0.3439,0.3666,1553708,15537080
1609473600000,0.3672,0.3714,0.355,0.3568,524704,5247040
1609488000000,0.3566,0.368,0.35,0.3651,590274,5902740
1609502400000,0.365,0.3789,0.3572,0.3627,915635,9156350
1609516800000,0.3633,0.3768,0.3451,0.3607,931742,9317420
1609531200000,0.3604,0.3658,0.3535,0.3622,459130,4591300
1609545600000,0.362,0.3628,0.3495,0.3564,458465,4584650
1609560000000,0.3563,0.3582,0.3515,0.3519,257149,2571490
1609574400000,0.3517,0.3591,0.3517,0.3545,315068,3150680
1609588800000,0.354,0.3587,0.3289,0.3404,805615,8056150
1609603200000,0.3401,0.347,0.3226,0.3292,1031787,10317870
1609617600000,0.3287,0.3348,0.3024,0.3273,929377,9293770
1609632000000,0.3268,0.3299,0.3138,0.3223,498884,4988840
1609646400000,0.3225,0.3241,0.2933,0.301,918047,9180470
1609660800000,0.3014,0.3259,0.2817,0.3241,1133505,11335050
1609675200000,0.3241,0.3375,0.302,0.3125,1761000,17610000
1609689600000,0.3128,0.3144,0.2995,0.3093,961600,9616000
1609704000000,0.3094,0.32,0.2952,0.299,1062597,10625970
1609718400000,0.2995,0.3511,0.2912,0.3288,1929993,19299930
1609732800000,0.3289,0.349,0.306,0.3166,1320389,13203890
1609747200000,0.3169,0.325,0.293,0.3023,1085356,10853560
1609761600000,0.3022,0.3164,0.2995,0.3066,851916,8519160
1609776000000,0.3069,0.3085,0.296,0.303,580358,5803580
1609790400000,0.3031,0.3101,0.2949,0.3092,588871,5888710
1609804800000,0.3095,0.3205,0.2907,0.294,922363,9223630
1609819200000,0.2941,0.2971,0.285,0.2912,823948,8239480
1609833600000,0.2914,0.3157,0.2911,0.3108,664059,6640590
1609848000000,0.3103,0.3115,0.2992,0.3111,675621,6756210
1609862400000,0.3118,0.3485,0.3063,0.3215,2262368,22623680
1609876800000,0.3214,0.342,0.3094,0.3382,1063919,10639190
1609891200000,0.3388,0.3448,0.315,0.3357,1146628,11466280
1609905600000,0.3358,0.3887,0.3244,0.3566,2307148,23071480
1609920000000,0.3579,0.3962,0.3462,0.3761,1814030,18140300
1609934400000,0.3759,0.384,0.3532,0.3646,1340134,13401340
1609948800000,0.3652,0.3784,0.3534,0.3584,1085373,10853730
1609963200000,0.3579,0.3782,0.3449,0.3716,1295045,12950450
1609977600000,0.3713,0.3736,0.351,0.3544,863600,8636000
1609992000000,0.3539,0.3679,0.3494,0.3578,894401,8944010
1610006400000,0.3569,0.4165,0.3548,0.4032,2067614,20676140
1610020800000,0.4033,0.4063,0.3798,0.3818,1369657,13696570
1610035200000,0.3828,0.3922,0.314,0.3564,1742339,17423390
1610049600000,0.3562,0.3679,0.3328,0.3444,882073,8820730
1610064000000,0.345,0.3473,0.3003,0.3306,1680973,16809730
1610078400000,0.3302,0.3485,0.3213,0.346,1020813,10208130
1610092800000,0.3467,0.3537,0.3313,0.3458,1129473,11294730
1610107200000,0.3465,0.3509,0.3238,0.3321,1221124,12211240
1610121600000,0.3322,0.345,0.319,0.3309,1152546,11525460
1610136000000,0.3309,0.3348,0.312,0.3278,670204,6702040
1610150400000,0.3286,0.3446,0.3168,0.3422,1165465,11654650
1610164800000,0.3421,0.345,0.3266,0.3392,846537,8465370
1610179200000,0.3394,0.3649,0.3351,0.3509,1043418,10434180
1610193600000,0.3512,0.3664,0.3449,0.3563,741410,7414100
1610208000000,0.3567,0.3587,0.3391,0.3546,716599,7165990
1610222400000,0.3547,0.3639,0.3466,0.3481,912568,9125680
1610236800000,0.3488,0.3719,0.3488,0.3538,1019750,10197500
1610251200000,0.3536,0.3769,0.3496,0.3734,760778,7607780
1610265600000,0.3751,0.3788,0.3251,0.3342,1504134,15041340
1610280000000,0.334,0.3486,0.3271,0.3395,720946,7209460
1610294400000,0.3401,0.3442,0.3185,0.3327,396615,3966150
1610308800000,0.3325,0.3325,0.3218,0.3262,306979,3069790
1610323200000,0.3269,0.3272,0.2667,0.2916,1203061,12030610
1610337600000,0.2909,0.305,0.2773,0.2944,969568,9695680
1610352000000,0.2945,0.3093,0.2845,0.2874,591751,5917510
1610366400000,0.2871,0.2922,0.2614,0.2644,1025649,10256490
1610380800000,0.2645,0.2699,0.2318,0.2575,1252104,12521040
1610395200000,0.2579,0.2905,0.2551,0.2888,882067,8820670
1610409600000,0.2892,0.294,0.2781,0.291,821958,8219580
1610424000000,0.2911,0.3112,0.2867,0.3035,581722,5817220
1610438400000,0.3025,0.3042,0.2793,0.2866,440962,4409620
1610452800000,0.2868,0.2888,0.2647,0.278,538823,5388230
1610467200000,0.2781,0.2907,0.2781,0.2861,452216,4522160
1610481600000,0.2857,0.2894,0.2712,0.2778,371341,3713410
1610496000000,0.278,0.283,0.267,0.2824,567073,5670730
1610510400000,0.2825,0.2871,0.2711,0.2865,429794,4297940
1610524800000,0.2863,0.2968,0.2818,0.2845,682725,6827250
1610539200000,0.2846,0.3114,0.2825,0.3108,730203,7302030
1610553600000,0.311,0.3496,0.3079,0.3385,1413514,14135140
1610568000000,0.3391,0.3479,0.32,0.3242,946931,9469310
1610582400000,0.324,0.3578,0.3232,0.3435,1195330,11953300
1610596800000,0.3439,0.3559,0.3341,0.342,780927,7809270
1610611200000,0.341,0.347,0.3328,0.3391,483887,4838870
1610625600000,0.339,0.363,0.3365,0.345,927429,9274290
1610640000000,0.3455,0.3537,0.3348,0.3381,523846,5238460
