Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.005792,0.005891,0.005724,0.00585,55306,55306000
1609128000000,0.00585,0.005999,0.005841,0.005972,50315,50315000
1609142400000,0.005973,0.006012,0.005907,0.005981,44191,44191000
1609156800000,0.005977,0.005986,0.005861,0.005889,39343,39343000
1609171200000,0.005894,0.005971,0.00586,0.005942,29116,29116000
1609185600000,0.005939,0.005975,0.005756,0.005897,41637,41637000
1609200000000,0.005895,0.005994,0.005645,0.005648,50263,50263000
1609214400000,0.005642,0.005731,0.005585,0.005711,18322,18322000
1609228800000,0.005711,0.005792,0.005681,0.005743,29059,29059000
1609243200000,0.00574,0.005787,0.005631,0.005644,33852,33852000
1609257600000,0.005636,0.005753,0.005529,0.005713,41949,41949000
1609272000000,0.005715,0.005838,0.005692,0.005799,15368,15368000
1609286400000,0.0058,0.005833,0.005664,0.005676,22799,22799000
1609300800000,0.005671,0.005729,0.005607,0.005693,35777,35777000
1609315200000,0.005694,0.005724,0.005628,0.005662,70144,70144000
1609329600000,0.00566,0.005739,0.005624,0.005709,23178,23178000
1609344000000,0.00571,0.005738,0.005607,0.005648,35219,35219000
1609358400000,0.005648,0.005993,0.005621,0.005933,106922,106922000
1609372800000,0.005939,0.005947,0.00563,0.005695,81031,81031000
1609387200000,0.005697,0.00578,0.005673,0.005742,27804,27804000
1609401600000,0.005741,0.005796,0.005671,0.005674,24605,24605000
1609416000000,0.005677,0.005697,0.005504,0.005593,47142,47142000
1609430400000,0.005593,0.005655,0.00557,0.005627,22126,22126000
1609444800000,0.005626,0.005684,0.005608,0.005684,24783,24783000
1609459200000,0.005681,0.005766,0.005619,0.00572,27025,27025000
1609473600000,0.00572,0.005724,0.005626,0.005664,32099,32099000
1609488000000,0.005668,0.005732,0.005611,0.005707,32036,32036000
1609502400000,0.005705,0.005902,0.005671,0.005819,65076,65076000
1609516800000,0.00582,0.005883,0.005628,0.005708,70761,70761000
1609531200000,0.005706,0.005786,0.005694,0.005777,29246,29246000
1609545600000,0.005776,0.005809,0.005644,0.00579,41717,41717000
1609560000000,0.005791,0.005807,0.005744,0.005749,38691,38691000
1609574400000,0.005749,0.005756,0.005619,0.005664,70182,70182000
1609588800000,0.005663,0.005683,0.005583,0.005607,92697,92697000
1609603200000,0.005609,0.005713,0.00557,0.005676,60634,60634000
1609617600000,0.005678,0.005678,0.005467,0.00562,41997,41997000
1609632000000,0.005619,0.005671,0.00561,0.00563,26234,26234000
1609646400000,0.00563,0.005701,0.005556,0.005574,47874,47874000
1609660800000,0.005575,0.005672,0.005515,0.005659,43843,43843000
1609675200000,0.005658,0.005808,0.005582,0.005669,85922,85922000
1609689600000,0.005688,0.005766,0.005535,0.005568,83995,83995000
1609704000000,0.005568,0.005782,0.005568,0.005712,77517,77517000
1609718400000,0.00574,0.006016,0.005718,0.005971,136407,136407000
1609732800000,0.005966,0.006206,0.005743,0.005801,194966,194966000
1609747200000,0.005829,0.005931,0.005175,0.005539,189430,189430000
1609761600000,0.005545,0.005629,0.005462,0.005594,63141,63141000
