Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.2969,0.3045,0.2936,0.3026,64347,643470
1609128000000,0.3025,0.3101,0.3006,0.3097,64758,647580
1609142400000,0.3096,0.3141,0.3071,0.3112,100406,1004060
1609156800000,0.311,0.3121,0.3049,0.3073,69964,699640
1609171200000,0.3074,0.3186,0.3058,0.3108,104928,1049280
1609185600000,0.3105,0.312,0.2985,0.3055,102756,1027560
1609200000000,0.3055,0.3102,0.29,0.2902,84656,846560
1609214400000,0.2898,0.2926,0.2858,0.2902,37310,373100
1609228800000,0.2903,0.2983,0.2903,0.2938,70117,701170
1609243200000,0.2938,0.298,0.2887,0.2892,66915,669150
1609257600000,0.2892,0.2977,0.2835,0.295,63953,639530
1609272000000,0.2946,0.304,0.2929,0.3016,85646,856460
1609286400000,0.3014,0.3051,0.2967,0.2974,70436,704360
1609300800000,0.2974,0.2989,0.2935,0.2961,44365,443650
1609315200000,0.2959,0.2995,0.2876,0.2892,80878,808780
1609329600000,0.289,0.2968,0.2871,0.2959,57690,576900
1609344000000,0.2959,0.2971,0.2905,0.2953,48311,483110
1609358400000,0.2955,0.2963,0.2918,0.2944,48555,485550
1609372800000,0.2954,0.3044,0.2881,0.2901,73563,735630
1609387200000,0.2902,0.2953,0.2894,0.2935,43117,431170
1609401600000,0.2936,0.2996,0.283,0.2844,104476,1044760
1609416000000,0.2847,0.2912,0.281,0.2908,226798,2267980
1609430400000,0.2908,0.2946,0.288,0.2932,61080,610800
1609444800000,0.2931,0.2968,0.2926,0.2953,44327,443270
1609459200000,0.2955,0.3021,0.2912,0.2999,65942,659420
1609473600000,0.2997,0.3026,0.2942,0.2964,65553,655530
1609488000000,0.2966,0.2978,0.2917,0.297,61158,611580
1609502400000,0.2974,0.3024,0.2962,0.2987,81046,810460
1609516800000,0.2986,0.3008,0.2889,0.2913,90888,908880
1609531200000,0.2913,0.294,0.2904,0.2905,45394,453940
1609545600000,0.2905,0.296,0.2852,0.2946,105837,1058370
1609560000000,0.2946,0.2959,0.2915,0.2918,36157,361570
1609574400000,0.2919,0.2919,0.2837,0.2864,96553,965530
1609588800000,0.2862,0.2905,0.2839,0.2884,114750,1147500
1609603200000,0.2888,0.2912,0.2854,0.2881,114252,1142520
1609617600000,0.2883,0.2884,0.2772,0.2855,115160,1151600
1609632000000,0.2855,0.286,0.281,0.2813,63262,632620
1609646400000,0.2814,0.2836,0.2772,0.278,73636,736360
1609660800000,0.2778,0.2997,0.2768,0.2955,201997,2019970
1609675200000,0.2956,0.3079,0.2902,0.295,172238,1722380
1609689600000,0.2956,0.3037,0.2929,0.2955,128127,1281270
1609704000000,0.2956,0.313,0.2955,0.3089,133855,1338550
1609718400000,0.31,0.3257,0.31,0.3196,126145,1261450
1609732800000,0.3195,0.3296,0.3004,0.3054,226299,2262990
1609747200000,0.3065,0.3148,0.2741,0.297,274209,2742090
1609761600000,0.2972,0.303,0.29,0.3009,117187,1171870
1609776000000,0.3027,0.3184,0.2953,0.3171,130100,1301000
1609790400000,0.3171,0.3583,0.314,0.3449,267860,2678600
1609804800000,0.3441,0.3523,0.3256,0.3256,209709,2097090
1609819200000,0.326,0.333,0.3154,0.3245,103381,1033810
1609833600000,0.3249,0.365,0.3249,0.3645,248103,2481030
1609848000000,0.365,0.3861,0.357,0.3622,406224,4062240
1609862400000,0.3623,0.3651,0.3471,0.3537,197282,1972820
1609876800000,0.3536,0.3624,0.3472,0.3521,125321,1253210
1609891200000,0.3525,0.3576,0.3416,0.3498,133947,1339470
1609905600000,0.3495,0.3851,0.3465,0.3834,227892,2278920
1609920000000,0.3868,0.3966,0.3749,0.3809,230361,2303610
1609934400000,0.3812,0.3983,0.3768,0.3881,263427,2634270
1609948800000,0.3891,0.3931,0.3717,0.373,149949,1499490
1609963200000,0.373,0.3844,0.3621,0.38,142735,1427350
1609977600000,0.3798,0.3858,0.3696,0.3831,116421,1164210
1609992000000,0.3829,0.3954,0.3741,0.3828,155334,1553340
1610006400000,0.3831,0.4039,0.3713,0.4029,176594,1765940
1610020800000,0.4033,0.4051,0.393,0.3976,149904,1499040
1610035200000,0.3989,0.4022,0.3575,0.3821,269077,2690770
1610049600000,0.382,0.3909,0.3771,0.3831,118734,1187340
1610064000000,0.3832,0.3845,0.3468,0.3556,122897,1228970
1610078400000,0.3554,0.3683,0.3445,0.3672,100866,1008660
1610092800000,0.3676,0.38,0.3628,0.38,129274,1292740
1610107200000,0.3801,0.3839,0.3591,0.3654,140489,1404890
1610121600000,0.367,0.3693,0.3537,0.3565,84690,846900
1610136000000,0.3564,0.3698,0.348,0.3689,109786,1097860
1610150400000,0.3701,0.4437,0.3688,0.4278,415185,4151850
