Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.0232,0.02389,0.02309,0.0238,280402,28040200
1609128000000,0.02382,0.02436,0.02377,0.02423,264129,26412900
1609142400000,0.0242,0.0245,0.02371,0.02439,342853,34285300
1609156800000,0.02439,0.02509,0.02407,0.02459,365774,36577400
1609171200000,0.02458,0.02503,0.02438,0.02485,374320,37432000
1609185600000,0.02487,0.02509,0.0243,0.0247,281833,28183300
1609200000000,0.02471,0.02501,0.02278,0.02292,336102,33610200
1609214400000,0.02289,0.02308,0.02248,0.02287,218548,21854800
1609228800000,0.02285,0.02327,0.02253,0.0228,407782,40778200
1609243200000,0.0228,0.02309,0.02253,0.02256,540577,54057700
1609257600000,0.02256,0.02272,0.02203,0.02269,422315,42231500
1609272000000,0.02268,0.02311,0.02244,0.02303,405377,40537700
1609286400000,0.02297,0.02407,0.02296,0.02314,301746,30174600
1609300800000,0.02314,0.02323,0.02273,0.02297,166738,16673800
1609315200000,0.02302,0.02307,0.02248,0.02272,101077,10107700
1609329600000,0.02274,0.0228,0.0225,0.0227,99971,9997100
1609344000000,0.02268,0.02291,0.02251,0.02287,123859,12385900
1609358400000,0.02288,0.0229,0.02228,0.02257,143621,14362100
1609372800000,0.02259,0.02259,0.02179,0.022,205850,20585000
1609387200000,0.022,0.02227,0.02194,0.02223,311111,31111100
1609401600000,0.02221,0.02246,0.02197,0.02227,364622,36462200
1609416000000,0.02227,0.02232,0.02161,0.022,348496,34849600
1609430400000,0.02198,0.02211,0.02176,0.02204,195380,19538000
1609444800000,0.02205,0.02228,0.02196,0.02221,220501,22050100
1609459200000,0.02216,0.02286,0.02205,0.02269,224097,22409700
1609473600000,0.0227,0.02274,0.02231,0.02244,133841,13384100
1609488000000,0.02243,0.0228,0.02227,0.02276,239261,23926100
1609502400000,0.02277,0.02299,0.02248,0.02275,325630,32563000
1609516800000,0.0227,0.02293,0.02241,0.02267,310404,31040400
1609531200000,0.02268,0.02286,0.02262,0.02274,250686,25068600
1609545600000,0.02276,0.02338,0.02243,0.02329,192789,19278900
1609560000000,0.02329,0.02345,0.02307,0.02345,132519,13251900
1609574400000,0.0234,0.02409,0.02283,0.02323,201955,20195500
1609588800000,0.02324,0.02348,0.023,0.02326,480249,48024900
