Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.811,0.831,0.806,0.815,127186,127186
1609128000000,0.815,0.838,0.81,0.837,93908,93908
1609142400000,0.837,0.858,0.83,0.855,111762,111762
1609156800000,0.857,0.86,0.83,0.844,110696,110696
1609171200000,0.843,0.872,0.841,0.868,138467,138467
1609185600000,0.868,0.873,0.838,0.86,136118,136118
1609200000000,0.861,0.879,0.823,0.823,152528,152528
1609214400000,0.822,0.83,0.811,0.824,71436,71436
1609228800000,0.826,0.835,0.821,0.829,65379,65379
1609243200000,0.83,0.835,0.806,0.806,36310,36310
1609257600000,0.805,0.822,0.794,0.822,125318,125318
1609272000000,0.822,0.828,0.818,0.826,29809,29809
1609286400000,0.826,0.836,0.817,0.817,200747,200747
1609300800000,0.816,0.83,0.814,0.82,117612,117612
1609315200000,0.82,0.823,0.808,0.811,122014,122014
1609329600000,0.811,0.815,0.808,0.81,58085,58085
1609344000000,0.81,0.813,0.802,0.806,144995,144995
1609358400000,0.806,0.811,0.797,0.807,79892,79892
1609372800000,0.806,0.807,0.793,0.797,86883,86883
1609387200000,0.797,0.797,0.789,0.791,85592,85592
1609401600000,0.792,0.803,0.784,0.799,105853,105853
1609416000000,0.799,0.801,0.78,0.791,87669,87669
1609430400000,0.791,0.799,0.789,0.796,71587,71587
1609444800000,0.796,0.8,0.788,0.8,35034,35034
1609459200000,0.8,0.826,0.792,0.82,213467,213467
1609473600000,0.82,0.821,0.805,0.813,172599,172599
1609488000000,0.813,0.828,0.799,0.828,76837,76837
1609502400000,0.829,0.838,0.802,0.812,195130,195130
1609516800000,0.814,0.822,0.775,0.789,374471,374471
1609531200000,0.789,0.798,0.788,0.798,70237,70237
1609545600000,0.798,0.798,0.781,0.797,124094,124094
1609560000000,0.798,0.811,0.793,0.793,257073,257073
1609574400000,0.793,0.798,0.786,0.794,145610,145610
1609588800000,0.795,0.805,0.788,0.801,228960,228960
1609603200000,0.799,0.806,0.792,0.796,114198,114198
1609617600000,0.796,0.797,0.781,0.785,146986,146986
1609632000000,0.785,0.786,0.781,0.784,39684,39684
1609646400000,0.784,0.785,0.765,0.77,169926,169926
1609660800000,0.77,0.789,0.77,0.788,141204,141204
1609675200000,0.788,0.819,0.786,0.803,282239,282239
1609689600000,0.804,0.824,0.801,0.812,298187,298187
1609704000000,0.813,0.845,0.802,0.829,217456,217456
1609718400000,0.829,0.863,0.829,0.858,629744,629744
1609732800000,0.858,0.938,0.836,0.846,655825,655825
1609747200000,0.848,0.861,0.769,0.806,752877,752877
1609761600000,0.807,0.833,0.799,0.833,308307,308307
1609776000000,0.833,0.836,0.814,0.836,187677,187677
1609790400000,0.837,0.84,0.815,0.821,235806,235806
1609804800000,0.823,0.849,0.814,0.816,276765,276765
1609819200000,0.817,0.825,0.798,0.812,227729,227729
1609833600000,0.814,0.861,0.814,0.853,225310,225310
1609848000000,0.853,0.881,0.837,0.88,482639,482639
1609862400000,0.882,0.924,0.875,0.876,450954,450954
1609876800000,0.877,0.912,0.873,0.909,302914,302914
1609891200000,0.91,0.944,0.883,0.925,441629,441629
1609905600000,0.925,0.925,0.897,0.91,320813,320813
1609920000000,0.912,0.938,0.905,0.937,276664,276664
1609934400000,0.94,1.001,0.937,0.968,644723,644723
1609948800000,0.969,1.232,0.969,1.149,934354,934354
1609963200000,1.148,1.251,1.048,1.183,1099623,1099623
1609977600000,1.184,1.307,1.182,1.207,658495,658495
1609992000000,1.207,1.208,1.106,1.107,458243,458243
