Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,50.31,52.28,49.22,51.63,58304,5830.4
1609128000000,51.62,54.48,50.81,54.48,83075,8307.5
1609142400000,54.24,56.63,53.13,55.03,111504,11150.4
1609156800000,55.02,58.32,53.57,57.25,123638,12363.8
1609171200000,57.37,58.93,55.92,56.67,54371,5437.1
1609185600000,56.57,58.81,53.73,58.31,60073,6007.3
1609200000000,58.36,59.67,54.67,54.94,120411,12041.1
1609214400000,54.97,57.02,54.45,56.13,42151,4215.1
1609228800000,56.36,58.06,54.86,56.06,52225,5222.5
1609243200000,56.01,59.3,55.35,55.52,66712,6671.2
1609257600000,55.51,62.25,53.5,61.39,109601,10960.1
1609272000000,61.51,63.19,59.81,62.0,94536,9453.6
1609286400000,61.98,63.69,60.82,62.64,96433,9643.3
1609300800000,62.68,64.23,60.88,61.69,77467,7746.7
1609315200000,61.74,63.41,59.54,60.54,76505,7650.5
1609329600000,60.37,62.64,59.97,61.57,125183,12518.3
1609344000000,61.58,66.32,61.16,63.19,281593,28159.3
1609358400000,63.2,63.48,61.72,62.03,92043,9204.3
1609372800000,62.06,62.86,59.7,61.21,184508,18450.8
1609387200000,61.21,68.48,61.19,68.26,424043,42404.3
1609401600000,68.27,68.98,65.65,67.79,283972,28397.2
1609416000000,67.78,69.52,62.53,68.38,299444,29944.4
1609430400000,68.41,69.79,65.7,68.74,627878,62787.8
1609444800000,68.77,73.69,68.77,71.93,965002,96500.2
1609459200000,72.03,73.67,69.54,70.51,988870,98887.0
1609473600000,70.46,71.84,68.47,70.5,750115,75011.5
1609488000000,70.54,71.96,69.06,69.29,520935,52093.5
1609502400000,69.19,70.3,66.19,67.93,950405,95040.5
1609516800000,67.98,69.06,65.62,67.73,667512,66751.2
1609531200000,67.73,69.61,67.32,69.59,378256,37825.6
1609545600000,69.64,70.04,65.35,68.51,683416,68341.6
1609560000000,68.52,68.93,66.67,67.02,482714,48271.4
1609574400000,67.05,67.89,66.0,66.94,377061,37706.1
1609588800000,66.94,72.25,65.04,72.16,917028,91702.8
1609603200000,72.25,73.34,69.32,70.66,631025,63102.5
1609617600000,70.68,70.69,65.9,69.25,537945,53794.5
1609632000000,69.29,71.19,69.06,69.47,356008,35600.8
1609646400000,69.45,70.9,68.57,68.98,421768,42176.8
1609660800000,68.99,71.24,68.26,68.92,621802,62180.2
1609675200000,68.9,71.75,66.46,67.9,1028339,102833.9
1609689600000,68.05,70.08,67.56,69.23,499198,49919.8
1609704000000,69.25,74.47,68.64,72.9,920647,92064.7
1609718400000,73.16,74.49,70.83,71.72,1185786,118578.6
1609732800000,71.72,73.59,67.28,68.79,1338037,133803.7
1609747200000,69.09,70.64,60.57,65.41,1319734,131973.4
1609761600000,65.4,71.76,63.13,70.92,904450,90445.0
1609776000000,70.94,71.43,66.66,69.45,551431,55143.1
1609790400000,69.47,69.47,67.37,68.62,251632,25163.2
1609804800000,68.64,70.8,63.9,64.21,763799,76379.9
1609819200000,64.29,65.0,61.45,63.44,596276,59627.6
1609833600000,63.49,67.49,63.47,67.03,503017,50301.7
1609848000000,67.06,67.17,63.07,66.93,657626,65762.6
1609862400000,66.9,71.09,66.02,69.63,826921,82692.1
1609876800000,69.59,70.39,66.79,67.85,557068,55706.8
1609891200000,67.86,68.72,65.55,67.17,468207,46820.7
1609905600000,67.2,70.36,66.1,67.46,599883,59988.3
1609920000000,67.5,70.16,67.1,68.93,644850,64485.0
1609934400000,68.91,72.63,68.58,71.76,1195021,119502.1
1609948800000,71.79,75.13,70.12,70.15,835674,83567.4
1609963200000,70.12,75.6,68.86,75.31,746151,74615.1
1609977600000,75.29,76.73,72.94,74.34,968543,96854.3
1609992000000,74.34,74.41,71.23,71.85,606564,60656.4
1610006400000,71.96,73.53,70.57,71.79,717230,71723.0
1610020800000,71.8,74.14,70.42,73.39,1274005,127400.5
1610035200000,73.45,73.71,67.0,69.7,1094798,109479.8
1610049600000,69.75,71.93,67.19,68.87,260862,26086.2
1610064000000,68.88,69.41,64.3,67.19,454599,45459.9
1610078400000,67.1,69.1,66.18,68.8,328267,32826.7
1610092800000,68.76,70.3,68.15,69.45,475123,47512.3
1610107200000,69.42,71.68,67.8,70.17,848809,84880.9
