Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,12.171,12.527,11.975,12.255,782763,782763
1609128000000,12.251,12.681,12.026,12.499,491660,491660
1609142400000,12.515,12.676,12.18,12.44,780562,780562
1609156800000,12.438,12.582,12.155,12.291,593088,593088
1609171200000,12.287,12.794,12.233,12.62,454784,454784
1609185600000,12.621,12.967,12.346,12.603,694155,694155
1609200000000,12.605,13.052,12.026,12.044,998212,998212
1609214400000,12.044,12.16,11.707,11.988,587415,587415
1609228800000,12.0,12.248,11.848,12.02,414432,414432
1609243200000,12.01,12.22,11.302,11.302,860357,860357
1609257600000,11.301,11.659,10.801,11.574,911480,911480
1609272000000,11.559,11.807,11.373,11.762,442689,442689
1609286400000,11.769,11.991,11.525,11.558,665026,665026
1609300800000,11.557,11.879,11.472,11.64,373341,373341
1609315200000,11.649,11.746,11.255,11.291,647364,647364
1609329600000,11.288,11.51,11.232,11.292,584685,584685
1609344000000,11.292,11.464,11.081,11.323,630184,630184
1609358400000,11.326,11.438,11.171,11.259,272066,272066
1609372800000,11.256,11.303,10.947,11.214,650355,650355
1609387200000,11.209,11.62,11.079,11.506,523658,523658
1609401600000,11.507,11.758,11.387,11.558,465025,465025
1609416000000,11.565,11.639,11.131,11.198,512670,512670
1609430400000,11.193,11.479,11.114,11.267,366105,366105
1609444800000,11.266,11.299,11.018,11.242,211934,211934
1609459200000,11.233,11.622,11.065,11.511,480479,480479
1609473600000,11.515,11.551,11.33,11.384,286069,286069
1609488000000,11.386,11.773,11.231,11.718,453546,453546
1609502400000,11.719,12.469,11.713,12.127,1324563,1324563
1609516800000,12.14,12.354,11.535,11.8,1238351,1238351
1609531200000,11.794,12.09,11.745,11.85,604890,604890
1609545600000,11.854,11.903,11.431,11.751,571407,571407
1609560000000,11.745,11.946,11.628,11.628,196484,196484
1609574400000,11.628,11.698,11.492,11.652,373557,373557
1609588800000,11.649,12.134,11.55,11.933,1057965,1057965
1609603200000,11.931,12.449,11.704,12.336,622810,622810
