Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.1612,0.1648,0.1578,0.1599,69620,696200
1609128000000,0.16,0.166,0.1584,0.1655,50460,504600
1609142400000,0.1656,0.172,0.1616,0.1662,106029,1060290
1609156800000,0.1662,0.1697,0.1608,0.1687,170303,1703030
1609171200000,0.1697,0.1867,0.1655,0.1792,356486,3564860
1609185600000,0.1799,0.1811,0.1705,0.1754,119738,1197380
1609200000000,0.1754,0.1806,0.1678,0.1682,88045,880450
1609214400000,0.1682,0.1789,0.1659,0.172,128039,1280390
1609228800000,0.1722,0.1787,0.1722,0.176,48766,487660
1609243200000,0.1762,0.1857,0.1753,0.1764,155437,1554370
1609257600000,0.176,0.1855,0.1733,0.1758,149481,1494810
1609272000000,0.1758,0.1851,0.1745,0.183,90693,906930
1609286400000,0.1829,0.2011,0.1814,0.1965,319478,3194780
1609300800000,0.1964,0.1993,0.1906,0.1976,140728,1407280
1609315200000,0.1977,0.1983,0.1902,0.1911,98898,988980
1609329600000,0.1912,0.193,0.1859,0.186,113157,1131570
1609344000000,0.1861,0.1875,0.1797,0.1861,129797,1297970
1609358400000,0.1861,0.1869,0.178,0.1795,98252,982520
1609372800000,0.1796,0.18,0.1735,0.1762,92922,929220
1609387200000,0.1761,0.1786,0.1748,0.1772,78626,786260
1609401600000,0.1772,0.1772,0.1722,0.1734,76660,766600
1609416000000,0.1734,0.1741,0.1666,0.1712,101443,1014430
1609430400000,0.1713,0.172,0.1687,0.1713,39032,390320
1609444800000,0.1711,0.1712,0.1684,0.1697,43027,430270
1609459200000,0.1697,0.1772,0.1671,0.1765,84067,840670
1609473600000,0.1766,0.1776,0.172,0.1732,115924,1159240
1609488000000,0.1729,0.1807,0.1709,0.1797,115055,1150550
1609502400000,0.1797,0.1806,0.1765,0.1773,102456,1024560
1609516800000,0.178,0.1817,0.1697,0.1745,74322,743220
1609531200000,0.1743,0.1764,0.173,0.1756,56837,568370
1609545600000,0.1756,0.1756,0.1702,0.1745,30786,307860
1609560000000,0.1745,0.1763,0.1726,0.1728,51423,514230
1609574400000,0.173,0.1733,0.1696,0.1718,35102,351020
1609588800000,0.1721,0.1785,0.1699,0.1752,84285,842850
1609603200000,0.1754,0.1792,0.1736,0.1781,87435,874350
1609617600000,0.1782,0.1784,0.1719,0.1754,38553,385530
1609632000000,0.1756,0.1819,0.1754,0.1804,44528,445280
1609646400000,0.1804,0.1862,0.1789,0.186,94016,940160
1609660800000,0.186,0.1941,0.1841,0.1918,145585,1455850
1609675200000,0.1916,0.2055,0.1905,0.2025,150534,1505340
1609689600000,0.2034,0.2293,0.2029,0.2263,413074,4130740
1609704000000,0.2263,0.2773,0.2242,0.2742,542672,5426720
1609718400000,0.2757,0.2809,0.2428,0.2705,519280,5192800
1609732800000,0.2707,0.3434,0.2649,0.3,1359230,13592300
1609747200000,0.3005,0.3167,0.2465,0.2942,877829,8778290
1609761600000,0.2943,0.346,0.2806,0.3196,1079513,10795130
1609776000000,0.3198,0.3425,0.2895,0.3349,480302,4803020
1609790400000,0.3348,0.3858,0.3214,0.3637,827588,8275880
1609804800000,0.3631,0.4984,0.3508,0.4715,1685986,16859860
1609819200000,0.4715,0.4716,0.387,0.4078,1390144,13901440
1609833600000,0.4078,0.4805,0.4077,0.4531,1004827,10048270
1609848000000,0.4517,0.5246,0.4375,0.5235,1479558,14795580
1609862400000,0.5221,0.59,0.5095,0.5524,1866998,18669980
1609876800000,0.5525,0.6287,0.4851,0.494,1613678,16136780
1609891200000,0.494,0.5206,0.4624,0.4937,1345430,13454300
