Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,564.0,585.4,564.0,578.1,5553,55.53
1609128000000,576.8,591.9,573.8,591.9,7321,73.21
1609142400000,593.6,600.0,586.6,591.4,1299,12.99
1609156800000,586.7,586.7,576.7,583.0,1461,14.61
1609171200000,586.6,589.6,586.6,589.6,9,0.09
1609185600000,577.3,579.4,571.2,571.2,740,7.4
1609200000000,585.7,590.0,552.8,552.8,2645,26.45
1609214400000,555.0,559.1,549.2,559.1,1292,12.92
1609228800000,561.6,574.9,561.6,568.9,1270,12.7
1609243200000,580.7,580.7,566.0,566.5,3144,31.44
1609257600000,562.7,571.9,562.0,571.9,1888,18.88
1609272000000,565.6,565.6,565.6,565.6,202,2.02
1609286400000,568.9,568.9,568.9,568.9,22,0.22
1609300800000,569.5,572.5,569.5,572.5,1166,11.66
1609315200000,570.7,570.7,564.2,564.2,1766,17.66
1609329600000,560.3,560.4,553.6,557.8,4157,41.57
1609344000000,559.1,570.5,554.1,566.8,2709,27.09
1609358400000,572.6,578.1,569.4,574.1,3403,34.03
1609372800000,568.6,568.6,563.5,566.8,1528,15.28
1609387200000,563.3,574.5,563.2,574.5,4255,42.55
1609401600000,570.6,580.0,570.6,577.7,5225,52.25
1609416000000,575.0,575.0,560.9,564.8,2552,25.52
1609430400000,571.3,576.6,571.3,576.6,2957,29.57
1609444800000,582.4,586.1,581.1,585.4,2201,22.01
1609459200000,590.0,597.5,590.0,594.5,2739,27.39
1609473600000,596.9,596.9,590.5,594.0,9435,94.35
1609488000000,592.3,595.6,592.3,595.2,1563,15.63
1609502400000,596.8,600.0,594.5,600.0,6002,60.02
1609516800000,600.7,600.7,574.6,574.6,12740,127.4
1609531200000,577.5,577.9,576.7,577.0,1354,13.54
1609545600000,573.2,583.5,569.9,581.9,11222,112.22
1609560000000,580.4,591.7,580.4,585.8,2145,21.45
1609574400000,584.4,586.4,579.4,586.4,2383,23.83
1609588800000,584.6,614.7,584.6,613.1,7372,73.72
1609603200000,606.4,614.8,597.4,611.4,7550,75.5
1609617600000,609.5,610.6,592.3,610.0,2582,25.82
1609632000000,620.0,649.9,620.0,641.9,9519,95.19
1609646400000,646.1,658.4,640.9,644.1,8399,83.99
1609660800000,638.1,669.2,635.6,653.6,14263,142.63
1609675200000,651.5,694.2,651.1,688.6,15488,154.88
1609689600000,690.7,701.4,657.6,658.0,2675,26.75
1609704000000,676.9,690.7,667.6,684.8,1750,17.5
1609718400000,680.1,697.8,668.8,697.8,10260,102.6
1609732800000,696.8,752.3,690.2,693.8,20176,201.76
1609747200000,705.5,714.7,628.7,655.0,16954,169.54
1609761600000,670.5,694.6,666.3,686.9,3510,35.1
1609776000000,680.0,697.2,662.3,697.2,1671,16.71
1609790400000,693.0,693.0,669.4,685.9,7180,71.8
1609804800000,686.1,719.5,682.5,684.3,2315,23.15
1609819200000,665.4,674.1,665.4,674.1,492,4.92
1609833600000,681.4,699.5,681.4,699.5,697,6.97
1609848000000,692.2,710.2,685.4,709.4,5198,51.98
