Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,1.1986,1.2386,1.18,1.1854,55980,559800
1609128000000,1.1851,1.2463,1.1746,1.2231,42638,426380
1609142400000,1.2224,1.2561,1.1787,1.2098,56467,564670
1609156800000,1.2086,1.2113,1.1556,1.1791,36478,364780
1609171200000,1.1788,1.2395,1.1773,1.2074,28624,286240
1609185600000,1.205,1.2474,1.1893,1.2213,31989,319890
1609200000000,1.2217,1.2432,1.1408,1.1408,45112,451120
1609214400000,1.1395,1.1712,1.1123,1.1385,24844,248440
1609228800000,1.1385,1.159,1.1292,1.159,28343,283430
1609243200000,1.159,1.178,1.1138,1.1203,36852,368520
1609257600000,1.1203,1.1534,1.1005,1.1442,25832,258320
1609272000000,1.144,1.1819,1.1211,1.1689,24593,245930
1609286400000,1.1691,1.2504,1.1634,1.2308,54658,546580
1609300800000,1.2326,1.2703,1.2192,1.2495,33073,330730
1609315200000,1.2502,1.2604,1.2007,1.2082,42049,420490
1609329600000,1.2078,1.2455,1.1897,1.2196,30441,304410
1609344000000,1.2212,1.2439,1.2064,1.2242,40242,402420
1609358400000,1.2245,1.2254,1.2002,1.2075,20797,207970
1609372800000,1.2083,1.2106,1.1709,1.1918,26295,262950
1609387200000,1.1912,1.2771,1.1831,1.2766,40626,406260
1609401600000,1.2765,1.3338,1.2543,1.2958,53184,531840
1609416000000,1.2957,1.3159,1.2405,1.3084,62345,623450
1609430400000,1.3095,1.4018,1.3019,1.376,58046,580460
1609444800000,1.3777,1.417,1.3437,1.3941,33772,337720
1609459200000,1.3956,1.4884,1.3948,1.4387,72793,727930
1609473600000,1.4411,1.497,1.4229,1.4785,65888,658880
1609488000000,1.4784,1.4818,1.4298,1.4448,46997,469970
1609502400000,1.4459,1.4517,1.3234,1.3525,64675,646750
1609516800000,1.3579,1.363,1.2852,1.3065,42952,429520
1609531200000,1.3071,1.3637,1.2984,1.3582,27412,274120
1609545600000,1.3597,1.3716,1.3043,1.3716,36546,365460
1609560000000,1.3716,1.3943,1.3542,1.3604,27402,274020
1609574400000,1.3609,1.3611,1.3196,1.3334,23066,230660
1609588800000,1.3322,1.4265,1.3154,1.3959,48425,484250
1609603200000,1.3985,1.4316,1.3834,1.4078,37889,378890
1609617600000,1.4091,1.4247,1.3857,1.4127,33560,335600
1609632000000,1.4131,1.5291,1.4123,1.484,43989,439890
1609646400000,1.486,1.5968,1.4829,1.516,64511,645110
1609660800000,1.5174,1.5518,1.4589,1.4683,50194,501940
1609675200000,1.4676,1.5066,1.4462,1.487,46327,463270
1609689600000,1.4945,1.5019,1.4169,1.4342,37276,372760
1609704000000,1.4347,1.5039,1.4341,1.4731,30900,309000
1609718400000,1.4753,1.57,1.4712,1.5596,48005,480050
1609732800000,1.5594,1.5923,1.3834,1.4329,81258,812580
1609747200000,1.4337,1.4562,1.2892,1.3621,90351,903510
1609761600000,1.3612,1.4029,1.3435,1.3894,39955,399550
1609776000000,1.3903,1.3934,1.3438,1.3654,21636,216360
1609790400000,1.365,1.3874,1.3542,1.3855,19678,196780
1609804800000,1.3874,1.4319,1.3653,1.3759,42405,424050
1609819200000,1.3759,1.3903,1.3317,1.3543,35911,359110
1609833600000,1.3553,1.4545,1.3533,1.4495,36542,365420
1609848000000,1.4512,1.5203,1.426,1.5104,51448,514480
1609862400000,1.5144,1.5236,1.4262,1.4479,44694,446940
1609876800000,1.4483,1.5272,1.4305,1.4993,27974,279740
1609891200000,1.5078,1.5116,1.4158,1.4368,31806,318060
1609905600000,1.4369,1.4659,1.4322,1.4593,29242,292420
1609920000000,1.4618,1.5279,1.4601,1.5068,42081,420810
1609934400000,1.5058,1.5645,1.5011,1.5161,43426,434260
1609948800000,1.5196,1.602,1.4999,1.5263,38120,381200
1609963200000,1.5239,1.5492,1.49,1.5435,25398,253980
1609977600000,1.5433,1.5477,1.4988,1.5271,31677,316770
1609992000000,1.5254,1.5274,1.4984,1.5058,31718,317180
1610006400000,1.5042,1.5683,1.4926,1.5533,38407,384070
1610020800000,1.5528,1.5575,1.5196,1.5495,33823,338230
1610035200000,1.5489,1.5633,1.4757,1.5356,49177,491770
1610049600000,1.5365,1.5445,1.4911,1.4981,26910,269100
1610064000000,1.4984,1.5468,1.4237,1.4625,45618,456180
1610078400000,1.4617,1.4948,1.431,1.4694,20817,208170
1610092800000,1.4737,1.5,1.4568,1.4763,21775,217750
1610107200000,1.4783,1.9613,1.4706,1.8136,125742,1257420
1610121600000,1.8183,1.8288,1.6776,1.6887,39655,396550
1610136000000,1.6873,1.7398,1.6255,1.7326,35727,357270
