Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,15.14,15.51,15.01,15.25,38576,38576
1609128000000,15.25,15.78,15.15,15.67,38746,38746
1609142400000,15.65,15.82,15.48,15.69,50096,50096
1609156800000,15.69,15.92,15.31,15.64,47640,47640
1609171200000,15.67,16.26,15.54,16.08,52113,52113
1609185600000,16.08,16.19,15.23,15.62,65563,65563
1609200000000,15.62,15.94,14.93,14.95,71613,71613
1609214400000,14.94,15.11,14.49,14.8,48637,48637
1609228800000,14.84,15.24,14.74,15.02,39524,39524
1609243200000,15.02,15.24,14.55,14.61,44482,44482
1609257600000,14.61,15.26,14.42,15.05,53603,53603
1609272000000,15.05,15.16,14.85,15.07,32080,32080
1609286400000,15.07,15.22,14.89,14.98,30340,30340
1609300800000,14.96,14.97,14.78,14.86,30976,30976
1609315200000,14.86,14.96,14.5,14.67,53553,53553
1609329600000,14.66,14.89,14.56,14.85,28896,28896
1609344000000,14.85,14.92,14.55,14.72,27801,27801
1609358400000,14.73,14.76,14.59,14.72,14510,14510
1609372800000,14.71,14.71,14.29,14.44,44187,44187
1609387200000,14.44,14.64,14.38,14.53,27066,27066
1609401600000,14.55,14.73,14.36,14.51,30507,30507
1609416000000,14.51,14.58,13.92,14.23,49321,49321
1609430400000,14.22,14.37,14.17,14.32,19473,19473
1609444800000,14.32,14.34,14.17,14.26,17188,17188
1609459200000,14.26,14.65,14.15,14.57,32566,32566
1609473600000,14.6,14.72,14.39,14.44,34941,34941
1609488000000,14.44,14.62,14.28,14.56,22871,22871
1609502400000,14.56,14.88,14.53,14.64,51338,51338
1609516800000,14.64,14.78,14.11,14.29,90306,90306
1609531200000,14.27,14.48,14.24,14.43,23567,23567
1609545600000,14.45,14.66,14.11,14.62,79175,79175
1609560000000,14.62,14.77,14.51,14.52,43643,43643
1609574400000,14.53,14.6,14.34,14.45,33632,33632
1609588800000,14.48,14.65,14.29,14.46,52513,52513
1609603200000,14.46,14.64,14.18,14.57,58240,58240
1609617600000,14.58,14.58,14.02,14.43,56463,56463
1609632000000,14.42,14.57,14.25,14.26,26208,26208
1609646400000,14.27,14.44,14.09,14.09,25267,25267
1609660800000,14.1,15.88,14.02,15.3,122852,122852
1609675200000,15.28,15.71,14.88,15.26,110955,110955
1609689600000,15.27,15.75,14.89,15.02,93057,93057
1609704000000,15.02,16.34,15.01,16.03,99917,99917
1609718400000,16.03,17.0,16.03,16.79,115764,115764
1609732800000,16.79,17.82,16.12,16.47,220233,220233
1609747200000,16.49,16.8,14.63,15.62,211150,211150
1609761600000,15.62,16.12,15.43,15.99,105379,105379
1609776000000,16.0,16.34,15.65,16.09,87915,87915
1609790400000,16.1,16.39,15.74,16.38,65099,65099
1609804800000,16.38,16.64,15.7,15.71,90391,90391
1609819200000,15.73,15.89,15.41,15.61,57787,57787
1609833600000,15.62,17.25,15.62,16.87,108519,108519
1609848000000,16.88,17.09,15.95,16.55,132289,132289
1609862400000,16.54,17.31,16.32,16.98,126474,126474
1609876800000,16.99,17.02,16.66,16.87,52487,52487
1609891200000,16.88,17.14,16.57,16.91,61836,61836
1609905600000,16.91,17.42,16.85,17.38,59569,59569
1609920000000,17.4,17.57,17.0,17.49,105869,105869
1609934400000,17.49,20.25,17.37,19.39,293497,293497
1609948800000,19.37,19.77,18.29,18.36,134276,134276
1609963200000,18.37,19.76,17.74,19.53,161903,161903
1609977600000,19.55,20.78,18.99,20.3,115828,115828
1609992000000,20.3,20.34,19.3,19.45,118293,118293
1610006400000,19.47,19.91,18.65,19.52,124599,124599
1610020800000,19.5,21.94,19.43,21.69,202076,202076
1610035200000,21.7,22.9,19.16,21.45,331757,331757
1610049600000,21.45,22.48,20.31,20.93,160797,160797
1610064000000,20.95,21.41,18.54,19.55,153982,153982
1610078400000,19.54,20.66,19.05,20.53,125380,125380
1610092800000,20.6,21.39,20.07,20.66,131550,131550
1610107200000,20.67,21.38,19.35,19.96,116326,116326
1610121600000,19.97,20.53,19.42,19.55,82253,82253
1610136000000,19.51,19.88,18.72,19.77,93083,93083
1610150400000,19.76,20.77,19.03,20.76,114701,114701
1610164800000,20.74,20.74,19.55,19.87,91462,91462
1610179200000,19.88,20.76,19.68,20.48,88704,88704
1610193600000,20.49,21.07,20.22,20.7,91135,91135
1610208000000,20.7,21.48,20.62,21.31,131611,131611
1610222400000,21.31,21.68,20.61,21.37,99166,99166
1610236800000,21.38,23.03,21.38,22.0,127208,127208
1610251200000,22.02,23.33,21.96,23.01,94299,94299
1610265600000,23.06,23.78,20.95,21.32,196961,196961
1610280000000,21.33,22.54,20.76,21.8,147096,147096
