Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,2.647,2.741,2.611,2.659,37305,37305
1609128000000,2.659,2.73,2.598,2.697,28621,28621
1609142400000,2.702,2.8,2.69,2.735,61263,61263
1609156800000,2.748,2.777,2.675,2.689,50872,50872
1609171200000,2.683,2.79,2.655,2.771,49649,49649
1609185600000,2.766,2.766,2.585,2.663,94208,94208
1609200000000,2.668,2.728,2.522,2.527,134500,134500
1609214400000,2.517,2.546,2.45,2.525,32795,32795
1609228800000,2.525,2.592,2.497,2.55,70909,70909
1609243200000,2.546,2.581,2.47,2.486,26878,26878
1609257600000,2.45,2.54,2.424,2.515,51968,51968
1609272000000,2.52,2.588,2.519,2.582,41025,41025
1609286400000,2.568,2.58,2.534,2.542,18276,18276
1609300800000,2.528,2.532,2.486,2.511,39110,39110
1609315200000,2.508,2.535,2.445,2.463,62690,62690
1609329600000,2.474,2.528,2.456,2.484,34801,34801
1609344000000,2.461,2.5,2.437,2.474,14067,14067
1609358400000,2.477,2.488,2.451,2.471,29932,29932
1609372800000,2.464,2.464,2.384,2.415,55970,55970
1609387200000,2.404,2.43,2.39,2.414,32494,32494
1609401600000,2.42,2.531,2.392,2.467,49346,49346
1609416000000,2.458,2.465,2.349,2.427,26590,26590
1609430400000,2.427,2.527,2.424,2.504,137567,137567
1609444800000,2.537,2.568,2.466,2.478,38759,38759
1609459200000,2.475,2.564,2.441,2.537,114589,114589
1609473600000,2.534,2.591,2.509,2.549,96892,96892
1609488000000,2.555,2.687,2.503,2.662,182934,182934
1609502400000,2.668,2.763,2.603,2.663,202764,202764
1609516800000,2.668,2.685,2.498,2.546,259499,259499
1609531200000,2.579,2.581,2.526,2.541,80214,80214
1609545600000,2.543,2.585,2.462,2.56,261638,261638
1609560000000,2.565,2.729,2.552,2.617,121525,121525
1609574400000,2.62,2.644,2.549,2.597,85857,85857
1609588800000,2.604,2.628,2.517,2.565,110263,110263
1609603200000,2.563,2.633,2.535,2.568,97545,97545
1609617600000,2.554,2.554,2.485,2.541,79442,79442
1609632000000,2.553,2.578,2.532,2.548,68167,68167
1609646400000,2.559,2.559,2.496,2.5,24774,24774
1609660800000,2.503,2.706,2.494,2.642,193624,193624
1609675200000,2.646,2.75,2.604,2.629,231937,231937
1609689600000,2.632,2.75,2.632,2.682,134885,134885
1609704000000,2.72,3.06,2.684,3.048,188048,188048
1609718400000,3.053,3.245,2.997,3.195,359120,359120
1609732800000,3.184,3.328,2.86,2.979,510653,510653
1609747200000,2.995,3.054,2.697,2.915,331946,331946
1609761600000,2.915,3.4,2.846,3.395,348247,348247
1609776000000,3.402,3.481,3.107,3.319,316968,316968
1609790400000,3.319,3.329,3.17,3.267,43747,43747
1609804800000,3.304,3.673,3.165,3.261,497044,497044
1609819200000,3.268,3.454,3.15,3.305,216668,216668
1609833600000,3.319,3.702,3.319,3.623,297727,297727
1609848000000,3.614,3.766,3.434,3.678,246447,246447
1609862400000,3.7,3.702,3.345,3.436,147656,147656
1609876800000,3.444,3.559,3.41,3.511,84151,84151
1609891200000,3.515,3.531,3.349,3.456,62810,62810
1609905600000,3.444,3.543,3.422,3.519,82682,82682
1609920000000,3.531,3.705,3.508,3.648,102579,102579
1609934400000,3.659,3.917,3.613,3.748,277876,277876
1609948800000,3.747,3.945,3.571,3.589,101952,101952
1609963200000,3.64,3.826,3.486,3.715,115100,115100
1609977600000,3.7,3.948,3.658,3.88,139798,139798
1609992000000,3.875,3.877,3.633,3.687,111610,111610
1610006400000,3.678,3.777,3.528,3.692,134021,134021
1610020800000,3.701,3.746,3.629,3.699,78525,78525
1610035200000,3.704,3.909,3.388,3.623,369944,369944
1610049600000,3.632,3.671,3.427,3.514,70354,70354
1610064000000,3.517,3.56,3.079,3.316,309927,309927
1610078400000,3.295,3.521,3.246,3.48,202956,202956
1610092800000,3.485,3.589,3.427,3.465,112921,112921
1610107200000,3.466,3.552,3.301,3.389,96761,96761
1610121600000,3.412,3.425,3.249,3.306,94214,94214
1610136000000,3.293,3.417,3.213,3.408,72050,72050
1610150400000,3.418,3.518,3.314,3.518,118935,118935
1610164800000,3.465,3.487,3.332,3.422,115710,115710
1610179200000,3.431,3.641,3.413,3.576,124703,124703
1610193600000,3.592,3.708,3.524,3.708,125392,125392
1610208000000,3.715,3.81,3.555,3.782,124593,124593
1610222400000,3.752,3.836,3.67,3.696,49292,49292
1610236800000,3.718,3.879,3.718,3.746,50876,50876
1610251200000,3.761,4.142,3.761,3.936,166417,166417
1610265600000,3.944,4.15,3.558,3.666,357087,357087
1610280000000,3.689,3.916,3.597,3.756,137250,137250
1610294400000,3.756,3.782,3.435,3.602,96449,96449
1610308800000,3.508,3.673,3.496,3.654,68525,68525
1610323200000,3.66,3.661,2.978,3.186,204295,204295
1610337600000,3.186,3.257,2.954,3.155,195482,195482
1610352000000,3.143,3.331,3.11,3.119,105514,105514
1610366400000,3.093,3.179,2.785,2.827,177882,177882
1610380800000,2.824,2.894,2.596,2.781,184461,184461
1610395200000,2.741,3.132,2.718,3.087,49807,49807
1610409600000,3.098,3.188,2.942,3.182,76563,76563
1610424000000,3.189,3.267,3.09,3.205,29086,29086
1610438400000,3.206,3.208,3.011,3.048,40407,40407
1610452800000,3.055,3.091,2.887,3.007,15282,15282
1610467200000,3.012,3.144,3.009,3.038,38220,38220
1610481600000,3.019,3.066,2.945,2.97,24555,24555
1610496000000,2.992,3.056,2.894,3.027,34932,34932
1610510400000,3.034,3.131,2.972,3.113,43392,43392
1610524800000,3.099,3.225,3.087,3.131,31019,31019
1610539200000,3.125,3.222,3.11,3.222,37835,37835
1610553600000,3.242,3.278,3.21,3.241,30513,30513
1610568000000,3.236,3.286,3.183,3.253,23972,23972
1610582400000,3.254,3.262,3.15,3.184,31641,31641
1610596800000,3.178,3.292,3.178,3.25,28174,28174
1610611200000,3.266,3.318,3.201,3.305,61792,61792
1610625600000,3.292,3.383,3.22,3.281,82159,82159
1610640000000,3.288,3.366,3.26,3.281,67247,67247
1610654400000,3.281,3.323,3.109,3.225,96018,96018
1610668800000,3.226,3.47,3.224,3.321,142191,142191
1610683200000,3.296,3.417,3.239,3.351,96001,96001
1610697600000,3.36,3.661,3.337,3.511,156967,156967
1610712000000,3.517,3.907,3.346,3.399,405741,405741
