Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.4505,0.4644,0.447,0.4571,99227,992270
1609128000000,0.4571,0.4659,0.4538,0.4623,103368,1033680
1609142400000,0.4623,0.4827,0.4606,0.4765,157693,1576930
1609156800000,0.4765,0.4784,0.4672,0.4703,105884,1058840
1609171200000,0.4705,0.4812,0.4666,0.4697,120745,1207450
1609185600000,0.4693,0.4725,0.4522,0.4631,96114,961140
1609200000000,0.463,0.4737,0.4443,0.4456,159975,1599750
1609214400000,0.4448,0.4485,0.4371,0.4456,70291,702910
1609228800000,0.4458,0.4535,0.4426,0.448,77043,770430
1609243200000,0.4483,0.4541,0.4345,0.4353,73544,735440
1609257600000,0.4349,0.4498,0.4283,0.4468,105241,1052410
1609272000000,0.4464,0.4569,0.4435,0.4551,71740,717400
1609286400000,0.4554,0.4709,0.4409,0.4413,105414,1054140
1609300800000,0.4415,0.4465,0.439,0.4411,59955,599550
1609315200000,0.4407,0.4464,0.4352,0.438,109633,1096330
1609329600000,0.4378,0.4445,0.4353,0.4438,70624,706240
1609344000000,0.4442,0.4512,0.437,0.4495,64936,649360
1609358400000,0.4495,0.4499,0.4444,0.4455,52184,521840
1609372800000,0.4455,0.4464,0.4342,0.4388,83640,836400
1609387200000,0.4392,0.4447,0.4357,0.4404,65005,650050
1609401600000,0.4405,0.4487,0.4356,0.4428,55320,553200
1609416000000,0.4429,0.4454,0.4267,0.4349,88810,888100
1609430400000,0.4345,0.439,0.4324,0.4384,52259,522590
1609444800000,0.4384,0.4432,0.4375,0.4412,30333,303330
1609459200000,0.4413,0.4549,0.4369,0.4509,95654,956540
1609473600000,0.451,0.4527,0.4442,0.4465,101622,1016220
1609488000000,0.4466,0.454,0.4377,0.4525,73931,739310
1609502400000,0.4526,0.4662,0.4526,0.4575,134250,1342500
1609516800000,0.4588,0.4619,0.4365,0.4459,184973,1849730
1609531200000,0.4458,0.4514,0.4443,0.4493,84144,841440
1609545600000,0.4496,0.4623,0.4422,0.4604,161367,1613670
1609560000000,0.4603,0.4908,0.4543,0.4727,361221,3612210
1609574400000,0.4732,0.4775,0.4634,0.4755,208865,2088650
1609588800000,0.4751,0.4876,0.4654,0.4819,270327,2703270
1609603200000,0.4823,0.4825,0.4698,0.4734,197358,1973580
1609617600000,0.4735,0.4737,0.4555,0.4654,123903,1239030
1609632000000,0.4655,0.4729,0.464,0.4665,72007,720070
1609646400000,0.4661,0.4672,0.4594,0.4605,85850,858500
1609660800000,0.4606,0.497,0.4582,0.484,231387,2313870
1609675200000,0.4842,0.4966,0.4752,0.4822,201996,2019960
1609689600000,0.4825,0.4938,0.48,0.4824,124902,1249020
