Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,2.279,2.329,2.261,2.295,56183,56183
1609128000000,2.295,2.319,2.266,2.311,71052,71052
1609142400000,2.312,2.382,2.293,2.382,77792,77792
1609156800000,2.383,2.435,2.36,2.375,85762,85762
1609171200000,2.377,2.442,2.362,2.417,47447,47447
1609185600000,2.418,2.436,2.333,2.381,79530,79530
1609200000000,2.382,2.435,2.267,2.274,128011,128011
1609214400000,2.27,2.293,2.19,2.265,66462,66462
1609228800000,2.273,2.307,2.239,2.25,47556,47556
1609243200000,2.25,2.292,2.183,2.192,71474,71474
1609257600000,2.192,2.244,2.13,2.241,79607,79607
1609272000000,2.242,2.283,2.222,2.271,66591,66591
1609286400000,2.272,2.295,2.237,2.24,42970,42970
1609300800000,2.24,2.255,2.217,2.229,49080,49080
1609315200000,2.232,2.245,2.173,2.204,51212,51212
1609329600000,2.204,2.234,2.18,2.216,30466,30466
1609344000000,2.216,2.238,2.188,2.217,34978,34978
1609358400000,2.219,2.232,2.196,2.215,30908,30908
1609372800000,2.214,2.221,2.162,2.198,30038,30038
1609387200000,2.198,2.227,2.183,2.206,29590,29590
1609401600000,2.208,2.258,2.184,2.244,40591,40591
1609416000000,2.244,2.255,2.146,2.181,77991,77991
1609430400000,2.18,2.201,2.17,2.199,46505,46505
1609444800000,2.199,2.229,2.191,2.221,24461,24461
1609459200000,2.221,2.27,2.205,2.253,43091,43091
1609473600000,2.253,2.27,2.22,2.237,62936,62936
1609488000000,2.238,2.264,2.202,2.251,42322,42322
1609502400000,2.251,2.369,2.235,2.306,78076,78076
1609516800000,2.308,2.332,2.197,2.225,103131,103131
1609531200000,2.222,2.275,2.214,2.271,40072,40072
1609545600000,2.273,2.276,2.208,2.251,67274,67274
1609560000000,2.252,2.28,2.228,2.235,65352,65352
1609574400000,2.235,2.24,2.19,2.214,75362,75362
1609588800000,2.214,2.275,2.187,2.24,112096,112096
1609603200000,2.241,2.293,2.211,2.263,76957,76957
1609617600000,2.262,2.276,2.201,2.25,91019,91019
1609632000000,2.25,2.261,2.223,2.224,40696,40696
1609646400000,2.224,2.249,2.206,2.209,48723,48723
1609660800000,2.208,2.411,2.203,2.365,174694,174694
1609675200000,2.362,2.461,2.326,2.381,188428,188428
1609689600000,2.385,2.444,2.325,2.344,144136,144136
1609704000000,2.344,2.504,2.344,2.465,91568,91568
1609718400000,2.463,2.586,2.463,2.53,180891,180891
1609732800000,2.53,2.704,2.459,2.507,240906,240906
1609747200000,2.502,2.545,2.24,2.366,233939,233939
1609761600000,2.367,2.465,2.313,2.465,85767,85767
1609776000000,2.472,2.637,2.404,2.567,133419,133419
1609790400000,2.567,2.581,2.455,2.521,129184,129184
1609804800000,2.522,2.623,2.407,2.407,159455,159455
1609819200000,2.415,2.471,2.386,2.451,102047,102047
1609833600000,2.455,2.584,2.452,2.561,95519,95519
1609848000000,2.565,2.652,2.488,2.604,157098,157098
1609862400000,2.613,2.649,2.536,2.6,168030,168030
1609876800000,2.601,2.616,2.569,2.611,59289,59289
1609891200000,2.612,2.63,2.538,2.58,85668,85668
1609905600000,2.579,2.636,2.562,2.622,48046,48046
1609920000000,2.634,2.797,2.63,2.745,231309,231309
