Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.2799,0.2925,0.2765,0.286,85171,851710
1609128000000,0.2859,0.303,0.2822,0.2999,107494,1074940
1609142400000,0.2994,0.322,0.298,0.3147,204536,2045360
1609156800000,0.3146,0.3351,0.3039,0.3302,215319,2153190
1609171200000,0.3302,0.3729,0.326,0.3459,358242,3582420
1609185600000,0.3453,0.3526,0.3258,0.3357,204026,2040260
1609200000000,0.3356,0.3651,0.3271,0.3492,187120,1871200
1609214400000,0.3486,0.3614,0.3397,0.3468,85851,858510
1609228800000,0.3468,0.37,0.3467,0.3619,169606,1696060
1609243200000,0.362,0.4067,0.362,0.4053,302220,3022200
1609257600000,0.4059,0.41,0.3734,0.3758,357781,3577810
1609272000000,0.3758,0.3814,0.3518,0.3551,222123,2221230
1609286400000,0.3552,0.3589,0.3317,0.333,237123,2371230
1609300800000,0.3329,0.3367,0.3183,0.3254,210352,2103520
1609315200000,0.3264,0.3332,0.3153,0.323,269455,2694550
1609329600000,0.3224,0.3464,0.318,0.3455,219819,2198190
1609344000000,0.3451,0.3478,0.321,0.3233,178270,1782700
1609358400000,0.3231,0.3278,0.3183,0.3243,120585,1205850
1609372800000,0.3256,0.3256,0.306,0.3127,133717,1337170
1609387200000,0.3124,0.3188,0.3087,0.3141,95686,956860
1609401600000,0.3141,0.3182,0.3065,0.3135,91163,911630
1609416000000,0.3127,0.3281,0.3,0.3262,173174,1731740
1609430400000,0.326,0.3268,0.3147,0.3182,90363,903630
1609444800000,0.3179,0.3214,0.3092,0.3213,81119,811190
1609459200000,0.3211,0.3434,0.3161,0.3399,164395,1643950
1609473600000,0.34,0.3406,0.3285,0.3292,78230,782300
1609488000000,0.3292,0.3381,0.3249,0.3367,96759,967590
1609502400000,0.3367,0.3432,0.3262,0.3273,134695,1346950
1609516800000,0.3275,0.3325,0.3095,0.3104,119108,1191080
1609531200000,0.3105,0.3246,0.3089,0.3161,103828,1038280
1609545600000,0.3164,0.3205,0.3042,0.316,80612,806120
1609560000000,0.3159,0.3164,0.3091,0.3143,78519,785190
1609574400000,0.3145,0.3175,0.3064,0.3111,89375,893750
1609588800000,0.3111,0.3241,0.3084,0.3171,94446,944460
1609603200000,0.3168,0.3177,0.3073,0.3164,114576,1145760
1609617600000,0.3161,0.3164,0.3008,0.3114,101338,1013380
1609632000000,0.3114,0.3214,0.3113,0.3158,77034,770340
1609646400000,0.3159,0.3303,0.3126,0.3193,110594,1105940
1609660800000,0.3191,0.3206,0.3053,0.3061,146733,1467330
1609675200000,0.3064,0.319,0.3058,0.3166,269145,2691450
