Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.0175,0.01816,0.01736,0.01771,157547,15754700
1609128000000,0.01772,0.01844,0.01753,0.01831,117818,11781800
1609142400000,0.0183,0.01912,0.01811,0.0186,196255,19625500
1609156800000,0.01861,0.01866,0.01792,0.01819,180338,18033800
1609171200000,0.01819,0.01894,0.0181,0.01882,144157,14415700
1609185600000,0.01885,0.01994,0.01854,0.01971,285611,28561100
1609200000000,0.01971,0.02041,0.01838,0.01857,347333,34733300
1609214400000,0.01856,0.01902,0.01793,0.01871,132262,13226200
1609228800000,0.01871,0.01948,0.01835,0.01877,205820,20582000
1609243200000,0.01877,0.01936,0.01843,0.01854,193050,19305000
1609257600000,0.01855,0.01924,0.01792,0.01898,234259,23425900
1609272000000,0.01898,0.01984,0.01861,0.01936,171772,17177200
1609286400000,0.01936,0.02036,0.01905,0.01975,233431,23343100
1609300800000,0.01978,0.01982,0.01906,0.01934,118119,11811900
1609315200000,0.01932,0.01944,0.01844,0.01859,201794,20179400
1609329600000,0.01858,0.01909,0.01823,0.01881,116146,11614600
1609344000000,0.0188,0.02013,0.01852,0.02003,226639,22663900
1609358400000,0.02003,0.0205,0.01924,0.01945,422089,42208900
1609372800000,0.01944,0.01952,0.01854,0.01872,205247,20524700
1609387200000,0.01872,0.01985,0.01869,0.01948,194918,19491800
1609401600000,0.01946,0.0209,0.01927,0.02046,205357,20535700
1609416000000,0.02046,0.02072,0.01943,0.02015,255678,25567800
1609430400000,0.02016,0.02051,0.01952,0.02026,167225,16722500
1609444800000,0.02025,0.02053,0.01974,0.02004,132149,13214900
1609459200000,0.02003,0.02181,0.01975,0.02157,236736,23673600
1609473600000,0.0216,0.02195,0.02085,0.0214,169086,16908600
1609488000000,0.02139,0.0231,0.02065,0.02243,364623,36462300
1609502400000,0.02243,0.02471,0.02208,0.02326,580144,58014400
1609516800000,0.02327,0.02471,0.02227,0.02386,563688,56368800
1609531200000,0.02385,0.02586,0.02376,0.02515,450045,45004500
1609545600000,0.02515,0.02567,0.0242,0.02488,460344,46034400
1609560000000,0.02491,0.02758,0.02441,0.02692,446055,44605500
1609574400000,0.02691,0.02832,0.0261,0.02819,485987,48598700
1609588800000,0.02819,0.02918,0.02692,0.02847,553216,55321600
1609603200000,0.02849,0.03289,0.02837,0.03184,619451,61945100
1609617600000,0.03186,0.03189,0.02713,0.02901,720368,72036800
1609632000000,0.02901,0.0295,0.02756,0.02841,302230,30223000
1609646400000,0.02841,0.03254,0.02769,0.03222,474334,47433400
1609660800000,0.03222,0.03736,0.03078,0.03425,1030013,103001300
1609675200000,0.03425,0.0367,0.03376,0.03592,619082,61908200
1609689600000,0.03614,0.03745,0.03102,0.0331,528561,52856100
1609704000000,0.03312,0.0355,0.03237,0.03257,368752,36875200
1609718400000,0.03254,0.03544,0.03254,0.03483,257185,25718500
1609732800000,0.03482,0.03483,0.03016,0.03092,397591,39759100
1609747200000,0.03092,0.03185,0.02669,0.03035,737327,73732700
1609761600000,0.03038,0.03419,0.02955,0.03255,472762,47276200
1609776000000,0.03251,0.03298,0.02903,0.03159,469815,46981500
1609790400000,0.03156,0.03173,0.02876,0.03083,290505,29050500
1609804800000,0.03084,0.03436,0.02989,0.03011,367614,36761400
1609819200000,0.03011,0.03101,0.02873,0.0295,320868,32086800
1609833600000,0.02953,0.03219,0.02953,0.03146,246102,24610200
1609848000000,0.03147,0.0377,0.03114,0.03675,491127,49112700
1609862400000,0.03683,0.03811,0.03505,0.03609,455713,45571300
1609876800000,0.03608,0.04344,0.03553,0.0411,658411,65841100
1609891200000,0.04119,0.04265,0.03918,0.04218,398068,39806800
1609905600000,0.04216,0.04337,0.0394,0.04145,344297,34429700
1609920000000,0.04148,0.04307,0.03974,0.04165,322819,32281900
1609934400000,0.04168,0.04616,0.04052,0.04182,530622,53062200
1609948800000,0.04183,0.04289,0.03785,0.03803,322662,32266200
1609963200000,0.03803,0.04049,0.03696,0.03968,337718,33771800
1609977600000,0.03971,0.04223,0.0386,0.04142,234914,23491400
1609992000000,0.04144,0.04156,0.03854,0.03867,184670,18467000
1610006400000,0.03871,0.04028,0.03762,0.03838,226591,22659100
1610020800000,0.03842,0.04252,0.03826,0.04143,311667,31166700
1610035200000,0.04145,0.04174,0.03551,0.03987,285174,28517400
1610049600000,0.03978,0.04118,0.03905,0.03982,233525,23352500
1610064000000,0.0398,0.04059,0.03313,0.03729,313373,31337300
1610078400000,0.03727,0.03931,0.03512,0.03917,187987,18798700
1610092800000,0.03924,0.04205,0.03808,0.0417,242743,24274300
1610107200000,0.04173,0.04558,0.03947,0.04098,379536,37953600
1610121600000,0.04106,0.0438,0.03978,0.04,329029,32902900
1610136000000,0.04,0.04267,0.03667,0.04247,300125,30012500
1610150400000,0.04249,0.04354,0.03875,0.04079,206465,20646500
1610164800000,0.04079,0.04082,0.03848,0.0407,135943,13594300
1610179200000,0.0408,0.04407,0.04046,0.04342,245248,24524800
1610193600000,0.04342,0.04881,0.04234,0.04702,367548,36754800
1610208000000,0.04721,0.04921,0.04437,0.04814,292281,29228100
1610222400000,0.04829,0.04985,0.0464,0.0465,283355,28335500
1610236800000,0.04644,0.04872,0.04644,0.04666,203675,20367500
1610251200000,0.04663,0.0481,0.04649,0.04708,130951,13095100
1610265600000,0.04705,0.04959,0.0434,0.0438,314029,31402900
1610280000000,0.04382,0.04704,0.04219,0.04629,247995,24799500
1610294400000,0.04602,0.04702,0.04202,0.04322,149663,14966300
1610308800000,0.04347,0.04546,0.04266,0.04281,126930,12693000
1610323200000,0.04281,0.04331,0.03619,0.03952,344352,34435200
1610337600000,0.03941,0.04029,0.0356,0.0385,327721,32772100
1610352000000,0.03853,0.04104,0.03645,0.0367,327547,32754700
1610366400000,0.03662,0.03882,0.03267,0.03443,404573,40457300
1610380800000,0.03439,0.03625,0.0309,0.034,438457,43845700
1610395200000,0.03401,0.03933,0.03299,0.03903,274505,27450500
1610409600000,0.03906,0.03919,0.03656,0.03898,177305,17730500
1610424000000,0.03899,0.0435,0.03842,0.04226,196898,19689800
1610438400000,0.04227,0.0445,0.03852,0.03955,310886,31088600
1610452800000,0.03955,0.04036,0.03572,0.0373,329671,32967100
1610467200000,0.03737,0.04137,0.03734,0.03919,312906,31290600
1610481600000,0.03922,0.03957,0.03579,0.03659,260217,26021700
1610496000000,0.03658,0.03662,0.03385,0.0353,314663,31466300
1610510400000,0.0353,0.03785,0.03386,0.03736,210152,21015200
1610524800000,0.03739,0.03933,0.0367,0.03756,275237,27523700
1610539200000,0.03757,0.03953,0.03646,0.03907,268101,26810100
1610553600000,0.03911,0.041,0.03806,0.04009,256280,25628000
1610568000000,0.04007,0.04113,0.03956,0.0404,248277,24827700
1610582400000,0.04052,0.04098,0.0383,0.03835,219527,21952700
1610596800000,0.03835,0.04089,0.0378,0.04071,168315,16831500
1610611200000,0.04072,0.04212,0.0397,0.0417,231040,23104000
1610625600000,0.04165,0.04171,0.04008,0.0406,201077,20107700
1610640000000,0.0407,0.04318,0.04057,0.04133,248316,24831600
1610654400000,0.04131,0.0416,0.03802,0.04019,281622,28162200
1610668800000,0.04021,0.04096,0.03858,0.03915,196570,19657000
1610683200000,0.03913,0.04057,0.03857,0.04031,179600,17960000
1610697600000,0.04037,0.04222,0.04027,0.04056,235533,23553300
1610712000000,0.04056,0.04303,0.03694,0.03759,523816,52381600
1610726400000,0.03753,0.03896,0.03457,0.03695,408768,40876800
1610740800000,0.03693,0.03877,0.03639,0.03863,252097,25209700
1610755200000,0.03862,0.04113,0.03862,0.04083,270171,27017100
1610769600000,0.04086,0.04179,0.03926,0.04114,230591,23059100
1610784000000,0.04121,0.04471,0.04056,0.04469,318945,31894500
1610798400000,0.04477,0.04558,0.04244,0.04482,364845,36484500
1610812800000,0.0448,0.04533,0.03998,0.04106,344528,34452800
1610827200000,0.04105,0.04244,0.03899,0.04031,311810,31181000
1610841600000,0.0403,0.04254,0.03905,0.0414,255786,25578600
1610856000000,0.04138,0.04189,0.03718,0.0379,250476,25047600
1610870400000,0.03791,0.04029,0.03672,0.04011,264951,26495100
1610884800000,0.04012,0.04122,0.03842,0.04073,247879,24787900
1610899200000,0.0407,0.04177,0.04001,0.04038,217191,21719100
1610913600000,0.04039,0.04163,0.03981,0.04028,273152,27315200
1610928000000,0.04025,0.04183,0.03893,0.0396,251115,25111500
1610942400000,0.0396,0.04189,0.03917,0.04164,169534,16953400
1610956800000,0.04168,0.04435,0.04125,0.04282,304717,30471700
1610971200000,0.04282,0.04594,0.04191,0.04572,279677,27967700
1610985600000,0.04576,0.04957,0.04366,0.0488,634467,63446700
1611000000000,0.04879,0.04911,0.04538,0.04716,410979,41097900
1611014400000,0.04713,0.04763,0.04417,0.04568,259158,25915800
1611028800000,0.04568,0.04675,0.045,0.04562,213929,21392900
1611043200000,0.04571,0.0484,0.04571,0.04698,279017,27901700
1611057600000,0.04701,0.0478,0.04492,0.04559,237487,23748700
1611072000000,0.04567,0.04648,0.04094,0.04251,394277,39427700
1611086400000,0.04251,0.04459,0.04164,0.04167,259683,25968300
1611100800000,0.04168,0.04399,0.04055,0.04104,212444,21244400
1611115200000,0.04108,0.04341,0.04059,0.04299,195042,19504200
1611129600000,0.04291,0.04291,0.03889,0.03973,304745,30474500
1611144000000,0.03971,0.04181,0.03855,0.03971,307141,30714100
1611158400000,0.03963,0.04289,0.0386,0.04272,273679,27367900
1611172800000,0.04272,0.04282,0.04119,0.04222,174548,17454800
1611187200000,0.04218,0.0427,0.03961,0.04016,149422,14942200
1611201600000,0.04013,0.04111,0.03903,0.04013,157082,15708200
1611216000000,0.04017,0.04018,0.03645,0.03719,332440,33244000
1611230400000,0.03719,0.03829,0.03595,0.0364,279952,27995200
1611244800000,0.03642,0.03825,0.03566,0.03804,234007,23400700
1611259200000,0.03803,0.03805,0.0326,0.03362,254176,25417600
1611273600000,0.03367,0.03584,0.031,0.0358,376136,37613600
1611288000000,0.03578,0.03744,0.03502,0.03566,188834,18883400
1611302400000,0.03568,0.0374,0.03476,0.03728,201710,20171000
1611316800000,0.03728,0.04001,0.03728,0.03936,221847,22184700
1611331200000,0.03942,0.0403,0.03766,0.03894,168575,16857500
1611345600000,0.03895,0.03909,0.03778,0.03806,145963,14596300
1611360000000,0.03804,0.03831,0.03686,0.0375,120299,12029900
1611374400000,0.0375,0.04054,0.03729,0.04001,169432,16943200
1611388800000,0.04002,0.04045,0.03721,0.03758,180864,18086400
1611403200000,0.03759,0.03846,0.03674,0.03781,150635,15063500
1611417600000,0.03783,0.04067,0.03746,0.03933,247164,24716400
1611432000000,0.03934,0.03943,0.03768,0.03811,173801,17380100
1611446400000,0.03809,0.03911,0.03761,0.03905,106496,10649600
1611460800000,0.03906,0.04177,0.03883,0.041,206665,20666500
1611475200000,0.0411,0.04187,0.04014,0.0417,160275,16027500
1611489600000,0.0417,0.04188,0.03923,0.03987,193893,19389300
1611504000000,0.03983,0.04011,0.03699,0.03783,244624,24462400
1611518400000,0.03779,0.03905,0.03776,0.03898,175193,17519300
1611532800000,0.03905,0.04075,0.03881,0.03949,185559,18555900
1611547200000,0.03953,0.04017,0.03882,0.03975,152784,15278400
1611561600000,0.03975,0.04001,0.03825,0.03935,144093,14409300
1611576000000,0.03937,0.04032,0.03878,0.03931,189798,18979800
1611590400000,0.03932,0.03951,0.03752,0.038,173250,17325000
1611604800000,0.03797,0.03801,0.0355,0.03584,228187,22818700
1611619200000,0.03578,0.03746,0.0348,0.03502,171029,17102900
1611633600000,0.03502,0.03632,0.03489,0.03575,128339,12833900
1611648000000,0.03574,0.03663,0.035,0.03597,153274,15327400
1611662400000,0.03598,0.03623,0.034,0.03522,171017,17101700
1611676800000,0.03526,0.03774,0.03488,0.03734,215218,21521800
1611691200000,0.03737,0.03803,0.03621,0.03674,169148,16914800
1611705600000,0.03672,0.03677,0.0346,0.03482,198627,19862700
1611720000000,0.03481,0.03535,0.03387,0.03494,155811,15581100
1611734400000,0.03494,0.03494,0.03246,0.03256,191274,19127400
1611748800000,0.03255,0.03385,0.03108,0.03345,267766,26776600
1611763200000,0.03339,0.03405,0.03153,0.03268,188212,18821200
1611777600000,0.03269,0.03416,0.03202,0.0323,176110,17611000
1611792000000,0.03229,0.03333,0.03148,0.03327,115687,11568700
1611806400000,0.03324,0.03494,0.03266,0.03389,165412,16541200
1611820800000,0.0339,0.03565,0.03312,0.03518,188057,18805700
1611835200000,0.03519,0.03617,0.03453,0.03482,227038,22703800
1611849600000,0.03481,0.03593,0.03405,0.03441,226790,22679000
1611864000000,0.03442,0.03473,0.03304,0.03334,202276,20227600
1611878400000,0.03333,0.03491,0.03226,0.03275,276711,27671100
1611892800000,0.03278,0.03323,0.03202,0.0325,323267,32326700
1611907200000,0.03255,0.03486,0.03217,0.03439,315471,31547100
1611921600000,0.03443,0.03734,0.03392,0.03704,345499,34549900
1611936000000,0.03705,0.03845,0.03323,0.0339,381998,38199800
1611950400000,0.03389,0.03442,0.03355,0.03439,205485,20548500
1611964800000,0.03437,0.0348,0.03316,0.03358,170382,17038200
1611979200000,0.03359,0.03506,0.03318,0.03421,150225,15022500
1611993600000,0.0342,0.03587,0.03343,0.0352,230901,23090100
1612008000000,0.03521,0.03751,0.03468,0.03587,270408,27040800
1612022400000,0.03592,0.03615,0.03439,0.03592,338746,33874600
1612036800000,0.03587,0.0363,0.035,0.0355,148965,14896500
1612051200000,0.0355,0.03757,0.03533,0.03688,180954,18095400
1612065600000,0.03686,0.03741,0.03505,0.0352,153942,15394200
1612080000000,0.03515,0.03588,0.03498,0.03535,169217,16921700
1612094400000,0.03534,0.03581,0.03265,0.03363,199889,19988900
1612108800000,0.0336,0.03402,0.03217,0.03315,188660,18866000
1612123200000,0.03313,0.03361,0.0325,0.03353,145735,14573500
