Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,8.115,8.328,7.898,8.06,15929,15929
1609128000000,8.054,8.36,7.939,8.335,18207,18207
1609142400000,8.37,8.52,8.107,8.259,14572,14572
1609156800000,8.3,8.3,7.868,7.922,12135,12135
1609171200000,7.905,7.987,7.806,7.985,14728,14728
1609185600000,8.018,8.126,7.845,8.001,8715,8715
1609200000000,8.028,8.159,7.528,7.565,21603,21603
1609214400000,7.5,7.686,7.379,7.578,10433,10433
1609228800000,7.643,7.98,7.618,7.747,2744,2744
1609243200000,7.92,8.11,7.741,7.784,8391,8391
1609257600000,7.713,7.733,7.421,7.648,6570,6570
1609272000000,7.64,7.796,7.64,7.796,2665,2665
1609286400000,7.837,7.925,7.618,7.658,2366,2366
1609300800000,7.67,7.67,7.453,7.541,3786,3786
1609315200000,7.555,7.576,7.333,7.34,5527,5527
1609329600000,7.356,7.423,7.324,7.391,4680,4680
1609344000000,7.426,7.474,7.268,7.416,3091,3091
1609358400000,7.435,7.435,7.273,7.377,2035,2035
1609372800000,7.343,7.343,7.049,7.235,8102,8102
1609387200000,7.348,7.788,7.252,7.68,11592,11592
1609401600000,7.72,7.845,7.54,7.738,5240,5240
1609416000000,7.771,7.831,7.359,7.462,5704,5704
1609430400000,7.442,7.477,7.266,7.35,5115,5115
1609444800000,7.348,7.355,7.185,7.247,4265,4265
1609459200000,7.196,7.73,7.196,7.637,6371,6371
1609473600000,7.673,7.708,7.368,7.401,10380,10380
1609488000000,7.436,7.7,7.349,7.614,10532,10532
1609502400000,7.672,8.225,7.524,8.178,17849,17849
1609516800000,8.229,8.32,7.674,8.056,22870,22870
1609531200000,8.112,8.554,8.111,8.319,7380,7380
1609545600000,8.336,8.426,7.978,8.259,16225,16225
1609560000000,8.119,8.6,8.119,8.525,5009,5009
1609574400000,8.45,8.477,8.221,8.299,10581,10581
1609588800000,8.263,8.5,8.136,8.204,11110,11110
1609603200000,8.211,8.36,8.024,8.318,7424,7424
1609617600000,8.195,8.248,7.988,8.209,2691,2691
1609632000000,8.222,8.245,8.037,8.133,6940,6940
1609646400000,8.104,8.267,8.103,8.159,9982,9982
1609660800000,8.128,8.5,8.073,8.3,18965,18965
1609675200000,8.326,8.95,8.159,8.845,8449,8449
1609689600000,8.879,9.25,8.716,8.833,4384,4384
1609704000000,9.013,9.635,8.998,9.51,14070,14070
1609718400000,9.575,10.048,9.486,10.033,18967,18967
1609732800000,10.001,10.537,9.467,9.641,15180,15180
1609747200000,9.644,9.979,8.492,9.185,17137,17137
1609761600000,9.108,10.547,9.086,10.533,4768,4768
1609776000000,10.532,10.9,9.841,10.877,6461,6461
1609790400000,10.78,11.452,10.6,11.45,4402,4402
1609804800000,11.5,12.271,10.733,10.795,19854,19854
1609819200000,10.788,11.186,10.519,10.947,7359,7359
1609833600000,11.035,12.36,11.035,12.029,8237,8237
1609848000000,12.05,12.734,11.655,12.531,11411,11411
1609862400000,12.632,13.3,12.389,12.85,9316,9316
1609876800000,12.736,12.946,12.225,12.443,9982,9982
1609891200000,12.457,12.623,12.035,12.103,4236,4236
1609905600000,12.152,12.985,12.152,12.956,2692,2692
1609920000000,13.0,13.317,12.516,13.216,3767,3767
1609934400000,13.223,13.224,12.245,12.521,4392,4392
1609948800000,12.738,12.868,11.77,11.77,2939,2939
1609963200000,11.827,12.176,11.503,12.147,2534,2534
1609977600000,11.983,12.46,11.716,12.446,3108,3108
1609992000000,12.347,12.408,11.878,11.964,3543,3543
1610006400000,11.999,12.428,11.535,12.053,2598,2598
1610020800000,12.193,13.121,12.072,13.107,5428,5428
1610035200000,13.189,13.25,11.225,12.115,13311,13311
1610049600000,12.205,12.515,11.414,11.63,6016,6016
1610064000000,11.629,11.741,9.839,11.327,24180,24180
1610078400000,11.323,12.72,11.029,12.59,13379,13379
1610092800000,12.55,12.915,12.298,12.483,15845,15845
1610107200000,12.582,12.59,11.453,11.744,10085,10085
1610121600000,11.932,12.126,11.088,11.094,6563,6563
1610136000000,10.983,11.811,10.659,11.764,8852,8852
1610150400000,11.768,12.028,11.162,11.619,5054,5054
1610164800000,11.611,11.611,11.093,11.444,2451,2451
1610179200000,11.376,11.924,11.357,11.845,1977,1977
1610193600000,11.796,12.416,11.684,12.362,2391,2391
1610208000000,12.411,13.023,11.907,12.703,9747,9747
1610222400000,12.645,13.833,12.325,13.147,8120,8120
1610236800000,13.293,14.072,13.291,13.66,5962,5962
1610251200000,13.749,13.871,13.221,13.82,6842,6842
1610265600000,13.893,13.999,12.473,12.793,7079,7079
1610280000000,12.719,13.716,12.371,13.707,10775,10775
1610294400000,13.758,14.531,13.073,14.238,8564,8564
1610308800000,14.142,14.746,14.105,14.106,1825,1825
1610323200000,14.094,14.094,11.265,12.638,13160,13160
1610337600000,12.777,12.89,11.493,12.44,9232,9232
1610352000000,12.422,13.67,12.3,12.331,12638,12638
1610366400000,12.407,12.76,11.022,11.551,6505,6505
1610380800000,11.236,12.1,10.349,11.632,7062,7062
1610395200000,11.32,12.745,11.279,12.741,1734,1734
1610409600000,12.863,13.584,12.193,13.369,12472,12472
1610424000000,13.493,15.233,13.493,14.85,17018,17018
1610438400000,14.697,14.755,13.376,14.048,15570,15570
1610452800000,14.238,14.512,12.73,14.195,12003,12003
1610467200000,14.472,16.112,14.472,15.295,24433,24433
1610481600000,15.204,15.33,14.189,14.691,2877,2877
1610496000000,14.884,15.931,13.802,15.398,11214,11214
1610510400000,15.444,16.3,14.754,16.049,9404,9404
