Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,1.001,1.1,1.001,1.022,388479,388479
1609128000000,1.02,1.051,1.016,1.05,111517,111517
1609142400000,1.047,1.057,1.034,1.043,127430,127430
1609156800000,1.046,1.046,1.012,1.018,246643,246643
1609171200000,1.015,1.028,1.012,1.019,60885,60885
1609185600000,1.023,1.023,0.996,1.011,84466,84466
1609200000000,1.015,1.121,1.015,1.048,512669,512669
1609214400000,1.042,1.057,1.023,1.057,56383,56383
1609228800000,1.057,1.108,1.057,1.08,124352,124352
1609243200000,1.082,1.092,1.067,1.067,54276,54276
1609257600000,1.065,1.084,1.028,1.084,130362,130362
1609272000000,1.076,1.091,1.054,1.084,24000,24000
1609286400000,1.085,1.085,1.042,1.044,33557,33557
1609300800000,1.04,1.047,1.037,1.042,23465,23465
1609315200000,1.036,1.043,1.02,1.038,35988,35988
1609329600000,1.038,1.052,1.019,1.052,24187,24187
1609344000000,1.052,1.056,1.03,1.045,16344,16344
1609358400000,1.037,1.045,1.027,1.035,2870,2870
1609372800000,1.034,1.035,1.002,1.014,47650,47650
1609387200000,1.011,1.032,1.011,1.025,13853,13853
1609401600000,1.02,1.025,1.003,1.018,70056,70056
1609416000000,1.019,1.03,0.989,1.012,113980,113980
1609430400000,1.011,1.046,1.009,1.033,97622,97622
1609444800000,1.029,1.044,1.025,1.044,5331,5331
1609459200000,1.042,1.075,1.029,1.069,37040,37040
1609473600000,1.069,1.074,1.051,1.062,34732,34732
1609488000000,1.054,1.082,1.037,1.078,43255,43255
1609502400000,1.078,1.086,1.052,1.086,64717,64717
1609516800000,1.086,1.102,1.044,1.09,270561,270561
1609531200000,1.088,1.132,1.084,1.132,67203,67203
1609545600000,1.132,1.134,1.07,1.126,152429,152429
1609560000000,1.123,1.161,1.101,1.101,105388,105388
1609574400000,1.102,1.104,1.071,1.075,35624,35624
1609588800000,1.082,1.101,1.064,1.066,52349,52349
1609603200000,1.07,1.092,1.061,1.087,35291,35291
1609617600000,1.078,1.081,1.041,1.06,44910,44910
1609632000000,1.06,1.061,1.038,1.049,15233,15233
1609646400000,1.054,1.057,1.053,1.055,2803,2803
1609660800000,1.052,1.109,1.048,1.108,52905,52905
1609675200000,1.104,1.166,1.091,1.113,170031,170031
1609689600000,1.116,1.148,1.11,1.119,86807,86807
1609704000000,1.128,1.198,1.128,1.185,58351,58351
1609718400000,1.189,1.233,1.158,1.164,158785,158785
1609732800000,1.161,1.237,1.124,1.136,257668,257668
1609747200000,1.144,1.171,1.043,1.089,331851,331851
1609761600000,1.091,1.142,1.085,1.14,55820,55820
1609776000000,1.141,1.258,1.098,1.258,309022,309022
1609790400000,1.245,1.339,1.228,1.32,211544,211544
1609804800000,1.32,1.354,1.181,1.198,381218,381218
1609819200000,1.207,1.237,1.165,1.193,114192,114192
1609833600000,1.195,1.46,1.195,1.413,414950,414950
1609848000000,1.426,1.548,1.349,1.525,590901,590901
1609862400000,1.512,1.621,1.459,1.534,417070,417070
1609876800000,1.535,1.563,1.459,1.489,80507,80507
1609891200000,1.492,1.5,1.413,1.446,95825,95825
1609905600000,1.457,1.508,1.428,1.501,123899,123899
1609920000000,1.507,1.584,1.495,1.543,125365,125365
1609934400000,1.55,1.562,1.426,1.466,153562,153562
1609948800000,1.466,1.556,1.419,1.419,124889,124889
1609963200000,1.424,1.455,1.358,1.433,182383,182383
1609977600000,1.447,1.491,1.423,1.481,68177,68177
1609992000000,1.478,1.502,1.439,1.484,71068,71068
1610006400000,1.481,1.488,1.39,1.459,180452,180452
1610020800000,1.458,1.572,1.454,1.54,196426,196426
1610035200000,1.544,1.556,1.327,1.454,365951,365951
1610049600000,1.451,1.454,1.37,1.405,113420,113420
1610064000000,1.401,1.419,1.249,1.31,184394,184394
1610078400000,1.306,1.359,1.276,1.355,126954,126954
1610092800000,1.359,1.519,1.331,1.509,223389,223389
1610107200000,1.515,1.893,1.5,1.711,910144,910144
1610121600000,1.722,1.755,1.59,1.608,349808,349808
1610136000000,1.597,1.693,1.516,1.638,166771,166771
1610150400000,1.637,1.644,1.505,1.606,329383,329383
1610164800000,1.605,1.618,1.512,1.554,223882,223882
1610179200000,1.556,1.647,1.542,1.597,165930,165930
1610193600000,1.604,1.763,1.596,1.644,247012,247012
1610208000000,1.644,1.747,1.6,1.738,194749,194749
1610222400000,1.736,1.777,1.678,1.733,205594,205594
1610236800000,1.735,1.776,1.718,1.721,118719,118719
1610251200000,1.736,1.882,1.736,1.846,233851,233851
1610265600000,1.85,1.936,1.645,1.658,585165,585165
1610280000000,1.655,1.756,1.574,1.676,383054,383054
1610294400000,1.673,1.697,1.527,1.601,212923,212923
1610308800000,1.593,1.657,1.585,1.614,78422,78422
1610323200000,1.615,1.615,1.317,1.411,529123,529123
1610337600000,1.407,1.445,1.304,1.418,376158,376158
1610352000000,1.415,1.52,1.392,1.419,195326,195326
1610366400000,1.415,1.453,1.282,1.297,381587,381587
1610380800000,1.294,1.376,1.219,1.294,480926,480926
1610395200000,1.288,1.417,1.259,1.417,259319,259319
1610409600000,1.417,1.463,1.353,1.46,118927,118927
1610424000000,1.466,1.578,1.428,1.545,136131,136131
1610438400000,1.551,1.551,1.44,1.471,115136,115136
1610452800000,1.474,1.51,1.311,1.408,185882,185882
1610467200000,1.417,1.534,1.417,1.505,288536,288536
1610481600000,1.497,1.549,1.424,1.451,168926,168926
1610496000000,1.439,1.44,1.38,1.44,71645,71645
1610510400000,1.43,1.493,1.395,1.493,29365,29365
1610524800000,1.488,1.573,1.474,1.509,57320,57320
1610539200000,1.512,1.561,1.48,1.533,115874,115874
1610553600000,1.534,1.69,1.534,1.629,139768,139768
1610568000000,1.638,1.668,1.603,1.658,78523,78523
1610582400000,1.661,1.695,1.577,1.58,66087,66087
1610596800000,1.572,1.648,1.569,1.644,38102,38102
1610611200000,1.639,1.645,1.593,1.612,39146,39146
1610625600000,1.609,1.731,1.578,1.708,129440,129440
1610640000000,1.71,1.721,1.658,1.668,74969,74969
1610654400000,1.677,1.699,1.579,1.696,105963,105963
1610668800000,1.689,1.72,1.639,1.64,60984,60984
1610683200000,1.639,1.67,1.565,1.62,94535,94535
1610697600000,1.629,1.746,1.6,1.714,165152,165152
1610712000000,1.718,1.725,1.518,1.524,234472,234472
1610726400000,1.533,1.648,1.494,1.613,193676,193676
1610740800000,1.61,1.717,1.592,1.716,88365,88365
1610755200000,1.717,1.765,1.701,1.757,77547,77547
1610769600000,1.758,1.84,1.712,1.827,182097,182097
1610784000000,1.825,1.9,1.796,1.9,114024,114024
1610798400000,1.894,1.97,1.785,1.947,164135,164135
1610812800000,1.949,1.951,1.752,1.81,263456,263456
1610827200000,1.803,1.847,1.709,1.776,134340,134340
1610841600000,1.77,1.804,1.687,1.804,152421,152421
1610856000000,1.804,1.832,1.63,1.656,148025,148025
1610870400000,1.638,1.707,1.601,1.697,125139,125139
1610884800000,1.688,1.748,1.652,1.739,102945,102945
1610899200000,1.74,1.835,1.724,1.782,130580,130580
1610913600000,1.79,1.85,1.775,1.81,62802,62802
1610928000000,1.821,1.937,1.783,1.817,206015,206015
1610942400000,1.82,1.934,1.808,1.919,114128,114128
1610956800000,1.92,2.047,1.888,1.91,207171,207171
1610971200000,1.909,1.956,1.85,1.93,108069,108069
1610985600000,1.935,1.938,1.863,1.894,68999,68999
1611000000000,1.903,1.939,1.861,1.905,70852,70852
1611014400000,1.912,1.98,1.899,1.958,35165,35165
1611028800000,1.97,1.988,1.914,1.923,37831,37831
1611043200000,1.932,2.008,1.927,2.008,31369,31369
1611057600000,2.004,2.006,1.947,1.958,35344,35344
1611072000000,1.961,1.961,1.769,1.806,160012,160012
1611086400000,1.8,1.857,1.794,1.8,54852,54852
1611100800000,1.797,1.888,1.769,1.77,60252,60252
1611115200000,1.77,1.83,1.75,1.828,44718,44718
1611129600000,1.821,1.835,1.651,1.685,87924,87924
1611144000000,1.679,1.76,1.654,1.687,109982,109982
1611158400000,1.685,1.812,1.656,1.812,185548,185548
1611172800000,1.813,1.833,1.749,1.826,47540,47540
1611187200000,1.839,1.839,1.727,1.742,29368,29368
1611201600000,1.745,1.768,1.679,1.747,37418,37418
1611216000000,1.745,1.745,1.603,1.621,146040,146040
1611230400000,1.622,1.655,1.554,1.585,161620,161620
1611244800000,1.582,1.622,1.554,1.617,114498,114498
1611259200000,1.608,1.608,1.505,1.54,76291,76291
1611273600000,1.54,1.557,1.424,1.556,241067,241067
1611288000000,1.559,1.61,1.542,1.548,33477,33477
1611302400000,1.56,1.633,1.544,1.617,12307,12307
1611316800000,1.637,1.696,1.631,1.674,64081,64081
1611331200000,1.678,1.696,1.643,1.683,34114,34114
1611345600000,1.665,1.68,1.632,1.68,23191,23191
1611360000000,1.674,1.757,1.674,1.718,229490,229490
1611374400000,1.717,1.766,1.717,1.747,23736,23736
1611388800000,1.752,1.758,1.652,1.67,23648,23648
1611403200000,1.669,1.691,1.635,1.682,42204,42204
1611417600000,1.676,1.795,1.668,1.79,87411,87411
1611432000000,1.789,1.796,1.745,1.748,61523,61523
1611446400000,1.754,1.77,1.725,1.77,31340,31340
1611460800000,1.777,1.816,1.776,1.809,22139,22139
1611475200000,1.818,1.843,1.806,1.831,14802,14802
1611489600000,1.821,1.821,1.763,1.774,46439,46439
1611504000000,1.78,1.88,1.741,1.831,129537,129537
1611518400000,1.833,1.975,1.833,1.966,89292,89292
1611532800000,1.975,2.154,1.975,2.055,211058,211058
1611547200000,2.056,2.179,2.043,2.159,153345,153345
1611561600000,2.163,2.172,2.058,2.106,84185,84185
1611576000000,2.112,2.161,2.035,2.08,95794,95794
1611590400000,2.082,2.094,1.99,2.005,98102,98102
1611604800000,2.0,2.002,1.866,1.9,134676,134676
1611619200000,1.898,2.015,1.874,1.913,215677,215677
1611633600000,1.906,1.959,1.868,1.9,79219,79219
1611648000000,1.9,2.066,1.895,2.032,188685,188685
1611662400000,2.026,2.037,1.874,1.956,197289,197289
1611676800000,1.954,2.133,1.919,2.119,269310,269310
1611691200000,2.123,2.229,2.077,2.226,262482,262482
1611705600000,2.225,2.228,2.06,2.074,111088,111088
1611720000000,2.065,2.114,2.028,2.087,140146,140146
1611734400000,2.09,2.09,1.93,1.931,202777,202777
1611748800000,1.929,1.973,1.795,1.913,222133,222133
1611763200000,1.914,1.964,1.847,1.915,204553,204553
1611777600000,1.91,1.957,1.881,1.89,98608,98608
1611792000000,1.892,1.958,1.823,1.957,85002,85002
1611806400000,1.955,2.03,1.921,1.972,86161,86161
1611820800000,1.979,1.981,1.926,1.956,81722,81722
1611835200000,1.968,2.048,1.952,2.02,158269,158269
1611849600000,2.029,2.049,1.934,1.94,115972,115972
1611864000000,1.947,1.963,1.908,1.925,76371,76371
1611878400000,1.918,1.933,1.835,1.844,82404,82404
1611892800000,1.838,1.865,1.81,1.862,72843,72843
1611907200000,1.868,1.928,1.825,1.905,125977,125977
1611921600000,1.91,1.913,1.849,1.869,48652,48652
1611936000000,1.871,1.874,1.805,1.83,51503,51503
1611950400000,1.83,1.891,1.83,1.891,43765,43765
1611964800000,1.883,1.895,1.809,1.817,27731,27731
1611979200000,1.812,1.866,1.812,1.843,23824,23824
1611993600000,1.847,1.937,1.829,1.911,53092,53092
1612008000000,1.911,1.958,1.894,1.92,86087,86087
1612022400000,1.923,2.107,1.89,2.077,249660,249660
1612036800000,2.078,2.115,2.028,2.063,123601,123601
1612051200000,2.065,2.136,2.048,2.117,167253,167253
1612065600000,2.115,2.144,2.035,2.093,150244,150244
1612080000000,2.088,2.302,2.058,2.273,503917,503917
1612094400000,2.27,2.342,2.056,2.131,458793,458793
1612108800000,2.12,2.178,2.073,2.143,372104,372104
1612123200000,2.132,2.484,2.12,2.483,283715,283715
1612137600000,2.484,2.484,2.254,2.364,218026,218026
1612152000000,2.352,2.448,2.316,2.405,113014,113014
1612166400000,2.412,2.66,2.36,2.604,171377,171377
1612180800000,2.605,2.745,2.503,2.594,218909,218909
1612195200000,2.593,2.865,2.573,2.86,282381,282381
1612209600000,2.843,2.902,2.739,2.853,182062,182062
1612224000000,2.853,2.855,2.668,2.733,206174,206174
1612238400000,2.758,2.856,2.726,2.829,119747,119747
1612252800000,2.85,2.933,2.744,2.833,308298,308298
1612267200000,2.813,2.893,2.758,2.796,155143,155143
1612281600000,2.798,2.924,2.793,2.92,49611,49611
1612296000000,2.925,3.045,2.861,2.973,45628,45628
1612310400000,2.973,2.991,2.9,2.94,15796,15796
1612324800000,2.942,2.945,2.753,2.791,59403,59403
1612339200000,2.795,2.82,2.725,2.791,34489,34489
1612353600000,2.789,2.862,2.772,2.847,35803,35803
1612368000000,2.853,2.858,2.792,2.792,8258,8258
1612382400000,2.781,2.851,2.773,2.846,1867,1867
1612396800000,2.863,2.865,2.76,2.794,31338,31338
1612411200000,2.792,2.843,2.783,2.784,15278,15278
1612425600000,2.775,2.804,2.608,2.707,68452,68452
1612440000000,2.655,2.77,2.646,2.696,45189,45189
1612454400000,2.695,2.955,2.679,2.95,35524,35524
1612468800000,2.954,3.029,2.824,2.871,55533,55533
1612483200000,2.878,3.164,2.878,3.106,77499,77499
1612497600000,3.1,3.236,3.085,3.198,65878,65878
1612512000000,3.217,3.283,3.163,3.269,56523,56523
1612526400000,3.274,3.476,3.256,3.416,90373,90373
1612540800000,3.419,3.467,3.087,3.206,231706,231706
1612555200000,3.183,3.236,3.127,3.158,60172,60172
1612569600000,3.146,3.481,2.839,2.972,339031,339031
1612584000000,2.944,2.974,2.87,2.964,57593,57593
1612598400000,2.966,3.059,2.823,2.85,81557,81557
1612612800000,2.855,2.928,2.832,2.837,72605,72605
1612627200000,2.831,2.984,2.831,2.984,30362,30362
1612641600000,2.99,3.057,2.885,2.91,91698,91698
1612656000000,2.911,2.986,2.741,2.757,103204,103204
1612670400000,2.76,2.763,2.645,2.736,90371,90371
1612684800000,2.753,2.902,2.748,2.89,65108,65108
1612699200000,2.877,2.916,2.699,2.723,200989,200989
1612713600000,2.722,2.826,2.61,2.746,88484,88484
1612728000000,2.753,2.894,2.718,2.888,40947,40947
1612742400000,2.87,2.873,2.787,2.787,19184,19184
1612756800000,2.785,3.052,2.785,3.049,55015,55015
1612771200000,3.05,3.329,3.02,3.252,209036,209036
1612785600000,3.263,3.291,2.977,3.171,196010,196010
1612800000000,3.167,3.224,3.078,3.142,53929,53929
1612814400000,3.16,3.212,3.104,3.14,44389,44389
1612828800000,3.15,3.181,3.075,3.18,71122,71122
1612843200000,3.177,3.18,3.099,3.108,64864,64864
1612857600000,3.108,3.233,3.07,3.154,216772,216772
1612872000000,3.15,3.405,3.066,3.394,107947,107947
1612886400000,3.394,3.412,3.28,3.379,89707,89707
1612900800000,3.38,3.526,3.346,3.357,247225,247225
1612915200000,3.359,3.659,3.33,3.622,128341,128341
1612929600000,3.623,3.623,3.42,3.517,63799,63799
1612944000000,3.559,3.564,3.389,3.47,39303,39303
1612958400000,3.481,3.481,3.004,3.158,216494,216494
1612972800000,3.15,4.071,3.11,4.043,332591,332591
1612987200000,4.021,4.471,3.818,4.228,268239,268239
1613001600000,4.24,4.271,3.94,4.165,185528,185528
