Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.2974,0.3071,0.2953,0.3015,28032,280320
1609128000000,0.3013,0.3094,0.3005,0.3082,44082,440820
1609142400000,0.3079,0.3129,0.3023,0.3096,48048,480480
1609156800000,0.3097,0.3114,0.2994,0.3059,33716,337160
1609171200000,0.3067,0.321,0.3045,0.3168,32996,329960
1609185600000,0.3166,0.3187,0.3049,0.3121,20463,204630
1609200000000,0.3124,0.3165,0.2935,0.2948,43789,437890
1609214400000,0.2943,0.2985,0.2894,0.2955,19303,193030
1609228800000,0.2955,0.2959,0.2851,0.2929,59539,595390
1609243200000,0.2925,0.2949,0.2856,0.2858,26864,268640
1609257600000,0.2856,0.2988,0.2803,0.2942,42592,425920
1609272000000,0.2941,0.2999,0.2916,0.2974,16611,166110
1609286400000,0.2973,0.3012,0.2933,0.2949,37633,376330
1609300800000,0.295,0.2956,0.2876,0.2888,22170,221700
1609315200000,0.2881,0.2925,0.283,0.2885,62393,623930
1609329600000,0.2885,0.2962,0.2852,0.2939,43205,432050
1609344000000,0.2943,0.2965,0.2895,0.2925,26770,267700
1609358400000,0.2925,0.2932,0.2881,0.2909,19649,196490
1609372800000,0.2908,0.2914,0.2826,0.2874,20780,207800
1609387200000,0.2873,0.2889,0.277,0.2791,69213,692130
1609401600000,0.2791,0.2871,0.2763,0.2842,36860,368600
1609416000000,0.284,0.2859,0.2743,0.2852,38937,389370
1609430400000,0.2851,0.2911,0.2841,0.2895,23282,232820
1609444800000,0.2897,0.2918,0.2864,0.2911,33163,331630
1609459200000,0.2902,0.304,0.2866,0.2997,49704,497040
1609473600000,0.2999,0.3001,0.2919,0.2946,57078,570780
1609488000000,0.2949,0.296,0.2884,0.2957,72822,728220
1609502400000,0.2958,0.3043,0.2928,0.2962,43956,439560
1609516800000,0.2971,0.3033,0.2879,0.2936,49168,491680
1609531200000,0.2936,0.2965,0.2898,0.294,44758,447580
1609545600000,0.2954,0.2955,0.285,0.294,42968,429680
1609560000000,0.2937,0.2974,0.2925,0.293,36990,369900
1609574400000,0.2925,0.2932,0.2856,0.2905,25493,254930
1609588800000,0.2904,0.2943,0.2882,0.2923,27962,279620
1609603200000,0.2926,0.296,0.2892,0.2939,33728,337280
1609617600000,0.2938,0.294,0.2851,0.2926,32716,327160
1609632000000,0.2928,0.3094,0.2922,0.2999,56011,560110
1609646400000,0.3002,0.3066,0.2912,0.2939,78887,788870
1609660800000,0.2941,0.3242,0.2928,0.3046,102430,1024300
1609675200000,0.3051,0.3189,0.3033,0.3093,94656,946560
1609689600000,0.3103,0.3179,0.3028,0.3063,40040,400400
1609704000000,0.3065,0.3176,0.3049,0.3119,39408,394080
1609718400000,0.3119,0.3284,0.3119,0.325,69543,695430
1609732800000,0.3245,0.3389,0.3075,0.3152,84054,840540
1609747200000,0.3157,0.3208,0.2795,0.2936,135561,1355610
1609761600000,0.2933,0.302,0.2896,0.3,70115,701150
1609776000000,0.2999,0.3001,0.2903,0.2959,50057,500570
1609790400000,0.2957,0.3038,0.2928,0.3029,56785,567850
1609804800000,0.305,0.3081,0.288,0.291,94963,949630
1609819200000,0.2906,0.2949,0.2841,0.2896,65879,658790
1609833600000,0.2895,0.3132,0.2893,0.3126,101041,1010410
1609848000000,0.3127,0.3175,0.2996,0.3173,56646,566460
1609862400000,0.3175,0.3205,0.3062,0.3105,55512,555120
1609876800000,0.3112,0.3168,0.3083,0.31,43988,439880
1609891200000,0.3107,0.3215,0.3052,0.3194,42533,425330
1609905600000,0.3197,0.3261,0.3149,0.3256,37342,373420
1609920000000,0.3274,0.344,0.3222,0.3439,94718,947180
