Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,2.629,2.825,2.598,2.734,692876,692876
1609128000000,2.733,2.803,2.683,2.773,620416,620416
1609142400000,2.774,2.9,2.746,2.839,854945,854945
1609156800000,2.841,2.849,2.67,2.725,838745,838745
1609171200000,2.729,2.791,2.705,2.764,241980,241980
1609185600000,2.763,2.779,2.561,2.62,595640,595640
1609200000000,2.622,2.679,2.454,2.469,940835,940835
1609214400000,2.467,2.503,2.371,2.478,1016073,1016073
1609228800000,2.478,2.601,2.478,2.533,988425,988425
1609243200000,2.535,2.587,2.444,2.46,880792,880792
1609257600000,2.459,2.523,2.366,2.519,1382316,1382316
1609272000000,2.52,2.582,2.46,2.51,660246,660246
1609286400000,2.508,2.616,2.41,2.486,1118405,1118405
1609300800000,2.486,2.509,2.428,2.456,662282,662282
1609315200000,2.456,2.466,2.388,2.405,889376,889376
1609329600000,2.403,2.571,2.396,2.571,795022,795022
1609344000000,2.573,2.742,2.534,2.713,1630600,1630600
1609358400000,2.711,2.714,2.575,2.585,448698,448698
1609372800000,2.587,2.608,2.447,2.558,1085830,1085830
1609387200000,2.557,2.721,2.523,2.678,951751,951751
1609401600000,2.68,2.815,2.53,2.764,1456355,1456355
1609416000000,2.768,2.801,2.607,2.712,1296524,1296524
1609430400000,2.712,2.73,2.627,2.72,318715,318715
1609444800000,2.721,2.932,2.696,2.868,666482,666482
1609459200000,2.87,3.052,2.799,3.006,964942,964942
1609473600000,3.006,3.04,2.847,2.903,1004287,1004287
1609488000000,2.906,2.994,2.831,2.979,650656,650656
1609502400000,2.978,3.204,2.899,3.114,1611201,1611201
1609516800000,3.117,3.292,2.957,3.097,1473388,1473388
1609531200000,3.094,3.338,3.08,3.328,763599,763599
1609545600000,3.334,3.366,3.097,3.198,1094166,1094166
1609560000000,3.198,3.36,3.156,3.236,765442,765442
1609574400000,3.236,3.256,3.104,3.147,580082,580082
1609588800000,3.145,3.23,3.02,3.202,1159660,1159660
1609603200000,3.205,3.329,3.088,3.294,746791,746791
1609617600000,3.296,3.304,3.062,3.2,609460,609460
1609632000000,3.2,3.201,3.09,3.098,281460,281460
1609646400000,3.098,3.177,3.061,3.167,423790,423790
1609660800000,3.168,3.275,2.937,3.106,1212167,1212167
1609675200000,3.1,3.465,3.086,3.351,1563761,1563761
1609689600000,3.352,3.556,3.228,3.283,1306607,1306607
1609704000000,3.282,3.59,3.276,3.46,611538,611538
1609718400000,3.461,3.954,3.441,3.901,1138747,1138747
1609732800000,3.901,4.178,3.646,3.756,2242518,2242518
1609747200000,3.756,3.844,3.196,3.585,2509245,2509245
1609761600000,3.583,3.838,3.503,3.742,1148948,1148948
1609776000000,3.746,3.778,3.37,3.394,814252,814252
1609790400000,3.394,3.596,3.3,3.573,550034,550034
1609804800000,3.582,3.783,3.323,3.331,957130,957130
1609819200000,3.33,3.417,3.114,3.256,1299962,1299962
1609833600000,3.264,3.514,3.264,3.497,747608,747608
1609848000000,3.5,3.631,3.351,3.628,985909,985909
1609862400000,3.631,4.009,3.533,3.882,1544771,1544771
1609876800000,3.88,3.977,3.735,3.86,525578,525578
1609891200000,3.859,3.92,3.673,3.736,697806,697806
1609905600000,3.734,3.938,3.714,3.777,727554,727554
1609920000000,3.781,4.121,3.742,4.058,765612,765612
1609934400000,4.058,4.077,3.805,3.849,610528,610528
1609948800000,3.848,4.15,3.694,3.704,905051,905051
1609963200000,3.702,3.902,3.535,3.883,1014479,1014479
1609977600000,3.884,3.913,3.7,3.843,460567,460567
1609992000000,3.838,3.911,3.73,3.769,571436,571436
1610006400000,3.772,3.882,3.625,3.84,590823,590823
1610020800000,3.84,4.365,3.774,4.333,1519450,1519450
1610035200000,4.335,4.378,3.526,4.038,2595184,2595184
1610049600000,4.037,4.176,3.876,3.948,483064,483064
1610064000000,3.95,3.973,3.25,3.601,1963050,1963050
1610078400000,3.6,4.083,3.465,4.068,1186102,1186102
1610092800000,4.07,4.211,3.98,4.111,1147336,1147336
1610107200000,4.114,4.509,4.01,4.274,2178339,2178339
1610121600000,4.282,4.399,4.021,4.042,888118,888118
1610136000000,4.042,4.312,3.803,4.283,881798,881798
1610150400000,4.287,4.544,4.173,4.525,999904,999904
1610164800000,4.518,4.638,4.259,4.609,757900,757900
1610179200000,4.612,5.027,4.547,4.591,1492017,1492017
1610193600000,4.595,4.772,4.508,4.741,866561,866561
1610208000000,4.739,4.918,4.552,4.892,449121,449121
1610222400000,4.893,4.965,4.621,4.664,548031,548031
1610236800000,4.674,4.887,4.646,4.682,377160,377160
1610251200000,4.682,4.843,4.609,4.807,359108,359108
1610265600000,4.811,4.832,4.343,4.351,915888,915888
1610280000000,4.35,4.626,4.293,4.496,795530,795530
1610294400000,4.5,4.577,4.186,4.371,446808,446808
1610308800000,4.377,4.473,4.334,4.391,253803,253803
1610323200000,4.394,4.416,3.86,4.127,1285787,1285787
1610337600000,4.13,4.21,3.807,3.971,1032562,1032562
1610352000000,3.971,4.226,3.928,3.969,516663,516663
1610366400000,3.969,4.08,3.491,3.61,1528183,1528183
1610380800000,3.615,3.687,3.181,3.287,2019877,2019877
1610395200000,3.289,3.886,3.202,3.871,918714,918714
1610409600000,3.869,4.034,3.681,4.018,589385,589385
1610424000000,4.022,4.369,4.006,4.261,759949,759949
1610438400000,4.262,4.268,4.03,4.137,387800,387800
1610452800000,4.141,4.231,3.806,4.135,732042,732042
1610467200000,4.147,4.657,4.147,4.526,741887,741887
1610481600000,4.523,4.629,4.139,4.283,531140,531140
1610496000000,4.276,4.331,3.986,4.237,667138,667138
1610510400000,4.234,4.649,4.129,4.549,550102,550102
1610524800000,4.546,4.742,4.391,4.432,561070,561070
1610539200000,4.431,4.664,4.383,4.654,378113,378113
1610553600000,4.658,4.955,4.598,4.894,386505,386505
1610568000000,4.896,5.208,4.816,5.125,438405,438405
1610582400000,5.13,5.315,4.993,5.106,570393,570393
1610596800000,5.104,5.45,5.08,5.439,452429,452429
1610611200000,5.437,5.555,5.323,5.494,519775,519775
1610625600000,5.495,5.776,5.374,5.433,901635,901635
1610640000000,5.441,5.542,5.288,5.474,432673,432673
1610654400000,5.472,5.697,5.131,5.676,434723,434723
1610668800000,5.672,5.95,5.557,5.616,884956,884956
1610683200000,5.614,6.374,5.563,6.224,925488,925488
1610697600000,6.225,6.479,6.111,6.203,664537,664537
1610712000000,6.204,6.296,5.663,5.766,763561,763561
1610726400000,5.763,6.917,5.35,6.206,1410428,1410428
1610740800000,6.189,6.483,5.888,6.412,377586,377586
1610755200000,6.404,6.599,6.103,6.391,451705,451705
1610769600000,6.388,6.505,6.129,6.485,328891,328891
1610784000000,6.495,6.844,6.488,6.751,557843,557843
1610798400000,6.755,7.274,6.588,7.23,772633,772633
1610812800000,7.237,7.425,6.965,7.314,778931,778931
1610827200000,7.318,7.5,6.804,7.153,410555,410555
1610841600000,7.156,7.815,6.889,7.613,756839,756839
1610856000000,7.609,7.716,7.028,7.155,600754,600754
1610870400000,7.15,7.36,6.873,7.314,594891,594891
1610884800000,7.32,7.348,6.804,7.059,509969,509969
1610899200000,7.07,7.172,6.93,7.065,215633,215633
1610913600000,7.067,7.339,7.001,7.047,180215,180215
1610928000000,7.05,7.254,6.834,6.895,299853,299853
1610942400000,6.899,7.267,6.874,7.266,260511,260511
1610956800000,7.264,7.72,7.264,7.455,600510,600510
1610971200000,7.453,7.607,7.11,7.175,349766,349766
1610985600000,7.185,7.395,6.927,7.384,251072,251072
1611000000000,7.387,7.485,7.246,7.479,150043,150043
1611014400000,7.484,7.711,7.396,7.397,365101,365101
1611028800000,7.398,7.536,7.198,7.383,344478,344478
1611043200000,7.379,7.454,7.124,7.274,443635,443635
1611057600000,7.269,7.317,7.061,7.165,299739,299739
1611072000000,7.166,7.213,6.167,6.536,664964,664964
1611086400000,6.541,7.077,6.47,6.52,382645,382645
1611100800000,6.526,6.822,6.4,6.426,435070,435070
1611115200000,6.419,6.645,6.337,6.613,293796,293796
1611129600000,6.609,6.609,6.069,6.179,417815,417815
1611144000000,6.176,6.731,6.072,6.438,573254,573254
1611158400000,6.419,6.997,6.112,6.966,524451,524451
1611172800000,6.969,7.318,6.773,7.291,229920,229920
1611187200000,7.288,7.342,6.754,6.915,336773,336773
1611201600000,6.914,7.043,6.604,6.688,264094,264094
1611216000000,6.686,6.686,6.221,6.284,531675,531675
1611230400000,6.282,6.565,6.115,6.212,575731,575731
1611244800000,6.194,6.439,6.05,6.415,311365,311365
1611259200000,6.418,6.418,5.391,5.608,425108,425108
1611273600000,5.614,6.329,5.206,6.316,912253,912253
1611288000000,6.324,6.588,6.152,6.229,514191,514191
1611302400000,6.243,6.568,6.144,6.48,259552,259552
1611316800000,6.486,6.719,6.483,6.702,260530,260530
1611331200000,6.709,6.994,6.592,6.914,217833,217833
1611345600000,6.92,6.944,6.682,6.738,115581,115581
1611360000000,6.736,7.1,6.591,7.039,252853,252853
1611374400000,7.039,7.369,7.004,7.166,401699,401699
1611388800000,7.168,7.354,6.86,6.916,373036,373036
1611403200000,6.91,7.166,6.777,7.075,289182,289182
1611417600000,7.089,7.412,7.013,7.357,164624,164624
1611432000000,7.369,7.439,6.992,7.083,141488,141488
1611446400000,7.078,7.518,6.979,7.514,324498,324498
1611460800000,7.519,7.899,7.519,7.665,838272,838272
1611475200000,7.663,8.098,7.566,8.009,495118,495118
1611489600000,7.998,8.066,7.581,7.841,464723,464723
1611504000000,7.849,8.498,7.801,7.995,778990,778990
1611518400000,7.996,8.391,7.983,8.313,177275,177275
