Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.427,0.451,0.427,0.438,283346,283346
1609128000000,0.433,0.441,0.431,0.432,97981,97981
1609142400000,0.433,0.439,0.42,0.423,349974,349974
1609156800000,0.426,0.443,0.422,0.441,845427,845427
1609171200000,0.439,0.444,0.417,0.424,2071503,2071503
1609185600000,0.423,0.424,0.405,0.411,188322,188322
1609200000000,0.411,0.416,0.396,0.404,72563,72563
1609214400000,0.405,0.405,0.397,0.399,24927,24927
1609228800000,0.402,0.405,0.382,0.388,134363,134363
1609243200000,0.39,0.396,0.381,0.392,102607,102607
1609257600000,0.39,0.393,0.36,0.392,476837,476837
1609272000000,0.392,0.394,0.374,0.393,237966,237966
1609286400000,0.394,0.395,0.368,0.392,424423,424423
1609300800000,0.393,0.403,0.38,0.382,246816,246816
1609315200000,0.383,0.396,0.377,0.39,106259,106259
1609329600000,0.391,0.406,0.384,0.403,993777,993777
1609344000000,0.402,0.408,0.389,0.402,1600024,1600024
1609358400000,0.402,0.405,0.393,0.394,517552,517552
1609372800000,0.394,0.398,0.381,0.393,322029,322029
1609387200000,0.392,0.394,0.38,0.385,424543,424543
1609401600000,0.386,0.396,0.384,0.391,408352,408352
1609416000000,0.389,0.399,0.38,0.387,615210,615210
1609430400000,0.389,0.389,0.366,0.373,460394,460394
1609444800000,0.373,0.39,0.362,0.389,503424,503424
1609459200000,0.388,0.416,0.385,0.414,1106531,1106531
1609473600000,0.413,0.419,0.396,0.396,755264,755264
1609488000000,0.397,0.407,0.395,0.407,244641,244641
1609502400000,0.406,0.418,0.393,0.409,561757,561757
1609516800000,0.41,0.485,0.41,0.425,291349,291349
1609531200000,0.425,0.446,0.425,0.444,139908,139908
1609545600000,0.453,0.465,0.432,0.434,283272,283272
1609560000000,0.436,0.443,0.417,0.424,168513,168513
1609574400000,0.424,0.437,0.419,0.435,110954,110954
1609588800000,0.434,0.439,0.409,0.423,97710,97710
1609603200000,0.423,0.423,0.397,0.41,125681,125681
1609617600000,0.412,0.433,0.411,0.43,132227,132227
1609632000000,0.432,0.448,0.421,0.429,206303,206303
1609646400000,0.431,0.448,0.427,0.439,151106,151106
1609660800000,0.44,0.44,0.418,0.432,142721,142721
1609675200000,0.432,0.436,0.403,0.408,199208,199208
1609689600000,0.412,0.412,0.386,0.395,82028,82028
1609704000000,0.395,0.399,0.389,0.394,116748,116748
1609718400000,0.399,0.421,0.398,0.42,126080,126080
1609732800000,0.42,0.439,0.41,0.411,213336,213336
1609747200000,0.413,0.421,0.381,0.404,201665,201665
1609761600000,0.404,0.417,0.398,0.417,134379,134379
1609776000000,0.416,0.42,0.401,0.408,139032,139032
1609790400000,0.408,0.408,0.396,0.403,36338,36338
1609804800000,0.404,0.41,0.392,0.393,175989,175989
1609819200000,0.393,0.395,0.388,0.388,68632,68632
1609833600000,0.391,0.402,0.39,0.401,41614,41614
1609848000000,0.401,0.409,0.399,0.409,57745,57745
1609862400000,0.408,0.409,0.397,0.402,44194,44194
1609876800000,0.401,0.401,0.395,0.396,40076,40076
1609891200000,0.397,0.401,0.395,0.401,16390,16390
1609905600000,0.401,0.405,0.399,0.405,67788,67788
1609920000000,0.404,0.412,0.399,0.411,151690,151690
1609934400000,0.412,0.438,0.41,0.431,167122,167122
1609948800000,0.431,0.433,0.419,0.42,128163,128163
1609963200000,0.421,0.438,0.42,0.437,112687,112687
1609977600000,0.437,0.443,0.42,0.429,171676,171676
1609992000000,0.429,0.45,0.429,0.435,412859,412859
1610006400000,0.436,0.523,0.435,0.488,691359,691359
1610020800000,0.488,0.53,0.472,0.518,827411,827411
1610035200000,0.519,0.526,0.457,0.465,561737,561737
1610049600000,0.465,0.491,0.458,0.464,292102,292102
1610064000000,0.471,0.472,0.41,0.431,527798,527798
1610078400000,0.43,0.446,0.421,0.44,214493,214493
1610092800000,0.444,0.461,0.438,0.461,269464,269464
1610107200000,0.461,0.465,0.435,0.442,333532,333532
1610121600000,0.442,0.445,0.422,0.427,152287,152287
1610136000000,0.427,0.428,0.399,0.422,233345,233345
1610150400000,0.423,0.44,0.413,0.437,288387,288387
1610164800000,0.437,0.446,0.42,0.425,199540,199540
1610179200000,0.427,0.449,0.421,0.449,124107,124107
1610193600000,0.448,0.466,0.444,0.452,226958,226958
1610208000000,0.453,0.467,0.426,0.455,308066,308066
1610222400000,0.455,0.461,0.45,0.451,49595,49595
1610236800000,0.452,0.481,0.447,0.477,296159,296159
1610251200000,0.475,0.494,0.466,0.494,220518,220518
1610265600000,0.492,0.497,0.442,0.446,329232,329232
1610280000000,0.441,0.45,0.421,0.448,167647,167647
1610294400000,0.449,0.449,0.413,0.421,235515,235515
1610308800000,0.432,0.437,0.421,0.437,50066,50066
1610323200000,0.437,0.44,0.36,0.386,481998,481998
1610337600000,0.386,0.389,0.365,0.377,310381,310381
1610352000000,0.379,0.394,0.377,0.381,140284,140284
1610366400000,0.385,0.393,0.363,0.366,139350,139350
1610380800000,0.368,0.398,0.335,0.386,289632,289632
1610395200000,0.383,0.397,0.363,0.388,71882,71882
1610409600000,0.386,0.393,0.381,0.393,42563,42563
1610424000000,0.393,0.403,0.387,0.399,39185,39185
1610438400000,0.398,0.398,0.367,0.38,60940,60940
1610452800000,0.38,0.39,0.365,0.384,35139,35139
