Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,1.3493,1.543,1.32,1.4806,247104,2471040
1609128000000,1.4803,1.4888,1.4188,1.4551,90102,901020
1609142400000,1.4559,1.4589,1.3835,1.4437,117283,1172830
1609156800000,1.4432,1.4714,1.3994,1.4336,79240,792400
1609171200000,1.4346,1.5771,1.4014,1.518,131156,1311560
1609185600000,1.5204,1.5938,1.5163,1.5536,111698,1116980
1609200000000,1.5548,1.6102,1.4249,1.4324,149853,1498530
1609214400000,1.4329,1.4838,1.4044,1.4505,81355,813550
1609228800000,1.4524,1.4915,1.4034,1.4323,52591,525910
1609243200000,1.4295,1.4654,1.3792,1.3922,79504,795040
1609257600000,1.39,1.4618,1.3512,1.4296,76244,762440
1609272000000,1.4291,1.4605,1.3938,1.4324,59796,597960
1609286400000,1.4316,1.512,1.418,1.4789,81098,810980
1609300800000,1.4787,1.5471,1.47,1.5456,98442,984420
1609315200000,1.5436,1.5446,1.4397,1.4499,132387,1323870
1609329600000,1.4517,1.4968,1.4376,1.4702,97905,979050
1609344000000,1.4727,1.6068,1.4602,1.5685,147116,1471160
1609358400000,1.5693,1.6314,1.559,1.5944,80039,800390
1609372800000,1.5917,1.7035,1.5291,1.7,149356,1493560
1609387200000,1.7061,1.7361,1.654,1.6863,74975,749750
1609401600000,1.6848,1.7948,1.6632,1.7792,152009,1520090
1609416000000,1.7755,1.781,1.6402,1.7269,215914,2159140
1609430400000,1.7215,1.8651,1.7082,1.8504,170267,1702670
1609444800000,1.8524,1.8888,1.8361,1.8554,93325,933250
1609459200000,1.8541,1.98,1.7867,1.9667,216598,2165980
1609473600000,1.9678,1.99,1.8915,1.9798,158612,1586120
1609488000000,1.9808,2.0661,1.9265,2.0437,233899,2338990
1609502400000,2.0443,2.2808,2.0322,2.2088,454508,4545080
1609516800000,2.213,2.3126,2.0421,2.128,375133,3751330
1609531200000,2.1259,2.1995,1.9546,1.9734,239194,2391940
1609545600000,1.9817,2.0835,1.9306,2.0173,210708,2107080
1609560000000,2.017,2.1976,2.012,2.1467,197772,1977720
