Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,17.81,18.37,17.55,17.92,79281,7928.1
1609128000000,17.91,18.44,17.62,18.32,131749,13174.9
1609142400000,18.34,18.43,17.8,18.29,118596,11859.6
1609156800000,18.28,18.82,17.87,18.38,164605,16460.5
1609171200000,18.38,19.71,18.33,19.4,156596,15659.6
1609185600000,19.41,20.23,19.15,19.87,245307,24530.7
1609200000000,19.87,20.56,18.1,18.19,260704,26070.4
1609214400000,18.15,18.77,17.82,18.77,93620,9362.0
1609228800000,19.65,19.65,18.16,18.45,109368,10936.8
1609243200000,18.45,18.69,17.7,17.85,98043,9804.3
1609257600000,17.77,18.46,17.21,18.14,111066,11106.6
1609272000000,18.12,18.32,17.83,18.18,97663,9766.3
1609286400000,18.18,18.41,17.82,17.97,76566,7656.6
1609300800000,17.97,18.29,17.79,18.21,93713,9371.3
1609315200000,18.19,18.31,17.78,17.88,99605,9960.5
1609329600000,17.85,18.11,17.57,18.11,105623,10562.3
1609344000000,18.09,18.32,17.69,17.98,109106,10910.6
1609358400000,17.98,18.0,17.41,17.57,82552,8255.2
1609372800000,17.55,17.57,17.0,17.21,91699,9169.9
1609387200000,17.24,17.65,17.14,17.62,89125,8912.5
1609401600000,17.63,17.74,17.03,17.59,141432,14143.2
1609416000000,17.6,17.71,16.79,17.15,146187,14618.7
1609430400000,17.15,17.35,17.04,17.32,154037,15403.7
1609444800000,17.31,17.79,17.06,17.75,62112,6211.2
1609459200000,17.76,18.21,17.42,18.1,112179,11217.9
1609473600000,18.13,18.39,17.65,17.97,97802,9780.2
1609488000000,17.96,18.12,17.5,18.06,93943,9394.3
1609502400000,18.05,18.87,17.97,18.71,169880,16988.0
1609516800000,18.7,19.05,17.39,17.93,197955,19795.5
1609531200000,17.9,18.2,17.53,17.71,65996,6599.6
1609545600000,17.7,17.73,16.86,17.4,164386,16438.6
1609560000000,17.4,17.69,17.23,17.25,75794,7579.4
1609574400000,17.27,17.37,16.86,17.35,94140,9414.0
1609588800000,17.35,17.6,16.88,17.59,107287,10728.7
1609603200000,17.61,18.14,17.34,18.11,116119,11611.9
1609617600000,18.09,18.12,17.26,17.86,145653,14565.3
1609632000000,17.87,18.19,17.84,18.07,106499,10649.9
1609646400000,18.09,18.2,17.59,17.6,85346,8534.6
1609660800000,17.6,17.98,17.3,17.83,113664,11366.4
1609675200000,17.83,18.75,17.76,18.56,221442,22144.2
1609689600000,18.61,19.3,17.78,18.03,291240,29124.0
1609704000000,18.04,20.37,17.94,19.92,170498,17049.8
1609718400000,20.02,20.75,19.78,20.41,223933,22393.3
1609732800000,20.39,22.1,19.41,19.84,309803,30980.3
1609747200000,19.98,20.23,17.66,18.75,328462,32846.2
1609761600000,18.75,19.57,18.41,19.42,111724,11172.4
1609776000000,19.43,19.98,18.79,19.74,162576,16257.6
1609790400000,19.77,19.92,18.84,19.39,143434,14343.4
1609804800000,19.37,20.22,18.6,18.79,414825,41482.5
1609819200000,18.79,19.01,18.34,18.67,297105,29710.5
1609833600000,18.67,21.32,18.67,20.53,254430,25443.0
