Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.0289,0.02956,0.02862,0.02881,178865,178865000
1609128000000,0.02881,0.02963,0.02861,0.02942,82336,82336000
1609142400000,0.02941,0.03015,0.02911,0.02983,113844,113844000
1609156800000,0.02985,0.03038,0.02934,0.0295,118605,118605000
1609171200000,0.02949,0.03003,0.02937,0.02981,106014,106014000
1609185600000,0.02981,0.03034,0.02889,0.02959,166242,166242000
1609200000000,0.02959,0.03032,0.02711,0.02722,285046,285046000
1609214400000,0.02721,0.02745,0.02647,0.02735,123369,123369000
1609228800000,0.02734,0.02813,0.02717,0.02766,158239,158239000
1609243200000,0.02765,0.02805,0.02684,0.02687,141666,141666000
1609257600000,0.02686,0.02762,0.02649,0.02754,128335,128335000
1609272000000,0.02753,0.02772,0.02704,0.02767,70555,70555000
1609286400000,0.02767,0.02781,0.02705,0.02713,73886,73886000
1609300800000,0.02714,0.02726,0.02671,0.02698,74441,74441000
1609315200000,0.02697,0.02719,0.02626,0.02682,124171,124171000
1609329600000,0.02681,0.02709,0.02665,0.02708,52447,52447000
1609344000000,0.0271,0.02725,0.02672,0.02706,110393,110393000
1609358400000,0.02706,0.02709,0.02669,0.02695,57976,57976000
1609372800000,0.02696,0.02701,0.0264,0.02671,61455,61455000
1609387200000,0.02674,0.02699,0.02649,0.02688,37042,37042000
1609401600000,0.02688,0.02705,0.02658,0.02683,76293,76293000
1609416000000,0.02683,0.02692,0.02594,0.02649,102124,102124000
1609430400000,0.02649,0.02675,0.02641,0.02672,32454,32454000
1609444800000,0.02673,0.02683,0.02662,0.02677,28360,28360000
1609459200000,0.02677,0.02738,0.02649,0.02715,46416,46416000
1609473600000,0.02715,0.02724,0.02663,0.02684,26518,26518000
1609488000000,0.02684,0.02707,0.02655,0.02703,23831,23831000
1609502400000,0.02704,0.02732,0.02681,0.02703,42078,42078000
1609516800000,0.02703,0.02718,0.02646,0.02664,39571,39571000
1609531200000,0.02663,0.02691,0.02658,0.02684,17459,17459000
1609545600000,0.02684,0.02699,0.0265,0.02688,33174,33174000
1609560000000,0.0269,0.027,0.02674,0.02674,14206,14206000
1609574400000,0.02673,0.02692,0.02652,0.02673,32521,32521000
1609588800000,0.02671,0.02718,0.02661,0.02691,74970,74970000
1609603200000,0.02692,0.02793,0.02668,0.02779,115642,115642000
1609617600000,0.02779,0.0278,0.0267,0.02721,120477,120477000
1609632000000,0.0272,0.02742,0.02693,0.02693,57379,57379000
1609646400000,0.02693,0.0271,0.02665,0.02666,73298,73298000
1609660800000,0.02666,0.02816,0.02654,0.02775,222610,222610000
1609675200000,0.02775,0.0289,0.02754,0.02806,377468,377468000
1609689600000,0.02806,0.02929,0.02798,0.02852,364639,364639000
1609704000000,0.02852,0.03017,0.02846,0.02953,217021,217021000
1609718400000,0.02954,0.03199,0.02954,0.03099,435826,435826000
1609732800000,0.03099,0.03223,0.02868,0.0299,549258,549258000
1609747200000,0.02993,0.03027,0.02651,0.02841,617789,617789000
1609761600000,0.02842,0.03017,0.02809,0.02983,286311,286311000
