Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,7.9,8.19,7.88,8.05,5102,510.2
1609128000000,7.96,8.13,7.89,8.03,11258,1125.8
1609142400000,8.02,8.15,8.01,8.07,3548,354.8
1609156800000,8.07,8.07,7.88,7.97,5111,511.1
1609171200000,7.97,8.28,7.92,8.26,7858,785.8
1609185600000,8.26,8.29,7.93,7.93,5616,561.6
1609200000000,7.94,8.1,7.52,7.6,11269,1126.9
1609214400000,7.6,7.6,7.51,7.54,1740,174.0
1609228800000,7.76,8.03,7.58,7.87,7585,758.5
1609243200000,7.89,8.36,7.87,8.01,76675,7667.5
1609257600000,8.0,8.17,7.68,7.87,7464,746.4
1609272000000,7.88,8.04,7.83,7.9,3215,321.5
1609286400000,7.91,8.41,7.84,7.9,19061,1906.1
1609300800000,7.89,8.01,7.65,7.91,6760,676.0
1609315200000,7.92,7.96,7.8,7.89,3053,305.3
1609329600000,7.9,7.93,7.75,7.81,3388,338.8
1609344000000,7.8,7.94,7.78,7.85,3040,304.0
1609358400000,7.85,7.92,7.67,7.8,5835,583.5
1609372800000,7.81,7.84,7.63,7.72,2950,295.0
1609387200000,7.72,7.85,7.39,7.73,546906,54690.6
1609401600000,7.71,8.0,7.38,7.74,439661,43966.1
1609416000000,7.75,7.77,7.59,7.63,2408,240.8
1609430400000,7.63,7.69,7.56,7.68,2592,259.2
1609444800000,7.68,7.75,7.48,7.48,5820,582.0
1609459200000,7.44,7.92,7.44,7.91,11301,1130.1
1609473600000,7.91,8.35,7.64,7.8,578256,57825.6
1609488000000,7.8,8.14,7.8,7.95,5585,558.5
1609502400000,7.95,8.1,7.94,8.03,4038,403.8
1609516800000,8.01,8.04,7.74,7.8,10628,1062.8
1609531200000,7.8,8.09,7.8,8.0,8748,874.8
1609545600000,7.99,8.02,7.77,7.9,7268,726.8
1609560000000,7.89,8.06,7.82,8.02,6292,629.2
1609574400000,8.0,8.2,7.92,8.09,4653,465.3
1609588800000,8.09,8.35,8.02,8.13,3959,395.9
1609603200000,8.11,8.38,8.04,8.17,16528,1652.8
1609617600000,8.17,8.49,8.13,8.19,22949,2294.9
1609632000000,8.2,8.36,7.97,8.13,8533,853.3
1609646400000,8.14,8.14,7.97,8.09,3240,324.0
1609660800000,8.1,8.18,8.05,8.13,2282,228.2
1609675200000,8.11,8.52,8.07,8.26,14369,1436.9
1609689600000,8.25,8.61,8.19,8.21,13145,1314.5
1609704000000,8.23,8.53,8.2,8.44,7401,740.1
1609718400000,8.45,8.9,8.45,8.79,46813,4681.3
1609732800000,8.81,10.35,8.76,8.95,31170,3117.0
1609747200000,8.94,9.48,8.09,8.23,39636,3963.6
1609761600000,8.23,9.08,8.2,8.85,15452,1545.2
1609776000000,8.86,8.99,8.53,8.92,7732,773.2
1609790400000,8.92,9.11,8.62,8.79,9520,952.0
1609804800000,8.8,9.3,8.36,8.45,20197,2019.7
1609819200000,8.45,8.75,8.3,8.59,5390,539.0
1609833600000,8.59,8.77,8.57,8.69,8468,846.8
1609848000000,8.69,8.93,8.68,8.82,6748,674.8
1609862400000,8.81,9.36,8.81,9.15,10722,1072.2
1609876800000,9.15,9.36,9.11,9.31,11609,1160.9
1609891200000,9.32,9.32,8.81,8.86,11801,1180.1
1609905600000,8.86,8.96,8.75,8.88,3164,316.4
1609920000000,8.87,9.19,8.86,9.16,7239,723.9
1609934400000,9.15,9.42,9.07,9.37,5827,582.7
1609948800000,9.38,9.94,9.27,9.67,9750,975.0
1609963200000,9.67,9.67,9.18,9.51,17269,1726.9
