Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,3.601,3.829,3.571,3.735,804963,804963
1609128000000,3.735,3.867,3.713,3.84,410270,410270
1609142400000,3.84,3.947,3.759,3.805,788266,788266
1609156800000,3.805,3.811,3.717,3.778,444627,444627
1609171200000,3.779,3.891,3.771,3.83,349165,349165
1609185600000,3.829,3.843,3.664,3.731,594750,594750
1609200000000,3.73,3.844,3.58,3.582,880687,880687
1609214400000,3.582,3.623,3.514,3.605,495860,495860
1609228800000,3.605,3.657,3.573,3.62,309851,309851
1609243200000,3.622,3.684,3.541,3.551,475835,475835
1609257600000,3.55,3.628,3.503,3.62,410407,410407
1609272000000,3.62,3.708,3.57,3.673,288474,288474
1609286400000,3.675,3.803,3.654,3.76,519976,519976
1609300800000,3.758,3.816,3.716,3.767,597389,597389
1609315200000,3.768,3.793,3.632,3.658,613959,613959
1609329600000,3.659,3.926,3.644,3.923,503163,503163
1609344000000,3.919,4.38,3.873,4.191,2664977,2664977
1609358400000,4.188,4.277,4.06,4.157,689297,689297
1609372800000,4.154,4.219,3.928,4.045,954641,954641
1609387200000,4.046,4.598,4.04,4.506,1987628,1987628
1609401600000,4.509,4.73,4.436,4.63,1870677,1870677
1609416000000,4.632,4.881,4.383,4.879,2041704,2041704
1609430400000,4.872,5.062,4.782,4.954,1816472,1816472
1609444800000,4.954,5.299,4.951,5.154,1194011,1194011
1609459200000,5.156,5.271,4.998,5.168,1019251,1019251
1609473600000,5.166,5.177,4.864,5.004,1129369,1129369
1609488000000,5.005,5.125,4.868,5.011,1030309,1030309
1609502400000,5.009,5.051,4.692,4.772,1604593,1604593
1609516800000,4.773,4.874,4.611,4.816,1146065,1146065
1609531200000,4.814,4.899,4.684,4.734,497287,497287
1609545600000,4.735,4.834,4.498,4.814,1242090,1242090
1609560000000,4.814,4.944,4.655,4.687,971702,971702
1609574400000,4.688,4.71,4.487,4.616,1086598,1086598
1609588800000,4.619,4.883,4.52,4.88,1469373,1469373
1609603200000,4.881,5.183,4.689,5.062,1211497,1211497
1609617600000,5.064,5.14,4.647,4.857,1151289,1151289
1609632000000,4.854,4.887,4.714,4.726,346987,346987
1609646400000,4.727,4.994,4.676,4.781,627467,627467
1609660800000,4.783,5.164,4.705,5.107,1559403,1559403
1609675200000,5.108,5.447,4.997,5.25,3117382,3117382
1609689600000,5.249,5.386,4.993,5.136,1403869,1403869
1609704000000,5.134,5.641,5.13,5.514,1024430,1024430
1609718400000,5.518,6.019,5.364,5.983,1358648,1358648
1609732800000,5.981,6.236,5.512,5.663,2370388,2370388
1609747200000,5.672,5.778,4.89,5.309,2497400,2497400
1609761600000,5.308,5.567,5.209,5.349,1408321,1408321
1609776000000,5.356,5.449,5.154,5.447,940685,940685
1609790400000,5.446,5.483,5.179,5.426,423710,423710
1609804800000,5.425,5.749,5.255,5.278,1237954,1237954
1609819200000,5.282,5.456,5.21,5.418,1125988,1125988
1609833600000,5.42,5.938,5.42,5.922,1003921,1003921
1609848000000,5.924,6.205,5.656,6.202,1427561,1427561
1609862400000,6.202,6.551,6.078,6.391,1402067,1402067
1609876800000,6.384,6.562,6.22,6.254,608177,608177
1609891200000,6.257,6.365,6.01,6.209,833626,833626
1609905600000,6.207,6.45,6.097,6.156,695631,695631
1609920000000,6.158,6.364,6.045,6.307,676167,676167
1609934400000,6.301,6.385,6.157,6.183,742368,742368
1609948800000,6.181,6.592,6.177,6.2,578305,578305
1609963200000,6.203,6.415,6.06,6.407,631068,631068
1609977600000,6.412,6.436,6.175,6.31,531378,531378
1609992000000,6.307,6.315,6.128,6.217,516438,516438
1610006400000,6.217,6.278,6.093,6.191,730522,730522
1610020800000,6.191,6.711,6.147,6.657,923970,923970
1610035200000,6.659,6.825,6.012,6.311,1214181,1214181
1610049600000,6.316,6.483,6.193,6.268,525802,525802
1610064000000,6.272,6.299,5.474,5.825,1460183,1460183
1610078400000,5.823,6.126,5.728,6.119,1153462,1153462
1610092800000,6.119,6.379,6.026,6.228,1173613,1173613
1610107200000,6.229,6.27,5.871,5.982,905970,905970
1610121600000,5.993,6.135,5.729,5.774,504456,504456
1610136000000,5.773,5.928,5.6,5.878,597616,597616
1610150400000,5.883,6.138,5.668,6.088,794424,794424
1610164800000,6.081,6.085,5.783,5.952,513675,513675
1610179200000,5.956,6.244,5.903,6.132,647028,647028
1610193600000,6.133,6.252,6.001,6.106,479386,479386
1610208000000,6.105,6.25,5.974,6.209,371447,371447
1610222400000,6.211,6.359,6.148,6.224,411490,411490
1610236800000,6.226,6.49,6.226,6.249,545958,545958
1610251200000,6.246,6.573,6.236,6.525,476484,476484
1610265600000,6.523,6.544,5.994,6.007,780364,780364
1610280000000,6.011,6.193,5.842,6.09,729879,729879
1610294400000,6.091,6.156,5.795,5.965,247718,247718
1610308800000,5.969,6.084,5.777,5.982,248966,248966
1610323200000,5.983,6.001,5.09,5.401,1057822,1057822
1610337600000,5.393,5.525,5.008,5.322,1375955,1375955
1610352000000,5.322,5.595,5.27,5.293,642032,642032
1610366400000,5.297,5.426,4.716,4.874,1392764,1392764
1610380800000,4.87,4.956,4.403,4.768,1417402,1417402
1610395200000,4.769,5.254,4.663,5.238,594195,594195
1610409600000,5.235,5.303,5.028,5.276,472610,472610
1610424000000,5.287,5.701,5.219,5.506,619627,619627
1610438400000,5.508,5.518,5.219,5.334,379430,379430
1610452800000,5.337,5.4,4.971,5.192,723548,723548
1610467200000,5.193,5.801,5.193,5.759,644422,644422
1610481600000,5.755,5.82,5.482,5.584,609369,609369
1610496000000,5.581,5.601,5.257,5.539,561322,561322
1610510400000,5.541,5.777,5.369,5.735,572248,572248
1610524800000,5.739,5.884,5.629,5.682,639594,639594
1610539200000,5.683,5.926,5.609,5.898,599242,599242
1610553600000,5.904,6.253,5.899,6.159,650879,650879
1610568000000,6.162,6.38,6.109,6.338,463139,463139
1610582400000,6.34,6.542,6.182,6.345,808052,808052
1610596800000,6.345,6.501,6.277,6.395,392424,392424
1610611200000,6.401,6.797,6.314,6.759,794673,794673
1610625600000,6.759,7.129,6.637,6.774,1520245,1520245
1610640000000,6.78,6.936,6.446,6.548,768658,768658
1610654400000,6.543,6.963,6.309,6.963,665625,665625
1610668800000,6.957,7.259,6.793,6.898,1330347,1330347
1610683200000,6.896,7.336,6.738,7.231,1129611,1129611
1610697600000,7.233,7.381,7.088,7.118,900511,900511
1610712000000,7.124,7.415,6.668,6.693,1459466,1459466
1610726400000,6.703,7.261,6.4,6.957,1556291,1556291
1610740800000,6.955,7.479,6.873,7.377,747580,747580
1610755200000,7.373,7.532,7.237,7.5,846290,846290
1610769600000,7.504,7.573,7.201,7.544,770002,770002
1610784000000,7.548,7.983,7.442,7.827,790943,790943
1610798400000,7.83,9.269,7.612,8.926,1805848,1805848
1610812800000,8.934,9.396,8.194,8.58,1788965,1788965
1610827200000,8.576,8.844,8.0,8.393,689643,689643
1610841600000,8.396,9.177,8.188,8.876,1019796,1019796
1610856000000,8.891,8.988,8.078,8.262,791203,791203
1610870400000,8.263,8.731,8.079,8.659,814986,814986
1610884800000,8.662,8.688,8.17,8.521,592176,592176
1610899200000,8.521,8.969,8.306,8.698,416111,416111
1610913600000,8.698,9.13,8.612,8.687,418194,418194
1610928000000,8.687,8.985,8.316,8.472,553003,553003
1610942400000,8.479,9.189,8.393,9.115,515867,515867
1610956800000,9.124,9.873,9.124,9.461,1254100,1254100
1610971200000,9.453,9.57,9.15,9.253,637467,637467
1610985600000,9.247,9.34,8.907,9.181,384839,384839
1611000000000,9.181,9.32,9.015,9.197,240428,240428
