Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,6.402,6.604,6.348,6.527,3658,3658
1609128000000,6.516,6.737,6.418,6.683,3403,3403
1609142400000,6.655,6.669,6.491,6.585,5975,5975
1609156800000,6.606,6.611,6.452,6.47,4631,4631
1609171200000,6.481,6.759,6.449,6.593,1459,1459
1609185600000,6.569,6.786,6.453,6.595,7042,7042
1609200000000,6.594,6.982,6.594,6.718,12916,12916
1609214400000,6.68,7.2,6.521,7.199,7510,7510
1609228800000,7.135,7.563,6.91,7.106,28048,28048
1609243200000,7.147,7.201,6.864,6.864,6103,6103
1609257600000,6.826,7.047,6.655,6.975,11459,11459
1609272000000,6.992,7.081,6.848,7.049,1685,1685
1609286400000,6.998,7.033,6.761,6.837,2490,2490
1609300800000,6.83,6.952,6.756,6.764,1592,1592
1609315200000,6.764,6.822,6.523,6.58,15058,15058
1609329600000,6.558,6.819,6.48,6.616,5368,5368
1609344000000,6.638,6.738,6.507,6.637,4249,4249
1609358400000,6.635,6.642,6.551,6.631,3825,3825
1609372800000,6.629,6.629,6.31,6.358,9425,9425
1609387200000,6.351,6.52,6.345,6.52,3573,3573
1609401600000,6.514,6.542,6.329,6.339,17633,17633
1609416000000,6.328,6.369,6.0,6.011,16788,16788
1609430400000,6.004,6.198,5.956,6.12,17377,17377
1609444800000,6.127,6.2,6.008,6.191,5270,5270
1609459200000,6.195,6.296,6.1,6.177,5347,5347
1609473600000,6.178,6.257,6.109,6.224,5339,5339
1609488000000,6.224,6.23,6.008,6.085,4367,4367
1609502400000,6.083,6.366,5.922,6.279,19271,19271
1609516800000,6.272,6.288,5.9,5.992,33838,33838
1609531200000,5.964,6.026,5.956,5.983,2166,2166
1609545600000,5.982,5.982,5.691,5.796,24908,24908
1609560000000,5.787,5.845,5.712,5.8,4576,4576
1609574400000,5.794,5.799,5.527,5.555,8020,8020
1609588800000,5.57,5.743,5.492,5.728,7347,7347
1609603200000,5.719,5.888,5.639,5.663,4562,4562
1609617600000,5.683,5.683,5.47,5.596,14590,14590
1609632000000,5.601,5.622,5.24,5.265,20037,20037
1609646400000,5.281,5.297,5.086,5.116,7072,7072
1609660800000,5.101,5.42,5.097,5.361,12275,12275
1609675200000,5.326,5.428,5.221,5.303,18443,18443
1609689600000,5.31,6.12,5.282,5.719,45215,45215
1609704000000,5.757,5.866,5.462,5.548,10733,10733
1609718400000,5.595,6.14,5.551,6.12,33895,33895
1609732800000,6.113,6.169,5.511,5.582,21727,21727
1609747200000,5.654,5.748,4.94,5.267,27626,27626
1609761600000,5.263,5.397,5.207,5.29,10041,10041
1609776000000,5.319,5.363,5.158,5.336,4963,4963
1609790400000,5.35,5.453,5.281,5.39,1913,1913
1609804800000,5.405,5.507,5.253,5.31,6581,6581
1609819200000,5.323,5.348,5.162,5.215,7126,7126
1609833600000,5.253,5.477,5.236,5.444,8953,8953
1609848000000,5.473,5.502,5.264,5.499,8775,8775
1609862400000,5.513,5.815,5.494,5.622,45036,45036
1609876800000,5.614,5.654,5.42,5.581,9974,9974
1609891200000,5.601,5.637,5.353,5.419,17576,17576
1609905600000,5.431,5.716,5.415,5.711,7814,7814
1609920000000,5.7,5.956,5.65,5.78,17445,17445
1609934400000,5.803,6.03,5.792,5.933,20129,20129
1609948800000,5.943,6.145,5.688,5.722,24748,24748
1609963200000,5.802,5.931,5.592,5.849,21165,21165
1609977600000,5.845,6.072,5.693,5.999,16493,16493
1609992000000,5.96,6.361,5.862,6.069,47496,47496
1610006400000,6.111,6.185,5.888,6.08,43890,43890
1610020800000,6.074,6.594,6.021,6.353,41730,41730
1610035200000,6.398,6.411,5.499,5.976,82901,82901
1610049600000,5.975,6.174,5.734,5.931,17530,17530
1610064000000,5.922,5.993,5.165,5.51,26797,26797
1610078400000,5.477,5.795,5.357,5.691,13971,13971
1610092800000,5.754,5.94,5.667,5.747,12340,12340
1610107200000,5.747,5.758,5.485,5.648,8682,8682
1610121600000,5.669,5.742,5.457,5.462,6112,6112
1610136000000,5.459,5.615,5.292,5.611,1584,1584
1610150400000,5.612,5.752,5.425,5.752,4264,4264
1610164800000,5.757,5.757,5.482,5.597,4012,4012
1610179200000,5.605,5.888,5.533,5.783,6918,6918
1610193600000,5.799,5.971,5.783,5.821,7764,7764
1610208000000,5.856,5.95,5.745,5.901,12680,12680
