Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,17.1,17.59,17.01,17.36,42542,4254.2
1609128000000,17.36,17.59,17.17,17.52,55760,5576.0
1609142400000,17.52,18.49,17.36,18.08,288396,28839.6
1609156800000,18.11,20.03,18.06,18.45,745462,74546.2
1609171200000,18.47,18.88,17.88,18.12,376248,37624.8
1609185600000,18.11,18.13,17.16,17.58,168253,16825.3
1609200000000,17.6,17.71,16.71,16.71,386507,38650.7
1609214400000,16.69,16.74,15.69,16.25,237000,23700.0
1609228800000,16.16,16.57,16.07,16.23,286261,28626.1
1609243200000,16.21,16.34,15.9,15.99,199945,19994.5
1609257600000,15.99,17.82,15.97,17.81,366756,36675.6
1609272000000,17.82,18.97,17.55,18.85,248399,24839.9
1609286400000,18.82,19.36,18.48,18.96,299624,29962.4
1609300800000,18.98,19.09,18.48,18.66,307476,30747.6
1609315200000,18.71,18.92,17.88,18.16,171576,17157.6
1609329600000,18.15,19.5,18.08,19.47,516777,51677.7
1609344000000,19.48,24.09,19.19,22.96,2223316,222331.6
1609358400000,22.99,24.5,21.85,21.95,1336841,133684.1
1609372800000,22.01,22.1,20.97,21.48,1065075,106507.5
1609387200000,21.48,21.49,20.4,21.24,299725,29972.5
1609401600000,21.27,22.17,20.82,21.43,126313,12631.3
1609416000000,21.41,21.41,20.38,20.72,41958,4195.8
1609430400000,20.74,21.94,20.65,21.94,37556,3755.6
1609444800000,21.92,23.45,21.8,23.08,40585,4058.5
1609459200000,23.07,23.09,22.15,22.43,35707,3570.7
1609473600000,22.46,22.98,22.17,22.17,34227,3422.7
1609488000000,22.17,22.89,21.88,22.01,40695,4069.5
1609502400000,22.02,23.58,21.56,23.11,40543,4054.3
1609516800000,23.12,24.17,23.05,23.35,46156,4615.6
1609531200000,23.33,23.85,22.92,23.76,32667,3266.7
1609545600000,23.78,23.78,23.15,23.41,32935,3293.5
1609560000000,23.42,23.44,22.62,22.91,29132,2913.2
1609574400000,22.95,23.02,22.69,22.9,25063,2506.3
1609588800000,22.9,23.09,21.84,22.54,36318,3631.8
1609603200000,22.53,22.88,21.86,22.67,38963,3896.3
1609617600000,22.69,23.14,22.2,22.95,35574,3557.4
1609632000000,22.96,23.08,22.2,22.31,25582,2558.2
1609646400000,22.26,22.33,21.71,21.79,25958,2595.8
1609660800000,21.77,22.44,21.65,21.86,36496,3649.6
1609675200000,21.88,23.29,21.81,22.5,47865,4786.5
1609689600000,22.6,24.99,22.58,24.99,48713,4871.3
1609704000000,25.01,27.28,24.93,25.65,49842,4984.2
1609718400000,25.71,27.44,25.71,27.4,43722,4372.2
1609732800000,27.42,33.27,27.28,27.53,122193,12219.3
1609747200000,27.53,28.19,22.78,26.47,108069,10806.9
1609761600000,26.43,28.51,26.0,28.47,64702,6470.2
1609776000000,28.46,28.51,26.52,28.14,46587,4658.7
