Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.14525,0.15128,0.14319,0.15095,117356,11735600
1609128000000,0.15102,0.15349,0.14928,0.15029,118219,11821900
1609142400000,0.15019,0.15507,0.14852,0.15308,123820,12382000
1609156800000,0.15317,0.15335,0.14884,0.14983,82965,8296500
1609171200000,0.14987,0.15183,0.14826,0.14858,80510,8051000
1609185600000,0.14843,0.15,0.14135,0.14444,174830,17483000
1609200000000,0.14438,0.14914,0.14,0.14,145373,14537300
1609214400000,0.13996,0.14188,0.13553,0.14124,79158,7915800
1609228800000,0.14142,0.143,0.13489,0.13801,103349,10334900
1609243200000,0.13803,0.14082,0.13047,0.13094,155515,15551500
1609257600000,0.1309,0.13988,0.12786,0.13525,241523,24152300
1609272000000,0.13509,0.13899,0.13468,0.13814,107142,10714200
1609286400000,0.13811,0.13887,0.13164,0.13193,163499,16349900
1609300800000,0.1319,0.13303,0.12893,0.12985,201587,20158700
1609315200000,0.12974,0.13371,0.12865,0.13076,167872,16787200
1609329600000,0.13067,0.13965,0.12977,0.13868,170724,17072400
1609344000000,0.13892,0.13904,0.13152,0.13277,131452,13145200
1609358400000,0.13276,0.13286,0.13003,0.13183,92057,9205700
1609372800000,0.13182,0.13185,0.12432,0.12504,155265,15526500
1609387200000,0.12503,0.12863,0.12471,0.12638,104206,10420600
1609401600000,0.1263,0.13268,0.12485,0.12744,90795,9079500
1609416000000,0.12738,0.12845,0.12266,0.12551,107265,10726500
1609430400000,0.12545,0.12695,0.12417,0.12626,70945,7094500
1609444800000,0.12627,0.12887,0.12505,0.12758,87283,8728300
1609459200000,0.12767,0.13496,0.12643,0.13095,186946,18694600
1609473600000,0.13093,0.1358,0.13065,0.13204,111031,11103100
1609488000000,0.13189,0.13577,0.12965,0.1341,98042,9804200
1609502400000,0.13404,0.13506,0.1315,0.13357,86474,8647400
1609516800000,0.13358,0.14,0.13141,0.13276,291115,29111500
1609531200000,0.13276,0.1346,0.13115,0.13212,80692,8069200
1609545600000,0.13209,0.13367,0.12795,0.13313,127871,12787100
1609560000000,0.13311,0.13448,0.13141,0.132,65085,6508500
1609574400000,0.13207,0.1323,0.12817,0.13012,79562,7956200
1609588800000,0.13017,0.13321,0.12905,0.12941,111082,11108200
1609603200000,0.12934,0.13121,0.12684,0.12934,198095,19809500
1609617600000,0.12936,0.13079,0.12718,0.12759,118641,11864100
1609632000000,0.12759,0.12813,0.12548,0.12613,71486,7148600
1609646400000,0.12612,0.12818,0.12491,0.12513,112012,11201200
1609660800000,0.12516,0.13483,0.12404,0.13061,192288,19228800
1609675200000,0.13065,0.13765,0.1289,0.13217,223801,22380100
1609689600000,0.13223,0.13935,0.13223,0.13375,194582,19458200
1609704000000,0.13379,0.13793,0.13346,0.13652,115795,11579500
1609718400000,0.13683,0.14567,0.13683,0.14351,173654,17365400
1609732800000,0.14343,0.15504,0.13917,0.1409,294768,29476800
1609747200000,0.14136,0.14418,0.12791,0.1345,261970,26197000
1609761600000,0.1346,0.16036,0.13176,0.15445,289632,28963200
1609776000000,0.15478,0.16553,0.1475,0.15643,428221,42822100
1609790400000,0.15656,0.16782,0.15413,0.16418,327573,32757300
1609804800000,0.16419,0.16779,0.15177,0.15177,264063,26406300
1609819200000,0.15184,0.16353,0.14983,0.15881,227715,22771500
