Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,156.99,161.02,156.41,160.31,82199,8219.9
1609128000000,160.26,163.56,159.21,163.06,84542,8454.2
1609142400000,163.11,166.74,160.41,164.84,119190,11919.0
1609156800000,164.87,168.12,160.67,160.87,124380,12438.0
1609171200000,160.89,165.38,160.59,164.27,62515,6251.5
1609185600000,164.2,168.43,163.75,166.43,81232,8123.2
1609200000000,166.45,167.42,159.81,160.03,104860,10486.0
1609214400000,160.04,161.99,157.55,159.14,60508,6050.8
1609228800000,159.19,162.86,159.19,161.23,72041,7204.1
1609243200000,160.98,162.21,156.7,156.9,91107,9110.7
1609257600000,156.76,162.03,155.01,160.75,110199,11019.9
1609272000000,160.78,163.62,159.92,161.9,82651,8265.1
1609286400000,161.87,162.93,159.74,160.8,80283,8028.3
1609300800000,160.86,162.61,158.86,161.77,73770,7377.0
1609315200000,161.71,164.26,160.66,162.49,101266,10126.6
1609329600000,162.57,162.57,159.42,159.82,73735,7373.5
1609344000000,159.83,160.6,158.28,159.9,71452,7145.2
1609358400000,159.86,160.95,157.63,159.7,101706,10170.6
1609372800000,159.72,159.97,157.34,158.35,76398,7639.8
1609387200000,158.4,160.88,158.13,160.58,69220,6922.0
1609401600000,160.54,161.46,158.55,159.16,62128,6212.8
1609416000000,159.19,159.69,155.78,157.72,87200,8720.0
1609430400000,157.79,158.38,155.87,157.63,73505,7350.5
1609444800000,157.63,158.49,155.32,156.13,70107,7010.7
1609459200000,156.2,161.78,155.16,159.82,93788,9378.8
1609473600000,159.81,160.92,157.65,158.75,72119,7211.9
1609488000000,158.8,165.88,157.15,164.08,119700,11970.0
1609502400000,164.08,169.47,163.42,167.76,120233,12023.3
1609516800000,167.81,169.45,138.6,140.74,610786,61078.6
1609531200000,140.82,142.7,129.77,134.85,543390,54339.0
1609545600000,134.85,136.46,128.33,133.54,470429,47042.9
1609560000000,133.57,137.7,132.79,134.77,272208,27220.8
1609574400000,134.72,135.29,131.52,134.45,204748,20474.8
1609588800000,134.4,143.55,133.92,141.7,346573,34657.3
1609603200000,141.66,145.8,139.75,143.57,238978,23897.8
1609617600000,143.58,144.66,135.79,143.3,231478,23147.8
1609632000000,143.29,144.77,142.49,142.77,136215,13621.5
1609646400000,142.78,143.5,139.33,139.35,142445,14244.5
1609660800000,139.34,140.51,136.42,138.5,193558,19355.8
1609675200000,138.55,140.24,131.51,132.34,253511,25351.1
1609689600000,132.41,138.16,131.89,136.94,225180,22518.0
1609704000000,136.96,140.68,136.4,138.25,151927,15192.7
1609718400000,138.41,142.93,138.4,141.2,165848,16584.8
1609732800000,141.17,144.46,138.71,139.61,232322,23232.2
1609747200000,139.76,141.81,125.6,135.24,226935,22693.5
1609761600000,135.26,136.94,133.73,136.06,147004,14700.4
1609776000000,136.07,136.7,131.2,133.12,131118,13111.8
1609790400000,133.14,133.8,129.74,133.71,122574,12257.4
1609804800000,133.71,135.48,129.67,129.85,131219,13121.9
1609819200000,129.82,132.7,128.82,130.17,122820,12282.0
1609833600000,130.41,134.75,130.24,134.61,104087,10408.7
1609848000000,134.63,135.49,130.3,130.63,157664,15766.4
1609862400000,130.65,137.17,129.91,136.56,188539,18853.9
1609876800000,136.56,139.73,134.58,136.19,155548,15554.8
1609891200000,136.26,137.32,132.25,132.9,111540,11154.0
1609905600000,132.88,137.4,132.82,136.03,111543,11154.3
1609920000000,136.17,137.22,133.58,136.49,111591,11159.1
1609934400000,136.61,140.0,136.11,138.64,161575,16157.5
