Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.2838,0.2871,0.2781,0.2825,252443,25244300
1609128000000,0.2824,0.287,0.2782,0.2854,151242,15124200
1609142400000,0.2856,0.3104,0.2807,0.2975,834955,83495500
1609156800000,0.2974,0.2985,0.2865,0.2889,283192,28319200
1609171200000,0.289,0.293,0.2737,0.2855,413767,41376700
1609185600000,0.2856,0.2859,0.2328,0.2472,1683286,168328600
1609200000000,0.2472,0.2472,0.2179,0.2201,1831584,183158400
1609214400000,0.22,0.2316,0.2187,0.2266,630754,63075400
1609228800000,0.2265,0.2288,0.1873,0.1996,1778701,177870100
1609243200000,0.1999,0.205,0.1762,0.178,1787109,178710900
1609257600000,0.1779,0.252,0.1707,0.2216,4724326,472432600
1609272000000,0.2214,0.2306,0.2054,0.2216,2130768,213076800
1609286400000,0.2217,0.2238,0.1913,0.2001,1453053,145305300
1609300800000,0.2002,0.2154,0.1922,0.2017,1213495,121349500
1609315200000,0.2018,0.2244,0.2003,0.2159,1084541,108454100
1609329600000,0.2158,0.2349,0.2081,0.2316,967095,96709500
1609344000000,0.2317,0.237,0.2078,0.2141,968819,96881900
1609358400000,0.2141,0.2202,0.1983,0.2111,809014,80901400
1609372800000,0.211,0.2197,0.205,0.2151,681790,68179000
1609387200000,0.2151,0.2207,0.21,0.2175,489329,48932900
1609401600000,0.2174,0.2297,0.2129,0.2208,588826,58882600
1609416000000,0.2207,0.2244,0.2073,0.2151,732514,73251400
1609430400000,0.2148,0.2233,0.2136,0.2194,445957,44595700
1609444800000,0.2193,0.229,0.2176,0.2195,370236,37023600
1609459200000,0.2197,0.2294,0.2158,0.2273,326841,32684100
1609473600000,0.2272,0.2514,0.2257,0.2293,1277723,127772300
1609488000000,0.2297,0.2425,0.2256,0.2372,567226,56722600
1609502400000,0.2372,0.2447,0.2306,0.2429,397195,39719500
1609516800000,0.2429,0.2503,0.2286,0.2337,985514,98551400
1609531200000,0.2337,0.241,0.2322,0.2374,235698,23569800
1609545600000,0.2374,0.2383,0.2306,0.2346,250623,25062300
1609560000000,0.2349,0.2366,0.2323,0.2335,132939,13293900
1609574400000,0.2336,0.2342,0.2216,0.2275,374258,37425800
1609588800000,0.2274,0.2337,0.2256,0.2291,408914,40891400
1609603200000,0.2289,0.2289,0.2149,0.2207,604533,60453300
1609617600000,0.2208,0.2291,0.2096,0.2209,397434,39743400
1609632000000,0.2209,0.2236,0.2172,0.2214,172996,17299600
1609646400000,0.2214,0.2255,0.2151,0.2178,213011,21301100
1609660800000,0.2181,0.2264,0.2159,0.2213,278595,27859500
1609675200000,0.2213,0.2254,0.2174,0.2211,334355,33435500
1609689600000,0.2211,0.2389,0.2195,0.2251,724921,72492100
1609704000000,0.2251,0.2297,0.2231,0.2252,170272,17027200
1609718400000,0.2256,0.2355,0.2225,0.233,285199,28519900
1609732800000,0.2331,0.2622,0.2303,0.2403,1389837,138983700
1609747200000,0.2406,0.2455,0.2148,0.2316,1226017,122601700
1609761600000,0.2316,0.2349,0.2253,0.2335,346780,34678000
1609776000000,0.2338,0.2406,0.2277,0.2315,343030,34303000
1609790400000,0.2316,0.2381,0.2284,0.2359,219008,21900800
1609804800000,0.2361,0.24,0.2269,0.2278,400398,40039800
1609819200000,0.2278,0.2313,0.2247,0.2298,246800,24680000
1609833600000,0.23,0.2431,0.2299,0.2383,286525,28652500
1609848000000,0.2383,0.2394,0.2151,0.227,1176524,117652400
1609862400000,0.2272,0.2296,0.2215,0.2254,276186,27618600
1609876800000,0.2253,0.2279,0.2222,0.2256,155513,15551300
1609891200000,0.2259,0.2354,0.2211,0.2252,369271,36927100
1609905600000,0.2249,0.23,0.2246,0.2273,245760,24576000
1609920000000,0.2274,0.2339,0.2246,0.2278,315084,31508400
1609934400000,0.2279,0.2746,0.2273,0.2472,1469314,146931400
1609948800000,0.2471,0.2577,0.2384,0.2477,506941,50694100
1609963200000,0.2479,0.255,0.2356,0.2483,553623,55362300
1609977600000,0.2485,0.2797,0.2453,0.2781,626986,62698600
1609992000000,0.2778,0.3181,0.2757,0.2885,2214286,221428600
1610006400000,0.289,0.3627,0.2759,0.3584,1842228,184222800
1610020800000,0.3588,0.3612,0.3248,0.3375,1329182,132918200
1610035200000,0.3372,0.3728,0.2878,0.3266,2782033,278203300
1610049600000,0.3269,0.345,0.3092,0.3239,771141,77114100
1610064000000,0.3239,0.3478,0.2842,0.303,1559006,155900600
1610078400000,0.3032,0.3254,0.2961,0.3216,614070,61407000
1610092800000,0.321,0.3465,0.315,0.3297,815158,81515800
1610107200000,0.3295,0.3325,0.3021,0.3127,797309,79730900
1610121600000,0.313,0.322,0.3041,0.3099,336876,33687600
1610136000000,0.3101,0.3242,0.2967,0.3208,434739,43473900
1610150400000,0.3206,0.3286,0.3057,0.3229,582624,58262400
1610164800000,0.3229,0.3229,0.3087,0.3178,448777,44877700
1610179200000,0.3178,0.3331,0.3136,0.3228,388580,38858000
1610193600000,0.3232,0.3304,0.3156,0.3224,256625,25662500
1610208000000,0.3223,0.3297,0.3143,0.3278,191243,19124300
1610222400000,0.3278,0.3415,0.3219,0.3249,321368,32136800
1610236800000,0.3247,0.3409,0.3246,0.3324,244537,24453700
1610251200000,0.3322,0.3686,0.3311,0.3533,712288,71228800
1610265600000,0.3535,0.3592,0.3141,0.3213,743475,74347500
1610280000000,0.3215,0.3376,0.3157,0.3266,580617,58061700
1610294400000,0.3267,0.3306,0.3094,0.3187,214208,21420800
1610308800000,0.3186,0.3195,0.3103,0.315,148374,14837400
1610323200000,0.3151,0.3165,0.2496,0.2745,936897,93689700
1610337600000,0.2742,0.2848,0.2617,0.2796,1035274,103527400
1610352000000,0.2799,0.3,0.2765,0.2839,593950,59395000
1610366400000,0.284,0.2894,0.2599,0.267,1246906,124690600
1610380800000,0.2666,0.2814,0.2586,0.2756,1022043,102204300
1610395200000,0.2757,0.2892,0.2702,0.2871,272803,27280300
1610409600000,0.287,0.3055,0.2796,0.3038,366947,36694700
1610424000000,0.3035,0.3109,0.2964,0.3046,310236,31023600
1610438400000,0.3046,0.306,0.2874,0.2936,225531,22553100
1610452800000,0.2937,0.2999,0.2775,0.2856,366155,36615500
1610467200000,0.2857,0.3037,0.2857,0.2928,265722,26572200
1610481600000,0.2928,0.3003,0.2864,0.2927,134905,13490500
1610496000000,0.2926,0.2974,0.2848,0.2937,293688,29368800
1610510400000,0.2936,0.2999,0.2879,0.2984,196262,19626200
1610524800000,0.2985,0.3054,0.2947,0.2991,272260,27226000
1610539200000,0.2991,0.3029,0.2958,0.3,194525,19452500
1610553600000,0.3,0.3069,0.2979,0.303,136383,13638300
1610568000000,0.303,0.3105,0.2997,0.3058,109987,10998700
1610582400000,0.3059,0.3092,0.2831,0.2903,479434,47943400
1610596800000,0.2903,0.2996,0.2892,0.2979,185321,18532100
1610611200000,0.2978,0.2994,0.2929,0.2957,150612,15061200
1610625600000,0.2956,0.3008,0.2907,0.2976,208581,20858100
1610640000000,0.2978,0.3053,0.2957,0.2969,195596,19559600
1610654400000,0.2968,0.2982,0.2903,0.2965,122705,12270500
1610668800000,0.2965,0.3042,0.2947,0.2968,135613,13561300
1610683200000,0.2967,0.2973,0.289,0.2936,156398,15639800
1610697600000,0.2938,0.2948,0.2904,0.2914,101538,10153800
1610712000000,0.2916,0.292,0.272,0.274,501900,50190000
1610726400000,0.2738,0.2807,0.2611,0.2745,558487,55848700
1610740800000,0.2743,0.2816,0.2715,0.2797,123626,12362600
1610755200000,0.2799,0.2869,0.2785,0.2794,143352,14335200
1610769600000,0.2795,0.2825,0.276,0.2817,99299,9929900
1610784000000,0.2819,0.2954,0.2804,0.2926,192486,19248600
1610798400000,0.2925,0.2971,0.2843,0.2883,253881,25388100
1610812800000,0.2884,0.2919,0.2787,0.2838,151381,15138100
1610827200000,0.2838,0.286,0.275,0.2795,121068,12106800
1610841600000,0.2792,0.2858,0.2758,0.2821,70573,7057300
1610856000000,0.282,0.2833,0.2717,0.273,104571,10457100
1610870400000,0.2731,0.2756,0.2686,0.2751,186134,18613400
1610884800000,0.2751,0.2786,0.2716,0.2768,123388,12338800
1610899200000,0.2768,0.2794,0.2746,0.2755,81248,8124800
