Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,2.007,2.056,1.985,2.025,203923,203923
1609128000000,2.024,2.064,2.002,2.055,175406,175406
1609142400000,2.055,2.094,2.04,2.075,272835,272835
1609156800000,2.075,2.094,2.041,2.052,236036,236036
1609171200000,2.05,2.241,2.036,2.161,672255,672255
1609185600000,2.16,2.188,2.066,2.124,467239,467239
1609200000000,2.123,2.178,2.07,2.07,456971,456971
1609214400000,2.069,2.092,2.022,2.061,268432,268432
1609228800000,2.063,2.097,2.04,2.077,272506,272506
1609243200000,2.074,2.095,2.011,2.016,304108,304108
1609257600000,2.017,2.061,1.981,2.06,386723,386723
1609272000000,2.059,2.062,2.022,2.043,252686,252686
1609286400000,2.043,2.079,2.035,2.041,280532,280532
1609300800000,2.037,2.043,2.002,2.021,327675,327675
1609315200000,2.021,2.028,1.959,1.974,325799,325799
1609329600000,1.97,2.01,1.96,2.004,165216,165216
1609344000000,2.004,2.016,1.983,2.0,242725,242725
1609358400000,2.001,2.004,1.98,1.991,133586,133586
1609372800000,1.99,1.992,1.94,1.96,249126,249126
1609387200000,1.96,2.01,1.953,1.987,227204,227204
1609401600000,1.987,2.024,1.973,2.002,184878,184878
1609416000000,2.002,2.021,1.944,2.001,305550,305550
1609430400000,2.0,2.021,1.988,2.014,123614,123614
1609444800000,2.014,2.018,1.993,2.01,179895,179895
1609459200000,2.01,2.088,1.979,2.074,370631,370631
1609473600000,2.074,2.081,2.014,2.022,251135,251135
1609488000000,2.023,2.05,2.003,2.038,219448,219448
1609502400000,2.039,2.128,2.039,2.103,680555,680555
1609516800000,2.104,2.117,1.971,2.007,840165,840165
1609531200000,2.005,2.027,1.998,2.005,311055,311055
1609545600000,2.007,2.008,1.946,1.995,808178,808178
1609560000000,1.995,2.026,1.985,2.001,210390,210390
1609574400000,2.005,2.036,1.984,2.026,367715,367715
1609588800000,2.026,2.056,2.002,2.014,465778,465778
1609603200000,2.016,2.05,1.992,2.018,473493,473493
1609617600000,2.019,2.021,1.951,2.002,493438,493438
1609632000000,2.002,2.028,1.985,1.985,250829,250829
1609646400000,1.985,1.997,1.957,1.96,280309,280309
1609660800000,1.959,2.077,1.954,2.051,574342,574342
1609675200000,2.049,2.164,2.04,2.164,870927,870927
1609689600000,2.165,2.233,2.043,2.072,762879,762879
1609704000000,2.071,2.17,2.071,2.136,453056,453056
1609718400000,2.139,2.255,2.139,2.235,526202,526202
1609732800000,2.235,2.361,2.156,2.215,934367,934367
1609747200000,2.218,2.245,2.012,2.156,1051118,1051118
1609761600000,2.158,2.2,2.102,2.182,428197,428197
1609776000000,2.183,2.202,2.106,2.191,372000,372000
1609790400000,2.193,2.349,2.168,2.329,833419,833419
1609804800000,2.329,2.403,2.21,2.211,760442,760442
1609819200000,2.223,2.236,2.14,2.188,493960,493960
1609833600000,2.189,2.363,2.189,2.355,573893,573893
1609848000000,2.358,2.376,2.275,2.364,628527,628527
1609862400000,2.364,2.462,2.332,2.384,779551,779551
1609876800000,2.384,2.424,2.346,2.375,360149,360149
1609891200000,2.377,2.407,2.296,2.326,468422,468422
1609905600000,2.327,2.402,2.323,2.365,345169,345169
1609920000000,2.368,2.584,2.368,2.568,753135,753135
1609934400000,2.568,2.743,2.524,2.569,1281908,1281908
1609948800000,2.571,2.678,2.534,2.542,450175,450175
1609963200000,2.543,2.653,2.474,2.653,784614,784614
1609977600000,2.655,2.667,2.567,2.615,449149,449149
1609992000000,2.612,2.799,2.575,2.618,764380,764380
1610006400000,2.622,2.7,2.528,2.666,628505,628505
1610020800000,2.669,2.707,2.626,2.675,350695,350695
1610035200000,2.678,2.688,2.397,2.558,1135278,1135278
1610049600000,2.56,2.598,2.476,2.533,450602,450602
1610064000000,2.531,2.553,2.245,2.354,1164742,1164742
1610078400000,2.353,2.446,2.314,2.445,591089,591089
1610092800000,2.442,2.575,2.394,2.495,560248,560248
1610107200000,2.495,2.537,2.371,2.432,620831,620831
1610121600000,2.438,2.462,2.354,2.388,362344,362344
1610136000000,2.39,2.464,2.317,2.457,360551,360551
1610150400000,2.456,2.548,2.419,2.543,441566,441566
1610164800000,2.542,2.545,2.419,2.473,267008,267008
1610179200000,2.475,2.593,2.463,2.538,370629,370629
1610193600000,2.543,2.633,2.52,2.606,340291,340291
1610208000000,2.607,2.675,2.521,2.644,467350,467350
1610222400000,2.646,2.692,2.593,2.636,380665,380665
1610236800000,2.638,2.863,2.638,2.718,672650,672650
