Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,22805,24076,22534,23140,1591542,159.1542
1609128000000,23132,24227,22955,24199,1015422,101.5422
1609142400000,24203,24474,23073,23667,2235766,223.5766
1609156800000,23664,23746,22570,23026,2110235,211.0235
1609171200000,23024,23572,22865,23154,807465,80.7465
1609185600000,23162,23255,22510,22815,1124281,112.4281
1609200000000,22806,23197,21486,21507,2023688,202.3688
1609214400000,21494,22330,21136,21970,1443566,144.3566
1609228800000,21966,22582,21757,22332,1178958,117.8958
1609243200000,22342,22492,21706,21811,592587,59.2587
1609257600000,21808,22049,21097,21945,1123298,112.3298
1609272000000,21952,22550,21874,22201,609275,60.9275
1609286400000,22212,22752,22177,22298,952142,95.2142
1609300800000,22292,22384,21618,21908,1230327,123.0327
1609315200000,21910,22247,21525,21660,1081241,108.1241
1609329600000,21631,21981,21387,21931,806069,80.6069
1609344000000,21952,22805,21764,22179,2466775,246.6775
1609358400000,22171,22171,21646,21790,758318,75.8318
1609372800000,21806,21901,21109,21591,1100809,110.0809
1609387200000,21594,22388,21236,21962,1574221,157.4221
1609401600000,21967,23555,21937,22919,1999682,199.9682
1609416000000,22932,23312,21920,22415,2268770,226.877
1609430400000,22426,23064,22246,22995,990726,99.0726
1609444800000,22996,23036,22410,22742,738212,73.8212
1609459200000,22753,23500,22450,23248,1135480,113.548
1609473600000,23258,23310,21969,22271,1417975,141.7975
1609488000000,22280,22385,21792,22372,1138715,113.8715
1609502400000,22379,22737,22142,22338,1226191,122.6191
1609516800000,22319,22465,21550,21731,1718682,171.8682
1609531200000,21731,22164,21675,21871,758443,75.8443
1609545600000,21875,21961,21284,21831,1321525,132.1525
1609560000000,21816,22045,21659,21780,658929,65.8929
1609574400000,21790,22000,21395,21627,995695,99.5695
1609588800000,21618,22011,21551,21679,1082972,108.2972
1609603200000,21675,22400,21541,22191,1383422,138.3422
1609617600000,22204,22340,21338,21480,1296746,129.6746
1609632000000,21476,21538,20399,21036,1519205,151.9205
1609646400000,21040,21052,20468,20470,915997,91.5997
1609660800000,20481,21056,20478,20873,1309026,130.9026
1609675200000,20874,25047,20702,24071,4896257,489.6257
1609689600000,24078,24550,22500,23381,2140690,214.069
1609704000000,23388,24558,23034,23945,1505352,150.5352
1609718400000,23969,26357,23629,26113,2442174,244.2174
1609732800000,26119,26861,24081,24717,2791786,279.1786
1609747200000,24704,25178,22040,23282,3917229,391.7229
1609761600000,23262,23897,22749,23532,1502360,150.236
1609776000000,23548,23626,22439,23171,1204053,120.4053
1609790400000,23192,23451,22558,23438,608377,60.8377
1609804800000,23434,24429,22201,22201,1738529,173.8529
1609819200000,22221,22840,22054,22296,1410167,141.0167
1609833600000,22314,23739,22308,23711,894284,89.4284
1609848000000,23728,23888,22579,23525,1213678,121.3678
1609862400000,23532,24985,23300,24019,1779752,177.9752
1609876800000,24007,24247,23494,23772,705882,70.5882
1609891200000,23780,24149,22751,22973,887558,88.7558
1609905600000,22962,23943,22962,23634,945123,94.5123
1609920000000,23642,24665,23118,24161,1109960,110.996
1609934400000,24162,24731,23600,24540,1060594,106.0594
1609948800000,24555,25552,23836,23907,1302666,130.2666
1609963200000,23917,24960,23436,24811,842945,84.2945
1609977600000,24804,24979,24115,24887,873460,87.346
1609992000000,24865,31091,24548,29042,5354093,535.4093
1610006400000,29100,33688,28217,32714,4583164,458.3164
1610020800000,32714,37260,31781,36449,4796176,479.6176
1610035200000,36487,36912,29298,32908,5894657,589.4657
1610049600000,32912,35651,31654,33015,2568795,256.8795
1610064000000,33076,33912,27020,29379,6089041,608.9041
1610078400000,29359,35405,28570,35060,5282972,528.2972
1610092800000,34988,35109,32170,32993,3763657,376.3657
1610107200000,33005,38644,32857,34564,7022136,702.2136
1610121600000,34676,36610,33306,33884,2585328,258.5328
1610136000000,33876,35611,31387,34855,2820232,282.0232
1610150400000,34897,37169,33524,36684,2595302,259.5302
1610164800000,36690,38430,34325,37858,3194630,319.463
1610179200000,37851,39600,37239,38059,3103089,310.3089
1610193600000,38087,39888,37033,38116,1790629,179.0629
1610208000000,38124,38698,36572,38408,1322608,132.2608
1610222400000,38429,38592,35234,35831,1504066,150.4066
1610236800000,35809,37837,35809,36340,1314514,131.4514
1610251200000,36333,38252,36122,37740,1121842,112.1842
1610265600000,37759,37969,34500,34621,1953365,195.3365
1610280000000,34638,36455,33642,35428,2021383,202.1383
1610294400000,35376,35657,32596,33630,870653,87.0653
1610308800000,33568,35287,33073,34044,905516,90.5516
1610323200000,34073,34121,27631,29971,2588294,258.8294
1610337600000,29994,30749,27372,30331,3643451,364.3451
1610352000000,30400,32720,29711,29853,2594217,259.4217
1610366400000,29833,31116,27643,28281,3478016,347.8016
1610380800000,28253,28954,25446,27380,3253012,325.3012
1610395200000,27397,30482,26735,30079,2602144,260.2144
1610409600000,30098,31298,28644,31035,1814472,181.4472
1610424000000,31053,32260,30313,31751,1973725,197.3725
1610438400000,31743,31968,29676,30304,1196706,119.6706
1610452800000,30314,30831,28069,29161,1711145,171.1145
1610467200000,29180,32076,29180,30852,1524614,152.4614
1610481600000,30839,30900,28940,29726,842945,84.2945
1610496000000,29759,29775,28251,29505,1336300,133.63
1610510400000,29523,30629,28459,30179,896809,89.6809
