Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,67.05,68.88,66.21,68.08,172057,17205.7
1609128000000,68.1,69.18,67.18,68.54,107631,10763.1
1609142400000,68.61,69.84,67.99,69.36,184609,18460.9
1609156800000,69.38,70.5,67.9,68.49,235508,23550.8
1609171200000,68.52,69.92,67.71,69.91,151695,15169.5
1609185600000,69.89,71.37,67.92,69.06,180819,18081.9
1609200000000,69.08,70.58,65.28,65.28,254315,25431.5
1609214400000,65.15,66.0,63.75,64.85,133564,13356.4
1609228800000,65.16,66.44,64.63,65.66,171944,17194.4
1609243200000,65.62,66.56,63.59,63.73,205217,20521.7
1609257600000,63.64,64.78,61.58,64.64,247418,24741.8
1609272000000,64.63,65.82,64.03,65.29,99316,9931.6
1609286400000,65.37,66.3,64.39,64.75,163964,16396.4
1609300800000,64.7,64.96,63.24,64.12,162599,16259.9
1609315200000,64.1,65.19,62.97,63.82,194268,19426.8
1609329600000,63.78,64.5,63.33,64.07,93397,9339.7
1609344000000,64.26,65.07,63.42,64.31,169612,16961.2
1609358400000,64.35,64.66,63.56,64.1,95186,9518.6
1609372800000,64.07,64.25,62.45,63.3,117046,11704.6
1609387200000,63.31,63.58,62.53,63.33,83166,8316.6
1609401600000,63.36,64.39,62.18,63.07,142554,14255.4
1609416000000,63.08,63.36,61.02,62.06,174431,17443.1
1609430400000,62.11,62.82,61.74,62.64,103407,10340.7
1609444800000,62.64,64.55,62.62,63.88,107214,10721.4
1609459200000,63.91,66.43,63.16,65.5,269408,26940.8
1609473600000,65.44,66.04,64.36,64.64,116121,11612.1
1609488000000,64.67,66.94,63.68,66.25,235079,23507.9
1609502400000,66.27,66.93,64.78,65.79,224051,22405.1
1609516800000,65.84,67.34,54.31,56.29,1694418,169441.8
1609531200000,56.28,59.18,54.55,56.7,876969,87696.9
1609545600000,56.63,58.45,55.21,57.69,548435,54843.5
1609560000000,57.68,58.7,57.43,57.6,250801,25080.1
1609574400000,57.58,59.32,56.68,58.23,275971,27597.1
1609588800000,58.19,59.9,57.5,58.82,376273,37627.3
1609603200000,58.8,59.43,57.57,58.45,321119,32111.9
1609617600000,58.46,58.5,55.79,57.5,300352,30035.2
1609632000000,57.45,58.29,57.26,57.52,194818,19481.8
1609646400000,57.5,58.14,56.35,56.4,170715,17071.5
1609660800000,56.41,58.16,56.26,57.99,320055,32005.5
1609675200000,58.03,62.0,57.55,58.86,494805,49480.5
1609689600000,58.91,60.39,58.43,58.56,326050,32605.0
1609704000000,58.57,60.54,58.54,59.41,195362,19536.2
1609718400000,59.57,63.03,59.47,62.9,337138,33713.8
1609732800000,62.92,65.2,60.03,60.88,579762,57976.2
1609747200000,60.96,61.75,56.5,59.1,571430,57143.0
1609761600000,59.09,60.01,58.26,58.9,317494,31749.4
1609776000000,58.94,59.06,57.44,59.0,156402,15640.2
1609790400000,59.01,60.42,58.34,60.37,140649,14064.9
1609804800000,60.41,61.23,58.59,58.66,241169,24116.9
1609819200000,58.61,59.33,57.9,58.23,141177,14117.7
1609833600000,58.18,59.94,58.18,59.73,159358,15935.8
1609848000000,59.74,59.87,58.38,59.41,164714,16471.4
1609862400000,59.44,59.95,58.87,59.28,182254,18225.4
1609876800000,59.29,60.08,59.01,59.69,109539,10953.9
1609891200000,59.73,60.6,59.02,60.04,161252,16125.2
1609905600000,60.02,61.08,59.59,60.07,158021,15802.1
1609920000000,60.17,62.16,59.54,60.98,279418,27941.8
1609934400000,60.98,64.55,60.56,63.95,486160,48616.0
1609948800000,63.99,65.5,62.55,62.57,280532,28053.2
1609963200000,62.63,63.95,61.69,63.95,229889,22988.9
1609977600000,64.0,68.91,62.96,68.02,357498,35749.8
1609992000000,68.12,69.21,66.58,66.85,360639,36063.9
1610006400000,66.89,72.43,64.05,72.0,611646,61164.6
1610020800000,72.0,74.55,69.67,71.2,566447,56644.7
1610035200000,71.3,72.98,63.71,68.76,868065,86806.5
1610049600000,68.72,71.07,66.85,67.83,254396,25439.6
1610064000000,67.89,68.82,60.94,64.6,577516,57751.6
1610078400000,64.54,67.05,63.06,66.19,287062,28706.2
1610092800000,66.25,69.0,64.55,67.08,367817,36781.7
1610107200000,67.16,68.59,64.71,66.6,411905,41190.5
1610121600000,66.77,70.02,66.64,69.82,344152,34415.2
1610136000000,69.79,70.09,67.02,68.62,210411,21041.1
1610150400000,68.57,69.59,66.06,68.52,214592,21459.2
1610164800000,68.53,68.53,65.83,67.04,170267,17026.7
1610179200000,67.05,72.1,66.57,71.62,334774,33477.4
1610193600000,71.73,73.68,70.5,72.72,330336,33033.6
1610208000000,72.85,77.57,72.85,76.78,577232,57723.2
1610222400000,76.81,80.01,75.8,78.63,278258,27825.8
1610236800000,78.68,83.82,78.68,80.99,532324,53232.4
