Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,12.618,13.247,12.413,12.73,16749,16749
1609128000000,12.734,12.824,12.437,12.625,18056,18056
1609142400000,12.626,12.805,12.314,12.54,28408,28408
1609156800000,12.543,12.55,12.116,12.229,13390,13390
1609171200000,12.222,12.43,12.143,12.294,15824,15824
1609185600000,12.321,12.5,11.75,12.203,13676,13676
1609200000000,12.207,12.345,11.357,11.357,20412,20412
1609214400000,11.393,11.435,10.644,10.896,30782,30782
1609228800000,10.969,11.085,10.505,10.806,17113,17113
1609243200000,10.785,11.051,10.708,10.775,16065,16065
1609257600000,10.778,11.385,10.253,11.188,27552,27552
1609272000000,11.183,11.714,11.175,11.575,17308,17308
1609286400000,11.576,12.221,11.432,12.049,29890,29890
1609300800000,12.039,12.039,11.335,11.336,23625,23625
1609315200000,11.322,11.371,10.845,10.985,18030,18030
1609329600000,10.985,11.178,10.663,11.15,19307,19307
1609344000000,11.147,11.176,10.838,10.85,14947,14947
1609358400000,10.851,10.884,10.706,10.864,10660,10660
1609372800000,10.864,10.894,10.58,10.846,13432,13432
1609387200000,10.844,10.863,10.454,10.738,18341,18341
1609401600000,10.734,10.893,10.499,10.649,13792,13792
1609416000000,10.647,10.681,10.337,10.486,15662,15662
1609430400000,10.482,10.552,10.406,10.527,9429,9429
1609444800000,10.529,11.698,10.525,11.574,30935,30935
1609459200000,11.575,13.058,11.283,12.316,52186,52186
1609473600000,12.314,13.013,12.314,12.914,26868,26868
1609488000000,12.917,13.58,12.501,13.343,36871,36871
1609502400000,13.341,13.599,12.99,13.453,35992,35992
1609516800000,13.454,14.749,12.179,12.559,116122,116122
1609531200000,12.561,12.688,11.543,11.732,47222,47222
1609545600000,11.736,12.034,11.346,11.834,45811,45811
1609560000000,11.833,12.147,11.41,11.41,24832,24832
1609574400000,11.417,11.853,11.279,11.5,23532,23532
1609588800000,11.499,12.367,11.336,11.917,33348,33348
1609603200000,11.911,12.378,11.684,11.717,17072,17072
1609617600000,11.715,11.747,11.45,11.705,13889,13889
1609632000000,11.707,14.4,11.627,14.211,53881,53881
1609646400000,14.181,14.646,13.372,13.503,55874,55874
1609660800000,13.497,14.5,13.497,13.842,30901,30901
1609675200000,13.838,14.7,13.201,13.73,39533,39533
1609689600000,13.807,14.007,13.276,13.519,20553,20553
1609704000000,13.517,13.88,13.407,13.502,20887,20887
1609718400000,13.527,13.734,13.042,13.384,27232,27232
1609732800000,13.384,15.005,13.256,13.434,40646,40646
1609747200000,13.449,13.838,11.625,12.603,53950,53950
1609761600000,12.606,13.056,12.394,12.964,18208,18208
1609776000000,13.016,13.09,12.45,12.835,13999,13999
1609790400000,12.832,13.487,12.465,13.457,12448,12448
1609804800000,13.46,13.757,12.985,13.02,22002,22002
1609819200000,13.017,13.19,12.751,12.976,17749,17749
1609833600000,12.986,13.573,12.982,13.55,12771,12771
1609848000000,13.549,13.665,12.936,13.432,20383,20383
1609862400000,13.443,14.899,13.338,14.357,28069,28069
1609876800000,14.367,14.651,13.821,14.412,19829,19829
1609891200000,14.415,14.6,13.568,13.969,19848,19848
1609905600000,13.968,14.688,13.648,14.42,24105,24105
1609920000000,14.471,16.542,14.186,15.543,54836,54836
1609934400000,15.542,16.12,15.29,15.581,30788,30788
1609948800000,15.594,16.409,15.45,15.452,24462,24462
1609963200000,15.525,16.185,14.779,16.183,18794,18794
1609977600000,16.182,16.194,15.306,15.81,20280,20280
1609992000000,15.815,15.831,15.282,15.345,18020,18020
1610006400000,15.368,15.451,14.9,15.415,17192,17192
1610020800000,15.418,15.673,15.25,15.398,18808,18808
1610035200000,15.457,15.813,13.797,14.805,25737,25737
1610049600000,14.805,14.921,14.334,14.585,16290,16290
1610064000000,14.587,14.632,13.12,13.953,20621,20621
1610078400000,13.952,14.356,13.471,14.335,14880,14880
1610092800000,14.327,14.814,14.164,14.535,14579,14579
1610107200000,14.538,14.895,14.15,14.55,15610,15610
1610121600000,14.613,14.882,14.05,14.29,16390,16390
1610136000000,14.29,14.501,13.858,14.484,9724,9724
1610150400000,14.478,15.81,14.019,15.773,20395,20395
1610164800000,15.778,15.789,14.756,15.665,15368,15368
1610179200000,15.671,15.802,15.427,15.729,11884,11884
1610193600000,15.742,15.845,15.08,15.22,16423,16423
1610208000000,15.218,15.847,15.102,15.674,20031,20031
1610222400000,15.67,16.0,15.377,15.732,13271,13271
1610236800000,15.75,16.565,15.75,16.358,19504,19504
1610251200000,16.357,16.903,15.98,16.818,19890,19890
1610265600000,16.851,16.981,15.062,15.208,36360,36360
1610280000000,15.21,22.687,14.949,21.706,277170,277170
1610294400000,21.704,23.645,20.62,21.69,116765,116765
1610308800000,21.965,22.686,21.081,21.963,41913,41913
1610323200000,21.903,24.965,17.029,18.972,195241,195241
1610337600000,19.002,20.924,17.539,19.97,128206,128206
1610352000000,19.947,28.63,19.504,25.334,278317,278317
1610366400000,25.437,29.8,22.334,25.591,295923,295923
1610380800000,25.565,26.548,21.311,22.598,210227,210227
1610395200000,22.602,25.709,21.785,24.134,108793,108793
1610409600000,24.141,27.903,22.53,27.032,174156,174156
1610424000000,27.029,30.54,26.2,29.541,167969,167969
1610438400000,29.54,29.584,26.767,27.852,108491,108491
1610452800000,27.869,28.625,25.2,26.577,118553,118553
1610467200000,26.624,28.982,26.604,27.607,46389,46389
1610481600000,27.606,27.64,25.329,26.789,51055,51055
1610496000000,26.921,27.134,24.156,24.789,87985,87985
1610510400000,24.797,25.87,24.341,25.309,53085,53085
1610524800000,25.313,26.593,24.5,24.932,64721,64721
1610539200000,24.897,25.7,24.439,25.407,49773,49773
1610553600000,25.499,27.982,25.192,26.379,78289,78289
1610568000000,26.376,28.229,26.024,26.978,47260,47260
1610582400000,26.99,27.426,26.029,26.639,42879,42879
1610596800000,26.639,27.273,25.3,25.862,45282,45282
1610611200000,25.859,26.525,25.13,26.058,61478,61478
1610625600000,25.996,27.161,25.654,26.659,46690,46690
1610640000000,26.701,26.749,25.606,25.712,21310,21310
1610654400000,25.716,26.178,24.601,25.121,24259,24259
1610668800000,25.129,26.066,24.289,24.744,44021,44021
1610683200000,24.73,25.752,24.492,25.452,33835,33835
1610697600000,25.447,25.544,23.868,23.96,43346,43346
1610712000000,23.957,25.071,22.384,22.742,98129,98129
1610726400000,22.629,23.631,21.002,22.756,42126,42126
1610740800000,22.732,23.868,22.545,23.565,14194,14194
1610755200000,23.594,24.724,23.536,24.68,28475,28475
1610769600000,24.655,26.999,24.5,25.505,65415,65415
1610784000000,25.515,26.274,25.043,25.14,35824,35824
1610798400000,25.146,25.483,24.5,25.034,32194,32194
1610812800000,25.05,25.398,24.149,24.818,28980,28980
1610827200000,24.826,24.841,23.926,24.243,16995,16995
1610841600000,24.231,25.003,23.0,24.792,26642,26642
1610856000000,24.793,25.109,22.886,23.137,27511,27511
1610870400000,23.128,24.75,23.014,24.312,19074,19074
1610884800000,24.311,27.055,23.779,26.418,48644,48644
1610899200000,26.456,29.32,26.027,27.501,44019,44019
1610913600000,27.498,29.856,27.496,28.069,25553,25553
1610928000000,28.074,34.208,28.074,31.192,102325,102325
1610942400000,31.195,33.38,31.189,32.013,48630,48630
1610956800000,32.011,32.788,30.748,31.231,55513,55513
1610971200000,31.242,31.668,29.17,30.728,512333,512333
1610985600000,30.739,32.719,30.679,31.314,37817,37817
1611000000000,31.305,31.828,30.459,30.478,13964,13964
1611014400000,30.474,32.778,30.011,30.062,46199,46199
1611028800000,30.063,30.366,28.905,29.368,26977,26977
1611043200000,29.37,30.369,29.0,29.974,26258,26258
1611057600000,29.966,31.561,29.482,29.999,38409,38409
1611072000000,30.043,30.513,28.533,29.089,21726,21726
1611086400000,29.118,30.419,29.023,29.238,12611,12611
1611100800000,29.342,29.342,27.574,27.647,39926,39926
1611115200000,27.643,30.755,27.433,30.377,46229,46229
1611129600000,30.285,30.607,27.8,28.427,34894,34894
1611144000000,28.428,33.014,27.976,29.907,72653,72653
1611158400000,29.841,32.281,29.167,31.962,26077,26077
1611172800000,31.969,32.2,31.0,31.67,20199,20199
1611187200000,31.685,33.215,30.455,30.938,39320,39320
1611201600000,30.931,31.578,29.448,30.252,26751,26751
1611216000000,30.245,30.298,28.074,28.686,44997,44997
1611230400000,28.658,30.152,27.88,28.555,37218,37218
1611244800000,28.522,29.473,28.247,29.436,15496,15496
1611259200000,29.426,29.43,27.083,27.723,28239,28239
1611273600000,27.755,27.755,24.566,26.657,50918,50918
1611288000000,26.658,28.465,26.65,26.821,30279,30279
1611302400000,26.916,27.955,26.589,27.668,17521,17521
1611316800000,27.672,29.158,27.669,28.708,19671,19671
1611331200000,28.649,28.974,27.88,28.46,15822,15822
1611345600000,28.472,28.481,27.338,27.593,14226,14226
1611360000000,27.596,28.7,27.184,28.179,25668,25668
1611374400000,28.188,28.929,28.066,28.845,19012,19012
1611388800000,28.847,29.703,26.953,27.363,32655,32655
1611403200000,27.378,28.2,26.722,27.37,20949,20949
1611417600000,27.442,27.9,27.122,27.771,11519,11519
1611432000000,27.777,27.943,27.127,27.183,9707,9707
1611446400000,27.188,27.813,26.926,27.766,17662,17662
1611460800000,27.767,29.16,27.522,28.291,23767,23767
1611475200000,28.22,28.857,28.0,28.735,20688,20688
1611489600000,28.729,28.839,27.055,27.123,18177,18177
1611504000000,27.174,27.688,26.606,26.857,24498,24498
1611518400000,26.87,27.547,26.631,27.273,18621,18621
1611532800000,27.201,27.883,26.976,27.273,29384,29384
1611547200000,27.284,30.713,27.074,30.311,55748,55748
1611561600000,30.254,35.828,29.68,35.099,247809,247809
1611576000000,34.928,38.708,33.382,37.554,125142,125142
1611590400000,37.79,39.448,35.5,35.5,81499,81499
1611604800000,35.585,37.118,34.55,34.735,49519,49519
1611619200000,34.6,36.466,33.54,33.859,50522,50522
1611633600000,33.84,34.875,32.943,33.504,38531,38531
1611648000000,33.499,33.636,32.446,32.52,36672,36672
1611662400000,32.518,33.153,30.326,31.364,54658,54658
1611676800000,31.36,33.574,31.037,32.303,48154,48154
1611691200000,32.351,33.8,32.234,32.762,25792,25792
1611705600000,32.75,32.778,31.014,32.034,30530,30530
1611720000000,32.031,32.2,30.709,31.791,21836,21836
1611734400000,31.653,31.857,29.819,30.028,35522,35522
1611748800000,30.029,30.8,28.315,29.754,44322,44322
1611763200000,29.701,30.123,28.753,29.471,24209,24209
