Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.07648,0.08546,0.07543,0.0853,568622,56862200
1609128000000,0.08516,0.0888,0.08105,0.08826,521876,52187600
1609142400000,0.08832,0.08832,0.08367,0.08717,462731,46273100
1609156800000,0.08719,0.08872,0.08315,0.08431,428091,42809100
1609171200000,0.08434,0.08803,0.08402,0.08676,326026,32602600
1609185600000,0.08663,0.09325,0.0866,0.08941,529773,52977300
1609200000000,0.08946,0.091,0.08143,0.08249,545462,54546200
1609214400000,0.08248,0.08505,0.08047,0.08329,268910,26891000
1609228800000,0.08359,0.08627,0.08289,0.08475,300131,30013100
1609243200000,0.08462,0.08532,0.08122,0.08145,301136,30113600
1609257600000,0.08137,0.08277,0.07755,0.08146,395671,39567100
1609272000000,0.08147,0.08519,0.07762,0.08424,412669,41266900
1609286400000,0.08439,0.08481,0.07993,0.08014,333765,33376500
1609300800000,0.08013,0.08222,0.07899,0.0802,329640,32964000
1609315200000,0.0802,0.08104,0.07357,0.07535,469648,46964800
1609329600000,0.07535,0.07798,0.07316,0.07418,381520,38152000
1609344000000,0.07404,0.07876,0.06983,0.07628,664621,66462100
1609358400000,0.07627,0.08057,0.07545,0.07725,394659,39465900
1609372800000,0.07726,0.0779,0.07339,0.07353,302424,30242400
1609387200000,0.07359,0.07801,0.07201,0.07588,446315,44631500
1609401600000,0.07585,0.07939,0.0725,0.07853,332333,33233300
1609416000000,0.07856,0.0804,0.07399,0.07716,386424,38642400
1609430400000,0.07723,0.08577,0.07713,0.0829,427861,42786100
1609444800000,0.08291,0.08434,0.0806,0.08252,348058,34805800
1609459200000,0.08264,0.0895,0.08254,0.0879,399824,39982400
1609473600000,0.08804,0.08843,0.0832,0.08499,328251,32825100
1609488000000,0.085,0.08672,0.08214,0.08279,311291,31129100
1609502400000,0.08281,0.08665,0.081,0.0811,361360,36136000
1609516800000,0.08112,0.08229,0.07734,0.07916,447535,44753500
1609531200000,0.07916,0.08056,0.07823,0.07886,379949,37994900
1609545600000,0.07897,0.08118,0.0761,0.08037,328675,32867500
1609560000000,0.08042,0.08088,0.0771,0.07747,115132,11513200
1609574400000,0.07767,0.08016,0.07664,0.07909,121008,12100800
1609588800000,0.07906,0.07929,0.0753,0.07701,176454,17645400
1609603200000,0.07699,0.07921,0.07419,0.07486,195745,19574500
1609617600000,0.0749,0.07553,0.07092,0.07245,157221,15722100
1609632000000,0.07242,0.07686,0.07215,0.07438,183540,18354000
1609646400000,0.07436,0.07575,0.06669,0.06803,279012,27901200
1609660800000,0.0681,0.07167,0.06498,0.06802,365589,36558900
1609675200000,0.06804,0.07553,0.06719,0.07262,340580,34058000
1609689600000,0.07278,0.0748,0.06908,0.07135,244393,24439300
1609704000000,0.07142,0.07152,0.06734,0.06776,164023,16402300
1609718400000,0.06777,0.07422,0.06751,0.07247,184112,18411200
1609732800000,0.07252,0.0777,0.06844,0.07145,310999,31099900
1609747200000,0.07163,0.075,0.06636,0.06928,321069,32106900
1609761600000,0.06931,0.07189,0.06805,0.07054,124412,12441200
1609776000000,0.07065,0.07095,0.06748,0.06946,102799,10279900
1609790400000,0.06959,0.07046,0.06764,0.07005,94268,9426800
1609804800000,0.07019,0.07062,0.06628,0.06657,128176,12817600
1609819200000,0.06655,0.06755,0.06529,0.06698,122167,12216700
1609833600000,0.06713,0.07258,0.06685,0.07087,156024,15602400
1609848000000,0.07084,0.07503,0.06939,0.07196,203778,20377800
1609862400000,0.07214,0.07481,0.07026,0.07071,153294,15329400
1609876800000,0.07067,0.07126,0.06913,0.07029,123875,12387500
1609891200000,0.07053,0.07333,0.06973,0.07243,136161,13616100
1609905600000,0.07251,0.08192,0.07222,0.07988,246520,24652000
1609920000000,0.08017,0.08528,0.0774,0.08313,352349,35234900
1609934400000,0.08318,0.08364,0.07929,0.08082,204489,20448900
1609948800000,0.0808,0.08355,0.07749,0.07756,163438,16343800
1609963200000,0.07754,0.08058,0.07356,0.07783,171019,17101900
1609977600000,0.07816,0.08484,0.0762,0.08476,209607,20960700
1609992000000,0.0847,0.08498,0.07846,0.07965,164208,16420800
1610006400000,0.07976,0.08326,0.07866,0.08035,153911,15391100
1610020800000,0.08041,0.08471,0.08024,0.08242,222973,22297300
1610035200000,0.08277,0.08333,0.07131,0.07759,443987,44398700
1610049600000,0.07762,0.07929,0.07444,0.07578,146030,14603000
1610064000000,0.07591,0.07682,0.06789,0.07162,199392,19939200
1610078400000,0.0716,0.07564,0.07017,0.0754,103945,10394500
1610092800000,0.07514,0.07644,0.07345,0.07404,130028,13002800
1610107200000,0.07397,0.07477,0.07126,0.07314,126061,12606100
1610121600000,0.07307,0.07726,0.07214,0.07416,140388,14038800
1610136000000,0.07403,0.07409,0.07051,0.07325,91729,9172900
1610150400000,0.07337,0.07462,0.07146,0.07403,80891,8089100
1610164800000,0.07404,0.07414,0.07113,0.07246,66697,6669700
1610179200000,0.07252,0.07413,0.07153,0.07386,121219,12121900
1610193600000,0.07387,0.08016,0.07318,0.07857,167487,16748700
1610208000000,0.0788,0.07916,0.07529,0.078,137162,13716200
1610222400000,0.07801,0.0782,0.07579,0.07608,106209,10620900
1610236800000,0.07634,0.07928,0.07634,0.07761,102070,10207000
1610251200000,0.0776,0.08163,0.07739,0.07991,109746,10974600
1610265600000,0.08023,0.08352,0.07379,0.07461,247602,24760200
1610280000000,0.07472,0.07816,0.07277,0.07608,141815,14181500
1610294400000,0.07608,0.07692,0.07093,0.07368,59747,5974700
1610308800000,0.07368,0.07408,0.0719,0.07317,56824,5682400
1610323200000,0.07295,0.07338,0.05753,0.06373,216976,21697600
1610337600000,0.06345,0.06508,0.05631,0.06215,233845,23384500
1610352000000,0.0622,0.06752,0.06147,0.06253,203229,20322900
1610366400000,0.06257,0.063,0.05348,0.05573,307905,30790500
1610380800000,0.05574,0.05941,0.05153,0.05748,222472,22247200
1610395200000,0.05742,0.06534,0.05608,0.06499,172081,17208100
1610409600000,0.06487,0.06717,0.06122,0.06694,116875,11687500
1610424000000,0.06697,0.07094,0.06565,0.06737,111614,11161400
1610438400000,0.06734,0.0674,0.06249,0.06446,124997,12499700
1610452800000,0.06449,0.06528,0.05813,0.06152,146843,14684300
1610467200000,0.06155,0.06627,0.06155,0.06315,121976,12197600
1610481600000,0.06305,0.06364,0.06044,0.06195,84241,8424100
1610496000000,0.06187,0.06295,0.0588,0.06231,97053,9705300
1610510400000,0.06232,0.06394,0.06063,0.06342,64823,6482300
1610524800000,0.06341,0.06524,0.06176,0.06346,101506,10150600
1610539200000,0.0635,0.06542,0.06274,0.06517,83322,8332200
1610553600000,0.06532,0.06977,0.06461,0.06868,122930,12293000
1610568000000,0.06871,0.07224,0.06842,0.07044,119605,11960500
1610582400000,0.07051,0.07147,0.06673,0.0671,98140,9814000
1610596800000,0.06696,0.07066,0.06605,0.06973,74573,7457300
1610611200000,0.06971,0.07064,0.06687,0.06888,130040,13004000
1610625600000,0.06888,0.07211,0.06666,0.07044,134603,13460300
1610640000000,0.07041,0.07229,0.07004,0.07108,88061,8806100
1610654400000,0.07108,0.07147,0.0671,0.06912,95968,9596800
1610668800000,0.06917,0.06942,0.06701,0.06754,98056,9805600
1610683200000,0.06755,0.06879,0.06557,0.06865,78294,7829400
1610697600000,0.06873,0.07018,0.06761,0.06831,88497,8849700
1610712000000,0.06838,0.06936,0.06261,0.06329,126421,12642100
1610726400000,0.06309,0.0659,0.06012,0.06515,122319,12231900
1610740800000,0.06502,0.06689,0.06399,0.06624,71962,7196200
1610755200000,0.06624,0.06837,0.0662,0.06784,68586,6858600
1610769600000,0.06785,0.06855,0.06598,0.06818,72213,7221300
1610784000000,0.06836,0.07337,0.06822,0.07329,132268,13226800
1610798400000,0.07331,0.07561,0.07,0.07541,172338,17233800
1610812800000,0.0756,0.07601,0.07011,0.07257,119106,11910600
1610827200000,0.07261,0.07483,0.06864,0.07339,130726,13072600
1610841600000,0.07341,0.07932,0.07144,0.07494,149095,14909500
1610856000000,0.07498,0.07654,0.07015,0.07121,99480,9948000
1610870400000,0.07117,0.07371,0.0696,0.07259,86048,8604800
1610884800000,0.07257,0.07584,0.07165,0.07543,98764,9876400
1610899200000,0.07541,0.07581,0.07267,0.07443,119839,11983900
1610913600000,0.07444,0.07566,0.07304,0.07332,87739,8773900
1610928000000,0.07343,0.07504,0.07057,0.07123,95968,9596800
1610942400000,0.07135,0.074,0.07077,0.07351,80901,8090100
1610956800000,0.07332,0.07814,0.07332,0.07678,138671,13867100
1610971200000,0.07677,0.0791,0.07568,0.07829,103749,10374900
1610985600000,0.07857,0.08038,0.07701,0.07935,159573,15957300
1611000000000,0.07922,0.08134,0.077,0.07877,130109,13010900
1611014400000,0.07887,0.07888,0.07655,0.07702,88950,8895000
1611028800000,0.07709,0.0787,0.07638,0.07736,88225,8822500
1611043200000,0.07725,0.07928,0.0769,0.07894,109240,10924000
1611057600000,0.07898,0.07933,0.07626,0.07695,98892,9889200
1611072000000,0.07712,0.07734,0.07206,0.07349,112118,11211800
1611086400000,0.07335,0.07675,0.07314,0.07356,71148,7114800
1611100800000,0.07357,0.07523,0.0712,0.07169,94011,9401100
1611115200000,0.07165,0.07405,0.07056,0.07374,83357,8335700
1611129600000,0.07367,0.07552,0.06803,0.06948,139996,13999600
1611144000000,0.0694,0.0724,0.068,0.06998,102574,10257400
1611158400000,0.06965,0.0741,0.06802,0.07398,92542,9254200
1611172800000,0.07394,0.07446,0.07201,0.07402,82092,8209200
1611187200000,0.07405,0.07471,0.07247,0.07331,48778,4877800
1611201600000,0.07328,0.07421,0.07126,0.07176,62541,6254100
1611216000000,0.07178,0.07182,0.06719,0.06766,123980,12398000
1611230400000,0.06763,0.06878,0.06524,0.06618,116308,11630800
1611244800000,0.06606,0.06778,0.06465,0.06759,87396,8739600
1611259200000,0.06755,0.06775,0.06054,0.06216,94301,9430100
1611273600000,0.06217,0.06407,0.0568,0.06389,141784,14178400
1611288000000,0.06404,0.06552,0.06271,0.06314,76262,7626200
1611302400000,0.06326,0.06573,0.06236,0.0653,59903,5990300
1611316800000,0.06526,0.06929,0.06526,0.06845,77734,7773400
1611331200000,0.06829,0.06964,0.06727,0.06921,64372,6437200
1611345600000,0.06923,0.06945,0.06705,0.06759,68653,6865300
1611360000000,0.06758,0.06795,0.06625,0.06785,59624,5962400
1611374400000,0.0678,0.06976,0.06708,0.0693,63096,6309600
1611388800000,0.06938,0.07048,0.06634,0.06649,81855,8185500
1611403200000,0.06649,0.06774,0.0654,0.06686,79493,7949300
1611417600000,0.06689,0.06852,0.06633,0.06843,66059,6605900
1611432000000,0.06849,0.0693,0.06719,0.06791,57750,5775000
1611446400000,0.06789,0.06905,0.06714,0.06892,50584,5058400
1611460800000,0.06893,0.07,0.0688,0.06986,83899,8389900
1611475200000,0.0699,0.07276,0.06931,0.07191,90860,9086000
1611489600000,0.07182,0.07228,0.06867,0.06969,72597,7259700
1611504000000,0.06986,0.07069,0.06763,0.06841,96001,9600100
1611518400000,0.06839,0.06977,0.06807,0.06907,75595,7559500
1611532800000,0.06904,0.07081,0.06875,0.0693,79612,7961200
1611547200000,0.0693,0.06952,0.06854,0.06892,53051,5305100
1611561600000,0.06892,0.06986,0.06822,0.06935,62946,6294600
1611576000000,0.06933,0.07208,0.06907,0.07033,104086,10408600
1611590400000,0.07034,0.07056,0.06833,0.06872,66523,6652300
1611604800000,0.06866,0.06885,0.06572,0.06678,75420,7542000
1611619200000,0.06671,0.06783,0.06423,0.06457,52399,5239900
1611633600000,0.06449,0.06619,0.06441,0.0654,48935,4893500
1611648000000,0.06541,0.06663,0.06464,0.06565,64385,6438500
1611662400000,0.06559,0.06693,0.06363,0.0655,92731,9273100
1611676800000,0.06551,0.06854,0.06513,0.06759,83697,8369700
1611691200000,0.06758,0.06833,0.0668,0.06777,70321,7032100
1611705600000,0.0678,0.06783,0.06491,0.06539,57291,5729100
1611720000000,0.06538,0.06827,0.06482,0.06791,77858,7785800
1611734400000,0.06778,0.06778,0.06317,0.0633,89009,8900900
1611748800000,0.06318,0.06396,0.06008,0.06355,109863,10986300
1611763200000,0.06335,0.06399,0.06155,0.06331,70431,7043100
1611777600000,0.0633,0.06409,0.06182,0.06205,50252,5025200
1611792000000,0.06209,0.06438,0.06139,0.0642,50623,5062300
1611806400000,0.0642,0.06555,0.06408,0.06468,75410,7541000
1611820800000,0.06474,0.06651,0.0637,0.06645,74936,7493600
1611835200000,0.06643,0.06721,0.06527,0.06676,95558,9555800
1611849600000,0.06677,0.06759,0.06608,0.06677,80965,8096500
1611864000000,0.0668,0.06714,0.06529,0.06543,85442,8544200
1611878400000,0.06542,0.06818,0.06498,0.06508,116542,11654200
1611892800000,0.06508,0.06607,0.06331,0.06443,111286,11128600
1611907200000,0.06441,0.06947,0.0636,0.06839,181842,18184200
1611921600000,0.06841,0.07136,0.06748,0.06979,159088,15908800
1611936000000,0.06985,0.07101,0.06635,0.067,113174,11317400
1611950400000,0.06691,0.06838,0.06658,0.06737,71956,7195600
1611964800000,0.06732,0.06787,0.06535,0.06568,58564,5856400
1611979200000,0.06569,0.06649,0.06465,0.06622,64995,6499500
1611993600000,0.06622,0.06887,0.06582,0.06789,93673,9367300
1612008000000,0.06788,0.0692,0.06708,0.06884,105795,10579500
1612022400000,0.0688,0.0787,0.06601,0.07291,370082,37008200
1612036800000,0.07292,0.07599,0.07292,0.07322,157319,15731900
1612051200000,0.07323,0.08142,0.07238,0.07417,237973,23797300
