Datetime,Open,High,Low,Close,Volume,QuantityVol
1609113600000,0.3753,0.3847,0.3753,0.383,7055,70550
1609128000000,0.383,0.3884,0.379,0.3875,2756,27560
1609142400000,0.3887,0.396,0.3878,0.3915,3955,39550
1609156800000,0.3939,0.3939,0.383,0.3868,3821,38210
1609171200000,0.3886,0.392,0.3856,0.3856,13514,135140
1609185600000,0.3878,0.3878,0.3717,0.378,6069,60690
1609200000000,0.382,0.382,0.3593,0.3593,13510,135100
1609214400000,0.3618,0.366,0.358,0.364,7747,77470
1609228800000,0.364,0.3701,0.3605,0.368,2876,28760
1609243200000,0.365,0.368,0.3534,0.3534,4998,49980
1609257600000,0.3531,0.364,0.349,0.364,13143,131430
1609272000000,0.361,0.368,0.359,0.367,3249,32490
1609286400000,0.363,0.3665,0.3611,0.3631,891,8910
1609300800000,0.36,0.36,0.3539,0.3548,3510,35100
1609315200000,0.355,0.356,0.3529,0.356,2993,29930
1609329600000,0.3559,0.3618,0.3559,0.361,3257,32570
1609344000000,0.3628,0.363,0.355,0.3599,5111,51110
1609358400000,0.356,0.36,0.353,0.36,5591,55910
1609372800000,0.354,0.357,0.3509,0.356,16411,164110
1609387200000,0.356,0.3709,0.353,0.3672,11386,113860
1609401600000,0.3654,0.3664,0.3547,0.36,11249,112490
1609416000000,0.3587,0.3588,0.3491,0.3552,5117,51170
1609430400000,0.3546,0.3571,0.3546,0.355,940,9400
1609444800000,0.354,0.354,0.3508,0.354,4325,43250
1609459200000,0.353,0.3622,0.353,0.3595,2205,22050
1609473600000,0.3591,0.3603,0.3556,0.3569,6652,66520
1609488000000,0.354,0.3634,0.354,0.36,6956,69560
1609502400000,0.362,0.3752,0.362,0.3681,8536,85360
1609516800000,0.3698,0.3701,0.3573,0.363,11998,119980
1609531200000,0.3624,0.3748,0.3624,0.3748,3590,35900
1609545600000,0.3736,0.384,0.363,0.382,17360,173600
1609560000000,0.379,0.398,0.377,0.384,10039,100390
1609574400000,0.3827,0.3828,0.3736,0.3775,3773,37730
1609588800000,0.378,0.3822,0.3697,0.3725,4995,49950
1609603200000,0.3663,0.3733,0.3663,0.3667,4365,43650
1609617600000,0.3588,0.3624,0.3571,0.3611,4964,49640
1609632000000,0.3613,0.3641,0.3581,0.3641,396,3960
1609646400000,0.3613,0.3757,0.3608,0.3712,5430,54300
1609660800000,0.3716,0.3897,0.368,0.3897,12747,127470
1609675200000,0.3785,0.3861,0.3764,0.3794,12252,122520
1609689600000,0.3802,0.3914,0.373,0.374,12271,122710
1609704000000,0.375,0.3959,0.3741,0.3915,16209,162090
1609718400000,0.3932,0.4085,0.3889,0.3995,10127,101270
1609732800000,0.4021,0.4201,0.3827,0.3864,18218,182180
1609747200000,0.3863,0.3898,0.3647,0.3757,30642,306420
1609761600000,0.3821,0.39,0.3761,0.387,2989,29890
1609776000000,0.3814,0.385,0.377,0.3829,9255,92550
1609790400000,0.391,0.3971,0.3842,0.3919,26481,264810
1609804800000,0.3991,0.4102,0.3932,0.3943,22051,220510
1609819200000,0.3921,0.3986,0.3773,0.3857,9108,91080
1609833600000,0.3929,0.415,0.3928,0.415,12400,124000
1609848000000,0.414,0.448,0.4113,0.44,16401,164010
1609862400000,0.4393,0.447,0.426,0.4382,16917,169170
1609876800000,0.4395,0.452,0.429,0.4433,12330,123300
1609891200000,0.449,0.4896,0.4453,0.4596,31088,310880
1609905600000,0.462,0.488,0.4511,0.4573,7347,73470
1609920000000,0.4597,0.477,0.4541,0.4666,19814,198140
1609934400000,0.4683,0.4965,0.466,0.4667,24794,247940
1609948800000,0.4743,0.4746,0.4427,0.4468,10455,104550
1609963200000,0.4512,0.4728,0.4268,0.461,29233,292330
1609977600000,0.451,0.4791,0.451,0.4734,5856,58560
1609992000000,0.4735,0.4888,0.466,0.466,13392,133920
1610006400000,0.472,0.4879,0.4478,0.4771,11775,117750
1610020800000,0.474,0.4915,0.4683,0.4745,29465,294650
1610035200000,0.4796,0.4796,0.43,0.4542,24192,241920
1610049600000,0.4521,0.4538,0.4392,0.4392,1490,14900
1610064000000,0.4397,0.456,0.4021,0.4247,7368,73680
1610078400000,0.4288,0.4404,0.4227,0.4404,437,4370
1610092800000,0.4489,0.4612,0.4486,0.4523,4495,44950
1610107200000,0.4542,0.4542,0.4313,0.4438,6690,66900
1610121600000,0.4448,0.4497,0.4338,0.4338,6219,62190
1610136000000,0.4307,0.438,0.421,0.438,3102,31020
1610150400000,0.441,0.4494,0.4301,0.447,1603,16030
1610164800000,0.4454,0.4633,0.4447,0.456,1983,19830
1610179200000,0.4515,0.4784,0.4515,0.4712,6217,62170
1610193600000,0.471,0.5491,0.4679,0.5315,28440,284400
1610208000000,0.5333,0.6264,0.5286,0.5445,55413,554130
1610222400000,0.5466,0.572,0.544,0.5466,1792,17920
1610236800000,0.5559,0.5794,0.5321,0.5371,9159,91590
1610251200000,0.5529,0.5558,0.5317,0.5483,4625,46250
1610265600000,0.538,0.573,0.4905,0.51,166165,1661650
1610280000000,0.505,0.5343,0.498,0.5093,6617,66170
1610294400000,0.5076,0.5103,0.4768,0.4947,4182,41820
1610308800000,0.5051,0.531,0.4922,0.531,1984,19840
1610323200000,0.5167,0.5167,0.4324,0.4503,2926,29260
1610337600000,0.4709,0.4709,0.4262,0.448,3941,39410
1610352000000,0.4584,0.4762,0.4528,0.4528,3440,34400
1610366400000,0.4483,0.4533,0.395,0.415,16013,160130
1610380800000,0.4079,0.4187,0.3791,0.4129,10827,108270
1610395200000,0.4012,0.439,0.4012,0.439,1121,11210
1610409600000,0.4299,0.4412,0.4212,0.4412,251,2510
1610424000000,0.4361,0.4794,0.4361,0.4517,3793,37930
1610438400000,0.4695,0.4695,0.4161,0.4342,5197,51970
1610452800000,0.4351,0.4354,0.4081,0.4241,11936,119360
1610467200000,0.4309,0.4429,0.427,0.4304,7907,79070
1610481600000,0.427,0.429,0.4202,0.4266,17679,176790
1610496000000,0.4279,0.466,0.4279,0.458,23746,237460
1610510400000,0.457,0.465,0.442,0.4626,4625,46250
1610524800000,0.4622,0.5002,0.4585,0.4841,11473,114730
1610539200000,0.4822,0.539,0.4762,0.5218,13881,138810
1610553600000,0.5197,0.5238,0.502,0.5121,5495,54950
1610568000000,0.513,0.52,0.5036,0.5036,929,9290
1610582400000,0.5023,0.5058,0.4837,0.493,1251,12510
1610596800000,0.4851,0.4988,0.4836,0.4988,4297,42970
1610611200000,0.496,0.5003,0.486,0.4978,953,9530
1610625600000,0.4959,0.5234,0.494,0.514,1514,15140
1610640000000,0.508,0.5149,0.503,0.5095,614,6140
1610654400000,0.509,0.509,0.4863,0.5039,1553,15530
1610668800000,0.5047,0.5265,0.491,0.491,6204,62040
1610683200000,0.4949,0.5,0.486,0.4999,643,6430
1610697600000,0.5006,0.5398,0.4987,0.534,17088,170880
1610712000000,0.526,0.556,0.4878,0.4925,22864,228640
1610726400000,0.4855,0.4996,0.4515,0.487,18423,184230
1610740800000,0.497,0.52,0.497,0.52,2536,25360
1610755200000,0.52,0.536,0.5198,0.536,4969,49690
1610769600000,0.5411,0.553,0.541,0.549,803,8030
1610784000000,0.54,0.563,0.538,0.563,10632,106320
1610798400000,0.563,0.5658,0.5404,0.558,6853,68530
1610812800000,0.5483,0.5483,0.5245,0.529,643,6430
1610827200000,0.5303,0.5303,0.5094,0.529,857,8570
1610841600000,0.519,0.5679,0.519,0.5592,20178,201780
1610856000000,0.569,0.569,0.5233,0.525,1833,18330
1610870400000,0.5244,0.5538,0.521,0.5538,1192,11920
1610884800000,0.548,0.6035,0.534,0.5939,12921,129210
1610899200000,0.6021,0.6183,0.5764,0.5764,3754,37540
1610913600000,0.5847,0.6245,0.5826,0.594,2125,21250
1610928000000,0.5974,0.5997,0.5704,0.5756,3268,32680
1610942400000,0.5806,0.6034,0.5727,0.5999,10054,100540
1610956800000,0.597,0.6294,0.597,0.6096,4772,47720
1610971200000,0.6007,0.6178,0.5875,0.5875,930,9300
1610985600000,0.601,0.6068,0.5874,0.5904,1504,15040
1611000000000,0.59,0.59,0.58,0.58,829,8290
1611014400000,0.5874,0.599,0.5833,0.5833,751,7510
1611028800000,0.5869,0.5869,0.562,0.5756,6328,63280
1611043200000,0.5776,0.583,0.574,0.5799,1643,16430
1611057600000,0.581,0.583,0.572,0.5725,8008,80080
1611072000000,0.5725,0.5725,0.5472,0.5482,3603,36030
1611086400000,0.5556,0.5667,0.54,0.54,3125,31250
1611100800000,0.542,0.5577,0.5291,0.5316,4512,45120
1611115200000,0.5282,0.5359,0.527,0.5312,1081,10810
1611129600000,0.5426,0.5426,0.5033,0.511,13784,137840
1611144000000,0.5033,0.525,0.5027,0.5108,2618,26180
1611158400000,0.5061,0.5394,0.5034,0.5394,4119,41190
1611172800000,0.54,0.547,0.5314,0.547,4952,49520
1611187200000,0.552,0.552,0.5298,0.5325,420,4200
1611201600000,0.5315,0.541,0.523,0.541,605,6050
1611216000000,0.5323,0.5323,0.5019,0.503,869,8690
1611230400000,0.4998,0.507,0.489,0.493,303,3030
1611244800000,0.4903,0.5035,0.483,0.501,938,9380
1611259200000,0.491,0.491,0.4575,0.4698,3863,38630
1611273600000,0.4621,0.479,0.4355,0.479,8671,86710
1611288000000,0.4798,0.4882,0.4776,0.4839,1983,19830
1611302400000,0.4759,0.495,0.4759,0.495,1598,15980
1611316800000,0.4956,0.516,0.4956,0.511,5317,53170
1611331200000,0.5115,0.5359,0.507,0.533,2943,29430
1611345600000,0.518,0.519,0.509,0.51,596,5960
1611360000000,0.509,0.518,0.505,0.5178,634,6340
1611374400000,0.523,0.532,0.5225,0.5309,2242,22420
1611388800000,0.5309,0.5331,0.4982,0.5038,2420,24200
1611403200000,0.504,0.524,0.504,0.5205,745,7450
1611417600000,0.5164,0.5332,0.5164,0.5332,281,2810
1611432000000,0.533,0.579,0.533,0.566,9791,97910
1611446400000,0.559,0.57,0.549,0.55,2464,24640
1611460800000,0.5581,0.5768,0.5513,0.566,2413,24130
1611475200000,0.564,0.567,0.563,0.567,675,6750
1611489600000,0.563,0.563,0.538,0.5549,3588,35880
1611504000000,0.5512,0.5512,0.5245,0.5314,324,3240
1611518400000,0.54,0.547,0.5362,0.547,1141,11410
1611532800000,0.5596,0.56,0.555,0.5589,266,2660
1611547200000,0.5579,0.5579,0.5579,0.5579,116,1160
1611561600000,0.5604,0.561,0.554,0.555,380,3800
1611576000000,0.562,0.562,0.549,0.552,704,7040
1611590400000,0.5473,0.5499,0.5351,0.5351,325,3250
1611604800000,0.53,0.53,0.515,0.519,911,9110
1611619200000,0.5258,0.53,0.5099,0.5099,984,9840
1611633600000,0.511,0.52,0.507,0.5115,1910,19100
1611648000000,0.516,0.529,0.5125,0.5286,1518,15180
1611662400000,0.519,0.5213,0.4959,0.5049,4193,41930
1611676800000,0.51,0.538,0.5023,0.5328,4409,44090
1611691200000,0.531,0.5515,0.531,0.543,6010,60100
1611705600000,0.5366,0.6,0.5366,0.576,34304,343040
1611720000000,0.575,0.584,0.5599,0.5779,12074,120740
1611734400000,0.5809,0.5809,0.529,0.5301,35174,351740
